Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.417,12.546,12.392,12.521,4113237,0
1995-01-04,12.464,12.568,12.295,12.417,2750262,0
1995-01-05,12.343,12.392,12.215,12.238,2875204,0
1995-01-06,12.165,12.368,12.165,12.272,4261487,0
1995-01-09,12.32,12.368,12.189,12.215,2225197,0
1995-01-10,12.272,12.392,12.189,12.368,5409284,0
1995-01-11,12.521,12.521,12.343,12.343,4633840,0
1995-01-12,12.343,12.464,12.295,12.464,4099853,0
1995-01-13,12.521,12.722,12.464,12.546,4949175,0
1995-01-16,12.772,12.819,12.642,12.642,4557979,0
1995-01-17,12.617,12.69,12.568,12.69,3021466,0
1995-01-18,12.594,12.642,12.392,12.417,4381970,0
1995-01-19,12.32,12.368,12.32,12.368,3087903,0
1995-01-20,12.368,12.368,12.238,12.32,6359752,0
1995-01-23,12.189,12.441,12.189,12.441,3901031,0
1995-01-24,12.441,12.464,12.343,12.417,2499377,0
1995-01-25,12.441,12.667,12.392,12.594,3473644,0
1995-01-26,12.617,12.722,12.594,12.642,3872278,0
1995-01-27,12.69,13.046,12.69,12.998,7743557,0
1995-01-30,12.948,13.295,12.915,13.2,6478252,0
1995-01-31,13.118,13.247,13.07,13.07,4877282,0
1995-02-01,13.118,13.118,12.795,12.819,3777080,0
1995-02-02,12.819,12.948,12.747,12.915,4723086,0
1995-02-03,13.02,13.141,12.998,13.046,5506959,0
1995-02-06,13.07,13.344,13.07,13.344,4962559,0
1995-02-07,13.295,13.32,13.166,13.32,2950567,0
1995-02-08,13.32,13.32,13.166,13.166,3075509,0
1995-02-09,13.2,13.222,13.094,13.141,2657042,0
1995-02-10,13.118,13.166,12.973,13.118,3031382,0
1995-02-13,13.094,13.222,13.094,13.222,2139917,0
1995-02-14,13.2,13.2,13.02,13.094,2506317,0
1995-02-15,13.046,13.247,13.02,13.094,4670035,0
1995-02-16,13.07,13.141,13.046,13.118,2955523,0
1995-02-17,13.07,13.247,13.02,13.2,8896316,0
1995-02-21,13.222,13.391,13.166,13.295,3825175,0
1995-02-22,13.295,13.391,13.2,13.2,3273336,0
1995-02-23,13.368,13.45,13.295,13.344,4220830,0
1995-02-24,13.295,13.391,13.271,13.391,3549010,0
1995-02-27,13.368,13.391,13.166,13.32,3749810,0
1995-02-28,13.247,13.344,13.247,13.344,2811737,0
1995-03-01,13.271,13.32,13.094,13.166,3446373,0
1995-03-02,13.166,13.271,13.118,13.271,3690310,0
1995-03-03,13.2,13.344,13.166,13.271,2876197,0
1995-03-06,13.2,13.391,13.118,13.344,2830576,0
1995-03-07,13.295,13.344,13.046,13.118,3275816,0
1995-03-08,13.166,13.2,13.02,13.094,3058648,0
1995-03-09,13.094,13.271,13.02,13.247,3647179,0
1995-03-10,13.32,13.52,13.295,13.497,5007185,0
1995-03-13,13.497,13.593,13.472,13.497,3231689,0
1995-03-14,13.593,13.843,13.497,13.77,5307644,0
