Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.5257,5.7156,5.5257,5.7156,248149,0
1995-01-04,5.7156,5.7632,5.6683,5.7632,1086388,0
1995-01-05,5.7632,5.7632,5.6205,5.6205,141109,0
1995-01-06,5.6683,5.6683,5.4683,5.5257,243313,0
1995-01-09,5.573,5.573,5.4208,5.4208,177699,0
1995-01-10,5.4683,5.4683,5.1832,5.2784,552658,0
1995-01-11,5.2784,5.3734,5.1832,5.3257,607963,0
1995-01-12,5.3257,5.3734,5.2784,5.3257,241842,0
1995-01-13,5.3831,5.4777,5.3356,5.4303,295045,0
1995-01-16,5.4303,5.4303,5.3356,5.4303,464541,0
1995-01-17,5.3831,5.3831,5.2877,5.3356,437415,0
1995-01-18,5.3356,5.3356,5.2877,5.3356,166345,0
1995-01-19,5.2877,5.3831,5.2877,5.2877,127229,0
1995-01-20,5.3356,5.3356,5.2308,5.3356,147837,0
1995-01-23,5.2308,5.2877,5.2308,5.2877,111246,0
1995-01-24,5.2877,5.3356,5.2308,5.2308,635513,0
1995-01-25,5.1357,5.3831,5.1357,5.2877,806905,0
1995-01-26,5.3356,5.3831,5.1832,5.3356,269600,0
1995-01-27,5.3831,5.4303,5.2877,5.3356,79281,0
1995-01-30,5.3831,5.4303,5.3831,5.4303,408183,0
1995-01-31,5.4303,5.5257,5.4303,5.5257,255719,0
1995-02-01,5.5257,5.5829,5.4303,5.4303,298619,0
1995-02-02,5.4777,5.4777,5.3831,5.4303,123864,0
1995-02-03,5.4777,5.5257,5.4303,5.4777,46264,0
1995-02-06,5.5257,5.5829,5.4777,5.5829,150991,0
1995-02-07,5.5257,5.5829,5.5257,5.5829,101153,0
1995-02-08,5.5257,5.6778,5.5257,5.6302,86849,0
1995-02-09,5.6302,5.7253,5.5829,5.5829,734351,0
1995-02-10,5.7253,5.7253,5.6302,5.7253,68764,0
1995-02-13,5.6778,5.8774,5.6778,5.7253,116503,0
1995-02-14,5.8299,5.8299,5.7348,5.7824,60776,0
1995-02-15,5.7824,5.7824,5.6874,5.6874,189268,0
1995-02-16,5.6874,5.7348,5.6874,5.6874,146367,0
1995-02-17,5.7348,5.7824,5.6874,5.7348,105990,0
1995-02-21,5.7824,5.7824,5.6874,5.7348,78022,0
1995-02-22,5.7348,5.8299,5.6874,5.6874,183588,0
1995-02-23,5.7348,5.8299,5.6874,5.7348,169918,0
1995-02-24,5.7824,5.7824,5.6874,5.7348,817631,0
1995-02-27,5.7348,5.7824,5.6302,5.6874,162558,0
1995-02-28,5.6874,5.7348,5.6302,5.7348,163820,0
1995-03-01,5.7348,5.7348,5.6874,5.6874,24602,0
1995-03-02,5.6302,5.6874,5.5829,5.6302,507442,0
1995-03-03,5.6302,5.6874,5.5829,5.6302,565274,0
1995-03-06,5.6874,5.6874,5.5829,5.6874,39957,0
1995-03-07,5.5829,5.6302,5.535,5.535,114610,0
1995-03-08,5.5829,5.5829,5.535,5.535,275694,0
1995-03-09,5.535,5.5829,5.535,5.535,43111,0
1995-03-10,5.5829,5.8871,5.5829,5.7348,511230,0
1995-03-13,5.7348,5.7348,5.6302,5.6874,104938,0
1995-03-14,5.6874,5.6874,5.5829,5.5829,68764,0
1995-03-15,5.535,5.5829,5.535,5.5829,95681,0
1995-03-16,5.6302,5.6874,5.5829,5.6302,142789,0
1995-03-17,5.7824,5.9345,5.7348,5.9345,862002,0
1995-03-20,5.8871,6.0297,5.8871,5.9823,1001218,0
1995-03-21,5.9823,6.0297,5.8871,5.9345,212820,0
1995-03-22,5.9345,6.0297,5.8299,5.9823,430896,0
1995-03-23,5.9345,6.0866,5.8871,5.9823,294413,0
1995-03-24,6.1343,6.1817,6.0297,6.0866,276748,0
1995-03-27,6.0297,6.0866,6.0297,6.0866,89374,0
1995-03-28,5.9823,6.0297,5.9823,5.9823,47947,0
1995-03-29,5.9823,6.0297,5.9823,5.9823,84750,0
1995-03-30,6.0297,6.0297,5.9823,5.9823,77598,0
1995-03-31,5.9823,6.0297,5.9823,5.9823,70658,0
1995-04-03,5.9823,6.0866,5.9823,6.0866,63929,0
1995-04-04,6.1343,6.1343,6.0297,6.1343,232587,0
1995-04-05,6.0866,6.0866,5.9823,6.0297,135010,0
1995-04-06,6.0866,6.0866,5.9823,6.0866,22712,0
1995-04-07,6.0297,6.0866,5.9823,6.0866,54677,0
1995-04-10,6.0297,6.2293,6.0297,6.1817,160667,0
1995-04-11,6.2293,6.3815,6.1817,6.3815,256350,0
1995-04-12,6.3815,6.3815,6.3337,6.3815,247938,0
1995-04-13,6.3815,6.5338,6.3337,6.5338,364862,0
1995-04-17,6.486,6.6859,6.486,6.6859,580628,0
1995-04-18,6.6859,6.6859,6.6385,6.6385,374745,0
1995-04-19,6.6385,6.7905,6.6385,6.7905,187582,0
1995-04-20,6.7905,6.7905,6.6859,6.7429,118394,0
1995-04-21,6.7905,6.7905,6.6385,6.6385,103045,0
1995-04-24,6.6859,6.6859,6.486,6.6385,320701,0
1995-04-25,6.5907,6.6859,6.5907,6.6385,202724,0
1995-04-26,6.6385,6.8381,6.6385,6.7905,109564,0
1995-04-27,6.7905,6.7905,6.7429,6.7429,165084,0
1995-04-28,6.7905,6.99,6.7429,6.7905,695658,0
1995-05-01,6.7429,6.8857,6.7429,6.8381,153726,0
1995-05-02,6.8857,6.8857,6.6859,6.6859,386944,0
1995-05-03,6.7429,6.8381,6.6859,6.8381,945067,0
1995-05-04,6.9429,6.9429,6.8381,6.8857,84120,0
1995-05-05,6.8857,6.9429,6.8381,6.9429,75707,0
1995-05-08,6.9429,6.9429,6.7429,6.8857,54258,0
1995-05-09,6.8381,6.99,6.8381,6.9429,128068,0
1995-05-10,6.9429,7.1895,6.8857,7.1895,197679,0
1995-05-11,7.1895,7.2374,7.0377,7.0377,402293,0
1995-05-12,6.99,7.2944,6.99,7.2944,277589,0
1995-05-15,7.2944,7.3422,7.1423,7.1895,67297,0
1995-05-16,7.2374,7.2944,7.1895,7.2944,110825,0
1995-05-17,7.2944,7.2944,7.1895,7.2374,80964,0
1995-05-18,7.1895,7.2374,6.9429,6.99,94421,0
1995-05-19,6.9429,6.99,6.8857,6.99,113557,0
1995-05-22,6.99,7.2944,6.9429,7.2374,140897,0
1995-05-23,7.2374,7.2374,7.1423,7.2374,95681,0
1995-05-24,7.2374,7.3422,7.2374,7.2944,260348,0
1995-05-25,7.2944,7.3422,7.2374,7.2944,336892,0
1995-05-26,7.3422,7.3894,7.2944,7.3894,251091,0
1995-05-30,7.3422,7.3422,7.0949,7.1895,185688,0
1995-05-31,7.2374,7.2944,7.1895,7.2944,132909,0
1995-06-01,7.2374,7.2374,7.1423,7.1895,93370,0
1995-06-02,7.1423,7.1895,7.1423,7.1895,83695,0
1995-06-05,7.1423,7.1423,6.9429,7.0377,128068,0
1995-06-06,7.0377,7.0949,7.0377,7.0949,113979,0
1995-06-07,7.0377,7.0949,6.99,6.99,127437,0
1995-06-08,7.0377,7.0377,6.8857,6.99,72554,0
1995-06-09,6.99,6.99,6.8857,6.8857,63718,0
1995-06-12,6.9429,6.9429,6.8857,6.8857,112929,0
1995-06-13,6.9429,6.9429,6.8857,6.9429,97368,0
1995-06-14,6.8857,6.99,6.8857,6.99,190319,0
1995-06-15,6.9429,6.99,6.9429,6.9429,86849,0
1995-06-16,6.99,6.99,6.8857,6.8857,280744,0
1995-06-19,6.8857,6.9429,6.8381,6.8381,174335,0
1995-06-20,6.8381,6.9429,6.8381,6.9429,105361,0
1995-06-21,6.8381,6.8381,6.6385,6.6385,413232,0
1995-06-22,6.6859,6.6859,6.5907,6.6859,321960,0
1995-06-23,6.6859,6.7905,6.6859,6.7905,234479,0
1995-06-26,6.7905,6.7905,6.486,6.486,442250,0
1995-06-27,6.5907,6.6385,6.486,6.5338,162138,0
1995-06-28,6.5338,6.6385,6.486,6.6385,164031,0
1995-06-29,6.6385,6.6859,6.5338,6.6859,165924,0
1995-06-30,6.6859,6.7429,6.5907,6.7429,291256,0
1995-07-03,6.7429,6.7429,6.6859,6.7429,26916,0
1995-07-05,6.6859,6.6859,6.5907,6.6385,105777,0
1995-07-06,6.6385,6.8857,6.6385,6.8857,106620,0
1995-07-07,6.7905,6.9429,6.7905,6.9429,139847,0
1995-07-10,6.9429,7.0377,6.9429,6.99,232798,0
1995-07-11,6.99,7.1423,6.99,7.0949,216817,0
1995-07-12,7.1423,7.1895,7.0377,7.0949,503656,0
1995-07-13,7.0949,7.1423,7.0377,7.0949,178332,0
1995-07-14,7.0949,7.1423,7.0377,7.1423,47106,0
1995-07-17,7.0949,7.1895,7.0377,7.1423,129544,0
1995-07-18,7.1423,7.1895,7.0949,7.0949,197047,0
1995-07-19,7.0472,7.0949,6.8948,6.9996,465806,0
1995-07-20,6.9429,7.0949,6.8948,7.0472,89374,0
