Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.14,13.408,13.14,13.274,897666,0
1995-01-04,13.14,13.319,13.14,13.319,823835,0
1995-01-05,13.232,13.498,13.186,13.454,459827,0
1995-01-06,13.536,13.626,13.498,13.626,985849,0
1995-01-09,13.536,13.849,13.536,13.716,940529,0
1995-01-10,13.759,13.984,13.759,13.804,585276,0
1995-01-11,13.939,14.027,13.759,13.893,553185,0
1995-01-12,13.849,13.984,13.759,13.849,327647,0
1995-01-13,13.984,14.118,13.849,13.893,797801,0
1995-01-16,13.984,14.027,13.671,13.716,360634,0
1995-01-17,13.671,13.671,13.364,13.454,720822,0
1995-01-18,13.454,13.582,13.408,13.582,451076,0
1995-01-19,13.454,13.671,13.095,13.095,1125893,0
1995-01-20,13.186,13.385,13.186,13.274,381730,0
1995-01-23,12.743,12.876,12.743,12.79,611980,0
1995-01-24,12.79,12.964,12.79,12.79,550492,0
1995-01-25,12.7,12.876,12.7,12.79,779621,0
1995-01-26,12.743,12.743,12.431,12.567,1508075,0
1995-01-27,12.7,12.834,12.611,12.654,883529,0
1995-01-30,12.611,12.611,12.344,12.431,1313509,0
1995-01-31,12.431,12.567,12.431,12.431,809244,0
1995-02-01,12.476,12.654,12.431,12.567,978007,0
1995-02-02,12.7,12.743,12.654,12.743,572036,0
1995-02-03,12.834,12.918,12.743,12.876,1104345,0
1995-02-06,12.918,13.052,12.876,12.964,788145,0
1995-02-07,12.964,13.186,12.964,13.14,1017268,0
1995-02-08,13.186,13.364,13.186,13.319,359736,0
1995-02-09,13.364,13.454,13.186,13.274,615119,0
1995-02-10,13.274,13.408,13.14,13.186,500221,0
1995-02-13,13.186,13.364,13.14,13.364,415172,0
1995-02-14,13.377,13.377,13.288,13.332,231374,0
1995-02-15,13.377,13.554,13.288,13.377,778052,0
1995-02-16,13.377,13.468,13.288,13.377,587295,0
1995-02-17,13.377,13.377,13.2,13.2,675269,0
1995-02-21,13.288,13.332,13.243,13.243,625443,0
1995-02-22,13.288,13.332,13.2,13.2,562382,0
1995-02-23,13.332,13.512,13.243,13.468,350313,0
1995-02-24,13.468,13.468,13.153,13.2,711170,0
1995-02-27,13.2,13.243,13.02,13.065,603008,0
1995-02-28,13.109,13.2,13.02,13.109,915390,0
1995-03-01,13.2,13.332,13.065,13.332,1092458,0
1995-03-02,13.288,13.288,13.02,13.065,583254,0
1995-03-03,13.02,13.109,13.02,13.109,258977,0
1995-03-06,13.065,13.153,13.02,13.065,208933,0
1995-03-07,13.065,13.065,12.752,12.843,566427,0
1995-03-08,12.843,12.932,12.752,12.843,245290,0
1995-03-09,12.752,12.886,12.664,12.664,1167184,0
1995-03-10,12.752,12.886,12.708,12.752,758756,0
1995-03-13,12.752,12.843,12.708,12.752,636890,0
1995-03-14,12.843,12.886,12.531,12.576,1331232,0
1995-03-15,12.62,12.64,12.531,12.576,804533,0
1995-03-16,12.576,12.843,12.576,12.843,1075398,0
1995-03-17,12.843,12.843,12.664,12.752,1101433,0
