Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.2268,4.3144,4.2268,4.3144,254512,0
1995-01-04,4.3144,4.373,4.3144,4.3434,523818,0
1995-01-05,4.3434,4.4018,4.3434,4.373,232595,0
1995-01-06,4.3434,4.373,4.3434,4.3434,223827,0
1995-01-09,4.3434,4.373,4.1465,4.373,198351,0
1995-01-10,4.3434,4.373,4.3434,4.373,348481,0
1995-01-11,4.373,4.373,4.3434,4.373,410396,0
1995-01-12,4.373,4.373,4.3434,4.373,218348,0
1995-01-13,4.373,4.373,4.3434,4.373,225200,0
1995-01-16,4.4018,4.475,4.373,4.475,905998,0
1995-01-17,4.475,4.5042,4.475,4.5042,253966,0
1995-01-18,4.475,4.5042,4.4533,4.4533,1067092,0
1995-01-19,4.4533,4.4533,4.424,4.424,459437,0
1995-01-20,4.424,4.4533,4.4018,4.4533,398888,0
1995-01-23,4.4533,4.4533,4.424,4.4533,1537761,0
1995-01-24,4.4533,4.5042,4.424,4.5042,236155,0
1995-01-25,4.5042,4.5335,4.4533,4.475,307385,0
1995-01-26,4.4533,4.475,4.424,4.424,365467,0
1995-01-27,4.4533,4.5042,4.424,4.4533,629841,0
1995-01-30,4.475,4.5335,4.4533,4.5042,612583,0
1995-01-31,4.5335,4.6209,4.5335,4.5335,575869,0
1995-02-01,4.5919,4.6209,4.5919,4.6209,208487,0
1995-02-02,4.5919,4.6209,4.5627,4.5919,212045,0
1995-02-03,4.5919,4.6209,4.5627,4.5919,485189,0
1995-02-06,4.5919,4.6209,4.5627,4.5627,332867,0
1995-02-07,4.5919,4.5919,4.5627,4.5627,143010,0
1995-02-08,4.5919,4.5919,4.5335,4.5627,482450,0
1995-02-09,4.5335,4.5627,4.5042,4.5335,189035,0
1995-02-10,4.5042,4.5042,4.4533,4.475,326840,0
1995-02-13,4.5042,4.5335,4.475,4.5042,128491,0
1995-02-14,4.5042,4.5627,4.5042,4.5042,221088,0
1995-02-15,4.5335,4.5627,4.5042,4.5335,273966,0
1995-02-16,4.5335,4.5627,4.5042,4.5042,213692,0
1995-02-17,4.475,4.5042,4.4533,4.5042,167120,0
1995-02-21,4.5042,4.5627,4.5042,4.5627,272317,0
1995-02-22,4.5627,4.5627,4.5335,4.5335,218897,0
1995-02-23,4.5335,4.5919,4.5335,4.5627,550392,0
1995-02-24,4.5627,4.5627,4.5335,4.5335,221088,0
1995-02-27,4.5627,4.5627,4.5335,4.5627,187939,0
1995-02-28,4.5627,4.5919,4.5335,4.5919,993664,0
1995-03-01,4.5919,4.5919,4.5335,4.5627,257251,0
1995-03-02,4.5335,4.5627,4.5335,4.5335,181911,0
1995-03-03,4.5335,4.5335,4.5042,4.5335,744082,0
1995-03-06,4.5115,4.5115,4.3802,4.4312,2697442,0
1995-03-07,4.4312,4.4604,4.4312,4.4604,2163491,0
1995-03-08,4.4604,4.5115,4.4604,4.4896,512311,0
1995-03-09,4.5115,4.541,4.4896,4.5115,167120,0
1995-03-10,4.5115,4.541,4.4896,4.4896,615048,0
1995-03-13,4.5115,4.5115,4.4896,4.4896,183007,0
1995-03-14,4.4896,4.541,4.4604,4.4896,875311,0
1995-03-15,4.4896,4.5115,4.4604,4.4604,448750,0
1995-03-16,4.4604,4.4896,4.4604,4.4604,333414,0
1995-03-17,4.4604,4.4896,4.4312,4.4312,518337,0
1995-03-20,4.4312,4.4604,4.4018,4.4018,529026,0
1995-03-21,4.4312,4.4312,4.3802,4.4018,700522,0
1995-03-22,4.3802,4.4018,4.3802,4.4018,346291,0
1995-03-23,4.3802,4.4018,4.3802,4.4018,333689,0
1995-03-24,4.3802,4.4018,4.3217,4.4018,688747,0
1995-03-27,4.3802,4.4018,4.3802,4.4018,226020,0
1995-03-28,4.4018,4.4018,4.3802,4.3802,492585,0
1995-03-29,4.3802,4.4018,4.3802,4.3802,1209000,0
1995-03-30,4.4018,4.4312,4.3507,4.4312,662169,0
1995-03-31,4.4312,4.4312,4.3802,4.4312,527107,0
1995-04-03,4.4312,4.4312,4.3802,4.3802,638334,0
1995-04-04,4.4018,4.4604,4.3802,4.4018,569023,0
1995-04-05,4.4312,4.4604,4.4018,4.4312,745729,0
1995-04-06,4.4312,4.4896,4.4312,4.4604,299442,0
1995-04-07,4.4604,4.4896,4.4312,4.4896,536419,0
1995-04-10,4.4312,4.4896,4.4018,4.4604,263282,0
1995-04-11,4.4312,4.4604,4.4018,4.4604,426287,0
1995-04-12,4.4312,4.4604,4.4312,4.4312,233690,0
1995-04-13,4.4604,4.4604,4.3802,4.3802,306018,0
1995-04-17,4.3802,4.3802,4.2632,4.2925,999966,0
1995-04-18,4.2632,4.2925,4.205,4.2341,700522,0
1995-04-19,4.205,4.2341,4.1757,4.1757,660254,0
1995-04-20,4.1757,4.205,4.1465,4.1757,807369,0
1995-04-21,4.1465,4.1757,4.1173,4.1465,804358,0
1995-04-24,4.1173,4.1465,4.1173,4.1465,851756,0
1995-04-25,4.1173,4.1757,4.1173,4.1757,407934,0
1995-04-26,4.1465,4.205,4.1465,4.205,428477,0
1995-04-27,4.1757,4.2341,4.1757,4.1757,529026,0
1995-04-28,4.1757,4.205,4.1173,4.1465,818602,0
1995-05-01,4.1173,4.1173,4.0662,4.0956,471493,0
1995-05-02,4.0662,4.1173,4.0662,4.1173,679429,0
1995-05-03,4.1173,4.1173,4.0956,4.1173,543814,0
1995-05-04,4.0956,4.1465,4.0956,4.0956,661071,0
1995-05-05,4.1173,4.1173,4.0956,4.1173,582170,0
1995-05-08,4.0956,4.1173,4.0956,4.1173,508203,0
1995-05-09,4.1173,4.1465,4.0956,4.0956,574501,0
1995-05-10,4.0956,4.1173,4.0662,4.0956,529845,0
1995-05-11,4.0956,4.1173,4.0662,4.0662,633132,0
1995-05-12,4.0662,4.0956,4.0372,4.0956,735863,0
1995-05-15,4.0956,4.1173,4.0662,4.1173,655319,0
1995-05-16,4.0956,4.1465,4.0956,4.1173,975036,0
1995-05-17,4.1173,4.1465,4.0956,4.1173,696416,0
1995-05-18,4.0956,4.1173,4.0662,4.0956,926546,0
1995-05-19,4.1173,4.1173,4.0956,4.1173,608474,0
1995-05-22,4.1173,4.1465,4.0956,4.0956,737234,0
1995-05-23,4.1465,4.1465,4.1173,4.1173,499985,0
1995-05-24,4.1465,4.1757,4.1173,4.1465,363005,0
1995-05-25,4.1757,4.2925,4.1757,4.2632,778604,0
1995-05-26,4.2341,4.3217,4.2341,4.2925,395332,0
1995-05-30,4.2925,4.3507,4.2925,4.3217,447931,0
1995-05-31,4.3217,4.3802,4.3217,4.3507,333414,0
1995-06-01,4.3802,4.4018,4.3507,4.3802,303551,0
1995-06-02,4.4018,4.4604,4.4018,4.4312,718335,0
1995-06-05,4.4604,4.4896,4.4312,4.4604,902709,0
1995-06-06,4.4676,4.4969,4.3507,4.3802,731752,0
1995-06-07,4.3802,4.4092,4.2632,4.2632,2092804,0
1995-06-08,4.2925,4.3217,4.2632,4.2925,2181845,0
1995-06-09,4.2925,4.3217,4.205,4.2632,556967,0
1995-06-12,4.2632,4.3217,4.2632,4.2632,390946,0
1995-06-13,4.2925,4.2925,4.2632,4.2925,447931,0
1995-06-14,4.2925,4.3507,4.2925,4.3217,733125,0
1995-06-15,4.3217,4.3802,4.3217,4.3217,644364,0
1995-06-16,4.3507,4.3507,4.3217,4.3217,990378,0
1995-06-19,4.3217,4.3802,4.3217,4.3802,512583,0
1995-06-20,4.3507,4.3802,4.3507,4.3507,720523,0
1995-06-21,4.3507,4.4384,4.3507,4.4092,502999,0
1995-06-22,4.4092,4.4676,4.4092,4.4676,639434,0
1995-06-23,4.4384,4.4676,4.4092,4.4092,542721,0
1995-06-26,4.4092,4.4384,4.3802,4.3802,907093,0
1995-06-27,4.3802,4.4676,4.3802,4.4092,610667,0
1995-06-28,4.4092,4.4676,4.4092,4.4384,388208,0
1995-06-29,4.4676,4.4969,4.4676,4.4676,297525,0
1995-06-30,4.4676,4.4969,4.4676,4.4969,222733,0
1995-07-03,4.4676,4.4969,4.4676,4.4969,189035,0
1995-07-05,4.4676,4.4969,4.4676,4.4676,601625,0
1995-07-06,4.4676,4.4969,4.4384,4.4969,915586,0
1995-07-07,4.4969,4.4969,4.4384,4.4384,944626,0
1995-07-10,4.4384,4.4969,4.4384,4.4676,644632,0
1995-07-11,4.4384,4.4969,4.4384,4.4676,357798,0
1995-07-12,4.4676,4.4969,4.4384,4.4676,886821,0
1995-07-13,4.4676,4.4969,4.4676,4.4676,302729,0
1995-07-14,4.4676,4.4969,4.4384,4.4676,255062,0
1995-07-17,4.4676,4.4969,4.4676,4.4676,456696,0
1995-07-18,4.4676,4.4969,4.4676,4.4676,415330,0
1995-07-19,4.4969,4.4969,4.4384,4.4384,1073937,0
1995-07-20,4.4384,4.4676,4.4092,4.4092,305467,0
1995-07-21,4.4092,4.4676,4.4092,4.4384,282729,0
1995-07-24,4.4384,4.4969,4.4384,4.4969,366837,0
1995-07-25,4.5262,4.5262,4.4969,4.4969,255335,0
1995-07-26,4.5262,4.5553,4.5262,4.5262,559706,0
1995-07-27,4.5262,4.5553,4.4969,4.5262,572035,0
1995-07-28,4.5262,4.5262,4.4969,4.4969,392041,0
1995-07-31,4.4969,4.5262,4.4384,4.4384,1658573,0
1995-08-01,4.4092,4.4092,4.3507,4.3507,456424,0
1995-08-02,4.3507,4.3802,4.3507,4.3802,636965,0
1995-08-03,4.3507,4.3507,4.2925,4.3507,584090,0
1995-08-04,4.3507,4.3507,4.2925,4.3217,869834,0
1995-08-07,4.3217,4.3507,4.2925,4.3217,679156,0
1995-08-08,4.3507,4.4092,4.3217,4.3802,633132,0
1995-08-09,4.3802,4.4092,4.3507,4.3802,386286,0
1995-08-10,4.3802,4.4092,4.3507,4.3802,372861,0
1995-08-11,4.3802,4.4092,4.3507,4.3507,312321,0
1995-08-14,5.1322,5.1612,4.9568,4.9568,6956207,0
1995-08-15,4.9568,4.986,4.8985,4.8985,1801307,0
1995-08-16,4.8985,5.0226,4.8692,4.986,1527073,0
1995-08-17,4.986,5.0226,4.9568,4.9568,570666,0
1995-08-18,4.9568,5.0519,4.9568,5.0226,985444,0
1995-08-21,5.0226,5.0519,4.986,4.986,513683,0
1995-08-22,4.9568,5.0226,4.9568,4.986,495874,0
1995-08-23,4.986,5.0735,4.986,5.0519,732031,0
1995-08-24,5.0519,5.0735,5.0519,5.0735,804631,0
1995-08-25,5.0519,5.1029,5.0226,5.1029,1064624,0
1995-08-28,5.0735,5.0735,5.0519,5.0519,600800,0
1995-08-29,5.0519,5.0735,5.0226,5.0519,732306,0
1995-08-30,5.0226,5.0519,5.0226,5.0226,601350,0
1995-08-31,5.0226,5.0519,5.0226,5.0519,834764,0
1995-09-01,5.0519,5.1029,5.0519,5.1029,856957,0
1995-09-05,5.1029,5.1029,5.0735,5.0735,732031,0
1995-09-06,4.9933,5.1395,4.9933,5.11,3314412,0
1995-09-07,5.11,5.1395,5.081,5.081,1707069,0
1995-09-08,5.11,5.1395,5.081,5.1395,747097,0
1995-09-11,5.11,5.1687,5.11,5.1395,691484,0
1995-09-12,5.1687,5.1687,5.11,5.1395,545734,0
1995-09-13,5.1395,5.1687,5.1395,5.1687,341634,0
1995-09-14,5.1395,5.2343,5.11,5.1978,1405706,0
1995-09-15,5.1687,5.1978,5.1687,5.1687,1176945,0
1995-09-18,5.1395,5.1978,5.11,5.1687,1052842,0
