Date,Open,High,Low,Close,Volume,OpenInt
2001-12-13,23.566,24.287,23.483,23.72,60266195,0
2001-12-14,24.215,24.369,23.901,24.033,11788981,0
2001-12-17,24.247,24.247,23.803,23.845,6226794,0
2001-12-18,23.886,24.247,23.795,24.247,6295995,0
2001-12-19,24.17,24.443,23.983,24.409,4499560,0
2001-12-20,24.493,25.085,24.387,24.427,4768811,0
2001-12-21,24.616,25.091,24.493,25.091,4177795,0
2001-12-24,24.894,25.493,24.894,25.462,1190195,0
2001-12-26,25.502,26.51,25.502,26.07,2992597,0
2001-12-27,26.07,26.693,25.519,26.603,5418549,0
2001-12-28,26.609,26.799,26.378,26.669,5086308,0
2001-12-31,26.808,27.316,26.494,26.873,6740809,0
