Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.9024,7.9454,7.7048,7.851,582401,0
1995-01-04,7.851,7.9024,7.7048,7.7995,339809,0
1995-01-05,7.7995,7.9971,7.7563,7.9971,590305,0
1995-01-06,7.9454,8.195,7.9454,8.1431,1639274,0
1995-01-09,8.1431,8.4268,8.1431,8.3409,563091,0
1995-01-10,8.3409,8.4268,8.0487,8.0487,607754,0
1995-01-11,8.1431,8.1431,7.851,7.9971,416332,0
1995-01-12,7.9024,8.0487,7.9024,7.9454,326319,0
1995-01-13,7.9454,7.9971,7.851,7.9971,796843,0
1995-01-16,7.9971,8.195,7.9971,8.0919,754281,0
1995-01-17,8.1431,8.2379,8.0919,8.2379,563559,0
1995-01-18,8.195,8.2809,8.1431,8.195,346086,0
1995-01-19,8.2379,8.3409,7.9971,8.195,1376915,0
1995-01-20,8.2809,8.2809,8.0919,8.2379,892670,0
1995-01-23,8.0919,8.195,7.9971,8.0487,657754,0
1995-01-24,8.0487,8.1431,7.851,7.9454,545418,0
1995-01-25,7.9971,7.9971,7.6532,7.851,633334,0
1995-01-26,7.7995,7.9024,7.7995,7.9024,607987,0
1995-01-27,7.9971,8.1431,7.851,7.851,947096,0
1995-01-30,7.851,7.9971,7.7048,7.7048,876853,0
1995-01-31,7.7048,7.7995,7.6532,7.7995,1170380,0
1995-02-01,7.7995,7.9024,7.7563,7.7995,581932,0
1995-02-02,7.9024,7.9454,7.7995,7.7995,549605,0
1995-02-03,7.9024,7.9971,7.851,7.9024,361213,0
1995-02-06,7.9024,8.0487,7.851,7.851,518208,0
1995-02-07,7.9971,8.195,7.9454,8.195,1227593,0
1995-02-08,8.2809,8.3839,8.195,8.2809,1128047,0
1995-02-09,8.195,8.2379,8.0919,8.0919,708698,0
1995-02-10,8.195,8.195,7.9454,7.9971,2122589,0
1995-02-13,8.0487,8.195,8.0487,8.1431,976168,0
1995-02-14,8.195,8.3409,8.1431,8.2809,784283,0
1995-02-15,8.2809,8.4869,8.2379,8.4268,1283415,0
1995-02-16,8.4268,8.4268,8.195,8.2809,979657,0
1995-02-17,8.3409,8.573,8.2379,8.2809,1071762,0
1995-02-21,8.2809,8.5302,8.2809,8.4869,597978,0
1995-02-22,8.5302,8.6762,8.4268,8.6248,746839,0
1995-02-23,8.6248,8.6762,8.4869,8.6248,450986,0
1995-02-24,8.6762,8.6762,8.4268,8.5302,429125,0
1995-02-27,8.5302,8.6248,8.4869,8.573,644499,0
1995-02-28,8.6248,8.7704,8.573,8.7704,652873,0
1995-03-01,8.7023,9.0889,8.7023,9.0461,2441697,0
1995-03-02,8.9432,8.9432,8.7023,8.7023,1554613,0
1995-03-03,8.7023,8.7539,8.5645,8.6076,923371,0
1995-03-06,8.5645,8.5645,8.3152,8.3668,1174328,0
1995-03-07,8.3668,8.4614,8.2722,8.3152,1197593,0
1995-03-08,7.9282,7.9799,7.7304,7.8766,3669759,0
1995-03-09,7.8766,8.0228,7.7304,7.7304,2068630,0
1995-03-10,7.7304,7.8337,7.6876,7.8337,3164116,0
1995-03-13,7.7822,7.8337,7.6876,7.7304,1453670,0
1995-03-14,7.7822,8.1262,7.7822,8.1262,1711611,0
1995-03-15,8.2722,8.3152,8.1691,8.2722,1282951,0
1995-03-16,8.2722,8.2722,8.1691,8.2207,806616,0
1995-03-17,8.2207,8.4183,8.1691,8.3668,1515070,0
1995-03-20,8.3152,8.5131,8.3152,8.5131,1077344,0
1995-03-21,8.5645,8.7023,8.5131,8.6505,1335283,0
1995-03-22,8.6505,8.7957,8.5645,8.6076,1754871,0
1995-03-23,8.6505,8.7279,8.5645,8.6505,1025942,0
1995-03-24,8.6076,8.6505,8.5645,8.6076,1015940,0
1995-03-27,8.7023,8.8485,8.6505,8.7957,1392265,0
1995-03-28,8.8485,8.8485,8.7023,8.7539,938723,0
1995-03-29,8.7539,8.8751,8.7023,8.7957,2457516,0
1995-03-30,8.9001,8.9432,8.7023,8.9432,1459947,0
1995-03-31,8.9432,9.1415,8.8485,9.0461,1097579,0
1995-04-03,8.9432,9.0461,8.7539,8.7539,1196659,0
1995-04-04,8.7957,9.0889,8.7957,9.0461,928255,0
1995-04-05,8.9946,9.1415,8.9432,9.1415,924999,0
1995-04-06,9.0889,9.1915,9.0461,9.0461,994309,0
1995-04-07,9.0461,9.0889,8.9432,8.9946,615193,0
1995-04-10,8.9432,9.0461,8.9001,8.9001,325622,0
1995-04-11,8.9432,8.9946,8.9001,8.9001,376562,0
1995-04-12,8.9432,8.9946,8.8485,8.9001,476571,0
1995-04-13,8.9432,9.0461,8.9001,8.9432,1204104,0
1995-04-17,8.9946,9.0461,8.9001,8.9946,952443,0
1995-04-18,8.9432,8.9946,8.7957,8.9001,999892,0
1995-04-19,8.9432,9.0461,8.8485,8.9432,1266670,0
1995-04-20,8.9432,9.3381,8.9432,9.2884,1569499,0
1995-04-21,9.3813,9.4341,9.0461,9.0889,904068,0
1995-04-24,9.0889,9.3381,9.0461,9.3381,1171310,0
1995-04-25,9.3381,9.4858,9.2884,9.4341,870575,0
1995-04-26,9.4341,9.578,9.4341,9.536,831731,0
1995-04-27,9.4341,9.4341,9.2357,9.2357,790332,0
1995-04-28,9.1915,9.2357,8.9946,9.2357,943139,0
1995-05-01,9.1915,9.2357,9.0461,9.1915,454473,0
1995-05-02,9.1415,9.1915,9.0461,9.1415,680087,0
1995-05-03,9.1415,9.1415,8.9946,9.0889,624264,0
1995-05-04,9.1415,9.3813,9.1415,9.2884,893366,0
1995-05-05,9.3381,9.3813,9.0889,9.0889,559835,0
1995-05-08,8.9946,9.0889,8.9001,9.0461,780797,0
1995-05-09,9.0889,9.0889,9.0461,9.0889,551927,0
1995-05-10,9.0461,9.1415,8.9432,8.9946,651479,0
1995-05-11,9.1915,9.4341,9.1415,9.4341,1244341,0
1995-05-12,9.3381,9.536,9.2884,9.536,626124,0
1995-05-15,9.4858,9.578,9.4341,9.4858,356790,0
1995-05-16,9.4858,9.723,9.4858,9.723,788239,0
1995-05-17,9.683,9.723,9.536,9.578,1169681,0
1995-05-18,9.536,9.63,9.3813,9.578,1122929,0
1995-05-19,9.4858,9.578,9.4341,9.4858,555186,0
1995-05-22,9.4341,9.63,9.4341,9.578,286780,0
