Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,15.602,15.954,15.42,15.954,156228,0
1995-01-04,16.129,16.311,16.129,16.213,176002,0
1995-01-05,16.213,16.311,16.129,16.129,242258,0
1995-01-06,16.129,16.394,16.129,16.129,46601,0
1995-01-09,16.129,16.394,16.129,16.213,175767,0
1995-01-10,16.213,16.213,15.954,15.954,265040,0
1995-01-11,16.042,16.042,15.602,15.602,223526,0
1995-01-12,15.686,15.686,15.247,15.42,261917,0
1995-01-13,15.505,15.505,15.247,15.42,273482,0
1995-01-16,15.602,16.129,15.505,16.129,221673,0
1995-01-17,16.129,16.311,16.042,16.311,122807,0
1995-01-18,16.311,16.311,16.213,16.213,89041,0
1995-01-19,16.129,16.665,16.129,16.57,235666,0
1995-01-20,16.482,16.482,15.954,15.954,261917,0
1995-01-23,15.602,15.773,15.602,15.686,199593,0
1995-01-24,15.686,15.686,15.42,15.42,269896,0
1995-01-25,15.333,15.602,15.15,15.505,349453,0
1995-01-26,15.602,15.686,15.505,15.505,80367,0
1995-01-27,15.505,15.602,15.42,15.602,244342,0
1995-01-30,15.773,15.773,15.42,15.42,150558,0
1995-01-31,15.42,15.42,15.203,15.247,542799,0
1995-02-01,15.333,15.333,15.064,15.064,405881,0
1995-02-02,15.247,15.247,15.064,15.15,365641,0
1995-02-03,15.333,15.42,15.15,15.247,827499,0
1995-02-06,15.333,15.333,14.978,15.064,447399,0
1995-02-07,15.064,15.505,15.064,15.333,534704,0
1995-02-08,15.064,15.15,14.978,14.978,385764,0
1995-02-09,15.064,15.247,14.891,15.247,631144,0
1995-02-10,15.333,15.686,15.15,15.686,475960,0
1995-02-13,15.686,16.042,15.686,15.954,103495,0
1995-02-14,15.861,15.954,15.773,15.773,55623,0
1995-02-15,15.861,16.311,15.773,16.129,119916,0
1995-02-16,16.213,16.311,16.129,16.213,126274,0
1995-02-17,16.213,16.213,16.129,16.129,147440,0
1995-02-21,16.213,16.394,16.213,16.213,143737,0
1995-02-22,16.311,16.394,16.129,16.311,129860,0
1995-02-23,16.482,16.57,16.042,16.129,305629,0
1995-02-24,16.213,16.394,16.042,16.394,109047,0
1995-02-27,16.412,16.412,16.231,16.329,81986,0
1995-02-28,16.412,16.597,16.412,16.597,138994,0
1995-03-01,16.597,16.597,16.412,16.412,97021,0
1995-03-02,16.412,16.681,16.329,16.681,434101,0
1995-03-03,16.681,16.681,16.146,16.412,166745,0
1995-03-06,16.412,16.864,16.412,16.681,214968,0
1995-03-07,16.597,16.597,15.877,16.146,174727,0
1995-03-08,16.231,16.231,16.146,16.146,115637,0
1995-03-09,16.146,16.146,16.06,16.06,91121,0
1995-03-10,16.329,16.412,16.146,16.146,154027,0
1995-03-13,16.231,16.329,16.06,16.231,151714,0
1995-03-14,16.329,16.5,16.329,16.329,103728,0
1995-03-15,16.329,16.329,16.06,16.146,80251,0
1995-03-16,16.06,16.146,15.963,16.06,100834,0
1995-03-17,16.06,16.06,15.877,15.877,230927,0
1995-03-20,15.963,16.06,15.704,15.877,380445,0
1995-03-21,15.877,16.146,15.877,16.146,130556,0
1995-03-22,16.146,16.329,16.146,16.231,126043,0
1995-03-23,16.231,16.231,16.146,16.231,132059,0
1995-03-24,16.231,16.412,16.146,16.412,87885,0
1995-03-27,16.329,16.412,16.231,16.329,166976,0
1995-03-28,16.329,16.5,16.329,16.5,125352,0
1995-03-29,16.5,17.927,16.5,17.218,381021,0
1995-03-30,17.302,17.391,17.218,17.218,254979,0
1995-03-31,17.132,17.132,16.864,17.132,274870,0
1995-04-03,17.038,17.218,17.038,17.132,513195,0
1995-04-04,17.132,17.218,17.038,17.132,121418,0
1995-04-05,16.95,17.132,16.95,17.132,67648,0
1995-04-06,17.132,17.302,17.038,17.302,287705,0
1995-04-07,17.302,17.485,17.218,17.485,263075,0
1995-04-10,17.485,17.485,17.391,17.485,149288,0
1995-04-11,17.572,17.755,17.572,17.66,154955,0
1995-04-12,17.66,17.66,17.572,17.66,146859,0
1995-04-13,17.755,17.755,17.66,17.755,92393,0
1995-04-17,17.84,17.84,17.572,17.755,250121,0
1995-04-18,17.755,17.84,17.66,17.84,124775,0
1995-04-19,17.84,18.023,17.66,18.023,300542,0
1995-04-20,17.84,17.84,17.572,17.572,202132,0
1995-04-21,17.66,17.66,17.038,17.132,358821,0
1995-04-24,17.132,17.132,16.95,17.038,333035,0
1995-04-25,17.132,17.132,17.038,17.132,109624,0
1995-04-26,17.132,17.132,16.864,17.038,92623,0
1995-04-27,17.038,17.038,16.95,17.038,49953,0
1995-04-28,17.038,17.038,16.681,16.681,268624,0
1995-05-01,16.768,16.768,16.597,16.681,220981,0
1995-05-02,16.597,16.681,16.597,16.597,301695,0
1995-05-03,16.768,17.218,16.681,16.681,172180,0
1995-05-04,16.768,16.768,16.597,16.597,577603,0
1995-05-05,16.681,16.681,16.5,16.597,312680,0
1995-05-08,16.597,16.768,16.5,16.5,245263,0
1995-05-09,16.5,16.95,16.5,16.864,100951,0
1995-05-10,16.864,17.485,16.768,17.302,180857,0
1995-05-11,17.302,17.485,17.302,17.391,153684,0
1995-05-12,17.391,17.572,17.302,17.572,62906,0
1995-05-15,17.572,18.107,17.572,17.927,346910,0
1995-05-16,18.023,18.107,17.927,18.107,125463,0
1995-05-17,18.196,18.289,18.107,18.107,183052,0
1995-05-18,18.107,18.196,18.023,18.107,120032,0
1995-05-19,18.107,18.107,17.927,18.023,227456,0
1995-05-22,17.944,18.125,17.675,17.675,257871,0
1995-05-23,17.944,17.944,17.589,17.77,231970,0
1995-05-24,18.041,18.041,17.589,17.77,125003,0
1995-05-25,17.77,17.77,17.589,17.77,289089,0
1995-05-26,17.675,17.675,17.503,17.675,440693,0
1995-05-30,17.675,17.675,17.589,17.675,119105,0
1995-05-31,17.589,18.221,17.589,18.221,91238,0
1995-06-01,18.221,18.394,18.041,18.221,111471,0
1995-06-02,18.041,18.041,17.857,17.944,117140,0
1995-06-05,17.944,18.221,17.857,18.041,106271,0
1995-06-06,17.944,17.944,17.77,17.857,428320,0
1995-06-07,17.944,17.944,17.675,17.77,215318,0
1995-06-08,17.857,17.857,17.503,17.589,421844,0
1995-06-09,17.589,17.589,17.408,17.589,191726,0
1995-06-12,17.675,17.77,17.503,17.589,127895,0
1995-06-13,17.589,17.589,17.14,17.227,316380,0
1995-06-14,17.227,17.321,16.786,17.321,516779,0
1995-06-15,17.321,17.408,17.227,17.408,174843,0
1995-06-16,17.503,17.503,17.14,17.227,366337,0
1995-06-19,17.227,17.408,17.14,17.321,211730,0
1995-06-20,17.321,17.321,17.227,17.321,140730,0
1995-06-21,17.227,17.321,16.958,16.958,226993,0
1995-06-22,16.958,17.14,16.958,17.14,443231,0
1995-06-23,17.14,17.227,16.958,17.14,434216,0
1995-06-26,17.14,17.14,17.053,17.14,107426,0
1995-06-27,17.14,17.227,17.053,17.227,165823,0
1995-06-28,17.053,17.14,17.053,17.053,201787,0
1995-06-29,17.14,17.14,16.958,16.958,501167,0
1995-06-30,17.053,17.227,16.958,17.14,185826,0
1995-07-03,17.14,17.14,17.053,17.053,51690,0
1995-07-05,17.14,17.408,17.053,17.408,237979,0
1995-07-06,17.227,17.321,17.053,17.321,450170,0
1995-07-07,17.321,17.857,17.321,17.77,349570,0
1995-07-10,17.857,18.041,17.857,18.041,286314,0
1995-07-11,18.125,18.221,18.041,18.125,278107,0
1995-07-12,18.125,18.307,18.125,18.307,269662,0
1995-07-13,18.307,18.307,18.125,18.221,173919,0
1995-07-14,18.125,18.125,17.77,18.041,170101,0
1995-07-17,18.125,18.488,18.041,18.488,197739,0
1995-07-18,18.307,18.307,17.77,17.77,345521,0
1995-07-19,17.77,17.857,17.408,17.589,203173,0
1995-07-20,17.77,17.77,17.503,17.589,309675,0
1995-07-21,17.77,18.041,17.77,17.857,117719,0
1995-07-24,17.857,17.857,17.408,17.408,568932,0
1995-07-25,17.227,17.227,17.14,17.227,670809,0
1995-07-26,17.227,17.227,17.053,17.053,422653,0
1995-07-27,17.14,17.321,17.053,17.321,249774,0
1995-07-28,17.321,17.408,17.14,17.14,152526,0
1995-07-31,17.053,17.944,17.053,17.857,193692,0
1995-08-01,17.77,17.857,17.14,17.321,292675,0
1995-08-02,17.408,17.503,17.321,17.321,151714,0
1995-08-03,17.227,17.503,17.053,17.408,158304,0
1995-08-04,17.503,17.589,17.503,17.503,83838,0
1995-08-07,17.589,17.589,17.053,17.14,292331,0
1995-08-08,17.14,17.408,17.053,17.408,492495,0
1995-08-09,17.503,17.503,17.321,17.408,150442,0
1995-08-10,17.408,17.589,17.321,17.408,113783,0
1995-08-11,17.408,17.77,17.408,17.77,171835,0
1995-08-14,17.675,18.307,17.675,18.041,282036,0
