Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.36,2.36,2.1469,2.36,22820,0
1995-01-04,2.2107,2.3668,2.2107,2.26,38451,0
1995-01-05,2.36,2.4583,2.2535,2.36,119959,0
1995-01-06,2.3608,2.41,2.3608,2.41,31474,0
1995-01-09,2.41,2.41,2.41,2.41,122,0
1995-01-10,2.3675,2.3675,2.2607,2.31,23477,0
1995-01-11,2.41,2.41,2.3608,2.41,20373,0
1995-01-12,2.4092,2.4092,2.36,2.36,41858,0
1995-01-13,2.41,2.5084,2.41,2.41,27448,0
1995-01-16,2.4108,2.46,2.3616,2.46,20244,0
1995-01-17,2.3616,2.46,2.3616,2.46,29146,0
1995-01-18,2.3616,2.46,2.3042,2.46,25122,0
1995-01-19,2.4092,2.5075,2.36,2.36,76637,0
1995-01-20,2.4169,2.4169,2.31,2.31,10461,0
1995-01-23,2.4662,2.4662,2.31,2.31,852,0
1995-01-24,2.3034,2.4592,2.3034,2.41,31596,0
1995-01-25,2.3608,2.41,2.3608,2.41,8173,0
1995-01-26,2.4583,2.4583,2.36,2.36,14278,0
1995-01-27,2.36,2.36,2.36,2.36,5736,0
1995-01-30,2.36,2.36,2.36,2.36,10983,0
1995-01-31,2.4583,2.4583,2.36,2.36,15376,0
1995-02-01,2.4583,2.4583,2.36,2.36,1953,0
1995-02-02,2.36,2.36,2.36,2.36,1831,0
1995-02-03,2.46,2.46,2.46,2.46,36585,0
1995-02-07,2.3616,2.5092,2.3616,2.46,59512,0
1995-02-08,2.4592,2.4592,2.41,2.41,2806,0
1995-02-09,2.5084,2.5084,2.41,2.41,4270,0
1995-02-10,2.4108,2.46,2.4108,2.46,12439,0
1995-02-13,2.3608,2.41,2.3608,2.41,5856,0
1995-02-14,2.36,2.36,2.36,2.36,19647,0
1995-02-15,2.3668,2.4161,2.26,2.26,17644,0
1995-02-16,2.2607,2.31,2.2607,2.31,4866,0
1995-02-17,2.3661,2.3661,2.21,2.21,4138,0
1995-02-21,2.2107,2.3668,2.2107,2.26,29569,0
1995-02-22,2.26,2.26,2.26,2.26,17765,0
1995-02-23,2.2107,2.26,2.1532,2.26,20564,0
1995-02-24,2.1032,2.2593,2.1032,2.21,48566,0
1995-02-27,2.26,2.26,2.1532,2.26,56947,0
1995-02-28,2.1,2.2066,2.1,2.1,13897,0
1995-03-01,2.1,2.2066,2.0508,2.1,11337,0
1995-03-02,2.1484,2.1484,2.05,2.05,23415,0
1995-03-03,2.15,2.15,2.0515,2.15,143673,0
1995-03-06,2.15,2.15,2.0515,2.15,56543,0
1995-03-07,2.2567,2.3634,2.15,2.15,75188,0
1995-03-08,2.2107,2.26,2.1532,2.26,24215,0
1995-03-09,2.1538,2.31,2.1538,2.31,15327,0
1995-03-10,2.31,2.31,2.1538,2.31,21531,0
1995-03-13,2.36,2.36,2.3026,2.36,15742,0
1995-03-14,2.41,2.41,2.2543,2.41,28302,0
1995-03-15,2.3026,2.4583,2.3026,2.36,66631,0
1995-03-16,2.46,2.46,2.3616,2.46,10244,0
1995-03-17,2.3608,2.4592,2.3608,2.41,61606,0
1995-03-20,2.3616,2.46,2.3616,2.46,12439,0
1995-03-21,2.36,2.4092,2.36,2.36,19037,0
1995-03-22,2.3608,2.41,2.3034,2.41,30254,0
1995-03-23,2.3026,2.4092,2.3026,2.36,7566,0
1995-03-24,2.41,2.41,2.3034,2.41,11345,0
1995-03-27,2.31,2.4169,2.31,2.31,9123,0
1995-03-28,2.3675,2.3675,2.31,2.31,26519,0
1995-03-29,2.3654,2.4146,2.3079,2.39,55521,0
1995-03-30,2.4092,2.4092,2.36,2.36,43688,0
1995-03-31,2.4161,2.4161,2.26,2.26,48794,0
1995-04-03,2.26,2.26,2.26,2.26,2434,0
1995-04-04,2.26,2.26,2.26,2.26,243,0
1995-04-05,2.26,2.3668,2.26,2.26,11560,0
1995-04-06,2.26,2.26,2.26,2.26,5476,0
1995-04-07,2.26,2.26,2.26,2.26,2434,0
1995-04-10,2.2607,2.31,2.2607,2.31,7299,0
1995-04-11,2.26,2.26,2.26,2.26,3650,0
1995-04-12,2.26,2.26,2.2107,2.26,23119,0
1995-04-13,2.21,2.2593,2.21,2.21,21666,0
1995-04-17,2.2107,2.26,2.2107,2.26,26892,0
1995-04-18,2.2066,2.2559,2.1,2.1,17189,0
1995-04-19,2.1008,2.15,2.1008,2.15,12186,0
1995-04-20,2.1008,2.2567,2.1008,2.15,5484,0
1995-04-21,2.1,2.2559,2.1,2.1,10362,0
1995-04-24,2.1008,2.2074,2.1008,2.15,22300,0
1995-04-25,2.0992,2.2058,2.05,2.05,47195,0
1995-04-26,2,2.0492,1.8934,2,72956,0
1995-04-27,1.95,2.0483,1.95,1.95,23922,0
1995-04-28,1.9523,2.1,1.9523,2.1,45349,0
1995-05-01,2.0492,2.0984,1.9508,2,37698,0
1995-05-02,1.95,2.0483,1.95,1.95,16721,0
1995-05-03,1.9516,2.05,1.9516,2.05,2805,0
1995-05-04,1.9516,2.05,1.9516,2.05,4878,0
1995-05-05,2.05,2.05,1.9516,2.05,14878,0
1995-05-08,2.006,2.1047,1.9813,2.08,38923,0
1995-05-09,2.05,2.0992,2.0008,2.05,54512,0
1995-05-10,2.0515,2.15,2.0515,2.15,20229,0
1995-05-11,2.0992,2.1484,2.05,2.05,9878,0
1995-05-12,2.1525,2.2593,2.1032,2.21,45645,0
1995-05-15,2.2066,2.2066,2.1,2.1,27916,0
1995-05-16,2.1032,2.21,2.1032,2.21,1826,0
1995-05-17,2.1492,2.1492,2.1,2.1,8046,0
1995-05-18,2.21,2.21,2.0786,2.21,39924,0
1995-05-19,2.1032,2.21,2.1032,2.21,7912,0
1995-05-22,2.1,2.2066,2.1,2.1,5120,0
1995-05-23,2.1,2.2066,2.1,2.1,20480,0
1995-05-24,2.1492,2.1492,2.0508,2.1,63147,0
1995-05-25,2.1,2.1,2.0508,2.1,97524,0
1995-05-26,2.0508,2.1,2.0508,2.1,19992,0
1995-05-30,2.1,2.1492,2.0508,2.1,21090,0
1995-05-31,2.1492,2.1492,2.1,2.1,33280,0
1995-06-01,2.1,2.2066,2.1,2.1,9752,0
1995-06-02,2.2074,2.2074,2.0515,2.15,14745,0
1995-06-05,2.1484,2.1484,2.05,2.05,18537,0
1995-06-06,2.0508,2.1,2.0508,2.1,13531,0
1995-06-07,2.05,2.1484,2.05,2.05,25366,0
1995-06-08,2.0761,2.15,2.0515,2.15,15476,0
1995-06-09,2.0508,2.1,2.0508,2.1,17432,0
1995-06-12,2.1492,2.1492,2.1,2.1,33158,0
1995-06-13,2.0992,2.1484,2.05,2.05,102073,0
1995-06-14,2.1032,2.21,2.1032,2.21,28848,0
1995-06-15,2.2593,2.4154,2.21,2.21,140829,0
1995-06-16,2.3042,2.46,2.255,2.46,166951,0
1995-06-19,2.5092,2.5092,2.4108,2.46,100610,0
1995-06-20,2.5084,2.5084,2.41,2.41,29522,0
1995-06-21,2.41,2.4346,2.3608,2.41,62582,0
1995-06-22,2.4092,2.4092,2.36,2.36,25383,0
1995-06-23,2.36,2.36,2.2535,2.36,48081,0
1995-06-26,2.2114,2.31,2.2114,2.31,39048,0
1995-06-27,2.2607,2.3675,2.2607,2.31,58268,0
1995-06-28,2.4108,2.5092,2.3616,2.46,80122,0
1995-06-29,2.5084,2.6641,2.41,2.41,103449,0
1995-06-30,2.4832,2.9175,2.4586,2.77,197309,0
1995-07-03,2.8683,2.9175,2.7126,2.77,21964,0
1995-07-05,2.7724,3.0758,2.7724,2.92,114237,0
1995-07-06,2.9192,2.9684,2.7716,2.87,89268,0
1995-07-07,2.8812,3.0376,2.8812,2.98,42031,0
1995-07-10,2.92,2.92,2.8216,2.92,49133,0
1995-07-11,2.8208,2.87,2.8208,2.87,97195,0
1995-07-12,2.8454,2.87,2.8208,2.87,62805,0
1995-07-13,2.82,2.8692,2.82,2.82,35864,0
1995-07-14,2.82,2.8692,2.82,2.82,37328,0
1995-07-17,2.8208,2.87,2.8208,2.87,64512,0
1995-07-18,2.87,2.87,2.8208,2.87,29756,0
