Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.5176,3.5352,3.4028,3.429,291249,0
1995-01-04,3.4465,3.4821,3.3848,3.4028,176514,0
1995-01-05,3.3848,3.3848,3.3496,3.3672,405307,0
1995-01-06,3.3496,3.3496,3.2432,3.261,708099,0
1995-01-09,3.261,3.261,3.1816,3.1816,130353,0
1995-01-10,3.1816,3.3496,3.1638,3.3143,619840,0
1995-01-11,3.3143,3.3672,3.3143,3.3672,185342,0
1995-01-12,3.3496,3.4642,3.3496,3.3848,441967,0
1995-01-13,3.4028,3.429,3.3848,3.3848,72644,0
1995-01-16,3.3848,3.4028,3.3672,3.3672,245086,0
1995-01-17,3.3672,3.4028,3.3318,3.4028,412095,0
1995-01-18,3.4028,3.4821,3.3672,3.4821,296003,0
1995-01-19,3.4821,3.5176,3.4028,3.4028,380185,0
1995-01-20,3.3848,3.4028,3.3583,3.3672,262737,0
1995-01-23,3.3672,3.3672,3.3318,3.3496,289214,0
1995-01-24,3.3496,3.3672,3.3143,3.3496,87578,0
1995-01-25,3.3496,3.3672,3.3496,3.3672,298722,0
1995-01-26,3.3672,3.5176,3.3672,3.4998,910412,0
1995-01-27,3.5352,3.5528,3.5176,3.5352,308903,0
1995-01-30,3.5176,3.5352,3.4465,3.4821,293288,0
1995-01-31,3.4821,3.4821,3.4028,3.429,605584,0
1995-02-01,3.429,3.4642,3.429,3.4465,422961,0
1995-02-02,3.4642,3.4642,3.2432,3.3143,445366,0
1995-02-03,3.279,3.3143,3.0935,3.2965,734576,0
1995-02-06,3.3318,3.429,3.1285,3.1285,496278,0
1995-02-07,3.1285,3.1638,3.111,3.146,653105,0
1995-02-08,3.1638,3.2432,3.146,3.2432,205028,0
1995-02-09,3.2432,3.3318,3.2255,3.3143,522758,0
1995-02-10,3.3143,3.3848,3.2965,3.3496,438571,0
1995-02-13,3.3496,3.4028,3.3496,3.4028,338773,0
1995-02-14,3.3848,3.4028,3.3672,3.3672,252552,0
1995-02-15,3.4028,3.4028,3.3143,3.3496,354388,0
1995-02-16,3.3318,3.3318,3.2965,3.3318,192129,0
1995-02-17,3.3496,3.3672,3.2432,3.279,1054343,0
1995-02-21,3.2965,3.3848,3.2965,3.3848,198917,0
1995-02-22,3.3672,3.4998,3.3672,3.4821,461659,0
1995-02-23,3.4642,3.5882,3.4642,3.5705,370681,0
1995-02-24,3.5882,3.6678,3.5352,3.6411,1037369,0
1995-02-27,3.6235,3.6411,3.5705,3.606,511217,0
1995-02-28,3.5882,3.6235,3.5882,3.6235,417525,0
1995-03-01,3.606,3.6411,3.5882,3.6411,361178,0
1995-03-02,3.6411,3.6411,3.5705,3.606,224716,0
1995-03-03,3.606,3.6855,3.606,3.6678,418210,0
1995-03-06,3.6411,3.6411,3.5882,3.6411,321799,0
1995-03-07,3.6235,3.6678,3.606,3.6678,383582,0
1995-03-08,3.6235,3.6678,3.606,3.6678,724392,0
1995-03-09,3.6678,3.7031,3.6678,3.6855,1029221,0
1995-03-10,3.6855,3.7384,3.6411,3.6411,251875,0
1995-03-13,3.6411,3.6678,3.5705,3.606,729821,0
1995-03-14,3.6235,3.6411,3.5882,3.6411,498318,0
1995-03-15,3.6411,3.7031,3.606,3.6855,260021,0
1995-03-16,3.7031,3.7031,3.6855,3.6855,164295,0
1995-03-17,3.7031,3.7384,3.7031,3.7031,327234,0
1995-03-20,3.7208,3.7914,3.6855,3.7914,468445,0
1995-03-21,3.7914,3.8267,3.7561,3.7738,494922,0
1995-03-22,3.7738,3.8092,3.7561,3.7914,193488,0
1995-03-23,3.7914,3.9063,3.7914,3.8709,458262,0
1995-03-24,3.8885,3.924,3.7914,3.7914,344206,0
1995-03-27,3.8092,3.8885,3.8001,3.8709,300074,0
1995-03-28,3.8444,3.8444,3.7914,3.8092,174479,0
1995-03-29,3.8092,3.8092,3.7208,3.7208,87578,0
1995-03-30,3.7384,3.7561,3.7208,3.7208,252552,0
1995-03-31,3.7384,3.7914,3.7208,3.7561,246441,0
1995-04-03,3.7738,3.7738,3.7031,3.7031,110662,0
1995-04-04,3.7031,3.7738,3.7031,3.7561,105232,0
1995-04-05,3.7561,3.7914,3.7561,3.7914,132389,0
1995-04-06,3.7738,3.8092,3.7738,3.7914,465052,0
1995-04-07,3.7914,3.8267,3.7914,3.8092,451476,0
1995-04-10,3.8267,4.0122,3.8267,3.924,767166,0
1995-04-11,3.959,4.0122,3.959,4.0122,512575,0
1995-04-12,3.9946,4.0301,3.9946,4.0301,218607,0
1995-04-13,4.0301,4.0653,4.0301,4.0477,308903,0
1995-04-17,4.083,4.2156,4.083,4.1096,787530,0
1995-04-18,4.1096,4.1096,3.924,3.924,205028,0
1995-04-19,3.9414,3.9414,3.8267,3.8267,186698,0
1995-04-20,3.8444,3.924,3.8444,3.8885,520044,0
1995-04-21,3.924,3.924,3.8709,3.8885,55671,0
1995-04-24,3.8885,3.9946,3.8709,3.9946,401231,0
1995-04-25,3.9946,4.083,3.924,3.924,399194,0
1995-04-26,3.9414,3.9946,3.924,3.924,217930,0
1995-04-27,3.924,3.9768,3.9063,3.9063,293288,0
1995-04-28,3.9063,3.9414,3.8709,3.8885,163616,0
1995-05-01,3.8885,3.9063,3.8709,3.8709,106590,0
1995-05-02,3.8885,3.8885,3.8267,3.8444,128990,0
1995-05-03,3.8885,3.9414,3.8709,3.8885,215890,0
1995-05-04,3.8709,3.9063,3.8267,3.8267,84183,0
1995-05-05,3.7914,3.7914,3.2432,3.2432,1543156,0
1995-05-08,3.2255,3.2255,3.0935,3.0935,2511955,0
1995-05-09,3.0935,3.1992,3.0935,3.1638,3624003,0
1995-05-10,3.1992,3.2432,3.146,3.1638,1109333,0
1995-05-11,3.1816,3.1816,3.111,3.1285,1511245,0
1995-05-12,3.2432,3.279,3.2432,3.2432,1534328,0
1995-05-15,3.279,3.3848,3.261,3.3848,1591358,0
1995-05-16,3.4028,3.4642,3.3672,3.4465,652432,0
1995-05-17,3.4465,3.4821,3.3848,3.3848,551952,0
1995-05-18,3.3848,3.429,3.3143,3.3496,630703,0
1995-05-19,3.3496,3.3496,3.2965,3.2965,211141,0
1995-05-22,3.3318,3.3848,3.3143,3.3143,403271,0
1995-05-23,3.3672,3.4465,3.3672,3.4028,920595,0
1995-05-24,3.4465,3.4642,3.3848,3.4028,489493,0
1995-05-25,3.3848,3.3848,3.3143,3.3143,366612,0
1995-05-26,3.3318,3.3318,3.2432,3.2432,849312,0
1995-05-30,3.2432,3.2965,3.2432,3.2432,220644,0
1995-05-31,3.2432,3.2432,3.1285,3.1638,472519,0
1995-06-01,3.1816,3.1816,3.146,3.1816,1743429,0
1995-06-02,3.1816,3.1816,2.943,3.0404,2824930,0
1995-06-05,3.0404,3.0935,3.0225,3.0404,985093,0
1995-06-06,3.0404,3.0404,2.9076,2.9254,872392,0
1995-06-07,2.9607,3.0047,2.9254,2.943,1179935,0
1995-06-08,2.943,2.943,2.8901,2.8901,4456338,0
1995-06-09,2.9076,2.987,2.9076,2.9607,1856131,0
1995-06-12,2.943,2.987,2.9254,2.9254,1731212,0
1995-06-13,2.943,3.0047,2.943,3.0047,1134453,0
1995-06-14,3.0404,3.1816,3.0404,3.1638,2237675,0
1995-06-15,3.1816,3.3496,3.146,3.2965,3511302,0
1995-06-16,3.279,3.279,3.1816,3.1816,523439,0
1995-06-19,3.1992,3.2965,3.1816,3.2965,333341,0
1995-06-20,3.2965,3.5176,3.2965,3.429,1937600,0
1995-06-21,3.4028,3.4642,3.4028,3.4465,910412,0
1995-06-22,3.4465,3.5882,3.4465,3.5882,1273628,0
1995-06-23,3.6855,3.7561,3.6411,3.6855,953187,0
1995-06-26,3.6678,3.7384,3.6235,3.7031,1279059,0
1995-06-27,3.6855,3.6855,3.5793,3.606,786850,0
1995-06-28,3.5705,3.7031,3.5705,3.6678,540411,0
1995-06-29,3.6855,3.7561,3.6855,3.7561,221323,0
1995-06-30,3.7384,3.7738,3.7031,3.7738,260701,0
1995-07-03,3.7738,3.7738,3.7208,3.7384,80110,0
1995-07-05,3.7208,3.7561,3.7208,3.7208,181947,0
1995-07-06,3.7384,3.8267,3.7384,3.8092,301437,0
1995-07-07,3.8267,3.9946,3.8267,3.9768,1159572,0
1995-07-10,4.0122,4.1449,3.9946,4.1096,479307,0
1995-07-11,4.1449,4.1449,4.1096,4.1273,854743,0
1995-07-12,4.1273,4.1273,4.0653,4.1096,957936,0
1995-07-13,4.1449,4.251,4.1449,4.251,327914,0
1995-07-14,4.251,4.3306,4.251,4.3131,790929,0
1995-07-17,4.3306,4.3835,4.3131,4.3483,910412,0
1995-07-18,4.3658,4.3658,4.083,4.1273,840487,0
1995-07-19,4.083,4.1449,4.0301,4.0653,640207,0
1995-07-20,4.083,4.1096,4.0653,4.083,143931,0
1995-07-21,4.1096,4.2333,4.1096,4.1979,452829,0
1995-07-24,4.1979,4.1979,4.083,4.1096,188738,0
1995-07-25,4.1273,4.1273,4.0477,4.0653,207743,0
1995-07-26,4.1096,4.1273,4.083,4.1096,336740,0
1995-07-27,4.1449,4.1979,4.083,4.083,294646,0
1995-07-28,4.083,4.1273,4.0653,4.083,980340,0
1995-07-31,4.0653,4.0653,4.0122,4.0653,190093,0
1995-08-01,4.0477,4.0477,3.959,3.9768,177876,0
1995-08-02,3.9768,4.0122,3.959,3.9946,176514,0
1995-08-03,3.9063,3.9768,3.8885,3.959,282425,0
1995-08-04,3.9768,4.1096,3.959,4.083,1491553,0
1995-08-07,4.083,4.1096,4.0653,4.083,282425,0
1995-08-08,4.0653,4.1096,4.0653,4.083,185342,0
1995-08-09,4.083,4.1096,4.0653,4.1096,200957,0
1995-08-10,4.1096,4.1096,4.0653,4.0653,232864,0
1995-08-11,4.0477,4.1096,4.0477,4.0653,1006817,0
1995-08-14,4.0653,4.083,4.0477,4.0477,556024,0
1995-08-15,4.0477,4.0477,4.0301,4.0301,200280,0
1995-08-16,4.0477,4.0653,3.9946,4.0477,463693,0
1995-08-17,4.0122,4.0653,3.9946,4.0653,417525,0
1995-08-18,4.083,4.083,4.0653,4.083,359819,0
1995-08-21,4.083,4.083,3.9946,4.0122,242372,0
1995-08-22,4.0122,4.0301,3.9768,3.9946,162938,0
1995-08-23,3.9946,4.0301,3.9946,4.0301,315014,0
1995-08-24,4.0477,4.1096,4.0477,4.083,386976,0
1995-08-25,4.083,4.1273,4.083,4.1273,378152,0
1995-08-28,4.1096,4.1449,4.083,4.1273,143248,0
1995-08-29,4.1273,4.1273,4.1096,4.1096,99120,0
1995-08-30,4.1273,4.1449,4.1096,4.1449,115413,0
1995-08-31,4.1449,4.1802,4.1449,4.1802,86901,0
1995-09-01,4.1625,4.1802,4.1449,4.1449,137817,0
1995-09-05,4.1273,4.1449,4.1096,4.1273,413455,0
1995-09-06,4.1096,4.2333,4.083,4.2333,621877,0
1995-09-07,4.251,4.4011,4.251,4.4011,566210,0
1995-09-08,4.4011,4.6752,4.4011,4.6399,572318,0
1995-09-11,4.6574,4.7902,4.6399,4.7724,218607,0
1995-09-12,4.7724,5.0463,4.7546,5.0463,522758,0
1995-09-13,5.0287,5.0287,4.8961,4.9666,797712,0
1995-09-14,4.9932,5.117,4.9932,5.0287,301437,0
1995-09-15,5.0287,5.0287,4.9666,4.9932,380865,0
1995-09-18,4.9666,5.0463,4.9491,5.0287,211821,0
1995-09-19,5.0463,5.0817,5.0287,5.0463,585219,0
1995-09-20,5.0463,5.2142,5.0463,5.1965,758339,0
1995-09-21,5.2321,5.2674,5.2321,5.2497,963369,0
1995-09-22,5.2851,5.2851,5.1525,5.1525,636135,0
1995-09-25,5.17,5.2674,5.17,5.2321,708780,0
1995-09-26,5.2321,5.2497,5.17,5.17,616445,0
1995-09-27,5.1525,5.1525,5.1348,5.1348,835057,0
1995-09-28,5.1348,5.1348,5.0639,5.0639,425672,0
1995-09-29,5.0639,5.0639,5.0111,5.0287,995278,0
1995-10-02,5.0287,5.0639,5.0111,5.0111,733219,0
1995-10-03,5.0287,5.0287,4.9316,4.9316,321799,0
1995-10-04,4.9316,5.0111,4.9316,5.0111,907695,0
1995-10-05,5.0111,5.0111,4.9666,4.9666,1048908,0
1995-10-06,4.9666,4.9666,4.9316,4.9316,367967,0
1995-10-09,4.9491,4.9491,4.8607,4.8607,369326,0
1995-10-10,4.8607,4.8607,4.7107,4.7107,2130405,0
1995-10-11,4.7107,4.7724,4.7107,4.7107,1091683,0
1995-10-12,4.7282,4.7902,4.7107,4.7107,283780,0
1995-10-13,4.7107,4.7546,4.693,4.693,1587281,0
1995-10-16,4.7107,4.7546,4.693,4.7282,111341,0
1995-10-17,4.7546,4.9316,4.7282,4.914,544482,0
1995-10-18,4.914,5.2142,4.914,5.2142,414132,0
1995-10-19,5.2142,5.2321,5.117,5.1525,343528,0
1995-10-20,5.1525,5.1525,5.0817,5.0817,343528,0
1995-10-23,5.0994,5.1525,5.0817,5.117,510539,0
1995-10-24,5.117,5.1348,5.0639,5.0994,753588,0
1995-10-25,5.0994,5.2851,5.0994,5.2851,1077422,0
1995-10-26,5.2851,5.5058,5.2851,5.4881,5544626,0
1995-10-27,5.4705,5.4705,5.4528,5.4528,592005,0
1995-10-30,5.4351,5.4528,5.3911,5.4351,167685,0
1995-10-31,5.4705,5.4881,5.3736,5.3736,371358,0
1995-11-01,5.3736,5.3736,5.2321,5.2497,371358,0
1995-11-02,5.2851,5.3028,5.2674,5.2851,546521,0
1995-11-03,5.3207,5.3557,5.3028,5.3557,365251,0
1995-11-06,5.3557,5.3736,5.3557,5.3736,389690,0
1995-11-07,5.3911,5.4087,5.3736,5.3911,843202,0
1995-11-08,5.3911,5.4087,5.3911,5.4087,1027865,0
1995-11-09,5.4351,5.5058,5.4351,5.5058,123560,0
1995-11-10,5.5237,5.5943,5.5237,5.5766,195523,0
1995-11-13,5.5766,5.5943,5.5237,5.5592,183305,0
1995-11-14,5.5592,5.5766,5.5413,5.5766,139856,0
1995-11-15,5.5766,5.612,5.5766,5.612,291249,0
1995-11-16,5.6384,5.6914,5.612,5.6737,178550,0
1995-11-17,5.656,5.7092,5.656,5.7092,116095,0
1995-11-20,5.6914,5.7092,5.5766,5.5766,407345,0
1995-11-21,5.5413,5.5413,5.4881,5.4881,348955,0
1995-11-22,5.5058,5.5592,5.5058,5.5592,161577,0
1995-11-24,5.5592,5.7622,5.5592,5.7445,498318,0
1995-11-27,5.7445,6.0802,5.7445,6.0185,922635,0
1995-11-28,6.0185,6.0185,5.8947,5.8947,339457,0
1995-11-29,5.8947,5.9654,5.8947,5.9124,380865,0
1995-11-30,5.8947,5.9654,5.8947,5.9124,283103,0
1995-12-01,5.9302,5.9479,5.8947,5.8947,155470,0
1995-12-04,5.8947,5.983,5.8947,5.9654,817401,0
1995-12-05,5.9124,5.9479,5.9124,5.9302,197562,0
1995-12-06,5.9302,5.9479,5.8947,5.9124,460300,0
1995-12-07,5.9124,5.9479,5.8947,5.9479,482024,0
1995-12-08,5.9479,5.9479,5.9124,5.9479,877825,0
1995-12-11,5.9479,5.9654,5.9479,5.9479,351671,0
1995-12-12,5.9479,6.1865,5.9479,6.1158,413455,0
1995-12-13,6.0981,6.1509,6.0981,6.1509,894798,0
1995-12-14,6.2217,6.2926,6.2217,6.2926,222680,0
1995-12-15,6.3719,6.5755,6.2217,6.3896,458939,0
1995-12-18,6.3542,6.3542,6.0981,6.0981,496278,0
1995-12-19,6.0981,6.0981,6.0007,6.0007,593363,0
1995-12-20,6.0007,6.0185,5.9479,5.9479,203671,0
1995-12-21,5.9479,5.9479,5.8329,5.8506,300753,0
1995-12-22,5.8329,5.877,5.8329,5.8506,170407,0
1995-12-26,5.8506,5.8506,5.8329,5.8329,88257,0
1995-12-27,5.8506,5.8506,5.7622,5.7977,742049,0
1995-12-28,5.7799,5.7977,5.7622,5.7799,322481,0
1995-12-29,5.7977,6.1686,5.7977,6.1686,1072673,0
1996-01-02,6.1333,6.1509,6.0007,6.0185,340812,0
1996-01-03,6.0007,6.0981,6.0007,6.0539,401231,0
1996-01-04,6.0539,6.1158,6.0185,6.0185,236261,0
1996-01-05,6.0007,6.0007,5.8329,5.8506,412774,0
1996-01-08,5.8506,5.877,5.8506,5.877,48203,0
1996-01-09,5.9302,6.0802,5.9302,6.0007,1422986,0
1996-01-10,6.0007,6.0007,5.7977,5.8152,376116,0
1996-01-11,5.7977,5.8506,5.7977,5.8506,427709,0
1996-01-12,5.8152,5.8152,5.7445,5.7622,765805,0
1996-01-15,5.7799,5.7977,5.7622,5.7622,44811,0
1996-01-16,5.7622,5.9302,5.7622,5.8947,816043,0
1996-01-17,5.877,5.9124,5.8152,5.8329,496959,0
1996-01-18,5.877,5.9302,5.877,5.9124,830982,0
1996-01-19,5.9302,5.9479,5.9302,5.9302,86901,0
1996-01-22,5.9124,5.9124,5.8506,5.8506,267488,0
1996-01-23,5.8329,5.8506,5.7977,5.8152,731863,0
1996-01-24,5.8329,5.8947,5.8329,5.8947,237616,0
1996-01-25,5.877,5.9479,5.8506,5.9479,682978,0
1996-01-26,5.9302,5.9302,5.9124,5.9302,405307,0
1996-01-29,5.9479,6.0007,5.7977,5.9302,1014288,0
1996-01-30,5.9479,6.0539,5.9124,6.0362,674836,0
1996-01-31,6.0539,6.2041,6.0362,6.2041,657182,0
1996-02-01,6.2217,6.4425,6.2041,6.3366,529546,0
1996-02-02,6.2926,6.319,6.1865,6.2394,907015,0
1996-02-05,6.2571,6.2926,6.2217,6.2217,410060,0
1996-02-06,6.1865,6.2926,6.1865,6.2926,327234,0
1996-02-07,6.2747,6.3896,6.2747,6.3719,332663,0
1996-02-08,6.3896,6.4601,6.3896,6.4073,171087,0
1996-02-09,6.4425,6.4601,6.3366,6.4073,464372,0
1996-02-12,6.3896,6.4251,6.3542,6.4073,604228,0
1996-02-13,6.4425,6.4778,6.4425,6.4425,331984,0
1996-02-14,6.4601,6.4601,6.3896,6.4073,133741,0
1996-02-15,6.3719,6.3896,6.3366,6.3366,213178,0
1996-02-16,6.3366,6.4073,6.3366,6.4073,432463,0
1996-02-20,6.3719,6.3719,6.2747,6.3366,159545,0
1996-02-21,6.3542,6.3719,6.319,6.3542,498995,0
1996-02-22,6.3542,6.5224,6.3542,6.5224,322481,0
1996-02-23,6.5224,6.5576,6.4954,6.5399,173122,0
1996-02-26,6.5399,6.5576,6.4251,6.4251,330623,0
1996-02-27,6.4073,6.4073,6.2571,6.2571,235580,0
1996-02-28,6.2394,6.2394,6.1865,6.1865,197562,0
1996-02-29,6.1865,6.1865,6.1509,6.1686,110662,0
1996-03-01,6.1509,6.1865,6.1333,6.1865,177196,0
1996-03-04,6.1865,6.319,6.1865,6.2926,224040,0
