Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.0531,7.1566,7.0531,7.101,81112,0
1995-01-04,7.0531,7.1566,7.0531,7.1566,54578,0
1995-01-05,7.2521,7.3555,7.2521,7.2998,93564,0
1995-01-06,7.2998,7.4508,7.2998,7.4508,13330,0
1995-01-09,7.4508,7.4508,7.4032,7.4032,6539,0
1995-01-10,7.4508,7.4508,7.3555,7.3555,8048,0
1995-01-11,7.2521,7.3555,7.2521,7.3555,70927,0
1995-01-12,7.3555,7.4508,7.3555,7.3555,36597,0
1995-01-13,7.2998,7.4508,7.2998,7.4508,24396,0
1995-01-16,7.4508,7.5543,7.4508,7.5543,11946,0
1995-01-17,7.5543,7.6973,7.5543,7.6973,10061,0
1995-01-18,7.6973,7.8485,7.6973,7.8007,36342,0
1995-01-19,7.8485,7.9516,7.8485,7.8961,92307,0
1995-01-20,7.8485,7.8961,7.8485,7.8961,79729,0
1995-01-23,7.8961,7.8961,7.6973,7.6973,34837,0
1995-01-24,7.7529,7.8485,7.6973,7.8485,55834,0
1995-01-25,7.9516,8.0949,7.9516,8.0473,77090,0
1995-01-26,8.0473,8.0473,7.8485,7.8485,129152,0
1995-01-27,7.8961,7.8961,7.8485,7.8485,12198,0
1995-01-30,7.8485,7.8961,7.8485,7.8961,9685,0
1995-01-31,7.8961,8.0473,7.8961,8.0473,24142,0
1995-02-01,8.0473,8.0949,7.9995,8.0473,35212,0
1995-02-02,8.0949,8.2462,8.0949,8.2462,92183,0
1995-02-03,8.3496,8.3496,8.1508,8.1508,150530,0
1995-02-06,8.1508,8.1983,8.1508,8.1983,6539,0
1995-02-07,8.1508,8.1983,8.1508,8.1983,1508,0
1995-02-08,8.1508,8.1508,8.0949,8.0949,17732,0
1995-02-09,8.1983,8.1983,7.9516,8.0473,101610,0
1995-02-10,8.0473,8.0473,7.9995,8.0473,31189,0
1995-02-13,8.0949,8.2462,8.071,8.2462,29051,0
1995-02-14,8.2462,8.2462,8.2462,8.2462,10438,0
1995-02-15,8.2462,8.2462,8.1983,8.2462,16724,0
1995-02-16,8.1983,8.1983,8.0949,8.0949,13960,0
1995-02-17,8.0949,8.1983,8.0473,8.1983,53073,0
1995-02-21,8.2462,8.3971,8.2462,8.2936,43262,0
1995-02-22,8.3496,8.3496,8.1983,8.1983,16098,0
1995-02-23,8.1983,8.3496,8.1983,8.3496,20373,0
1995-02-24,8.3496,8.3496,8.3496,8.3496,10565,0
1995-02-27,8.3496,8.3496,8.3496,8.3496,30433,0
1995-02-28,8.3496,8.3496,8.2462,8.2936,55208,0
1995-03-01,8.2936,8.2936,8.1983,8.2936,124750,0
1995-03-02,8.3496,8.493,8.3496,8.4452,129152,0
1995-03-03,8.3971,8.3971,8.3496,8.3971,26786,0
1995-03-06,8.3971,8.3971,8.2936,8.2936,51938,0
1995-03-07,8.2936,8.2936,8.0473,8.0473,150154,0
1995-03-08,8.0949,8.2936,8.0949,8.2936,75831,0
1995-03-09,8.2462,8.2462,8.1983,8.2462,118464,0
1995-03-10,8.1983,8.2462,8.1745,8.2462,28672,0
1995-03-13,8.2462,8.2462,8.0949,8.1508,26536,0
1995-03-14,8.1508,8.1508,8.0949,8.1508,60364,0
1995-03-15,8.1983,8.3496,8.1508,8.3496,68035,0
1995-03-16,8.3496,8.3971,8.3496,8.3971,87024,0
1995-03-17,8.2936,8.2936,8.1508,8.1983,12827,0
1995-03-20,8.1508,8.3971,8.1508,8.3496,27164,0
1995-03-21,8.2936,8.3496,8.1983,8.1983,42256,0
1995-03-22,8.2462,8.2699,8.2462,8.2462,37350,0
1995-03-23,8.2462,8.3496,8.2462,8.3496,27918,0
1995-03-24,8.4452,8.5957,8.4452,8.5479,52314,0
1995-03-27,8.5957,8.9931,8.5957,8.9456,52441,0
1995-03-28,8.8904,8.9931,8.8904,8.9456,121859,0
1995-03-29,8.8904,8.8904,8.795,8.8427,58981,0
1995-03-30,8.8427,9.0412,8.795,8.9456,79603,0
1995-03-31,8.8427,9.239,8.8427,9.239,190774,0
1995-04-03,9.343,9.685,9.2872,9.4379,187125,0
1995-04-04,9.4379,9.4379,9.343,9.343,8425,0
1995-04-05,9.3911,9.3911,9.0873,9.1439,57598,0
1995-04-06,9.1439,9.1439,9.0412,9.0873,155689,0
1995-04-07,9.1439,9.1439,9.0873,9.0873,174552,0
1995-04-10,9.1439,9.191,9.1439,9.1439,147011,0
1995-04-11,9.191,9.2872,9.191,9.191,81112,0
1995-04-12,9.239,9.239,9.239,9.239,167759,0
1995-04-13,9.239,9.239,9.239,9.239,89162,0
1995-04-17,9.239,9.239,9.191,9.239,94947,0
1995-04-18,9.2872,9.4874,9.2872,9.343,417765,0
1995-04-19,9.343,9.3911,9.343,9.343,153298,0
1995-04-20,9.343,10.139,9.343,9.989,143490,0
1995-04-21,10.036,10.139,9.885,9.94,194294,0
1995-04-24,9.94,10.281,9.885,10.234,357654,0
1995-04-25,10.281,10.337,10.234,10.234,94066,0
1995-04-26,10.281,10.337,10.234,10.337,105762,0
1995-04-27,10.337,10.536,10.337,10.536,52694,0
1995-04-28,10.536,10.784,10.536,10.735,359037,0
1995-05-01,10.735,10.784,10.631,10.679,110792,0
1995-05-02,10.536,11.076,10.536,10.982,367210,0
1995-05-03,10.982,10.982,10.536,10.631,419148,0
1995-05-04,10.631,10.631,10.337,10.337,219070,0
1995-05-05,10.337,10.337,10.281,10.281,18612,0
1995-05-08,10.281,10.432,10.234,10.385,308106,0
1995-05-09,10.432,10.536,10.385,10.536,1523676,0
1995-05-10,10.735,10.735,10.631,10.631,317538,0
1995-05-11,10.679,10.735,10.631,10.679,283332,0
1995-05-12,10.679,10.735,10.631,10.735,106264,0
1995-05-15,10.679,10.784,10.679,10.735,82873,0
1995-05-16,10.735,10.784,10.679,10.784,42005,0
1995-05-17,10.784,10.831,10.735,10.735,166377,0
1995-05-18,10.735,10.831,10.735,10.784,60114,0
1995-05-19,10.878,10.878,10.735,10.831,255413,0
1995-05-22,10.831,11.228,10.784,11.076,278426,0
1995-05-23,11.228,11.825,11.228,11.729,493850,0
1995-05-24,11.625,11.625,11.132,11.38,253654,0
1995-05-25,11.38,11.38,11.076,11.132,242461,0
1995-05-26,11.132,11.132,10.982,11.076,291254,0
1995-05-30,11.03,11.276,11.03,11.276,69164,0
1995-05-31,11.276,11.331,11.228,11.331,120098,0
1995-06-01,11.38,11.531,11.38,11.531,153677,0
1995-06-02,11.428,11.475,11.228,11.475,101988,0
1995-06-05,11.531,11.531,11.276,11.38,88660,0
1995-06-06,11.38,11.475,11.38,11.475,58730,0
1995-06-07,11.475,11.475,11.428,11.428,115698,0
1995-06-08,11.428,11.475,11.428,11.475,145000,0
1995-06-09,11.475,11.475,11.428,11.475,92183,0
1995-06-12,11.475,11.475,11.428,11.475,75205,0
1995-06-13,11.475,11.475,11.428,11.428,145000,0
1995-06-14,11.428,11.976,11.428,11.976,180838,0
1995-06-15,11.976,12.421,11.976,12.421,70173,0
1995-06-16,12.818,12.818,12.722,12.818,117709,0
1995-06-19,12.921,13.272,12.921,13.018,164491,0
1995-06-20,13.018,13.122,12.771,12.771,109282,0
1995-06-21,12.421,12.421,11.872,11.929,318542,0
1995-06-22,11.929,11.929,11.475,11.673,241832,0
1995-06-23,11.673,11.673,11.531,11.531,89665,0
1995-06-26,11.475,11.673,11.475,11.531,123369,0
1995-06-27,11.531,11.625,11.531,11.578,38731,0
1995-06-28,11.625,11.625,11.475,11.475,33827,0
1995-06-29,11.578,11.625,11.475,11.475,76836,0
1995-06-30,11.531,11.578,11.428,11.428,35590,0
1995-07-03,11.475,11.578,11.428,11.578,14084,0
1995-07-05,11.578,11.673,11.578,11.625,35716,0
1995-07-06,11.729,11.729,11.228,11.428,121606,0
1995-07-07,11.428,11.428,11.132,11.179,88409,0
1995-07-10,11.228,11.331,11.132,11.276,75704,0
1995-07-11,11.276,11.38,11.228,11.228,39113,0
1995-07-12,11.228,11.276,11.03,11.179,25782,0
1995-07-13,11.228,11.228,11.03,11.132,105762,0
1995-07-14,11.132,11.228,11.076,11.228,119092,0
1995-07-17,11.331,11.475,11.331,11.38,268615,0
1995-07-18,11.531,11.777,11.531,11.531,170400,0
1995-07-19,11.578,11.825,11.428,11.825,138962,0
1995-07-20,11.929,12.22,11.929,12.22,101988,0
1995-07-21,12.372,12.722,12.324,12.668,2436550,0
1995-07-24,12.668,12.771,12.525,12.722,706380,0
1995-07-25,12.668,12.722,12.62,12.668,381799,0
1995-07-26,12.818,13.216,12.818,13.169,696444,0
1995-07-27,13.216,13.669,13.216,13.517,491460,0
1995-07-28,13.566,13.717,13.47,13.613,405191,0
1995-07-31,13.517,13.517,13.018,13.32,217309,0
1995-08-01,13.415,13.613,13.216,13.415,334391,0
1995-08-02,13.368,13.415,12.875,12.969,156567,0
1995-08-03,12.921,13.169,12.921,13.018,140093,0
1995-08-04,13.072,13.122,12.969,13.018,50931,0
1995-08-07,13.122,13.415,13.122,13.415,253654,0
1995-08-08,13.517,13.517,13.169,13.272,141729,0
1995-08-09,13.32,13.47,13.216,13.272,129529,0
1995-08-10,13.272,13.415,13.216,13.216,197816,0
1995-08-11,13.32,13.32,13.018,13.216,123998,0
1995-08-14,13.272,13.32,13.169,13.169,115698,0
1995-08-15,12.969,13.018,12.722,12.969,307727,0
1995-08-16,12.969,13.018,12.875,13.018,102997,0
1995-08-17,13.122,13.415,13.122,13.368,426064,0
1995-08-18,13.415,13.566,13.32,13.517,191529,0
1995-08-21,13.517,13.517,13.018,13.018,1397416,0
1995-08-22,13.018,13.216,13.018,13.122,259940,0
1995-08-23,13.122,13.169,13.072,13.169,115195,0
1995-08-24,13.272,13.272,13.169,13.272,353881,0
1995-08-25,13.32,13.517,13.216,13.517,139339,0
1995-08-28,13.415,14.012,13.368,14.012,302445,0
1995-08-29,14.012,14.012,13.717,13.917,236047,0
1995-08-30,13.917,14.162,13.917,13.964,286852,0
1995-08-31,13.964,13.964,13.613,13.613,368219,0
1995-09-01,13.669,13.917,13.613,13.669,629164,0
1995-09-05,13.669,13.868,13.517,13.669,397647,0
1995-09-06,13.669,13.868,13.669,13.868,215924,0
1995-09-07,13.868,13.917,13.813,13.813,133050,0
1995-09-08,13.813,13.868,13.669,13.717,448198,0
1995-09-11,13.613,13.813,13.613,13.669,203348,0
1995-09-12,13.717,13.717,13.517,13.517,243091,0
1995-09-13,13.517,13.517,13.216,13.32,377900,0
1995-09-14,13.32,13.368,13.169,13.216,168641,0
1995-09-15,13.122,13.122,12.421,12.668,783217,0
1995-09-18,12.771,13.018,12.722,12.875,169016,0
1995-09-19,12.875,13.169,12.875,13.169,90419,0
1995-09-20,13.169,13.517,13.169,13.272,277043,0
1995-09-21,13.216,13.566,13.216,13.415,204355,0
1995-09-22,13.32,13.32,13.122,13.216,332251,0
1995-09-25,13.216,13.368,13.216,13.32,197689,0
1995-09-26,13.32,13.32,12.771,12.818,270379,0
1995-09-27,12.722,12.771,12.467,12.771,144244,0
1995-09-28,12.875,12.875,12.668,12.722,145376,0
1995-09-29,12.722,12.969,12.722,12.969,48921,0
1995-10-02,12.921,13.169,12.921,13.122,393998,0
1995-10-03,13.122,13.32,13.122,13.272,128650,0
1995-10-04,13.272,13.415,13.169,13.415,596720,0
1995-10-05,13.517,13.868,13.517,13.717,270130,0
1995-10-06,13.613,13.717,13.613,13.669,193414,0
1995-10-09,13.717,13.717,13.47,13.47,297293,0
1995-10-10,13.415,13.613,13.122,13.566,186496,0
1995-10-11,13.669,13.964,13.669,13.868,168641,0
1995-10-12,13.868,13.868,13.764,13.764,333634,0
1995-10-13,13.764,13.917,13.764,13.868,122990,0
1995-10-16,13.917,14.012,13.868,13.964,189267,0
1995-10-17,13.964,14.068,13.964,14.012,141477,0
1995-10-18,14.068,14.463,14.068,14.313,306722,0
1995-10-19,14.313,14.56,14.313,14.313,508941,0
1995-10-20,14.313,14.36,14.162,14.162,226740,0
1995-10-23,14.113,14.209,13.964,13.964,114187,0
1995-10-24,13.917,13.917,13.764,13.764,70803,0
1995-10-25,13.813,13.813,13.32,13.32,128525,0
1995-10-26,13.368,13.415,12.62,12.771,168013,0
1995-10-27,12.818,12.818,12.571,12.571,60114,0
1995-10-30,12.467,12.722,12.467,12.571,190774,0
1995-10-31,12.571,12.818,12.571,12.62,161095,0
