Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.7806,6.8322,6.7119,6.8062,164418,0
1995-01-04,6.8062,6.8494,6.7806,6.8322,220737,0
1995-01-05,6.7806,6.8062,6.7119,6.7376,162675,0
1995-01-06,6.7376,6.9264,6.7119,6.9264,485697,0
1995-01-09,6.875,6.875,6.7806,6.8062,203518,0
1995-01-10,6.8062,7.0214,6.8062,6.9524,478830,0
1995-01-11,6.9695,7.0469,6.9524,7.0214,460674,0
1995-01-12,6.9954,7.1159,6.9695,7.1159,448110,0
1995-01-13,7.1159,7.1672,6.9954,7.0469,367355,0
1995-01-16,7.0729,7.1672,6.9524,7.0729,735291,0
1995-01-17,7.0902,7.1843,7.0902,7.1672,619162,0
1995-01-18,7.1843,7.2878,7.1413,7.2617,471381,0
1995-01-19,7.236,7.2878,7.1843,7.2878,616720,0
1995-01-20,7.2878,7.3562,7.2617,7.3562,930433,0
1995-01-23,7.236,7.3562,7.236,7.3307,281946,0
1995-01-24,7.2878,7.3819,7.2878,7.3307,325001,0
1995-01-25,7.3562,7.4082,7.2878,7.3819,582163,0
1995-01-26,7.3819,7.4252,7.3562,7.4082,553304,0
1995-01-27,7.4252,7.4509,7.2617,7.2878,266469,0
1995-01-30,7.2617,7.2878,7.1159,7.1413,459048,0
1995-01-31,7.1413,7.236,7.1159,7.2104,312899,0
1995-02-01,7.236,7.2617,7.2104,7.236,278923,0
1995-02-02,7.2104,7.3049,7.2104,7.2878,330121,0
1995-02-03,7.2878,7.4509,7.2617,7.4509,294861,0
1995-02-06,7.4252,7.4509,7.4252,7.4252,260185,0
1995-02-07,7.4338,7.5283,7.4338,7.5283,256810,0
1995-02-08,7.5283,7.5283,7.4595,7.4767,338614,0
1995-02-09,7.4595,7.4595,7.2617,7.3136,386208,0
1995-02-10,7.3392,7.3562,7.3136,7.3392,356649,0
1995-02-13,7.3562,7.3562,7.2878,7.3136,587979,0
1995-02-14,7.2617,7.3392,7.2617,7.3392,194325,0
1995-02-15,7.3819,7.5538,7.3392,7.5283,521302,0
1995-02-16,7.5023,7.5283,7.4595,7.5023,333027,0
1995-02-17,7.5023,7.5023,7.3562,7.3562,392140,0
1995-02-21,7.4595,7.5023,7.4338,7.4595,205496,0
1995-02-22,7.4595,7.5538,7.4338,7.5283,264845,0
1995-02-23,7.5538,7.5969,7.4767,7.4767,280551,0
1995-02-24,7.4767,7.5797,7.4767,7.5283,319648,0
1995-02-27,7.5283,7.5538,7.4767,7.4767,247504,0
1995-02-28,7.4338,7.5023,7.3819,7.4338,275894,0
1995-03-01,7.3819,7.5969,7.3819,7.4767,391792,0
1995-03-02,7.4767,7.5969,7.4767,7.5283,402844,0
