Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.3063,0.3063,0.28769,0.28769,7903721,0
1995-01-04,0.29455,0.30397,0.28769,0.30397,4684066,0
1995-01-05,0.29923,0.32268,0.29923,0.31098,6391402,0
1995-01-06,0.31098,0.318,0.29688,0.29688,6651436,0
1995-01-09,0.29688,0.29923,0.28769,0.28769,13398683,0
1995-01-10,0.29233,0.29688,0.28528,0.28989,13686090,0
1995-01-11,0.29233,0.29688,0.28769,0.28769,7746330,0
1995-01-12,0.28769,0.29455,0.28528,0.28769,9723974,0
1995-01-13,0.28528,0.29233,0.28528,0.28769,13583442,0
1995-01-16,0.28528,0.29455,0.28528,0.28528,7328901,0
1995-01-17,0.28528,0.29688,0.28528,0.29688,5484697,0
1995-01-18,0.29455,0.29923,0.28769,0.28769,8139798,0
1995-01-19,0.28528,0.29455,0.28528,0.29233,2949353,0
1995-01-20,0.28769,0.29455,0.28528,0.28769,7694999,0
1995-01-23,0.29233,0.29455,0.28769,0.29455,1926321,0
1995-01-24,0.29455,0.29455,0.28769,0.29233,3253863,0
1995-01-25,0.29233,0.29233,0.28528,0.28769,1105150,0
1995-01-26,0.29233,0.29233,0.28528,0.28528,947755,0
1995-01-27,0.28528,0.29455,0.28528,0.28989,1159893,0
1995-01-30,0.28528,0.29233,0.28528,0.29233,338732,0
1995-01-31,0.29455,0.29688,0.28769,0.29455,3890270,0
1995-02-01,0.29455,0.29455,0.28528,0.29455,533757,0
1995-02-02,0.29455,0.318,0.29233,0.318,14086407,0
1995-02-03,0.318,0.33678,0.31334,0.32494,19033927,0
1995-02-06,0.32494,0.33678,0.31334,0.31334,14315651,0
1995-02-07,0.31334,0.32268,0.3063,0.318,8266401,0
1995-02-08,0.32268,0.32494,0.318,0.32494,5306783,0
1995-02-09,0.32494,0.32969,0.318,0.32268,4978313,0
1995-02-10,0.32969,0.32969,0.32268,0.32494,2607199,0
1995-02-13,0.32969,0.32969,0.32268,0.32734,4625901,0
1995-02-14,0.32969,0.32969,0.32268,0.32734,6500890,0
1995-02-15,0.32969,0.33678,0.32494,0.33678,21210016,0
1995-02-16,0.33678,0.33678,0.33198,0.33438,13545810,0
1995-02-17,0.32969,0.33678,0.32268,0.32969,18496750,0
1995-02-21,0.32268,0.33198,0.32268,0.32734,3086217,0
1995-02-22,0.33198,0.33198,0.32494,0.32734,6880683,0
1995-02-23,0.32969,0.33198,0.31098,0.31334,7075708,0
1995-02-24,0.31098,0.318,0.29688,0.30397,8611977,0
1995-02-27,0.30397,0.32268,0.29923,0.31098,11705027,0
1995-02-28,0.31334,0.32268,0.3063,0.32028,2275315,0
1995-03-01,0.31334,0.33198,0.31334,0.32494,7318643,0
1995-03-02,0.32494,0.33198,0.32494,0.32494,1573907,0
1995-03-03,0.32494,0.33198,0.32494,0.32494,5426532,0
1995-03-06,0.33438,0.33438,0.32268,0.33438,390049,0
1995-03-07,0.33438,0.33438,0.318,0.32268,1005928,0
1995-03-08,0.32268,0.32969,0.32268,0.32268,3192279,0
1995-03-09,0.32969,0.32969,0.32268,0.32494,2744062,0
1995-03-10,0.32268,0.32969,0.32268,0.32268,3202542,0
1995-03-13,0.32268,0.32969,0.318,0.318,3654184,0
1995-03-14,0.318,0.32969,0.318,0.32969,4841458,0
1995-03-15,0.318,0.32734,0.31562,0.31562,7653957,0
1995-03-16,0.31562,0.32734,0.31562,0.32268,3380465,0
1995-03-17,0.318,0.32494,0.31562,0.32268,10924924,0
1995-03-20,0.318,0.32268,0.31562,0.31562,5125442,0
1995-03-21,0.31562,0.32268,0.31562,0.318,3185437,0
1995-03-22,0.31562,0.318,0.31334,0.318,1016196,0
1995-03-23,0.31334,0.318,0.31334,0.318,1125683,0
1995-03-24,0.31334,0.32268,0.31334,0.31562,3749990,0
1995-03-27,0.31334,0.32734,0.31334,0.32268,3982654,0
1995-03-28,0.318,0.32734,0.31334,0.31334,3291502,0
1995-03-29,0.32268,0.32268,0.29923,0.30397,3602867,0
1995-03-30,0.30397,0.30869,0.29923,0.3063,3753411,0
1995-03-31,0.30164,0.3063,0.29455,0.30164,6319559,0
1995-04-03,0.3063,0.3063,0.29923,0.30164,506386,0
1995-04-04,0.29923,0.3063,0.29923,0.30164,5351260,0
1995-04-05,0.3063,0.3063,0.29455,0.29923,2470339,0
1995-04-06,0.29455,0.29455,0.28989,0.28989,4184525,0
1995-04-07,0.28989,0.29455,0.28528,0.28528,13795582,0
1995-04-10,0.28528,0.29923,0.28528,0.29923,3763672,0
1995-04-11,0.30164,0.30164,0.28989,0.29233,6360614,0
1995-04-12,0.29233,0.30164,0.29233,0.29233,1625228,0
1995-04-13,0.29233,0.29923,0.28989,0.29455,3411261,0
1995-04-17,0.29455,0.29923,0.28989,0.29233,4783291,0
1995-04-18,0.29233,0.29455,0.28989,0.29233,5323884,0
1995-04-19,0.28989,0.29455,0.28528,0.28989,3096478,0
1995-04-20,0.28289,0.29233,0.28289,0.28528,632980,0
1995-04-21,0.29233,0.29233,0.28289,0.29233,824586,0
1995-04-24,0.28528,0.29233,0.2782,0.28289,2152139,0
1995-04-25,0.2782,0.2782,0.25953,0.2689,12351696,0
1995-04-26,0.2712,0.2712,0.26425,0.26425,3226494,0
1995-04-27,0.26425,0.2712,0.26425,0.2689,2932241,0
1995-04-28,0.2712,0.2712,0.26425,0.2689,2870668,0
1995-05-01,0.26425,0.27589,0.26425,0.2712,9631583,0
1995-05-02,0.2689,0.27589,0.26425,0.2712,5354683,0
1995-05-03,0.27589,0.27589,0.2689,0.2712,2165820,0
1995-05-04,0.2712,0.28528,0.2712,0.28289,7414440,0
1995-05-05,0.28528,0.28528,0.27589,0.28528,3093058,0
1995-05-08,0.28528,0.28989,0.2782,0.28528,9323650,0
1995-05-09,0.28289,0.28989,0.28289,0.28289,9597370,0
1995-05-10,0.28289,0.28528,0.27589,0.28289,6093729,0
1995-05-11,0.28289,0.28289,0.2712,0.2782,3171748,0
1995-05-12,0.2712,0.28528,0.2712,0.28289,10767536,0
1995-05-15,0.2782,0.28528,0.2782,0.28289,28408902,0
1995-05-16,0.28528,0.29455,0.28289,0.28769,43751016,0
1995-05-17,0.29233,0.29233,0.28289,0.28989,18524129,0
1995-05-18,0.28989,0.28989,0.2782,0.28528,7999521,0
1995-05-19,0.28289,0.28289,0.2782,0.28053,8088481,0
1995-05-22,0.28289,0.28528,0.2782,0.28289,7551299,0
1995-05-23,0.28528,0.29923,0.28289,0.29233,23639307,0
1995-05-24,0.29923,0.29923,0.29233,0.29455,5395739,0
1995-05-25,0.29233,0.29923,0.29233,0.29455,1984487,0
1995-05-26,0.29923,0.29923,0.28989,0.28989,6035560,0
1995-05-30,0.29233,0.29455,0.28989,0.29455,6771189,0
1995-05-31,0.29923,0.29923,0.29233,0.29233,5864488,0
1995-06-01,0.29233,0.30869,0.29233,0.3063,5029643,0
1995-06-02,0.30869,0.30869,0.30164,0.30164,2299265,0
1995-06-05,0.30869,0.31334,0.30164,0.31334,2942505,0
1995-06-06,0.3063,0.32268,0.3063,0.32268,6381140,0
1995-06-07,0.318,0.32268,0.31334,0.32268,3517325,0
1995-06-08,0.32268,0.32494,0.31334,0.32494,13775051,0
1995-06-09,0.32494,0.32494,0.318,0.32494,2514816,0
1995-06-12,0.32494,0.32494,0.318,0.32494,2658525,0
1995-06-13,0.32268,0.32969,0.32268,0.32494,4280327,0
1995-06-14,0.32969,0.32969,0.32268,0.32494,2241097,0
1995-06-15,0.32268,0.32969,0.32268,0.32268,1536267,0
1995-06-16,0.32969,0.33198,0.32268,0.32969,4335072,0
1995-06-19,0.33198,0.33198,0.32268,0.32494,2549036,0
1995-06-20,0.32268,0.32969,0.318,0.32268,4773026,0
1995-06-21,0.31334,0.32268,0.31098,0.31562,3746566,0
1995-06-22,0.31334,0.318,0.31334,0.318,2364267,0
1995-06-23,0.318,0.32268,0.31098,0.31334,2460079,0
1995-06-26,0.31098,0.32268,0.31098,0.318,2716687,0
1995-06-27,0.32268,0.32268,0.31098,0.31098,1324134,0
1995-06-28,0.32268,0.32494,0.31098,0.318,3602867,0
1995-06-29,0.32268,0.32494,0.318,0.318,2668787,0
1995-06-30,0.318,0.32494,0.318,0.32494,2312949,0
1995-07-03,0.32494,0.32494,0.318,0.32494,691149,0
1995-07-05,0.32969,0.33903,0.32268,0.33198,14151417,0
1995-07-06,0.33678,0.33678,0.32969,0.33198,10647781,0
1995-07-07,0.32969,0.33678,0.32494,0.32494,4499301,0
1995-07-10,0.32494,0.33198,0.32494,0.32969,1214636,0
1995-07-11,0.32494,0.33198,0.32494,0.32969,1146210,0
