Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,24.018,24.32,23.817,24.018,125922,0
1995-01-04,23.711,24.22,23.711,23.817,194772,0
1995-01-05,23.817,24.122,23.817,23.817,259627,0
1995-01-06,24.018,24.32,23.916,24.018,166671,0
1995-01-09,23.916,24.535,23.817,24.434,199422,0
1995-01-10,24.32,24.434,23.916,23.916,275082,0
1995-01-11,24.018,24.018,23.711,23.916,104629,0
1995-01-12,23.916,23.916,23.711,23.916,91767,0
1995-01-13,24.018,24.434,24.018,24.434,353338,0
1995-01-16,24.434,25.044,24.32,25.044,279839,0
1995-01-17,25.044,25.35,25.044,25.249,704947,0
1995-01-18,25.147,25.249,24.943,25.044,546817,0
1995-01-19,24.943,24.943,24.535,24.637,270327,0
1995-01-20,24.637,24.841,24.535,24.637,180721,0
1995-01-23,24.434,24.637,24.434,24.434,243844,0
1995-01-24,24.535,24.637,24.434,24.535,226878,0
1995-01-25,24.535,24.637,24.434,24.535,76851,0
1995-01-26,24.535,24.74,24.018,24.74,345448,0
1995-01-27,24.841,25.249,24.74,25.147,174995,0
1995-01-30,25.147,25.147,24.841,24.943,158350,0
1995-01-31,25.286,25.39,24.87,24.97,237469,0
1995-02-01,25.073,25.073,24.564,24.97,303940,0
1995-02-02,24.97,25.073,24.97,25.073,190017,0
1995-02-03,25.175,26.108,25.073,25.901,513955,0
1995-02-06,25.795,26.626,25.692,26.413,392250,0
1995-02-07,26.413,26.413,26.211,26.211,437106,0
1995-02-08,26.211,26.313,26.108,26.108,321995,0
1995-02-09,26.108,26.413,26.108,26.413,244927,0
1995-02-10,26.519,26.626,26.413,26.626,209040,0
1995-02-13,26.626,26.728,26.519,26.728,203422,0
1995-02-14,26.728,26.93,26.519,26.93,340799,0
1995-02-15,26.93,27.651,26.626,27.553,741155,0
1995-02-16,27.651,28.069,27.452,28.069,292808,0
1995-02-17,27.969,28.275,27.753,28.069,442836,0
1995-02-21,28.069,28.172,27.856,28.069,248494,0
1995-02-22,28.069,28.172,27.651,28.069,305241,0
1995-02-23,28.069,28.069,27.553,27.651,474398,0
1995-02-24,27.651,27.753,27.553,27.753,190560,0
1995-02-27,27.651,27.753,27.349,27.651,286104,0
1995-02-28,27.753,28.372,27.753,28.275,468023,0
1995-03-01,28.172,28.372,27.969,28.372,354854,0
1995-03-02,28.372,28.578,28.275,28.578,298214,0
1995-03-03,28.477,28.477,28.069,28.172,358637,0
1995-03-06,28.069,28.172,27.969,28.172,201473,0
1995-03-07,28.275,28.477,28.069,28.275,262113,0
1995-03-08,28.275,28.477,27.969,27.969,435267,0
1995-03-09,28.069,28.172,27.553,27.651,108630,0
1995-03-10,27.856,28.69,27.651,28.69,183857,0
1995-03-13,28.69,28.69,28.172,28.372,184719,0
1995-03-14,28.372,28.477,28.275,28.275,197587,0
1995-03-15,28.275,28.791,28.275,28.69,164293,0
1995-03-16,28.69,28.996,28.477,28.578,179535,0
1995-03-17,28.892,29.198,28.69,29.097,309779,0
1995-03-20,29.31,29.411,28.791,28.791,234551,0
1995-03-21,28.791,29.614,28.791,29.411,285242,0
1995-03-22,29.411,29.512,29.097,29.31,164402,0
1995-03-23,29.097,29.614,28.892,29.198,307619,0
1995-03-24,29.097,29.31,28.892,29.31,165698,0
1995-03-27,29.31,29.411,28.892,29.097,164402,0
1995-03-28,29.097,29.097,28.372,28.892,251410,0
1995-03-29,28.791,29.198,28.372,28.791,455588,0
1995-03-30,28.996,29.512,28.996,29.198,271623,0
1995-03-31,28.996,28.996,28.069,28.372,382739,0
1995-04-03,28.578,28.892,28.372,28.892,192830,0
1995-04-04,28.69,28.791,28.578,28.69,96200,0
1995-04-05,28.791,28.791,27.969,28.275,142567,0
1995-04-06,28.372,28.578,28.275,28.578,50586,0
1995-04-07,28.69,28.791,27.856,28.069,330640,0
1995-04-10,28.069,28.477,27.856,28.372,253466,0
1995-04-11,28.477,28.477,27.969,28.275,81389,0
1995-04-12,28.069,28.578,28.069,28.578,100845,0
1995-04-13,28.578,28.892,28.578,28.892,229579,0
1995-04-17,28.892,28.996,28.477,28.69,468130,0
1995-04-18,28.69,28.791,27.553,27.753,361013,0
1995-04-19,27.651,28.172,27.452,28.069,253466,0
1995-04-20,28.069,28.069,27.553,27.553,193264,0
1995-04-21,27.856,27.856,27.237,27.349,379924,0
1995-04-24,27.452,27.553,27.237,27.452,137054,0
1995-04-25,27.553,27.651,27.132,27.349,230010,0
1995-04-26,27.349,27.349,27.035,27.035,126892,0
1995-04-27,27.132,28.477,26.93,28.172,403599,0
1995-04-28,28.275,28.275,27.856,28.069,128082,0
1995-05-01,27.969,27.969,27.132,27.237,206233,0
1995-05-02,27.452,28.069,27.349,27.969,245468,0
1995-05-03,28.069,28.477,28.069,28.477,241900,0
1995-05-04,28.69,28.69,28.069,28.372,265464,0
1995-05-05,28.477,28.69,28.172,28.69,186559,0
1995-05-08,28.59,28.59,28.182,28.59,199639,0
1995-05-09,28.698,29.217,28.698,29.107,376034,0
1995-05-10,29.107,29.318,29.004,29.107,222659,0
1995-05-11,29.217,29.217,28.698,28.698,138244,0
1995-05-12,28.799,29.422,28.698,29.422,197906,0
1995-05-15,29.422,29.734,29.318,29.627,426080,0
1995-05-16,29.734,30.04,29.734,29.939,252492,0
1995-05-17,29.939,29.939,29.627,29.939,271193,0
1995-05-18,29.834,29.939,29.523,29.627,239416,0
1995-05-19,29.422,29.734,29.217,29.422,234443,0
1995-05-22,29.422,29.523,29.107,29.107,174883,0
1995-05-23,29.318,30.04,29.107,30.04,228391,0
1995-05-24,30.144,30.245,29.834,30.04,177481,0
1995-05-25,29.939,30.04,29.422,29.734,230225,0
1995-05-26,29.523,29.523,28.698,28.904,178884,0
1995-05-30,28.904,29.004,28.799,29.004,148728,0
1995-05-31,29.004,30.245,28.904,30.245,204828,0
1995-06-01,30.144,30.355,29.734,29.939,224712,0
1995-06-02,29.734,30.04,29.523,30.04,131759,0
1995-06-05,30.04,30.454,30.04,30.355,99764,0
1995-06-06,30.355,30.975,30.355,30.559,291944,0
1995-06-07,30.454,30.454,29.734,29.834,182773,0
1995-06-08,29.834,29.939,29.734,29.834,65501,0
1995-06-09,29.834,29.834,29.217,29.627,209367,0
1995-06-12,29.523,30.355,29.523,30.04,176833,0
1995-06-13,30.144,30.454,30.04,30.245,147973,0
1995-06-14,30.144,30.144,29.834,30.04,299728,0
1995-06-15,29.939,30.144,29.734,30.04,255845,0
1995-06-16,30.355,30.355,29.939,30.04,332693,0
1995-06-19,30.04,30.454,29.734,29.834,352041,0
1995-06-20,29.834,29.939,29.318,29.627,202771,0
1995-06-21,29.627,29.627,29.217,29.318,284486,0
1995-06-22,29.422,29.834,29.318,29.627,230337,0
1995-06-23,29.627,29.627,29.318,29.422,266546,0
1995-06-26,29.422,29.422,29.004,29.217,196612,0
1995-06-27,29.318,29.422,29.004,29.004,102574,0
1995-06-28,29.107,29.107,28.799,29.004,129380,0
1995-06-29,29.107,29.318,28.698,29.217,368794,0
1995-06-30,29.318,29.939,29.318,29.834,295618,0
1995-07-03,29.734,29.939,29.734,29.939,64312,0
1995-07-05,29.939,30.355,29.834,30.245,251087,0
1995-07-06,30.355,30.873,30.355,30.873,389764,0
1995-07-07,30.873,31.595,30.873,31.494,516873,0
1995-07-10,31.39,31.494,30.873,31.278,142026,0
1995-07-11,31.278,31.278,30.454,30.873,382089,0
1995-07-12,30.873,31.079,30.764,30.975,261249,0
1995-07-13,30.975,31.278,30.873,30.975,94359,0
1995-07-14,30.764,31.278,30.663,31.079,203203,0
1995-07-17,31.178,31.178,30.355,30.454,223417,0
1995-07-18,30.559,30.559,30.04,30.245,148188,0
1995-07-19,30.04,30.355,29.834,29.939,226878,0
1995-07-20,29.734,30.975,29.734,30.873,254656,0
1995-07-21,30.764,31.178,30.559,30.975,342207,0
1995-07-24,30.975,31.178,30.559,31.178,126030,0
1995-07-25,31.178,31.494,30.975,31.494,256922,0
1995-07-26,31.909,32.111,31.39,31.494,144945,0
1995-07-27,31.494,31.494,30.873,31.178,228068,0
1995-07-28,31.079,31.494,31.079,31.178,96739,0
1995-07-31,31.39,31.39,30.764,30.975,306970,0
1995-08-01,30.975,31.494,30.663,31.494,117595,0
1995-08-02,31.494,32.111,31.079,31.39,217797,0
1995-08-03,31.278,31.799,31.079,31.799,166026,0
1995-08-04,32.012,32.012,31.278,31.39,168726,0
1995-08-07,31.494,31.909,31.39,31.595,117275,0
1995-08-08,31.595,31.595,31.278,31.494,87446,0
1995-08-09,31.54,31.744,31.325,31.325,81065,0
1995-08-10,31.325,31.439,31.226,31.226,72848,0
1995-08-11,31.325,31.439,31.226,31.325,176721,0
1995-08-14,31.439,31.64,31.226,31.64,200396,0
1995-08-15,31.54,31.64,31.439,31.64,52638,0
1995-08-16,31.64,31.64,31.226,31.439,163863,0
1995-08-17,31.54,31.64,31.325,31.439,106247,0
1995-08-18,31.439,31.54,31.325,31.54,135325,0
1995-08-21,31.54,32.057,31.54,31.64,110465,0
1995-08-22,31.54,31.852,31.439,31.64,62150,0
1995-08-23,31.744,31.744,31.439,31.439,52097,0
1995-08-24,31.439,31.64,31.226,31.226,106247,0
1995-08-25,31.439,31.852,31.439,31.64,210229,0
1995-08-28,31.744,31.744,31.439,31.54,48965,0
1995-08-29,31.439,31.744,31.226,31.744,182993,0
1995-08-30,31.744,31.744,31.439,31.744,140728,0
1995-08-31,31.54,31.744,31.54,31.64,126786,0
1995-09-01,31.744,31.955,31.64,31.744,179315,0
1995-09-05,31.955,32.373,31.852,32.373,147538,0
1995-09-06,32.473,32.473,32.057,32.16,51230,0
1995-09-07,32.373,32.473,32.271,32.473,82361,0
1995-09-08,32.473,32.687,31.955,32.16,99228,0
1995-09-11,32.373,32.789,32.373,32.473,80307,0
1995-09-12,32.575,32.687,32.373,32.575,72528,0
1995-09-13,32.575,32.789,32.373,32.687,87118,0
1995-09-14,32.789,33.103,32.789,33.103,120088,0
1995-09-15,34.351,34.351,33.203,33.407,333236,0
1995-09-18,33.307,33.307,32.789,33.203,97496,0
1995-09-19,32.789,33.103,32.473,33.103,149810,0
1995-09-20,32.992,33.307,32.892,33.203,171103,0
1995-09-21,33.103,33.203,32.473,32.892,150243,0
1995-09-22,32.687,32.892,32.473,32.789,95979,0
1995-09-25,32.789,32.789,32.473,32.575,209798,0
1995-09-26,32.687,32.892,32.373,32.789,314964,0
1995-09-27,32.892,32.992,32.473,32.473,346530,0
1995-09-28,32.575,32.575,32.373,32.473,252384,0
1995-09-29,32.473,32.687,32.373,32.473,149485,0
1995-10-02,32.575,32.892,32.271,32.473,239416,0
1995-10-03,32.575,32.892,32.271,32.473,200286,0
1995-10-04,32.473,32.687,32.373,32.373,107440,0
1995-10-05,32.373,32.992,32.373,32.992,181480,0
1995-10-06,32.992,33.203,32.789,32.789,248384,0
1995-10-09,32.892,32.892,32.473,32.687,113815,0
1995-10-10,32.473,32.687,31.955,32.057,181371,0
1995-10-11,32.16,32.16,31.744,31.744,128404,0
1995-10-12,31.955,32.373,31.852,32.373,225040,0
1995-10-13,32.575,32.789,32.16,32.16,266546,0
1995-10-16,32.16,32.16,31.852,31.955,99334,0
1995-10-17,32.057,32.373,31.64,32.057,210341,0
1995-10-18,32.057,32.473,32.057,32.057,181698,0
1995-10-19,32.16,32.575,32.057,32.473,122357,0
1995-10-20,32.271,32.473,31.955,31.955,134786,0
1995-10-23,31.852,31.852,31.54,31.54,74255,0
1995-10-24,31.64,31.852,31.54,31.64,94577,0
1995-10-25,31.744,31.852,31.325,31.439,159211,0
1995-10-26,31.325,31.325,30.29,30.29,176291,0
1995-10-27,30.075,30.29,29.874,30.187,194450,0
1995-10-30,30.29,31.439,30.075,31.325,357771,0
1995-10-31,31.54,31.54,30.391,30.391,392465,0
1995-11-01,30.29,31.439,30.187,31.226,227634,0
1995-11-02,31.226,31.226,30.706,30.911,151322,0
1995-11-03,30.808,30.911,30.605,30.808,552221,0
1995-11-06,30.605,30.706,30.495,30.605,252816,0
1995-11-07,30.391,30.808,30.29,30.495,132733,0
1995-11-08,30.652,31.271,30.539,31.271,170890,0
1995-11-09,31.169,31.271,30.652,30.756,127869,0
1995-11-10,30.652,31.381,30.539,31.381,87552,0
1995-11-13,31.169,31.484,30.963,31.484,120194,0
1995-11-14,31.588,31.699,31.271,31.588,64639,0
1995-11-15,31.484,31.484,31.169,31.381,88524,0
1995-11-16,31.699,31.699,31.169,31.588,182020,0
1995-11-17,32.632,32.743,32.111,32.426,206233,0
1995-11-20,32.316,32.316,32.012,32.111,58480,0
1995-11-21,32.215,32.632,32.111,32.632,123436,0
1995-11-22,32.632,32.844,32.215,32.316,89714,0
1995-11-24,32.316,32.426,32.111,32.111,54582,0
1995-11-27,32.316,32.531,32.012,32.012,90146,0
1995-11-28,31.9,32.316,31.799,32.215,115546,0
1995-11-29,32.316,32.426,32.111,32.316,98252,0
1995-11-30,32.316,32.316,31.9,32.111,156186,0
1995-12-01,32.215,32.844,32.215,32.743,123759,0
1995-12-04,32.945,33.372,32.844,33.26,145701,0
1995-12-05,33.372,33.991,33.159,33.891,202125,0
1995-12-06,33.891,34.306,33.475,33.475,200067,0
1995-12-07,33.372,33.372,32.844,33.056,103227,0
1995-12-08,33.056,33.159,32.316,32.844,279083,0
1995-12-11,32.945,33.475,31.588,31.588,633934,0
1995-12-12,31.588,31.588,31.169,31.169,411815,0
1995-12-13,31.271,31.381,30.756,31.271,671330,0
1995-12-14,31.069,32.012,31.069,31.799,262221,0
1995-12-15,32.012,32.111,31.588,32.012,590162,0
1995-12-18,30.756,31.799,30.756,31.588,370417,0
1995-12-19,31.484,31.484,30.854,30.963,668631,0
1995-12-20,30.963,31.271,30.756,30.963,337343,0
1995-12-21,31.069,31.9,31.069,31.799,116409,0
1995-12-22,31.9,32.316,31.484,31.699,150891,0
1995-12-26,31.699,32.215,31.699,32.215,63015,0
1995-12-27,32.426,32.426,32.012,32.215,130784,0
1995-12-28,32.012,32.531,32.012,32.531,104845,0
1995-12-29,32.844,32.945,32.632,32.945,142567,0
1996-01-02,33.056,33.372,32.844,33.159,234010,0
1996-01-03,33.056,33.26,32.316,32.426,148838,0
1996-01-04,32.426,32.426,31.799,32.111,218227,0
1996-01-05,32.012,32.012,30.963,31.271,214337,0
1996-01-08,31.069,31.484,30.963,31.484,29939,0
1996-01-09,31.588,31.799,31.169,31.169,180510,0
1996-01-10,30.756,30.854,30.021,30.021,467371,0
1996-01-11,30.439,30.539,30.021,30.337,249033,0
1996-01-12,30.337,30.337,29.605,30.021,138353,0
1996-01-15,30.225,30.225,29.292,29.392,184183,0
1996-01-16,29.605,30.021,29.495,29.707,406195,0
1996-01-17,29.707,29.707,29.079,29.182,603130,0
1996-01-18,29.182,29.292,28.864,29.079,140511,0
1996-01-19,28.976,29.392,28.864,29.182,586485,0
1996-01-22,29.182,29.605,29.182,29.392,508229,0
1996-01-23,29.392,29.81,29.292,29.707,555572,0
1996-01-24,29.707,30.539,29.707,30.439,519795,0
1996-01-25,30.439,30.439,28.552,29.707,1042507,0
1996-01-26,30.021,30.439,29.81,30.021,416679,0
1996-01-29,29.81,30.021,28.976,29.392,221363,0
1996-01-30,29.392,30.021,29.182,29.495,423595,0
1996-01-31,29.292,30.439,29.292,30.021,464667,0
1996-02-01,30.169,30.485,29.957,30.381,258547,0
1996-02-02,30.485,30.696,30.271,30.485,321995,0
1996-02-05,30.597,30.696,30.07,30.271,285570,0
1996-02-06,30.271,30.597,29.957,30.381,564002,0
1996-02-07,30.381,31.012,30.381,30.911,374417,0
1996-02-08,30.911,31.54,30.801,31.325,591455,0
1996-02-09,31.226,32.066,31.226,31.955,498177,0
1996-02-12,31.955,32.381,31.752,31.955,181156,0
1996-02-13,31.54,31.752,31.54,31.64,186559,0
1996-02-14,31.64,31.64,31.226,31.54,94038,0
1996-02-15,31.325,31.752,30.801,30.911,130892,0
1996-02-16,30.911,31.325,30.07,30.801,335180,0
1996-02-20,30.271,31.012,30.169,30.801,168075,0
1996-02-21,30.597,31.226,30.485,31.113,162779,0
1996-02-22,31.429,31.752,30.801,31.325,204178,0
1996-02-23,31.325,31.325,30.911,31.012,324907,0
1996-02-26,30.911,31.012,30.597,30.597,145487,0
1996-02-27,30.485,31.113,30.485,30.911,239629,0
1996-02-28,30.911,31.429,30.696,30.911,146786,0
1996-02-29,30.169,30.696,29.442,30.271,390522,0
1996-03-01,30.485,31.325,30.381,31.226,335826,0
1996-03-04,31.113,32.694,31.113,32.694,282001,0
1996-03-05,32.585,32.585,31.54,31.54,491151,0
1996-03-06,31.429,31.54,31.012,31.113,166564,0
1996-03-07,31.012,31.325,30.381,31.325,404896,0
1996-03-08,30.169,30.911,29.644,29.753,370846,0
1996-03-11,29.753,30.801,29.753,30.597,387279,0
1996-03-12,30.485,30.597,29.644,29.856,717163,0
1996-03-13,29.644,30.07,29.644,29.753,313347,0
1996-03-14,29.856,30.696,29.856,30.597,411167,0
1996-03-15,30.696,31.113,30.381,31.012,501202,0
1996-03-18,31.226,31.752,31.226,31.64,243629,0
1996-03-19,31.752,31.955,31.113,31.325,391385,0
1996-03-20,31.54,31.64,31.226,31.429,213796,0
1996-03-21,31.325,31.325,30.07,30.07,512770,0
1996-03-22,30.169,30.597,30.07,30.597,249359,0
1996-03-25,30.485,31.012,30.271,30.911,216284,0
1996-03-26,30.696,30.696,30.381,30.597,266546,0
1996-03-27,30.485,30.485,29.644,29.856,373983,0
1996-03-28,29.644,30.169,29.543,29.644,335937,0
1996-03-29,29.543,29.543,29.012,29.012,456671,0
1996-04-01,29.226,29.644,29.226,29.328,448132,0
