Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.7778,0.7778,0.7553,0.7597,9095465,0
1995-01-04,0.7597,0.7597,0.7459,0.7459,8951263,0
1995-01-05,0.7459,0.7553,0.7141,0.7279,13474374,0
1995-01-06,0.7279,0.7325,0.7006,0.7006,12573970,0
1995-01-09,0.7098,0.7325,0.7006,0.7232,11501228,0
1995-01-10,0.7232,0.7325,0.7186,0.7279,10002901,0
1995-01-11,0.7325,0.7325,0.7186,0.7186,9524567,0
1995-01-12,0.7186,0.7279,0.7098,0.7141,5356692,0
1995-01-13,0.7098,0.7141,0.7006,0.7006,17775904,0
1995-01-16,0.7051,0.7141,0.7006,0.7098,12939763,0
1995-01-17,0.7141,0.7141,0.687,0.6914,20600213,0
1995-01-18,0.6914,0.7006,0.687,0.696,13896441,0
1995-01-19,0.696,0.7279,0.687,0.6914,34974991,0
1995-01-20,0.696,0.696,0.687,0.696,34123833,0
1995-01-23,0.687,0.687,0.6733,0.6824,7583067,0
1995-01-24,0.6777,0.687,0.6777,0.6824,12591560,0
1995-01-25,0.6824,0.6824,0.6733,0.6777,6897219,0
1995-01-26,0.6688,0.6824,0.6688,0.6777,9503464,0
1995-01-27,0.6777,0.7006,0.6777,0.687,12890523,0
1995-01-30,0.696,0.7006,0.6824,0.6824,4248773,0
1995-01-31,0.687,0.696,0.6777,0.6824,17649287,0
1995-02-01,0.6777,0.687,0.6642,0.6642,14392366,0
1995-02-02,0.6688,0.687,0.6414,0.6824,48695572,0
1995-02-03,0.687,0.7325,0.6824,0.7186,39438309,0
1995-02-06,0.7232,0.7232,0.687,0.7051,15180212,0
1995-02-07,0.7051,0.7232,0.6914,0.7232,17596531,0
1995-02-08,0.7186,0.7459,0.7186,0.737,23378796,0
1995-02-09,0.737,0.737,0.7279,0.7279,6253574,0
1995-02-10,0.7325,0.7325,0.7186,0.7186,5743581,0
1995-02-13,0.7186,0.7325,0.7186,0.7279,6798736,0
1995-02-14,0.7325,0.7553,0.7232,0.7459,16488611,0
1995-02-15,0.7459,0.7553,0.7325,0.737,7533835,0
1995-02-16,0.7459,0.7459,0.7232,0.7279,5954611,0
1995-02-17,0.7279,0.7279,0.7186,0.7186,5075315,0
1995-02-21,0.7186,0.7279,0.7006,0.7006,7006253,0
1995-02-22,0.7006,0.7051,0.687,0.6914,9872766,0
1995-02-23,0.696,0.7006,0.687,0.7006,10910340,0
1995-02-24,0.687,0.696,0.6777,0.6777,8515131,0
1995-02-27,0.6824,0.6824,0.6733,0.6733,8856295,0
1995-02-28,0.6688,0.6777,0.6642,0.6777,14561188,0
1995-03-01,0.6824,0.7006,0.6777,0.7006,26262902,0
1995-03-02,0.7006,0.7006,0.6777,0.6824,14529536,0
1995-03-03,0.6777,0.696,0.6777,0.696,5103455,0
1995-03-06,0.6914,0.7006,0.687,0.696,13530650,0
1995-03-07,0.7006,0.7006,0.687,0.687,7586596,0
1995-03-08,0.687,0.7006,0.687,0.696,9900908,0
1995-03-09,0.696,0.7141,0.6914,0.7098,11539921,0
1995-03-10,0.7141,0.7186,0.7051,0.7186,18025626,0
1995-03-13,0.7186,0.7232,0.696,0.696,7368520,0
1995-03-14,0.7006,0.7006,0.687,0.6914,10249107,0
1995-03-15,0.6914,0.7006,0.6824,0.696,6534949,0
1995-03-16,0.6914,0.7279,0.6914,0.7232,16682058,0
1995-03-17,0.7232,0.7232,0.7051,0.7232,16203724,0
1995-03-20,0.7186,0.7232,0.7098,0.7186,8159893,0
1995-03-21,0.7186,0.7186,0.6688,0.687,32221029,0
1995-03-22,0.6688,0.6777,0.646,0.6596,93817671,0
1995-03-23,0.6596,0.6642,0.6322,0.6596,48203162,0
1995-03-24,0.6549,0.6642,0.6414,0.646,36276353,0
1995-03-27,0.646,0.6549,0.646,0.6505,24704779,0
1995-03-28,0.6505,0.687,0.6505,0.6688,37813365,0
1995-03-29,0.6733,0.6824,0.6596,0.6688,21971919,0
1995-03-30,0.6688,0.6777,0.6642,0.6733,13544719,0
1995-03-31,0.6642,0.687,0.6642,0.6824,21025796,0
1995-04-03,0.6824,0.6824,0.6688,0.6777,38822804,0
1995-04-04,0.6777,0.687,0.6688,0.687,11687641,0
1995-04-05,0.687,0.6914,0.6777,0.6914,16351441,0
1995-04-06,0.687,0.7459,0.687,0.7279,55930446,0
1995-04-07,0.7279,0.7279,0.7006,0.7098,25978003,0
1995-04-10,0.7141,0.7141,0.7006,0.7051,7502185,0
1995-04-11,0.7006,0.7232,0.7006,0.7006,18556725,0
1995-04-12,0.7006,0.7186,0.7006,0.7141,11314818,0
1995-04-13,0.7051,0.7279,0.7051,0.7279,11163576,0
1995-04-17,0.7279,0.7325,0.7186,0.7232,18405490,0
1995-04-18,0.7186,0.7279,0.7186,0.7232,10115453,0
1995-04-19,0.7232,0.7232,0.7098,0.7232,16217788,0
1995-04-20,0.7186,0.7325,0.687,0.7006,41615456,0
1995-04-21,0.6914,0.7098,0.6914,0.696,15074695,0
1995-04-24,0.6914,0.7006,0.6733,0.6733,24437471,0
1995-04-25,0.6777,0.6777,0.6642,0.6733,35857807,0
1995-04-26,0.6733,0.6733,0.6642,0.6688,18380863,0
1995-04-27,0.6733,0.6777,0.6642,0.6733,12844799,0
1995-04-28,0.6688,0.6777,0.6642,0.6688,20484141,0
1995-05-01,0.6733,0.7006,0.6688,0.696,15299797,0
1995-05-02,0.7006,0.7051,0.7006,0.7051,10203381,0
1995-05-03,0.7006,0.7141,0.6914,0.7098,11233919,0
1995-05-04,0.7141,0.7778,0.7051,0.7597,72781323,0
1995-05-05,0.7553,0.7597,0.7459,0.7597,21570960,0
1995-05-08,0.7506,0.7734,0.7459,0.7642,13593959,0
1995-05-09,0.7597,0.7642,0.7325,0.737,11743917,0
1995-05-10,0.7459,0.7642,0.7186,0.7597,20547453,0
1995-05-11,0.7553,0.8007,0.7553,0.7961,54544662,0
1995-05-12,0.7915,0.8553,0.787,0.828,103423130,0
1995-05-15,0.828,0.8963,0.828,0.8643,77135616,0
1995-05-16,0.8735,0.8735,0.837,0.8509,45136165,0
1995-05-17,0.8553,0.8597,0.819,0.828,28369699,0
1995-05-18,0.828,0.837,0.819,0.828,12964383,0
1995-05-19,0.8323,0.8416,0.819,0.828,11933843,0
1995-05-22,0.828,0.8597,0.819,0.8462,18036180,0
1995-05-23,0.8553,0.8781,0.8553,0.8735,21250900,0
1995-05-24,0.8735,0.8914,0.8735,0.8824,26259380,0
1995-05-25,0.8781,0.8914,0.8781,0.887,13833128,0
1995-05-26,0.887,0.887,0.8597,0.8643,11001791,0
1995-05-30,0.8643,0.8689,0.8143,0.8236,30230293,0
1995-05-31,0.8236,0.828,0.819,0.8236,13804992,0
1995-06-01,0.8236,0.8597,0.7915,0.8416,35390020,0
1995-06-02,0.8323,0.8781,0.819,0.8689,39695068,0
1995-06-05,0.8643,0.9143,0.8643,0.9053,41453667,0
1995-06-06,0.9053,0.9099,0.8824,0.887,16660954,0
1995-06-07,0.887,0.9188,0.8689,0.9188,38530873,0
1995-06-08,0.9188,0.9645,0.9143,0.9553,69046066,0
1995-06-09,0.9553,0.978,0.9553,0.9598,51667597,0
1995-06-12,0.9553,0.9645,0.9372,0.9598,23755136,0
1995-06-13,0.9645,0.9734,0.9461,0.9645,25109254,0
1995-06-14,0.9598,0.9872,0.9553,0.969,38481634,0
1995-06-15,0.969,1.0052,0.969,0.9872,44379975,0
1995-06-16,0.9964,0.9964,0.9645,0.9645,16140411,0
1995-06-19,0.969,1.0145,0.969,1.0052,54031156,0
1995-06-20,1.0052,1.0145,0.978,0.9872,35829672,0
1995-06-21,0.9872,0.9964,0.978,0.9917,18982302,0
1995-06-22,0.9917,1.0598,0.9872,1.0371,60896721,0
1995-06-23,1.0326,1.0509,1.0326,1.0417,30448359,0
1995-06-26,1.0552,1.0552,1.0371,1.0417,25144425,0
1995-06-27,1.0417,1.0417,1.0052,1.0145,23139629,0
1995-06-28,1.0052,1.0099,0.9872,0.9917,24247544,0
1995-06-29,0.9917,1.0145,0.9917,1.0052,16889572,0
1995-06-30,1.0052,1.0145,1.0052,1.0145,7340390,0
1995-07-03,1.0145,1.0189,1.0052,1.0099,3443331,0
1995-07-05,1.0052,1.0371,1.0052,1.0236,35041813,0
1995-07-06,1.0236,1.0918,1.0236,1.0873,61515750,0
1995-07-07,1.0826,1.1282,1.0781,1.119,42628408,0
1995-07-10,1.1236,1.1236,1.0509,1.069,33357080,0
1995-07-11,1.069,1.0737,1.0509,1.0509,19182786,0
1995-07-12,1.0598,1.0826,1.0417,1.0781,19847540,0
1995-07-13,1.0826,1.1099,1.0737,1.1099,26238274,0
1995-07-14,1.1055,1.1099,1.0781,1.0781,18236659,0
1995-07-17,1.0826,1.0873,1.0737,1.0737,8265408,0
1995-07-18,1.0737,1.0781,1.0509,1.0509,14846080,0
1995-07-19,1.0509,1.0509,1.0145,1.0145,13442720,0
1995-07-20,1.0145,1.0326,1.0052,1.0145,24637957,0
1995-07-21,1.0145,1.0737,0.9917,1.0598,50229064,0
1995-07-24,1.069,1.1009,1.0552,1.1009,26927651,0
1995-07-25,1.1055,1.2009,1.0918,1.1646,104474772,0
1995-07-26,1.1646,1.1736,1.1463,1.1555,35358366,0
1995-07-27,1.1555,1.1555,1.1418,1.1555,24754021,0
1995-07-28,1.1555,1.1555,1.0873,1.1009,21848821,0
1995-07-31,1.1009,1.1055,1.0509,1.0598,37247100,0
1995-08-01,1.0598,1.1282,1.0598,1.119,47242964,0
1995-08-02,1.1236,1.1555,1.119,1.119,30075539,0
1995-08-03,1.119,1.119,1.0826,1.0918,14585809,0
1995-08-04,1.0873,1.1009,1.0826,1.0873,4579387,0
1995-08-07,1.0873,1.1009,1.069,1.069,10861100,0
1995-08-08,1.0781,1.0918,1.069,1.0781,11923289,0
1995-08-09,1.0781,1.0873,1.0781,1.0826,2472588,0
1995-08-10,1.0873,1.0873,1.0781,1.0781,1653080,0
1995-08-11,1.0826,1.0826,1.0598,1.069,7062524,0
1995-08-14,1.0598,1.0737,1.0509,1.0598,10864612,0
1995-08-15,1.0598,1.1099,1.0509,1.1009,25492634,0
1995-08-16,1.1099,1.1463,1.1055,1.1418,29565549,0
1995-08-17,1.1463,1.1555,1.1282,1.1329,18873270,0
1995-08-18,1.1374,1.1418,1.1282,1.1282,7129360,0
1995-08-21,1.1329,1.1463,1.1282,1.1329,10920895,0
1995-08-22,1.1374,1.1374,1.119,1.1282,7604173,0
1995-08-23,1.1282,1.1374,1.1236,1.1374,2711760,0
1995-08-24,1.1374,1.1374,1.1282,1.1282,7660454,0
1995-08-25,1.1374,1.1374,1.1236,1.1329,3622710,0
1995-08-28,1.1282,1.1329,1.1099,1.1099,8989954,0
1995-08-29,1.1099,1.1099,1.069,1.0826,15996204,0
1995-08-30,1.0826,1.1236,1.0737,1.1099,19407881,0
1995-08-31,1.1099,1.1555,1.1099,1.1374,24289751,0
1995-09-01,1.1374,1.1374,1.119,1.119,3967396,0
1995-09-05,1.1236,1.1463,1.119,1.1418,14511946,0
1995-09-06,1.1374,1.1736,1.1329,1.1646,27536121,0
1995-09-07,1.1736,1.2237,1.1693,1.1919,39072522,0
1995-09-08,1.1919,1.2056,1.1872,1.1964,17367916,0
1995-09-11,1.2056,1.2327,1.1964,1.2237,22211092,0
1995-09-12,1.2237,1.2237,1.2009,1.2147,12443834,0
1995-09-13,1.2147,1.2464,1.2009,1.2327,33378185,0
1995-09-14,1.2327,1.242,1.2191,1.2374,17515631,0
1995-09-15,1.2237,1.2327,1.1919,1.1919,13238724,0
1995-09-18,1.1964,1.2009,1.1736,1.1919,18430106,0
1995-09-19,1.1919,1.2327,1.1919,1.2237,25837314,0
1995-09-20,1.2327,1.2602,1.2327,1.2327,23385833,0
1995-09-21,1.242,1.242,1.1872,1.1919,20174630,0
1995-09-22,1.1919,1.2147,1.1827,1.2056,20459524,0
1995-09-25,1.2147,1.2147,1.1736,1.1872,12549356,0
1995-09-26,1.1872,1.2327,1.1827,1.2237,28197356,0
1995-09-27,1.2191,1.2237,1.1964,1.1964,28545556,0
1995-09-28,1.2009,1.2056,1.1964,1.2009,16397167,0
1995-09-29,1.2056,1.2464,1.0236,1.0781,253769165,0
1995-10-02,1.0918,1.1055,1.0552,1.069,61135896,0
1995-10-03,1.069,1.0826,1.0236,1.0236,33561080,0
1995-10-04,1.0282,1.0282,0.978,0.978,37697298,0
1995-10-05,0.9872,1.0326,0.978,1.0189,43405708,0
