Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.5361,1.5361,1.4623,1.4713,4172770,0
1995-01-04,1.4713,1.4993,1.4713,1.4899,4993320,0
1995-01-05,1.4807,1.4899,1.4713,1.4807,4575388,0
1995-01-06,1.4807,1.5269,1.4807,1.5269,2030590,0
1995-01-09,1.5269,1.5642,1.5269,1.5544,2299728,0
1995-01-10,1.5458,1.6102,1.5458,1.5733,5157431,0
1995-01-11,1.5824,1.5919,1.5544,1.5733,3560091,0
1995-01-12,1.5642,1.5824,1.5642,1.5733,1470427,0
1995-01-13,1.5824,1.6473,1.5642,1.6473,10999746,0
1995-01-16,1.6658,1.7492,1.6658,1.7306,28539823,0
1995-01-17,1.712,1.7306,1.6658,1.6658,19052079,0
1995-01-18,1.6843,1.6934,1.6658,1.6753,8815988,0
1995-01-19,1.6753,1.712,1.6564,1.6934,3995532,0
1995-01-20,1.6473,1.6658,1.6198,1.6198,8971346,0
1995-01-23,1.6102,1.6379,1.5544,1.6379,8251451,0
1995-01-24,1.6289,1.6753,1.6198,1.6753,5264650,0
1995-01-25,1.6564,1.7768,1.6473,1.7306,11577413,0
1995-01-26,1.7306,1.7306,1.712,1.7306,4159641,0
1995-01-27,1.7306,1.7492,1.712,1.7397,4065552,0
1995-01-30,1.7397,1.7584,1.7306,1.7584,2702346,0
1995-01-31,1.7584,1.7768,1.7584,1.7676,3498825,0
1995-02-01,1.7768,1.8139,1.7768,1.8046,6993277,0
1995-02-02,1.8046,1.823,1.7862,1.8139,8953842,0
1995-02-03,1.8139,1.9806,1.8139,1.9252,30360350,0
1995-02-06,1.9252,1.9252,1.8972,1.9063,5969228,0
1995-02-07,1.9157,1.9252,1.8788,1.8972,3601667,0
1995-02-08,1.8972,1.9063,1.86,1.86,4562256,0
1995-02-09,1.86,1.9157,1.823,1.8879,7820389,0
1995-02-10,1.8788,1.8879,1.86,1.8788,3400358,0
1995-02-13,1.8693,1.8972,1.8693,1.8879,2059033,0
1995-02-14,1.8972,1.9342,1.8972,1.9252,4859842,0
1995-02-15,1.9157,1.9525,1.8788,1.9525,9719690,0
1995-02-16,1.9525,1.9988,1.9342,1.9806,4214346,0
1995-02-17,1.9712,1.9712,1.9525,1.9525,5203378,0
1995-02-21,1.9434,1.9525,1.9342,1.9434,1190344,0
1995-02-22,1.9434,1.9434,1.9342,1.9434,2741729,0
1995-02-23,1.9434,2.0543,1.9434,2.0173,8133293,0
1995-02-24,2.0173,2.0268,1.9988,2.0173,4551320,0
1995-02-27,2.0083,2.0173,1.9712,1.9712,5212133,0
1995-02-28,1.9806,1.9806,1.9434,1.9619,3459440,0
1995-03-01,1.9619,1.9988,1.9434,1.9525,4606020,0
1995-03-02,1.9434,1.9712,1.9157,1.9252,3053173,0
1995-03-03,1.9434,2.0637,1.9342,2.0543,8221544,0
1995-03-06,2.0452,2.1193,2.0173,2.101,5369677,0
1995-03-07,2.101,2.1287,2.0452,2.0543,4434618,0
1995-03-08,1.9806,2.0173,1.9806,1.9806,4570281,0
1995-03-09,1.9806,1.9806,1.8972,1.9063,7077880,0
1995-03-10,1.9063,1.9806,1.8879,1.9806,6129689,0
1995-03-13,1.9897,2.0173,1.9619,1.9988,5425110,0
1995-03-14,1.9806,2.101,1.9806,2.0916,8007108,0
1995-03-15,2.0729,2.1193,2.0637,2.101,4669477,0
1995-03-16,2.101,2.1931,2.0916,2.1377,5766459,0
1995-03-17,2.1472,2.1655,2.1193,2.1655,4600917,0
1995-03-20,2.1377,2.1377,2.1193,2.1377,1810317,0
1995-03-21,2.1287,2.1472,2.101,2.101,1711122,0
1995-03-22,2.0824,2.0824,2.0268,2.0729,2360265,0
1995-03-23,2.0543,2.0824,2.0452,2.0729,2097691,0
1995-03-24,2.0824,2.1193,2.0637,2.0637,4558613,0
1995-03-27,2.0543,2.0916,2.0268,2.0824,4845984,0
1995-03-28,2.0729,2.1287,2.0729,2.1193,2134159,0
1995-03-29,2.1193,2.1287,2.0452,2.0543,2385063,0
1995-03-30,2.0543,2.0824,2.036,2.0824,1937231,0
1995-03-31,2.0543,2.1377,2.036,2.1377,3468918,0
1995-04-03,2.101,2.1099,2.0729,2.0729,5994027,0
1995-04-04,2.0637,2.0729,2.036,2.0452,993415,0
1995-04-05,2.0452,2.0452,1.9619,2.0268,3951768,0
1995-04-06,2.0268,2.036,2.0083,2.0173,1178676,0
1995-04-07,2.0173,2.036,1.9712,1.9712,1989743,0
1995-04-10,1.9897,2.0543,1.9806,2.0452,4385016,0
1995-04-11,2.0543,2.0824,2.0268,2.0824,2192507,0
1995-04-12,2.0824,2.1099,2.0543,2.101,1307041,0
1995-04-13,2.0916,2.1845,2.0916,2.1749,7557813,0
1995-04-17,2.1931,2.2304,2.1561,2.1655,3314293,0
1995-04-18,2.1472,2.1561,2.1099,2.1193,2093315,0
1995-04-19,2.1193,2.1193,2.0729,2.0824,2983155,0
1995-04-20,2.0916,2.1193,2.0637,2.101,1442709,0
1995-04-21,2.101,2.1287,2.0824,2.0824,2344222,0
1995-04-24,2.0729,2.1931,2.0637,2.1931,2652015,0
1995-04-25,2.1845,2.2583,2.1845,2.2304,4093266,0
1995-04-26,2.2212,2.2304,2.1749,2.2304,2863539,0
1995-04-27,2.2212,2.2765,2.2212,2.2583,2625759,0
1995-04-28,2.2765,2.2859,2.2485,2.2765,2029127,0
1995-05-01,2.2765,2.2765,2.1931,2.2025,3393065,0
1995-05-02,2.2118,2.2583,2.2025,2.2485,3130490,0
1995-05-03,2.2396,2.2485,2.2118,2.2304,3220933,0
1995-05-04,2.2485,2.295,2.2396,2.2583,9674466,0
1995-05-05,2.2583,2.2674,2.2396,2.2583,4328130,0
1995-05-08,2.2583,2.3138,2.2485,2.3043,3706698,0
1995-05-09,2.3043,2.3138,2.295,2.3138,4090350,0
1995-05-10,2.3228,2.3416,2.2859,2.295,4453581,0
1995-05-11,2.3043,2.4155,2.2859,2.3875,3872995,0
1995-05-12,2.3875,2.3875,2.3506,2.3875,4422948,0
1995-05-15,2.369,2.4246,2.3321,2.406,4609667,0
1995-05-16,2.4246,2.5078,2.4155,2.4986,10838552,0
1995-05-17,2.4431,2.4619,2.4341,2.4431,5878785,0
1995-05-18,2.4155,2.4155,2.3416,2.3506,3625007,0
1995-05-19,2.3138,2.3138,2.2674,2.2859,6729237,0
1995-05-22,2.3043,2.3416,2.295,2.3416,4773047,0
1995-05-23,2.3416,2.3416,2.3138,2.3228,2698699,0
1995-05-24,2.3321,2.3506,2.2765,2.2859,6727783,0
1995-05-25,2.2859,2.3506,2.2859,2.3506,2558657,0
1995-05-26,2.3416,2.3416,2.2765,2.2859,1293917,0
1995-05-30,2.295,2.3043,2.2396,2.2485,2393817,0
1995-05-31,2.2396,2.3416,2.2118,2.3321,2142913,0
1995-06-01,2.3321,2.4986,2.3321,2.4803,7468829,0
1995-06-02,2.4619,2.5636,2.4246,2.5078,5560775,0
1995-06-05,2.4986,2.6005,2.4986,2.5819,4125362,0
1995-06-06,2.5819,2.6191,2.5819,2.6191,5741661,0
