Date,Open,High,Low,Close,Volume,OpenInt
1995-01-04,150.12,150.12,148.49,148.49,646,0
1995-01-06,149.42,149.42,148.49,148.49,323,0
1995-01-09,147.56,147.56,147.56,147.56,215,0
1995-01-11,147.56,147.79,147.56,147.79,1293,0
1995-01-16,151.51,151.51,149.42,149.42,323,0
1995-01-17,151.27,154.06,151.27,154.06,323,0
1995-01-18,155.92,156.84,148.49,148.49,968,0
1995-01-19,148.48,154.06,148.48,154.06,323,0
1995-01-24,156.84,156.84,155.91,155.91,323,0
1995-01-27,157.76,157.76,155.91,155.91,861,0
1995-01-30,157.76,157.76,157.76,157.76,215,0
1995-01-31,158.69,158.69,155.91,155.91,646,0
1995-02-03,155.91,155.91,154.53,154.53,646,0
1995-02-06,155.91,155.91,155.91,155.91,646,0
1995-02-07,155.91,157.07,154.99,157.07,2048,0
1995-02-08,156.14,156.14,155.91,155.91,968,0
1995-02-13,155.91,155.91,155.91,155.91,323,0
1995-02-14,157.76,157.76,155.91,155.91,323,0
1995-02-15,157.76,157.99,156.14,157.99,646,0
1995-02-16,156.14,156.14,155.91,155.91,861,0
1995-02-17,157.76,157.76,157.76,157.76,215,0
1995-02-21,157.76,157.76,157.76,157.76,215,0
1995-02-24,159.62,159.62,157.76,157.76,968,0
1995-02-28,156.84,156.84,152.2,152.2,5388,0
1995-03-03,151.27,153.13,151.27,153.13,323,0
1995-03-07,154.99,159.62,154.99,158.69,646,0
1995-03-08,157.76,157.76,157.76,157.76,215,0
1995-03-09,159.62,159.62,159.62,159.62,1833,0
1995-03-10,159.86,166.11,158.69,166.11,8081,0
1995-03-13,166.11,174.47,166.11,174.47,1726,0
1995-03-14,176.33,178.19,176.33,176.33,646,0
1995-03-15,176.56,178.43,176.56,177.96,645,0
1995-03-16,179.82,187.47,179.82,187.47,3657,0
1995-03-17,188.63,195.13,188.63,195.13,645,0
1995-03-20,195.14,200.72,194.67,200.72,967,0
1995-03-21,203.51,203.51,199.79,199.79,1182,0
1995-03-22,199.79,199.79,199.79,199.79,2046,0
1995-03-23,199.78,210.02,199.78,210.02,967,0
1995-03-24,212.8,213.73,210.03,213.73,645,0
1995-03-28,217.43,217.43,216.51,217.43,537,0
1995-03-29,218.36,232.32,217.66,232.32,1723,0
1995-03-30,232.32,262.05,232.32,262.05,2046,0
1995-03-31,278.77,278.77,262.05,264.84,10224,0
1995-04-03,264.85,264.85,245.31,248.57,4414,0
1995-04-04,248.57,256.48,246.24,256.48,1182,0
1995-04-05,256.48,256.48,255.55,255.55,2475,0
1995-04-06,258.34,258.34,255.08,255.08,645,0
1995-04-07,255.54,262.98,255.54,261.36,1291,0
1995-04-10,261.36,261.36,261.13,261.13,2905,0
1995-04-11,261.13,261.13,261.13,261.13,1291,0
1995-04-12,260.2,260.2,260.2,260.2,967,0
1995-04-17,265.78,271.34,265.78,271.34,645,0
1995-04-18,267.63,284.35,267.63,282.49,3228,0
1995-04-19,281.56,281.56,280.63,280.63,645,0
1995-04-20,278.77,278.77,278.77,278.77,1831,0
1995-04-21,277.37,278.77,277.37,278.77,1182,0
1995-04-24,275.98,275.98,273.19,273.19,215,0
1995-04-25,270.4,270.4,267.63,267.63,215,0
1995-04-26,264.84,264.84,258.34,258.34,322,0
1995-04-27,256.47,256.47,250.89,250.89,322,0
1995-04-28,254.62,256.48,250.9,256.48,322,0
1995-05-01,260.2,271.34,260.2,271.34,645,0
1995-05-03,263.91,263.91,263.91,263.91,215,0
1995-05-04,260.2,260.2,258.34,258.34,322,0
1995-05-09,254.61,254.61,253.68,253.68,215,0
1995-05-10,249.96,249.96,246.24,246.24,215,0
1995-05-11,242.53,242.53,238.82,239.75,322,0
1995-05-12,236.04,236.04,234.18,234.18,322,0
1995-05-18,236.05,236.05,233.72,233.72,215,0
