Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.0199,8.099,7.9314,7.9314,121867,0
1995-01-04,7.9314,7.9579,7.9053,7.9314,22238,0
1995-01-05,7.9848,7.9848,7.9579,7.9848,58779,0
1995-01-06,8.0199,8.2047,8.0199,8.2047,83059,0
1995-01-09,8.2047,8.2047,8.0373,8.0638,40396,0
1995-01-10,8.099,8.2047,8.099,8.1784,45160,0
1995-01-11,8.1518,8.1518,7.9314,8.1518,65586,0
1995-01-12,8.1254,8.2842,8.1254,8.2842,94180,0
1995-01-13,8.2842,8.4252,8.2399,8.4252,74435,0
1995-01-16,8.4252,8.866,8.4252,8.8131,319527,0
1995-01-17,8.7599,8.8131,8.6454,8.6809,187454,0
1995-01-18,8.7074,8.8131,8.5927,8.7248,262340,0
1995-01-19,8.7599,8.866,8.6809,8.6809,82606,0
1995-01-20,8.6809,8.7867,8.6634,8.7867,41529,0
1995-01-23,8.8131,8.9187,8.8131,8.8131,99172,0
1995-01-24,8.8131,8.9187,8.8131,8.866,120504,0
1995-01-25,8.901,8.9451,8.7074,8.7074,45391,0
1995-01-26,8.7599,8.866,8.6454,8.866,81470,0
1995-01-27,8.866,8.866,8.5663,8.8131,80107,0
1995-01-30,8.8392,8.901,8.7599,8.7867,80791,0
1995-01-31,8.8131,8.8392,8.7599,8.8131,79884,0
1995-02-01,8.8131,8.866,8.7074,8.8131,84872,0
1995-02-02,8.8131,8.866,8.7867,8.7867,23601,0
1995-02-03,8.8131,9.0865,8.8131,8.901,27007,0
1995-02-06,8.9451,8.9451,8.866,8.9187,136164,0
1995-02-07,8.9805,9.0069,8.9187,8.9805,84422,0
1995-02-08,9.0334,9.0334,8.9805,9.0334,36084,0
1995-02-09,9.0069,9.1216,9.0069,9.0865,56054,0
1995-02-10,9.1216,9.1474,9.0597,9.1474,13390,0
1995-02-13,9.1474,9.1474,9.0597,9.0597,25642,0
1995-02-14,9.0597,9.0597,8.866,8.9187,77841,0
1995-02-15,8.9805,9.0334,8.9451,9.0069,127769,0
1995-02-16,9.0334,9.2018,9.0334,9.1474,60594,0
1995-02-17,9.0865,9.2018,9.0865,9.1474,72393,0
1995-02-21,9.1474,9.1474,9.0597,9.0865,42438,0
1995-02-22,9.0865,9.0865,9.0069,9.0334,91456,0
1995-02-23,9.0334,9.2543,9.0334,9.1657,67400,0
1995-02-24,9.2018,9.2263,9.1657,9.2018,19516,0
1995-02-27,9.2018,9.2263,9.0865,9.1216,36993,0
1995-02-28,9.1657,9.3401,9.1657,9.2263,182910,0
1995-03-01,9.2263,9.2263,9.1657,9.2018,54689,0
1995-03-02,9.2018,9.2808,9.2018,9.2808,50154,0
1995-03-03,9.2263,9.2543,9.0334,9.2018,85555,0
1995-03-06,9.1216,9.2543,9.0686,9.2543,76479,0
1995-03-07,9.305,9.3401,9.0865,9.3401,76251,0
1995-03-08,9.305,9.4744,9.2543,9.3401,101214,0
1995-03-09,9.3401,9.3401,9.1474,9.1657,39261,0
1995-03-10,9.2263,9.3847,9.2263,9.3847,69897,0
1995-03-13,9.3587,9.528,9.3587,9.4474,149553,0
1995-03-14,9.502,9.694,9.4744,9.642,51969,0
1995-03-15,9.642,9.801,9.642,9.747,195165,0
1995-03-16,9.747,10.029,9.747,9.826,342222,0
1995-03-17,9.801,9.889,9.747,9.826,105296,0
1995-03-20,9.861,9.861,9.747,9.801,72167,0
1995-03-21,9.826,9.916,9.747,9.747,350846,0
1995-03-22,9.694,9.72,9.606,9.606,34040,0
1995-03-23,9.642,9.642,9.4744,9.563,170431,0
1995-03-24,9.606,9.606,9.502,9.528,59009,0
1995-03-27,9.642,9.642,9.502,9.528,41529,0
1995-03-28,9.563,9.563,9.4744,9.502,87144,0
1995-03-29,9.587,9.587,9.4744,9.4744,51969,0
1995-03-30,9.502,9.502,9.4474,9.502,38353,0
1995-03-31,9.502,9.587,9.4744,9.502,56054,0
1995-04-03,9.4474,9.4474,9.305,9.4474,150913,0
1995-04-04,9.502,9.528,9.4474,9.4474,45844,0
1995-04-05,9.4474,9.528,9.305,9.3587,159086,0
1995-04-06,9.4198,9.4198,9.305,9.3847,316575,0
1995-04-07,9.4198,9.4474,9.3401,9.3401,96451,0
1995-04-10,9.2543,9.3587,9.2543,9.3587,94634,0
1995-04-11,9.3401,9.3401,9.2263,9.2543,45391,0
1995-04-12,9.2263,9.3587,9.2263,9.2808,33813,0
1995-04-13,9.305,9.305,9.2018,9.2263,21332,0
1995-04-17,9.2543,9.305,9.2263,9.2263,27687,0
1995-04-18,9.2263,9.2263,9.0865,9.1216,42212,0
1995-04-19,9.1216,9.1216,8.9805,9.0597,66950,0
1995-04-20,9.0069,9.0334,8.9805,8.9805,117780,0
1995-04-21,8.9805,9.0069,8.866,8.9187,233971,0
1995-04-24,9.0069,9.4744,9.0069,9.4744,258935,0
1995-04-25,9.4744,9.4744,9.3587,9.4474,38127,0
1995-04-26,9.4474,9.4744,9.3587,9.3847,31769,0
1995-04-27,9.3401,9.3587,9.2018,9.305,70805,0
1995-04-28,9.3401,9.4474,9.305,9.4474,47658,0
1995-05-01,9.3587,9.528,9.3587,9.4744,68535,0
1995-05-02,9.528,9.861,9.502,9.801,386477,0
1995-05-03,9.801,10.003,9.747,10.003,80791,0
1995-05-04,9.941,9.941,9.801,9.826,142514,0
1995-05-05,9.783,9.801,9.694,9.783,62634,0
1995-05-08,9.528,9.606,9.4474,9.587,135255,0
1995-05-09,9.606,9.642,9.563,9.642,42663,0
1995-05-10,9.642,9.694,9.587,9.667,19972,0
1995-05-11,9.606,9.606,9.563,9.587,46067,0
1995-05-12,9.563,9.587,9.502,9.502,78523,0
1995-05-15,9.4474,9.528,9.4474,9.528,65357,0
1995-05-16,9.528,9.528,9.4474,9.4744,342674,0
1995-05-17,9.4744,9.4744,9.4198,9.4198,46067,0
1995-05-18,9.4474,9.4744,9.4198,9.4744,53556,0
1995-05-19,9.4198,9.502,9.4198,9.4744,91230,0
1995-05-22,9.4744,9.528,9.4744,9.502,92365,0
1995-05-23,9.563,9.606,9.502,9.606,33813,0
1995-05-24,9.667,9.747,9.606,9.747,49927,0
1995-05-25,9.801,9.801,9.563,9.694,69897,0
1995-05-26,9.72,9.72,9.667,9.667,20877,0
1995-05-30,9.642,9.747,9.642,9.72,76479,0
1995-05-31,9.72,9.826,9.72,9.826,25642,0
1995-06-01,9.801,9.861,9.587,9.694,129808,0
1995-06-02,9.642,9.642,9.606,9.642,34719,0
1995-06-05,9.606,9.642,9.587,9.642,113920,0
1995-06-06,9.642,9.72,9.587,9.72,126635,0
1995-06-07,9.72,9.826,9.72,9.783,12255,0
1995-06-08,9.72,9.916,9.72,9.916,80107,0
1995-06-09,9.826,9.861,9.747,9.801,44253,0
1995-06-12,9.747,9.826,9.667,9.747,20194,0
1995-06-13,9.783,9.941,9.783,9.801,30635,0
1995-06-14,9.861,9.861,9.694,9.72,27917,0
1995-06-15,9.694,9.861,9.694,9.826,21332,0
1995-06-16,9.826,9.861,9.72,9.747,43116,0
1995-06-19,9.747,9.889,9.694,9.783,22693,0
1995-06-20,9.826,9.941,9.783,9.783,70126,0
1995-06-21,9.783,9.826,9.783,9.826,83968,0
1995-06-22,9.861,10.082,9.826,10.082,103484,0
1995-06-23,10.082,10.082,10.003,10.029,57415,0
1995-06-26,9.916,9.941,9.72,9.747,47885,0
1995-06-27,9.801,9.861,9.694,9.694,65810,0
1995-06-28,9.747,9.861,9.694,9.783,206059,0
1995-06-29,9.783,9.861,9.747,9.783,94407,0
1995-06-30,9.801,9.801,9.694,9.694,37671,0
1995-07-03,9.747,9.889,9.747,9.889,4993,0
1995-07-05,9.889,10.003,9.889,9.969,39942,0
1995-07-06,9.941,10.003,9.932,10.003,70350,0
1995-07-07,9.969,10.603,9.969,10.488,346309,0
1995-07-10,10.55,10.795,10.55,10.708,142063,0
1995-07-11,10.664,10.821,10.629,10.821,71259,0
1995-07-12,10.795,10.929,10.795,10.911,80336,0
1995-07-13,10.911,10.929,10.77,10.77,91683,0
1995-07-14,10.795,10.884,10.664,10.821,34269,0
1995-07-17,10.795,10.795,10.488,10.55,31998,0
1995-07-18,10.603,10.603,10.301,10.382,46748,0
1995-07-19,10.382,10.382,10.224,10.224,68764,0
1995-07-20,10.189,10.488,10.107,10.488,87597,0
1995-07-21,10.47,10.848,10.47,10.664,170204,0
1995-07-24,10.629,10.629,10.405,10.405,161581,0
1995-07-25,10.357,10.488,10.357,10.488,627935,0
1995-07-26,10.47,10.68,10.405,10.68,29047,0
1995-07-27,10.629,10.848,10.629,10.848,113698,0
1995-07-28,10.848,10.989,10.848,10.911,36084,0
1995-07-31,10.911,11.183,10.911,11.183,106211,0
1995-08-01,11.183,11.21,11.07,11.104,27462,0
1995-08-02,11.104,11.21,11.104,11.21,22013,0
1995-08-03,11.236,11.236,10.963,11.07,53786,0
1995-08-04,11.043,11.07,10.963,11.015,52423,0
1995-08-07,10.989,11.183,10.989,11.183,39713,0
1995-08-08,11.122,11.509,11.122,11.431,169973,0
1995-08-09,11.352,11.457,11.324,11.431,74889,0
1995-08-10,11.431,11.483,11.405,11.405,28141,0
1995-08-11,11.405,11.457,11.183,11.21,21103,0
1995-08-14,11.183,11.405,11.183,11.405,62184,0
1995-08-15,11.352,11.457,11.324,11.431,36084,0
1995-08-16,11.405,11.483,11.352,11.483,253717,0
1995-08-17,11.483,11.677,11.405,11.405,133211,0
1995-08-18,11.509,11.73,11.509,11.705,166800,0
1995-08-21,11.765,12.028,11.765,12.004,132985,0
1995-08-22,11.986,12.004,11.924,11.924,104165,0
1995-08-23,11.924,11.951,11.791,11.871,125497,0
1995-08-24,11.924,12.232,11.871,11.899,101893,0
1995-08-25,11.899,11.951,11.809,11.809,28366,0
1995-08-28,11.809,11.809,11.509,11.626,49245,0
1995-08-29,11.368,11.561,11.368,11.561,86918,0
1995-08-30,11.561,11.561,11.509,11.561,94634,0
1995-08-31,11.561,11.626,11.561,11.626,36312,0
1995-09-01,11.561,11.561,11.457,11.483,75115,0
1995-09-05,11.509,11.589,11.457,11.589,122317,0
1995-09-06,11.652,11.924,11.652,11.844,29730,0
1995-09-07,11.791,11.871,11.765,11.871,37671,0
1995-09-08,11.871,12.117,11.871,12.117,39033,0
1995-09-11,12.117,12.117,12.028,12.064,45160,0
1995-09-12,12.091,12.287,12.091,12.287,93044,0
1995-09-13,12.311,12.445,12.311,12.311,57415,0
1995-09-14,12.311,12.311,12.172,12.172,58097,0
1995-09-15,12.004,12.206,12.004,12.206,83968,0
1995-09-18,12.144,12.172,12.091,12.117,82829,0
1995-09-19,12.172,12.232,12.144,12.206,68535,0
1995-09-20,12.232,12.232,12.172,12.206,71484,0
1995-09-21,12.172,12.232,12.172,12.172,127311,0
1995-09-22,12.117,12.117,11.986,12.117,58548,0
1995-09-25,12.172,12.232,12.064,12.172,63089,0
1995-09-26,12.172,12.206,12.004,12.004,164986,0
1995-09-27,12.004,12.028,12.004,12.004,28597,0
1995-09-28,12.004,12.064,11.951,12.064,66266,0
1995-09-29,11.986,12.39,11.986,12.144,107797,0
1995-10-02,12.117,12.117,12.064,12.064,115283,0
1995-10-03,12.004,12.064,11.899,11.951,133893,0
1995-10-04,11.951,12.232,11.951,12.117,221723,0
1995-10-05,12.117,12.287,11.457,11.509,137072,0
1995-10-06,11.509,11.626,11.183,11.626,210599,0
1995-10-09,11.561,11.561,11.122,11.352,53332,0
1995-10-10,11.352,11.352,10.68,10.848,151594,0
1995-10-11,11.015,11.122,10.963,10.963,184045,0
1995-10-12,11.015,11.07,10.743,11.015,589133,0
1995-10-13,11.236,11.405,11.236,11.236,237832,0
1995-10-16,11.352,11.405,11.289,11.352,310904,0
1995-10-17,11.352,11.405,11.236,11.352,53556,0
1995-10-18,11.457,11.457,11.236,11.236,132303,0
1995-10-19,11.236,11.352,11.236,11.352,167706,0
1995-10-20,11.405,11.405,11.07,11.183,427777,0
1995-10-23,11.236,11.352,11.122,11.236,184275,0
1995-10-24,11.236,11.352,11.122,11.289,95543,0
1995-10-25,11.236,11.352,10.911,10.911,145694,0
1995-10-26,10.963,10.963,10.68,10.911,400318,0
1995-10-27,10.795,11.183,10.795,11.015,322025,0
1995-10-30,10.911,11.236,10.911,11.07,227391,0
1995-10-31,11.07,11.791,11.015,11.626,300013,0
1995-11-01,11.626,11.844,11.561,11.561,303189,0
1995-11-02,11.626,11.677,11.457,11.677,261204,0
1995-11-03,11.561,11.844,11.509,11.791,122772,0
1995-11-06,11.677,12.172,11.561,12.172,113920,0
1995-11-07,12.064,12.338,12.064,12.338,98491,0
1995-11-08,12.338,12.338,11.899,11.899,91004,0
1995-11-09,12.004,12.39,12.004,12.338,307276,0
1995-11-10,12.338,12.445,12.338,12.39,212641,0
1995-11-13,12.39,12.612,12.338,12.559,133211,0
1995-11-14,12.559,12.886,12.505,12.779,439808,0
1995-11-15,12.886,13.274,12.886,13.218,774538,0
1995-11-16,13.274,13.491,13.274,13.491,314989,0
1995-11-17,13.389,13.389,12.886,13.167,358787,0
1995-11-20,13.218,13.218,13.167,13.218,250310,0
1995-11-21,13.274,13.274,13.167,13.218,725747,0
1995-11-22,13.274,13.274,13.274,13.274,120959,0
1995-11-24,13.274,13.274,13.218,13.218,32905,0
1995-11-27,13.218,13.274,13.052,13.274,392829,0
1995-11-28,13.274,13.44,13.218,13.389,91910,0
1995-11-29,13.389,13.389,13.326,13.389,134119,0
1995-11-30,13.389,13.44,13.274,13.44,82151,0
1995-12-01,13.44,13.555,13.218,13.274,225804,0
1995-12-04,13.326,13.44,13.218,13.44,330648,0
1995-12-05,13.44,13.555,13.44,13.491,153866,0
1995-12-06,13.555,13.555,13.389,13.44,96901,0
1995-12-07,13.326,13.389,13.326,13.389,83739,0
1995-12-08,13.001,13.167,12.673,12.779,1393855,0
1995-12-11,12.779,12.779,12.505,12.559,381257,0
1995-12-12,12.673,12.673,12.39,12.39,248271,0
1995-12-13,12.445,12.725,12.445,12.725,115057,0
1995-12-14,12.725,12.725,12.445,12.445,153866,0
1995-12-15,12.338,12.338,12.232,12.232,199932,0
1995-12-18,11.122,11.561,11.122,11.509,356066,0
1995-12-19,11.791,12.232,11.791,11.899,485873,0
1995-12-20,11.899,12.004,11.844,12.004,240326,0
1995-12-21,12.004,12.172,11.791,11.791,444118,0
1995-12-22,11.561,11.951,11.561,11.951,208559,0
1995-12-26,11.951,11.951,11.899,11.899,80107,0
1995-12-27,12.004,12.232,12.004,12.172,256213,0
1995-12-28,12.172,12.172,12.004,12.117,205831,0
1995-12-29,12.232,12.39,12.064,12.338,85784,0
1996-01-02,12.338,12.39,12.232,12.39,124589,0
1996-01-03,12.39,12.673,12.117,12.172,347217,0
1996-01-04,12.287,12.338,12.117,12.172,428232,0
1996-01-05,12.064,12.338,12.064,12.232,385340,0
1996-01-08,12.117,12.172,12.117,12.172,70126,0
1996-01-09,12.064,12.064,11.791,11.844,158629,0
1996-01-10,11.899,11.899,11.457,11.457,313401,0
1996-01-11,11.561,11.951,11.561,11.844,100759,0
1996-01-12,11.791,11.844,11.73,11.791,68991,0
1996-01-15,11.73,12.004,11.73,11.899,236925,0
1996-01-16,11.899,12.232,11.791,11.951,217860,0
1996-01-17,11.899,12.117,11.899,11.899,178824,0
1996-01-18,11.951,12.338,11.951,12.172,539662,0
1996-01-19,12.287,12.39,12.172,12.39,287304,0
1996-01-22,12.39,12.559,12.287,12.505,241460,0
1996-01-23,12.559,12.779,12.559,12.779,157497,0
1996-01-24,12.831,13.114,12.831,13.114,144330,0
1996-01-25,13.114,13.114,13.052,13.114,255987,0
