Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.995,12.995,12.757,12.995,187712,0
1995-01-04,12.901,12.948,12.701,12.757,188580,0
1995-01-05,12.846,13.051,12.757,12.995,402768,0
1995-01-06,12.995,12.995,12.901,12.901,337446,0
1995-01-09,12.901,12.901,12.757,12.846,189232,0
1995-01-10,12.901,12.995,12.802,12.802,537530,0
1995-01-11,12.901,12.948,12.757,12.846,387141,0
1995-01-12,12.901,12.995,12.846,12.995,178815,0
1995-01-13,12.995,13.051,12.802,12.802,425770,0
1995-01-16,12.901,13.051,12.802,12.846,391049,0
1995-01-17,12.802,12.901,12.802,12.846,602850,0
1995-01-18,12.757,12.948,12.757,12.802,291008,0
1995-01-19,12.802,12.995,12.757,12.995,330285,0
1995-01-20,12.901,12.901,12.655,12.701,294916,0
1995-01-23,12.608,13.154,12.608,13.154,442262,0
1995-01-24,13.098,13.449,12.995,13.392,421430,0
1995-01-25,13.344,13.538,13.298,13.392,477199,0
1995-01-26,13.344,13.344,13.241,13.344,243484,0
1995-01-27,13.344,13.392,13.196,13.241,280375,0
1995-01-30,13.241,13.241,13.098,13.196,226341,0
1995-01-31,13.298,13.344,13.196,13.196,287751,0
1995-02-01,13.344,13.344,13.241,13.298,231983,0
1995-02-02,13.241,13.595,13.241,13.494,397560,0
1995-02-03,13.595,13.742,13.494,13.637,342439,0
1995-02-06,13.637,13.742,13.538,13.538,158632,0
1995-02-07,13.637,13.684,13.449,13.449,212450,0
1995-02-08,13.449,13.595,13.392,13.494,257587,0
1995-02-09,13.538,13.637,13.241,13.344,321389,0
1995-02-10,13.298,13.298,13.196,13.298,389314,0
1995-02-13,13.298,13.494,13.298,13.344,421864,0
1995-02-14,13.298,13.344,13.098,13.298,300555,0
1995-02-15,13.298,13.298,13.196,13.196,232199,0
1995-02-16,13.298,13.298,13.154,13.241,252164,0
1995-02-17,13.241,13.241,12.995,13.051,352638,0
1995-02-21,13.162,13.206,13.014,13.162,278857,0
1995-02-22,13.206,13.458,13.162,13.363,453333,0
