Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.7574,8.8456,8.7397,8.8278,3243272,0
1995-01-04,8.8278,8.9328,8.8013,8.8708,2074531,0
1995-01-05,8.8885,8.9056,8.7574,8.8278,1390300,0
1995-01-06,8.8456,8.9056,8.8278,8.8885,1605032,0
1995-01-09,8.8885,9.0569,8.8885,9.0389,4961584,0
1995-01-10,9.0823,9.0823,8.7574,8.7745,5245013,0
1995-01-11,8.7745,8.8278,8.6515,8.8278,3093145,0
1995-01-12,8.8013,8.8013,8.7132,8.7574,2149140,0
1995-01-13,8.7574,8.8013,8.7132,8.7397,2260148,0
1995-01-16,8.7745,8.8278,8.7132,8.7745,1274745,0
1995-01-17,8.8013,8.9503,8.8013,8.9503,1863440,0
1995-01-18,8.9767,9.0389,8.9328,8.9767,2563139,0
1995-01-19,8.9945,9.1255,8.9767,9.0823,3534438,0
1995-01-20,9.1082,9.1888,9.0823,9.1701,5218175,0
1995-01-23,9.0569,9.1888,9.0569,9.1441,2971220,0
1995-01-24,9.2322,9.2322,9.0823,9.0823,1705117,0
1995-01-25,9.2071,9.4441,9.1441,9.3196,8397753,0
1995-01-26,9.3649,9.3649,9.2581,9.3196,1256546,0
1995-01-27,9.3383,9.3895,9.292,9.3383,1791559,0
1995-01-30,9.3383,9.3383,9.2581,9.2581,1272470,0
1995-01-31,9.2746,9.2746,9.0823,9.1082,2205098,0
1995-02-01,9.1441,9.1888,9.0569,9.0569,1982178,0
1995-02-02,9.1255,9.1888,9.0569,9.1441,2586340,0
1995-02-03,9.1441,9.3649,9.1441,9.292,2993514,0
1995-02-06,9.3196,9.539,9.292,9.4679,3508956,0
1995-02-07,9.4679,9.4679,9.3895,9.4249,2059974,0
1995-02-08,9.4249,9.539,9.4249,9.4679,1758346,0
1995-02-09,9.4877,9.4877,9.3649,9.3649,1396669,0
1995-02-10,9.4073,9.4249,9.2746,9.3383,1460813,0
1995-02-13,9.4679,9.4877,9.4441,9.4679,2437572,0
1995-02-14,9.4679,9.4877,9.4249,9.4877,1664628,0
1995-02-15,9.4877,9.629,9.4877,9.539,2773320,0
1995-02-16,9.556,9.574,9.4877,9.4877,1281569,0
1995-02-17,9.539,9.75,9.539,9.688,4151336,0
1995-02-21,9.777,9.953,9.76,9.848,3401595,0
1995-02-22,9.892,9.953,9.848,9.935,3025810,0
1995-02-23,9.98,9.98,9.83,9.866,2295631,0
1995-02-24,9.866,9.98,9.866,9.953,2414370,0
1995-02-27,9.917,9.98,9.804,9.83,2729190,0
1995-02-28,9.83,10.015,9.83,9.866,2650488,0
1995-03-01,9.935,9.935,9.804,9.83,2984866,0
1995-03-02,9.83,10.015,9.804,10.015,2373427,0
1995-03-03,9.98,9.98,9.804,9.892,2355686,0
1995-03-06,9.866,9.953,9.83,9.935,2006745,0
1995-03-07,9.953,10.041,9.83,9.866,1864351,0
1995-03-08,9.892,10.084,9.892,9.999,2685515,0
1995-03-09,9.953,9.999,9.848,9.917,1772450,0
1995-03-10,9.866,10.015,9.804,9.999,2614090,0
1995-03-13,9.999,10.129,9.953,10.103,1921215,0
1995-03-14,10.198,10.279,10.015,10.015,2029946,0
1995-03-15,9.892,9.999,9.892,9.953,1685105,0
1995-03-16,9.953,10.129,9.935,10.103,2734647,0
1995-03-17,10.129,10.173,10.103,10.173,2585427,0
1995-03-20,10.173,10.198,10.041,10.084,1845694,0
1995-03-21,10.066,10.084,9.935,10.015,1808393,0
1995-03-22,10.041,10.173,9.98,10.129,2489892,0
1995-03-23,10.103,10.198,10.066,10.173,2716909,0
1995-03-24,10.129,10.198,10.084,10.148,1257912,0
1995-03-27,10.198,10.216,10.066,10.216,1304317,0
1995-03-28,10.235,10.279,10.129,10.279,2313831,0
1995-03-29,10.198,10.322,10.148,10.235,3711864,0
1995-03-30,10.198,10.347,10.129,10.279,2715541,0
1995-03-31,10.103,10.437,10.103,10.347,3825598,0
1995-04-03,10.347,10.384,10.173,10.198,2371152,0
1995-04-04,10.198,10.261,10.129,10.216,2623642,0
1995-04-05,10.235,10.347,10.216,10.347,3286039,0
1995-04-06,10.367,10.384,10.235,10.322,1787917,0
1995-04-07,10.367,10.409,10.261,10.409,1460363,0
1995-04-10,10.296,10.367,10.261,10.279,1662809,0
1995-04-11,10.279,10.279,10.173,10.261,1731048,0
1995-04-12,10.279,10.296,10.198,10.235,1181027,0
1995-04-13,10.198,10.261,10.198,10.216,1189671,0
1995-04-17,10.261,10.296,10.129,10.129,2658218,0
1995-04-18,10.148,10.261,10.084,10.173,2185084,0
1995-04-19,10.198,10.437,10.198,10.384,3554910,0
1995-04-20,10.691,11.034,10.648,11.017,10632879,0
1995-04-21,11.017,11.104,10.849,11.017,7933714,0
1995-04-24,10.928,11.104,10.928,11.104,3085409,0
1995-04-25,10.928,11.061,10.865,11.034,3374297,0
1995-04-26,10.928,11.034,10.928,11,1879361,0
1995-04-27,10.911,11.034,10.911,11,1949878,0
1995-04-28,11,11.017,10.911,10.911,1732415,0
1995-05-01,11.017,11.254,11.017,11.22,5171314,0
1995-05-02,11.174,11.174,11.034,11.104,3407509,0
1995-05-03,11.104,11.254,11.104,11.174,4231405,0
1995-05-04,11.149,11.254,11.149,11.254,2534930,0
1995-05-05,11.254,11.272,11.123,11.192,1770174,0
1995-05-08,11.149,11.237,11.123,11.174,1856618,0
1995-05-09,11.174,11.22,11.017,11.034,2150960,0
1995-05-10,11.034,11.123,10.911,11.017,2303366,0
1995-05-11,10.973,11,10.865,10.957,3768730,0
1995-05-12,10.911,10.957,10.884,10.957,2479426,0
1995-05-15,10.884,11.034,10.884,10.911,2241496,0
1995-05-16,10.928,11.43,10.928,11.385,5018000,0
1995-05-17,11.342,11.518,11.325,11.457,5668563,0
1995-05-18,11.403,11.457,11.22,11.237,2061791,0
1995-05-19,11.174,11.237,11.123,11.174,3261013,0
1995-05-22,11.174,11.192,10.911,10.911,2403907,0
1995-05-23,10.973,11.087,10.957,11.034,2762858,0
1995-05-24,11.149,11.192,11.123,11.192,4351509,0
1995-05-25,11.272,11.403,11.237,11.342,4044426,0
1995-05-26,11.325,11.367,11.087,11.104,3703222,0
1995-05-30,11.123,11.237,11.087,11.123,1300676,0
1995-05-31,11.165,11.342,11.149,11.342,2113654,0
1995-06-01,11.342,11.385,11.237,11.325,2169616,0
1995-06-02,11.272,11.367,11.183,11.272,1703298,0
1995-06-05,11.272,11.475,11.272,11.367,2226479,0
1995-06-06,11.385,11.475,11.342,11.385,2191450,0
1995-06-07,11.367,11.367,11.272,11.3,1251544,0
1995-06-08,11.272,11.3,11.254,11.272,1329791,0
1995-06-09,11.254,11.272,11.104,11.123,1031807,0
1995-06-12,11.165,11.183,11.034,11.034,1498575,0
1995-06-13,11.017,11.272,11.017,11.104,1666903,0
1995-06-14,11.123,11.272,11.087,11.237,2185084,0
1995-06-15,11.237,11.475,11.211,11.403,2582697,0
1995-06-16,11.492,11.589,11.457,11.533,4105838,0
1995-06-19,11.533,11.625,11.475,11.492,2491709,0
1995-06-20,11.43,11.492,11.342,11.342,2325659,0
1995-06-21,11.254,11.325,10.735,10.754,6043890,0
1995-06-22,10.798,10.884,10.78,10.84,5456558,0
1995-06-23,10.865,11.104,10.865,11.017,5039837,0
1995-06-26,10.973,10.973,10.865,10.928,2306551,0
1995-06-27,10.902,11.123,10.902,11.104,2736015,0
1995-06-28,11.087,11.165,10.973,11.123,2525829,0
1995-06-29,11.123,11.183,11.017,11.034,2565413,0
1995-06-30,11,11.026,10.78,10.84,2288355,0
1995-07-03,10.84,10.973,10.84,10.928,511806,0
1995-07-05,10.902,10.928,10.78,10.798,2742382,0
1995-07-06,10.815,11,10.815,10.928,2218293,0
1995-07-07,10.973,11.165,10.815,11.165,3966174,0
1995-07-10,11.123,11.183,10.884,10.902,2170980,0
1995-07-11,10.884,11.017,10.884,10.973,2246955,0
1995-07-12,10.973,11.061,10.84,11,1963070,0
1995-07-13,11.017,11.061,10.957,11.034,874851,0
1995-07-14,11.149,11.183,10.973,11.165,1484926,0
1995-07-17,11.183,11.272,11.165,11.254,2017662,0
1995-07-18,11.211,11.237,11.034,11.123,2089088,0
1995-07-19,11.104,11.183,10.928,11,3532614,0
1995-07-20,11.211,11.43,11.165,11.43,4335133,0
1995-07-21,11.43,11.756,11.43,11.71,8599292,0
1995-07-24,11.71,11.775,11.607,11.65,2368877,0
1995-07-25,11.625,11.625,11.403,11.492,2456681,0
