Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.9013,0.9144,0.9013,0.9111,718559,0
1995-01-04,0.9078,0.9865,0.9078,0.98,8603537,0
1995-01-05,0.9832,1.0192,0.9767,1.0095,23031561,0
1995-01-06,1.0127,1.0422,1.0095,1.0389,6884481,0
1995-01-09,1.0422,1.0422,1.0259,1.0389,3548876,0
1995-01-10,1.0324,1.0422,1.0291,1.0389,3026204,0
1995-01-11,1.0422,1.0586,1.0095,1.0521,4561277,0
1995-01-12,1.0455,1.0455,1.016,1.0225,6415808,0
1995-01-13,1.0225,1.0291,1.0029,1.0291,7713802,0
1995-01-16,1.0259,1.0488,1.0259,1.0422,3437205,0
1995-01-17,1.0389,1.0422,1.0324,1.0389,2549295,0
1995-01-18,1.0422,1.0422,1.0259,1.0291,1217435,0
1995-01-19,1.016,1.0192,0.9996,1.016,3872923,0
1995-01-20,1.016,1.016,0.9897,0.9996,3315461,0
1995-01-23,0.9964,1.0095,0.9897,1.0029,2886152,0
1995-01-24,1.0029,1.016,1.0029,1.016,2675621,0
1995-01-25,1.0095,1.0192,1.0095,1.016,1453599,0
1995-01-26,1.0127,1.0225,1.0127,1.016,1502118,0
1995-01-27,1.0225,1.0291,1.0192,1.0291,3277015,0
1995-01-30,1.0291,1.0586,1.0291,1.0553,4191465,0
1995-01-31,1.0488,1.0488,1.0259,1.0259,1523174,0
1995-02-01,1.0291,1.0324,1.0029,1.0061,4071548,0
1995-02-02,1.0095,1.0389,1.0061,1.0357,4906369,0
1995-02-03,1.0717,1.0717,1.0422,1.0455,4371793,0
1995-02-06,1.0422,1.0717,1.0357,1.0586,2401008,0
1995-02-07,1.0521,1.0521,1.0389,1.0422,1156108,0
1995-02-08,1.0422,1.0455,1.0324,1.0389,2521840,0
1995-02-09,1.0389,1.0455,1.0291,1.0422,2000993,0
1995-02-10,1.0357,1.0455,1.0324,1.0357,428393,0
1995-02-13,1.0357,1.0389,1.0259,1.0324,1187232,0
1995-02-14,1.0357,1.0422,1.0291,1.0291,512610,0
1995-02-15,1.0291,1.0455,1.0291,1.0389,3024371,0
1995-02-16,1.0389,1.0389,1.0192,1.0291,563863,0
1995-02-17,1.0324,1.0324,1.0259,1.0259,1150616,0
1995-02-21,1.0259,1.0259,1.0225,1.0225,515350,0
1995-02-22,1.0225,1.0291,1.0225,1.0225,804606,0
1995-02-23,1.0259,1.0389,1.0259,1.0259,2659144,0
1995-02-24,1.0291,1.0291,1.0192,1.0259,2650904,0
1995-02-27,1.0192,1.0259,1.0061,1.0225,1740115,0
1995-02-28,1.0192,1.0259,1.016,1.0225,1496629,0
1995-03-01,1.0225,1.0225,1.0095,1.0127,752435,0
1995-03-02,1.016,1.0192,1.0095,1.0095,2656398,0
1995-03-03,1.0127,1.0127,0.9996,1.0127,2310385,0
1995-03-06,1.0061,1.0291,1.0061,1.0225,1564366,0
1995-03-07,1.0192,1.0291,1.0061,1.0061,4129225,0
1995-03-08,1.0061,1.0127,0.993,0.9964,2842215,0
1995-03-09,0.9964,0.9996,0.9964,0.9996,2303981,0
1995-03-10,0.9964,1.0095,0.9964,1.0061,853125,0
1995-03-13,0.9996,0.9996,0.9897,0.9996,1344679,0
1995-03-14,1.0061,1.0192,1.0061,1.016,629769,0
1995-03-15,1.0192,1.0389,1.0192,1.0259,4583248,0
1995-03-16,1.0192,1.0291,1.0127,1.0291,999584,0
1995-03-17,1.0291,1.0291,1.0192,1.0192,600479,0
1995-03-20,1.0192,1.0225,1.016,1.016,762497,0
1995-03-21,1.016,1.016,0.9996,1.0061,1211946,0
1995-03-22,0.9964,1.0061,0.9865,0.9964,2111755,0
1995-03-23,0.9897,0.993,0.9832,0.9865,2328693,0
1995-03-24,0.9897,0.9964,0.9865,0.9964,3806099,0
1995-03-27,0.9996,0.9996,0.9897,0.9964,1434379,0
1995-03-28,0.9964,1.0061,0.993,0.9996,1116752,0
1995-03-29,0.9996,1.0061,0.993,0.993,1614710,0
1995-03-30,0.9964,0.9964,0.9832,0.9897,1514928,0
1995-03-31,0.9832,0.9832,0.957,0.9701,3051834,0
1995-04-03,0.9668,0.9767,0.957,0.9701,2013807,0
1995-04-04,0.9767,0.9996,0.9734,0.9964,2955719,0
