Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,15.531,15.761,15.531,15.761,61392,0
1995-01-04,15.761,16,15.761,15.885,70352,0
1995-01-05,15.885,15.885,15.414,15.414,119228,0
1995-01-06,15.414,15.531,15.353,15.531,136648,0
1995-01-09,15.531,15.594,15.353,15.414,52765,0
1995-01-10,15.414,15.414,15.06,15.124,158468,0
1995-01-11,15.124,15.124,14.83,14.83,450195,0
1995-01-12,14.891,14.945,14.777,14.945,344328,0
1995-01-13,15.06,15.239,15.007,15.124,151871,0
1995-01-16,15.06,15.477,15.06,15.477,336717,0
1995-01-17,15.477,15.594,15.3,15.353,195169,0
1995-01-18,15.414,15.414,15.007,15.007,46847,0
1995-01-19,14.945,15.184,14.945,15.124,47018,0
1995-01-20,15.124,15.124,15.06,15.06,44648,0
1995-01-23,14.945,14.945,14.652,14.715,103503,0
1995-01-24,14.715,14.715,14.539,14.539,106209,0
1995-01-25,14.598,14.715,14.485,14.715,191615,0
1995-01-26,14.652,14.945,14.652,14.945,81348,0
1995-01-27,14.83,14.891,14.652,14.652,124982,0
1995-01-30,14.715,15.007,14.715,15.007,74411,0
1995-01-31,14.891,14.891,14.777,14.777,28408,0
1995-02-01,14.83,15.124,14.83,15.007,308981,0
1995-02-02,14.945,15.414,14.945,15.414,132590,0
1995-02-03,15.414,15.645,15.414,15.531,224931,0
1995-02-06,15.645,15.645,15.531,15.594,48876,0
1995-02-07,15.594,15.707,15.594,15.645,90479,0
1995-02-08,15.594,15.761,15.594,15.707,177576,0
1995-02-09,15.645,15.825,15.645,15.761,188230,0
1995-02-10,15.825,15.825,15.761,15.761,40925,0
1995-02-13,15.832,15.894,15.832,15.894,37714,0
1995-02-14,15.894,15.894,15.769,15.769,133099,0
1995-02-15,15.769,15.769,15.603,15.716,90819,0
1995-02-16,15.769,15.947,15.716,15.947,203959,0
1995-02-17,16.009,16.187,16.009,16.009,176730,0
1995-02-21,16.072,16.072,15.947,16.009,155587,0
1995-02-22,16.009,16.125,16.009,16.009,220363,0
1995-02-23,16.009,16.009,15.894,15.947,121936,0
1995-02-24,15.947,15.947,15.894,15.947,47353,0
1995-02-27,15.947,16.009,15.769,15.769,135802,0
1995-02-28,15.832,16.009,15.832,16.009,130730,0
1995-03-01,16.009,16.009,15.769,15.947,162184,0
1995-03-02,15.947,15.947,15.832,15.832,69679,0
1995-03-03,15.832,15.894,15.769,15.832,138845,0
1995-03-06,15.894,15.947,15.832,15.947,85071,0
1995-03-07,15.832,15.947,15.832,15.947,83038,0
1995-03-08,15.947,15.947,15.832,15.832,99613,0
1995-03-09,15.769,15.947,15.769,15.894,155930,0
1995-03-10,15.947,16.072,15.894,16.009,126672,0
1995-03-13,16.072,16.125,16.009,16.072,68322,0
1995-03-14,16.125,16.248,16.125,16.125,96060,0
1995-03-15,16.125,16.248,16.125,16.187,32301,0
1995-03-16,16.302,16.418,16.248,16.248,68663,0
1995-03-17,16.302,16.302,16.009,16.009,128702,0
1995-03-20,16.125,16.125,16.072,16.072,56822,0
1995-03-21,16.072,16.478,16.072,16.478,247591,0
1995-03-22,16.478,16.541,16.418,16.541,59532,0
1995-03-23,16.541,16.658,16.541,16.658,77117,0
1995-03-24,16.594,16.772,16.594,16.772,74243,0
1995-03-27,16.772,16.897,16.718,16.897,151192,0
1995-03-28,16.951,17.128,16.951,17.064,345513,0
1995-03-29,17.011,17.367,17.011,17.128,109422,0
1995-03-30,17.128,17.19,16.951,16.951,30950,0
1995-03-31,17.011,17.19,16.834,17.19,81004,0
1995-04-03,17.19,17.243,17.064,17.064,41603,0
1995-04-04,17.128,17.421,17.011,17.421,90986,0
1995-04-05,17.421,17.421,17.303,17.367,65281,0
1995-04-06,17.367,17.421,17.243,17.367,24016,0
1995-04-07,17.367,17.367,17.19,17.243,23847,0
1995-04-10,17.243,17.243,17.064,17.19,88280,0
