Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.69,11.25,10.69,11.22,587200,0
1995-01-04,11.19,11.28,10.69,10.88,291066,0
1995-01-05,10.94,11.13,10.94,10.94,665800,0
1995-01-06,10.94,11.19,10.88,11.06,291000,0
1995-01-09,11.06,11.63,11.06,11.44,493400,0
1995-01-10,11.5,11.94,11.5,11.88,485596,0
1995-01-11,12.06,12.06,11.56,11.63,273882,0
1995-01-12,11.56,11.81,11.56,11.56,71000,0
1995-01-13,11.56,11.69,11.5,11.61,273400,0
1995-01-16,11.5,12.13,11.5,12.03,743800,0
1995-01-17,12.31,12.5,12.13,12.38,904834,0
1995-01-18,12.38,12.63,12.38,12.5,665600,0
1995-01-19,12.44,12.44,12.16,12.28,500400,0
1995-01-20,12.19,12.28,11.81,11.91,879231,0
1995-01-23,11.72,11.81,11.56,11.75,1036000,0
1995-01-24,11.75,12.06,11.75,11.94,257600,0
1995-01-25,11.5,11.81,11.5,11.75,161200,0
1995-01-26,11.69,11.81,11.38,11.5,740200,0
1995-01-27,11.39,11.75,11.38,11.5,284400,0
1995-01-30,11.56,11.56,11.35,11.35,780656,0
1995-01-31,11.5,11.5,11.13,11.31,229200,0
1995-02-01,11.31,11.5,11.31,11.35,226100,0
1995-02-02,11.44,11.44,11.31,11.31,137800,0
1995-02-03,11.56,11.69,11.44,11.53,301000,0
1995-02-06,11.63,11.63,11.44,11.47,331400,0
1995-02-07,11.63,11.88,11.53,11.81,153800,0
1995-02-08,12.13,12.13,11.44,11.5,317600,0
1995-02-09,11.5,11.69,11.5,11.69,161200,0
1995-02-10,11.63,12.31,11.56,12.22,675600,0
1995-02-13,12.13,12.25,11.94,11.94,380400,0
1995-02-14,12.06,12.13,11.94,12.06,108200,0
1995-02-15,11.94,12.25,11.88,12.22,384400,0
1995-02-16,12.19,12.56,12.19,12.5,520800,0
1995-02-17,12.56,12.56,12.06,12.19,253000,0
1995-02-21,12.19,12.19,11.31,11.44,1593800,0
1995-02-22,11.56,12,11.5,11.81,485000,0
1995-02-23,11.94,12.19,11.81,12,297600,0
1995-02-24,12.19,12.31,11.88,11.94,382800,0
1995-02-27,11.88,11.91,11.63,11.72,229800,0
1995-02-28,11.81,11.88,11.56,11.81,409200,0
1995-03-01,11.81,12.25,11.81,12.22,230600,0
1995-03-02,12.16,12.81,12.13,12.75,747000,0
1995-03-03,12.69,12.81,12.44,12.69,218400,0
1995-03-06,12.56,12.63,12.31,12.56,248200,0
1995-03-07,12.38,12.75,12.38,12.56,386200,0
1995-03-08,12.69,12.97,12.63,12.97,313600,0
1995-03-09,12.94,13,12.81,12.81,280800,0
1995-03-10,12.81,12.88,12.75,12.75,298800,0
1995-03-13,12.88,12.94,12.5,12.63,155139,0
1995-03-14,12.63,13.38,12.56,13.31,594400,0
1995-03-15,13.19,13.69,13.06,13.06,753200,0
1995-03-16,13.13,13.28,12.88,12.88,277492,0
1995-03-17,12.81,12.81,12.56,12.6,79368,0
1995-03-20,12.75,13,12.56,12.91,376654,0
1995-03-21,13,13.13,12.69,12.69,127000,0
1995-03-22,12.56,12.75,12.39,12.56,281000,0
1995-03-23,12.5,12.69,12.5,12.5,184200,0
1995-03-24,12.56,12.94,12.5,12.75,452400,0
1995-03-27,12.81,13.19,12.56,13.13,430236,0
1995-03-28,13.06,13.13,12.81,12.94,468600,0
1995-03-29,12.94,13.19,12.44,12.47,495200,0
1995-03-30,12.44,12.56,11.75,11.94,645000,0
1995-03-31,11.88,12.19,11.69,11.94,837400,0
1995-04-03,11.88,12.44,11.81,12.39,437400,0
1995-04-04,12.38,12.56,12.06,12.25,1136800,0
1995-04-05,12.19,12.25,11.75,12.06,1154000,0
1995-04-06,12.06,12.25,12,12.13,155736,0
1995-04-07,12,12.16,11.85,11.88,550568,0
1995-04-10,11.88,12,11.75,11.85,666918,0
1995-04-11,11.88,12,11.81,11.85,135143,0
1995-04-12,12.06,12.66,11.88,12.63,286087,0
1995-04-13,12.75,12.88,12.63,12.75,244600,0
1995-04-17,12.69,12.75,12.31,12.49,150940,0
1995-04-18,12.63,12.69,12.19,12.5,736600,0
1995-04-19,12.38,12.5,11.88,12.13,1040571,0
1995-04-20,12.31,12.44,12,12.25,507400,0
1995-04-21,12.31,12.88,12.19,12.81,543600,0
1995-04-24,12.75,13.5,12.75,13.38,530402,0
1995-04-25,13.38,13.56,13.25,13.38,597377,0
1995-04-26,13.31,13.38,13.13,13.14,293200,0
1995-04-27,13.13,13.94,13.13,13.6,1016226,0
1995-04-28,13.56,13.69,13.44,13.56,428200,0
1995-05-01,13.56,13.56,12.94,13.03,753600,0
1995-05-02,12.94,13.38,12.94,13.38,207322,0
1995-05-03,13.31,14.03,13.31,14.03,500200,0
1995-05-04,13.94,14,13.44,13.53,430200,0
1995-05-05,13.5,13.56,13.13,13.44,256600,0
1995-05-08,13,13.69,13,13.66,556996,0
1995-05-09,13.69,13.69,13,13.38,381058,0
1995-05-10,13.5,13.72,13.31,13.72,439400,0
1995-05-11,13.69,14.06,13.56,13.88,658763,0
1995-05-12,13.88,14.41,13.81,14.31,591600,0
1995-05-15,14.25,14.44,14.13,14.38,667368,0
1995-05-16,14.31,14.38,14.13,14.13,177937,0
1995-05-17,14.13,14.25,14.06,14.22,212400,0
1995-05-18,14.13,14.56,14.06,14.31,409400,0
1995-05-19,14.19,14.63,14,14.6,476837,0
1995-05-22,14.69,14.81,14.38,14.41,554008,0
1995-05-23,14.5,14.69,14.31,14.31,161800,0
1995-05-24,14.31,14.35,13.63,13.69,339600,0
1995-05-25,13.78,14.38,13.63,14.38,1016047,0
1995-05-26,14.31,14.31,14.06,14.13,634176,0
