Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.8486,5.8486,5.7372,5.8114,720716,0
1995-01-04,5.7372,5.8857,5.7372,5.8857,1039226,0
1995-01-05,5.8857,5.8857,5.8114,5.8486,548746,0
1995-01-06,5.8486,5.9601,5.8486,5.8857,576871,0
1995-01-09,5.9231,5.9601,5.8114,5.8114,586963,0
1995-01-10,5.8486,5.9601,5.8486,5.8857,751531,0
1995-01-11,5.9231,5.9601,5.8486,5.9231,605668,0
1995-01-12,5.8857,5.9601,5.8857,5.9231,650071,0
1995-01-13,5.9601,5.9601,5.8857,5.9231,1068696,0
1995-01-16,5.9601,6.027,5.9231,5.9601,1191284,0
1995-01-17,5.9601,5.9897,5.9231,5.9601,963064,0
1995-01-18,5.9231,5.9601,5.8857,5.8857,837380,0
1995-01-19,5.8857,5.9897,5.8486,5.9231,1712040,0
1995-01-20,5.9231,5.9897,5.8857,5.9897,2496539,0
1995-01-23,5.9601,5.9897,5.9231,5.9897,663661,0
1995-01-24,5.9897,5.9897,5.9601,5.9601,409337,0
1995-01-25,5.9897,6.027,5.9601,5.9897,629754,0
1995-01-26,6.027,6.064,5.9897,6.027,677925,0
1995-01-27,6.064,6.1013,6.027,6.064,1026444,0
1995-01-30,6.027,6.1013,6.027,6.1013,3197606,0
1995-01-31,6.0789,6.2274,6.042,6.1903,1578281,0
1995-02-01,6.2274,6.2274,6.1533,6.1903,944357,0
1995-02-02,6.1903,6.1903,6.1533,6.1903,485097,0
1995-02-03,6.2274,6.339,6.1903,6.3018,1939585,0
1995-02-06,6.3018,6.3762,6.2647,6.3018,2789478,0
1995-02-07,6.3018,6.339,6.2274,6.2274,1777841,0
1995-02-08,6.2274,6.3018,6.2274,6.3018,538385,0
1995-02-09,6.3018,6.3018,6.2274,6.2274,1259775,0
1995-02-10,6.2274,6.2274,6.1903,6.2274,368295,0
1995-02-13,6.1533,6.1533,6.0789,6.1161,1446948,0
1995-02-14,6.1161,6.1533,6.1161,6.1533,597592,0
1995-02-15,6.1533,6.1533,6.0789,6.1533,1653099,0
1995-02-16,6.1533,6.1903,6.0789,6.1161,808854,0
1995-02-17,6.1533,6.1533,6.1161,6.1161,1279015,0
1995-02-21,6.1533,6.1533,6.0789,6.1161,1068155,0
1995-02-22,6.1161,6.1533,6.0789,6.0789,1241068,0
1995-02-23,6.1161,6.1161,6.0789,6.0789,1248607,0
1995-02-24,6.0789,6.1533,6.0789,6.1533,721525,0
1995-02-27,6.1533,6.1533,6.0789,6.0789,944495,0
1995-02-28,6.0789,6.1161,6.042,6.1161,1011908,0
1995-03-01,6.1533,6.1533,5.9676,6.0047,2616971,0
1995-03-02,5.9676,6.0047,5.8932,5.9304,1040033,0
1995-03-03,5.8932,5.9304,5.8188,5.8188,999797,0
1995-03-06,5.8188,5.8188,5.7445,5.7816,1003972,0
1995-03-07,5.7816,5.856,5.7445,5.7816,1558906,0
1995-03-08,5.8188,5.8932,5.7816,5.856,1505755,0
1995-03-09,5.8188,5.856,5.8188,5.856,825811,0
1995-03-10,5.856,5.9304,5.8188,5.8932,955934,0
1995-03-13,5.8932,5.8932,5.8188,5.8932,814774,0
1995-03-14,5.9304,6.0047,5.8932,5.9676,1371596,0
1995-03-15,5.9676,6.0047,5.9304,5.9304,860390,0
1995-03-16,5.9676,6.042,5.9304,6.042,1191284,0
1995-03-17,6.042,6.0789,6.0047,6.0047,2044949,0
1995-03-20,6.042,6.042,6.0047,6.0047,772388,0
1995-03-21,6.0047,6.042,6.0047,6.042,880979,0
1995-03-22,6.042,6.042,5.8932,5.9676,722330,0
1995-03-23,5.9676,5.9676,5.8932,5.9304,1066135,0
1995-03-24,5.9676,6.0047,5.9304,6.0047,652626,0
1995-03-27,6.0047,6.0047,5.9304,6.0047,631230,0
1995-03-28,6.0047,6.0047,5.9676,6.0047,331563,0
1995-03-29,6.0047,6.042,5.8932,5.9304,1494447,0
1995-03-30,5.9676,6.042,5.9304,6.0047,1727648,0
1995-03-31,5.9676,6.042,5.9304,6.042,1014199,0
1995-04-03,6.042,6.0789,6.0047,6.0047,627061,0
1995-04-04,6.042,6.2274,6.042,6.2274,1176209,0
1995-04-05,6.2274,6.3018,6.1533,6.3018,1702212,0
1995-04-06,6.3018,6.3018,6.1903,6.1903,736464,0
1995-04-07,6.2274,6.2274,6.1533,6.1903,575523,0
1995-04-10,6.1533,6.1903,6.1161,6.1533,424681,0
1995-04-11,6.1533,6.1533,6.1161,6.1533,777636,0
1995-04-12,6.1161,6.1533,6.0789,6.1161,548473,0
1995-04-13,6.1161,6.2647,6.0789,6.1533,843570,0
1995-04-17,6.2647,6.4878,6.1161,6.1533,1048509,0
1995-04-18,6.1533,6.1903,6.0789,6.1161,1085112,0
1995-04-19,6.1161,6.2274,6.0789,6.1533,720986,0
1995-04-20,6.2274,6.2647,6.1533,6.1903,603782,0
1995-04-21,6.2647,6.2647,6.1903,6.2647,1754423,0
1995-04-24,6.2274,6.2274,6.1903,6.1903,1712577,0
1995-04-25,6.2501,6.2501,6.1757,6.2126,781134,0
1995-04-26,6.1757,6.2501,6.1757,6.2126,300345,0
1995-04-27,6.2126,6.2501,6.2126,6.2501,1201103,0
1995-04-28,6.2126,6.2501,6.1309,6.2126,1473324,0
1995-05-01,6.2126,6.2126,6.0938,6.0938,1542491,0
1995-05-02,6.0938,6.1309,6.0566,6.1309,581850,0
1995-05-03,6.1309,6.2126,6.1309,6.2126,732288,0
1995-05-04,6.2126,6.2501,6.1309,6.1309,1116735,0
1995-05-05,6.2126,6.2871,6.1757,6.2871,957410,0
1995-05-08,6.2871,6.2871,6.1757,6.2126,958086,0
1995-05-09,6.2126,6.2501,6.1757,6.2126,750993,0
1995-05-10,6.2501,6.2871,6.1309,6.2126,908431,0
1995-05-11,6.2126,6.2126,6.1757,6.1757,526541,0
1995-05-12,6.1757,6.2501,6.1309,6.2501,698920,0
1995-05-15,6.2501,6.3614,6.2501,6.3243,1339300,0
1995-05-16,6.3983,6.4356,6.3614,6.4356,1096550,0
1995-05-17,6.4356,6.4356,6.3614,6.3983,763510,0
1995-05-18,6.3614,6.3983,6.2501,6.2501,1075423,0
1995-05-19,6.2126,6.2871,6.2126,6.2871,1526882,0
1995-05-22,6.2871,6.3614,6.2501,6.3243,944764,0
1995-05-23,6.3243,6.3614,6.2126,6.2871,1067753,0
1995-05-24,6.2871,6.3614,6.2126,6.2501,1152931,0
1995-05-25,6.2501,6.4728,6.2126,6.4728,1170156,0
1995-05-26,6.4728,6.5101,6.3983,6.4356,783018,0
1995-05-30,6.4356,6.5101,6.3983,6.5101,734307,0
1995-05-31,6.5101,6.6586,6.4728,6.6586,1499700,0
1995-06-01,6.6214,6.6586,6.547,6.6214,898741,0
1995-06-02,6.5841,6.696,6.5841,6.6586,845591,0
1995-06-05,6.696,6.7328,6.6586,6.6586,728658,0
1995-06-06,6.696,6.8519,6.6586,6.8148,1290185,0
1995-06-07,6.7776,6.8148,6.6586,6.696,931172,0
1995-06-08,6.696,6.696,6.5841,6.6214,672274,0
1995-06-09,6.5841,6.6214,6.4356,6.5841,1275381,0
1995-06-12,6.5841,6.6586,6.547,6.6214,1166120,0
1995-06-13,6.6586,6.7328,6.6214,6.7328,895649,0
1995-06-14,6.696,6.7776,6.696,6.7328,1599408,0
1995-06-15,6.7776,6.8148,6.7328,6.7328,1682167,0
1995-06-16,6.7776,6.7776,6.7328,6.7776,2486846,0
1995-06-19,6.7328,6.8148,6.696,6.7776,863486,0
1995-06-20,6.7776,6.7776,6.696,6.7776,1012042,0
1995-06-21,6.7776,6.7776,6.696,6.696,811142,0
1995-06-22,6.7328,6.889,6.696,6.889,1586489,0
1995-06-23,6.8519,6.8519,6.7776,6.8519,1066135,0
1995-06-26,6.8519,6.8519,6.696,6.7776,1255203,0
1995-06-27,6.7328,6.8148,6.7328,6.7776,817065,0
1995-06-28,6.7776,6.889,6.7776,6.8519,745473,0
1995-06-29,6.8519,6.8519,6.696,6.7328,585212,0
1995-06-30,6.7776,6.8148,6.696,6.7328,1133153,0
1995-07-03,6.696,6.7328,6.6586,6.696,249346,0
1995-07-05,6.6586,6.7776,6.6214,6.696,764180,0
1995-07-06,6.696,6.7776,6.6214,6.7328,1269999,0
1995-07-07,6.696,6.7328,6.6214,6.6586,1205141,0
