Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.7,11.025,10.7,10.967,34313,0
1995-01-04,10.919,11.082,10.919,10.967,39358,0
1995-01-05,10.967,11.082,10.967,11.082,36157,0
1995-01-06,11.025,11.082,10.748,10.863,153863,0
1995-01-09,10.805,10.967,10.7,10.919,50304,0
1995-01-10,10.805,10.919,10.7,10.7,44278,0
1995-01-11,10.748,10.748,10.31,10.367,328014,0
1995-01-12,10.367,10.643,10.367,10.528,43661,0
1995-01-13,10.643,10.643,10.252,10.586,69857,0
1995-01-16,10.472,10.643,10.472,10.586,74900,0
1995-01-17,10.528,10.586,10.472,10.528,74287,0
1995-01-18,10.586,10.586,10.472,10.528,42306,0
1995-01-19,10.586,10.643,10.528,10.586,60877,0
1995-01-20,10.528,10.586,10.472,10.528,50796,0
1995-01-23,10.586,10.586,10.252,10.367,45257,0
1995-01-24,10.472,10.586,10.423,10.472,131232,0
1995-01-25,10.472,10.472,10.31,10.367,77852,0
1995-01-26,10.252,10.423,10.252,10.423,40216,0
1995-01-27,10.472,10.472,10.367,10.423,59897,0
1995-01-30,10.528,10.528,10.252,10.31,64692,0
1995-01-31,10.423,10.423,10.31,10.31,40833,0
1995-02-01,10.252,10.31,9.929,10.089,137748,0
1995-02-02,10.089,10.148,10.034,10.089,129510,0
1995-02-03,10.204,10.204,10.034,10.089,128775,0
1995-02-06,10.204,10.204,10.034,10.089,164808,0
1995-02-07,10.148,10.204,10.034,10.204,116958,0
1995-02-08,10.204,10.472,10.204,10.31,129757,0
1995-02-09,10.367,10.423,10.31,10.367,129997,0
1995-02-10,10.423,10.472,10.148,10.367,160137,0
1995-02-13,10.423,10.423,10.31,10.31,88428,0
1995-02-14,10.423,10.423,10.252,10.367,70478,0
1995-02-15,10.423,10.423,10.204,10.31,90523,0
1995-02-16,10.367,10.423,10.31,10.367,107618,0
1995-02-17,10.367,10.423,10.31,10.367,84495,0
1995-02-21,10.423,10.528,10.367,10.472,70224,0
1995-02-22,10.472,10.586,10.423,10.586,139593,0
1995-02-23,10.586,10.7,10.528,10.586,216221,0
1995-02-24,10.643,10.919,10.586,10.805,75272,0
1995-02-27,10.748,10.863,10.7,10.748,82771,0
1995-02-28,10.748,10.805,10.643,10.748,85968,0
1995-03-01,10.748,10.967,10.7,10.919,94335,0
1995-03-02,10.967,10.967,10.528,10.805,275377,0
1995-03-03,10.805,10.805,10.7,10.748,388896,0
1995-03-06,10.748,10.863,10.748,10.863,91133,0
1995-03-07,10.863,10.919,10.748,10.919,83142,0
1995-03-08,10.967,11.025,10.805,10.919,142054,0
1995-03-09,10.967,11.082,10.967,10.967,53746,0
1995-03-10,10.967,11.025,10.643,10.805,139719,0
1995-03-13,10.863,10.863,10.805,10.805,60758,0
1995-03-14,10.919,11.082,10.863,11.025,112537,0
1995-03-15,11.025,11.359,10.967,11.302,100484,0
1995-03-16,11.244,11.302,11.082,11.197,161118,0
1995-03-17,11.197,11.197,11.139,11.197,94825,0
1995-03-20,11.197,11.466,11.139,11.244,117333,0
1995-03-21,11.244,11.302,11.139,11.139,101587,0
1995-03-22,11.139,11.139,10.919,11.025,66169,0
1995-03-23,11.139,11.244,11.082,11.139,57559,0
1995-03-24,11.082,11.139,11.082,11.139,61864,0
1995-03-27,11.139,11.139,11.025,11.025,79083,0
1995-03-28,11.025,11.025,10.919,10.967,79083,0
1995-03-29,10.919,11.139,10.919,11.025,167272,0
1995-03-30,11.197,11.197,11.025,11.139,51163,0
1995-03-31,11.139,11.139,10.911,10.967,112413,0
1995-04-03,10.911,10.967,10.796,10.855,22509,0
1995-04-04,10.796,10.855,10.625,10.796,178336,0
1995-04-05,10.855,10.911,10.74,10.855,54114,0
1995-04-06,10.911,10.911,10.74,10.796,52518,0
1995-04-07,10.796,10.855,10.796,10.796,37512,0
1995-04-10,10.855,10.855,10.796,10.796,47107,0
1995-04-11,10.796,10.911,10.796,10.855,37758,0
1995-04-12,10.911,10.911,10.855,10.855,59037,0
1995-04-13,10.855,10.911,10.855,10.855,1715847,0
1995-04-17,10.855,10.855,10.684,10.796,611263,0
1995-04-18,10.74,10.74,10.684,10.74,162841,0
1995-04-19,10.74,10.74,10.569,10.625,440184,0
1995-04-20,10.625,10.684,10.522,10.625,270088,0
1995-04-21,10.625,10.625,10.569,10.625,111429,0
1995-04-24,10.569,10.684,10.569,10.625,52641,0
1995-04-25,10.684,10.684,10.569,10.684,163085,0
1995-04-26,10.625,10.684,10.569,10.569,59649,0
1995-04-27,10.684,10.684,10.625,10.625,90644,0
1995-04-28,10.684,10.74,10.625,10.684,110448,0
1995-05-01,10.684,10.684,10.625,10.684,69120,0
1995-05-02,10.625,10.74,10.625,10.74,65923,0
1995-05-03,10.74,10.74,10.625,10.684,119426,0
1995-05-04,10.74,10.74,10.625,10.684,279313,0
1995-05-05,10.625,10.855,10.625,10.855,93476,0
1995-05-08,10.855,10.967,10.74,10.911,331826,0
1995-05-09,11.025,11.359,11.025,11.197,585066,0
1995-05-10,11.359,11.359,11.082,11.197,393325,0
1995-05-11,11.244,11.244,11.082,11.197,159520,0
1995-05-12,11.082,11.197,11.082,11.197,54484,0
1995-05-15,11.244,11.244,11.082,11.082,62605,0
1995-05-16,11.197,11.244,11.082,11.197,89785,0
1995-05-17,11.197,11.244,11.139,11.139,80807,0
1995-05-18,11.197,11.197,11.082,11.082,97162,0
1995-05-19,11.025,11.197,10.967,11.197,81050,0
1995-05-22,11.139,11.244,11.025,11.139,171449,0
1995-05-23,11.082,11.139,10.855,10.967,236263,0
1995-05-24,10.967,11.025,10.855,11.025,114998,0
1995-05-25,11.025,11.244,10.967,11.139,95809,0
1995-05-26,11.082,11.197,10.74,10.796,75022,0
1995-05-30,10.796,11.197,10.796,11.139,71459,0
1995-05-31,11.197,11.302,11.139,11.197,148203,0
1995-06-01,11.244,11.302,11.139,11.197,67891,0
1995-06-02,11.197,11.302,11.139,11.244,156811,0
1995-06-05,11.302,11.359,11.197,11.302,69489,0
1995-06-06,11.244,11.359,11.139,11.302,87325,0
1995-06-07,11.302,11.359,11.244,11.244,87200,0
1995-06-08,11.244,11.244,10.967,11.139,76376,0
1995-06-09,11.082,11.244,10.967,11.025,139468,0
1995-06-12,11.025,11.082,10.796,10.855,145249,0
1995-06-13,10.911,10.911,10.74,10.855,269228,0
1995-06-14,10.911,11.025,10.855,11.025,117825,0
1995-06-15,11.082,11.302,11.025,11.197,156199,0
1995-06-16,11.244,11.244,11.139,11.197,77240,0
1995-06-19,11.139,11.244,11.025,11.197,213145,0
1995-06-20,11.197,11.244,11.139,11.139,80069,0
1995-06-21,11.244,11.244,11.139,11.139,82651,0
1995-06-22,11.025,11.244,11.025,11.197,74287,0
1995-06-23,11.139,11.416,11.139,11.302,90644,0
1995-06-26,11.244,11.359,11.197,11.197,52518,0
1995-06-27,11.197,11.302,11.197,11.197,53992,0
1995-06-28,11.244,11.359,11.197,11.302,59037,0
1995-06-29,11.244,11.359,11.139,11.197,132460,0
1995-06-30,11.244,11.302,11.139,11.302,46612,0
1995-07-03,11.302,11.359,11.244,11.302,35420,0
1995-07-05,11.359,11.416,11.244,11.302,60758,0
1995-07-06,11.302,11.416,11.302,11.416,112291,0
1995-07-07,11.416,11.585,11.359,11.529,164686,0
1995-07-10,11.699,11.756,11.473,11.585,110937,0
1995-07-11,11.642,11.642,11.585,11.585,86833,0
1995-07-12,11.529,11.642,11.473,11.529,112413,0
1995-07-13,11.585,11.585,11.237,11.406,285340,0
1995-07-14,11.473,11.473,11.351,11.473,48337,0
1995-07-17,11.473,11.473,11.351,11.406,50675,0
1995-07-18,11.473,11.473,11.293,11.351,79328,0
1995-07-19,11.351,11.406,11.125,11.179,60635,0
1995-07-20,11.237,11.351,11.179,11.293,53008,0
1995-07-21,11.293,11.473,11.293,11.473,67030,0
1995-07-24,11.473,11.473,11.237,11.406,76376,0
1995-07-25,11.351,11.406,11.237,11.351,55101,0
1995-07-26,11.351,11.351,11.237,11.293,55343,0
1995-07-27,11.406,11.473,11.351,11.406,119179,0
1995-07-28,11.406,11.406,11.293,11.351,73179,0
1995-07-31,11.351,11.351,11.237,11.237,47841,0
1995-08-01,11.237,11.351,11.125,11.237,771891,0
1995-08-02,11.351,11.351,11.179,11.237,75022,0
1995-08-03,11.237,11.293,11.179,11.237,54484,0
1995-08-04,11.179,11.293,11.125,11.179,97654,0
1995-08-07,11.293,11.351,11.237,11.351,117211,0
1995-08-08,11.351,11.351,11.237,11.237,56083,0
