Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.2716,6.3428,6.2716,6.2716,464289,0
1995-01-04,6.2535,6.2716,6.2357,6.2357,788480,0
1995-01-05,6.2357,6.2535,6.2091,6.2535,519067,0
1995-01-06,6.2535,6.2716,6.2357,6.2716,1885887,0
1995-01-09,6.2716,6.3072,6.2535,6.2535,1783508,0
1995-01-10,6.2535,6.3072,6.2182,6.2357,653775,0
1995-01-11,6.2357,6.2357,6.0842,6.1471,1263542,0
1995-01-12,6.1734,6.1734,6.1376,6.1644,541517,0
1995-01-13,6.1734,6.2357,6.1471,6.1824,2078967,0
1995-01-16,6.2091,6.2535,6.2091,6.2357,1208763,0
1995-01-17,6.2182,6.2182,6.1734,6.1824,2546844,0
1995-01-18,6.2091,6.2091,6.102,6.1291,1595819,0
1995-01-19,6.102,6.1113,5.9952,5.9952,437347,0
1995-01-20,5.9952,6.102,5.9863,6.0842,2783926,0
1995-01-23,6.049,6.1113,6.049,6.102,1350655,0
1995-01-24,6.0842,6.102,6.0309,6.0309,1104591,0
1995-01-25,6.0133,6.0309,5.9952,6.0133,1041726,0
1995-01-26,6.049,6.049,5.9777,6.0133,732802,0
1995-01-27,6.049,6.1644,6.049,6.1471,3004844,0
1995-01-30,6.1291,6.1291,6.0842,6.1113,655568,0
1995-01-31,6.1376,6.1376,6.049,6.102,403219,0
1995-02-01,6.1291,6.1291,6.049,6.049,405915,0
1995-02-02,6.0309,6.1113,6.0309,6.0665,561275,0
1995-02-03,6.1113,6.1113,6.049,6.0842,1298568,0
1995-02-06,6.1291,6.2357,6.1291,6.2,1006707,0
1995-02-07,6.1824,6.3606,6.1471,6.3606,1402739,0
1995-02-08,6.3428,6.4674,6.3428,6.3963,1920012,0
1995-02-09,6.3963,6.3963,6.3428,6.3428,564866,0
1995-02-10,6.3695,6.4583,6.3428,6.4583,563074,0
1995-02-13,6.4317,6.6098,6.4317,6.5832,1416211,0
1995-02-14,6.5832,6.6098,6.5296,6.5476,637609,0
1995-02-15,6.5476,6.5656,6.4765,6.5296,1041726,0
1995-02-16,6.5296,6.5742,6.4765,6.5742,801053,0
1995-02-17,6.6276,6.6635,6.592,6.592,1110878,0
1995-02-21,6.5742,6.5742,6.5563,6.5742,488533,0
1995-02-22,6.5742,6.6456,6.5742,6.5742,466083,0
1995-02-23,6.6098,6.6098,6.5742,6.5742,553192,0
1995-02-24,6.5563,6.5742,6.503,6.5563,567564,0
1995-02-27,6.5563,6.5742,6.503,6.503,287374,0
1995-02-28,6.5208,6.6988,6.5208,6.6814,1497931,0
1995-03-01,6.6814,6.717,6.6098,6.6098,1868822,0
1995-03-02,6.6098,6.6456,6.592,6.6456,775009,0
1995-03-03,6.6098,6.6276,6.592,6.6276,161648,0
1995-03-06,6.6098,6.6456,6.592,6.6276,429264,0
1995-03-07,6.6276,6.6276,6.5742,6.592,782193,0
1995-03-08,6.6098,6.6456,6.5742,6.6276,1270728,0
1995-03-09,6.6098,6.6098,6.5563,6.5563,849547,0
1995-03-10,6.5742,6.6635,6.5388,6.6276,845957,0
1995-03-13,6.6276,6.6635,6.592,6.6098,1632640,0
1995-03-14,6.6276,6.717,6.6098,6.6098,1246484,0
1995-03-15,6.5742,6.6456,6.5296,6.6276,416690,0
1995-03-16,6.6456,6.717,6.6276,6.6814,520863,0
1995-03-17,6.6635,6.6635,6.592,6.6456,1598516,0
1995-03-20,6.6635,6.7524,6.6456,6.7524,588218,0
1995-03-21,6.7346,6.8684,6.717,6.7881,977965,0
1995-03-22,6.7524,6.7524,6.7346,6.7524,314314,0
1995-03-23,6.7524,6.7703,6.7346,6.7524,428365,0
1995-03-24,6.7881,6.8506,6.7881,6.7881,1074956,0
1995-03-27,6.8236,6.8771,6.8236,6.8684,1305753,0
1995-03-28,6.8863,6.8863,6.8058,6.8058,455310,0
1995-03-29,6.7881,6.9482,6.7881,6.8684,790280,0
1995-03-30,6.8771,6.9039,6.8684,6.8771,442733,0
1995-03-31,6.8684,6.8684,6.7881,6.7881,1171046,0
1995-04-03,6.7881,6.8058,6.7524,6.7881,202062,0
1995-04-04,6.8058,6.8506,6.8058,6.8416,1388372,0
1995-04-05,6.8416,6.8416,6.7524,6.7703,634017,0
1995-04-06,6.7881,6.8506,6.7881,6.8506,1038137,0
1995-04-07,6.8506,6.8506,6.7881,6.8506,707656,0
1995-04-10,6.8506,6.8506,6.8326,6.8506,369992,0
1995-04-11,6.8506,6.9039,6.8416,6.8506,1404538,0
1995-04-12,6.8236,6.8326,6.7881,6.8236,980660,0
1995-04-13,6.8236,6.8326,6.8058,6.8236,355627,0
1995-04-17,6.8236,6.8416,6.8058,6.8326,1286892,0
1995-04-18,6.8326,6.8863,6.8326,6.8684,911510,0
1995-04-19,6.8506,6.9039,6.8506,6.8771,912412,0
1995-04-20,6.8771,6.9039,6.8684,6.8771,415791,0
1995-04-21,6.9039,6.9039,6.8771,6.8771,814522,0
1995-04-24,6.8863,6.9039,6.8684,6.9039,571153,0
1995-04-25,6.8771,6.9039,6.8771,6.9039,403219,0
1995-04-26,6.9039,7.0286,6.9039,7.0286,769622,0
1995-04-27,7.0199,7.1177,6.975,7.0996,1937075,0
1995-04-28,7.1177,7.1264,7.0466,7.0643,952821,0
1995-05-01,7.0466,7.0551,7.0286,7.0551,440040,0
1995-05-02,7.0551,7.073,7.0286,7.0466,1267137,0
1995-05-03,7.0551,7.0908,7.0466,7.0466,922287,0
1995-05-04,7.0286,7.0908,7.0286,7.0823,810033,0
1995-05-05,7.0643,7.0643,7.0108,7.0108,618751,0
1995-05-08,6.9841,7.0199,6.9482,6.9929,2137336,0
1995-05-09,7.0823,7.0908,7.0466,7.0643,2183138,0
1995-05-10,7.0643,7.0643,7.0108,7.0108,405016,0
1995-05-11,7.0286,7.0551,6.9929,7.0286,1224030,0
1995-05-12,7.0466,7.0996,7.0199,7.0643,681612,0
1995-05-15,7.0643,7.1356,7.0286,7.1264,931270,0
1995-05-16,7.1264,7.1801,7.1264,7.1711,644791,0
1995-05-17,7.1711,7.1711,7.1264,7.1535,567564,0
1995-05-18,7.0908,7.1177,7.0286,7.0466,941148,0
1995-05-19,7.0286,7.0643,7.0286,7.0643,771417,0
1995-05-22,7.0643,7.1089,7.0643,7.073,576543,0
1995-05-23,7.0643,7.0643,7.0019,7.0199,1257254,0
1995-05-24,7.0199,7.0374,6.9929,7.0199,2871036,0
1995-05-25,7.0199,7.0199,6.9573,6.9573,464289,0
1995-05-26,6.9397,6.9397,6.9039,6.9039,501108,0
1995-05-30,6.9039,6.9306,6.8948,6.9306,564866,0
1995-05-31,6.9397,7.0643,6.9306,7.0643,1108186,0
1995-06-01,7.073,7.1356,7.0286,7.0996,1224926,0
1995-06-02,7.073,7.0908,7.0199,7.0643,860326,0
1995-06-05,7.0374,7.1535,7.0374,7.1264,390648,0
1995-06-06,7.1356,7.2068,7.1089,7.1711,1095612,0
1995-06-07,7.1621,7.1891,7.1621,7.1801,522659,0
1995-06-08,7.1711,7.1801,7.073,7.073,1030950,0
1995-06-09,7.073,7.0996,7.0286,7.0996,1645214,0
1995-06-12,7.1264,7.1711,7.1264,7.1621,565767,0
1995-06-13,7.1801,7.1891,7.1356,7.1356,804650,0
1995-06-14,7.1089,7.1264,7.0908,7.0908,458002,0
1995-06-15,7.0908,7.1801,7.0643,7.1801,596299,0
1995-06-16,7.2514,7.3672,7.2514,7.3672,2025978,0
1995-06-19,7.3938,7.4025,7.2603,7.3136,827995,0
1995-06-20,7.3049,7.3228,7.1621,7.1621,1383881,0
1995-06-21,7.1621,7.1891,7.1356,7.1711,1101896,0
1995-06-22,7.1891,7.2514,7.1621,7.1621,579239,0
1995-06-23,7.1621,7.2333,7.1535,7.1801,1352450,0
1995-06-26,7.1891,7.2068,7.1264,7.1621,950126,0
1995-06-27,7.1621,7.2333,7.1621,7.1891,755253,0
1995-06-28,7.2246,7.2333,7.1711,7.2246,668143,0
1995-06-29,7.2068,7.2068,7.1621,7.1801,622343,0
1995-06-30,7.1711,7.3228,7.1535,7.2425,1347959,0
1995-07-03,7.2514,7.2603,7.2246,7.2425,237084,0
1995-07-05,7.2603,7.3049,7.2333,7.2333,851345,0
1995-07-06,7.2514,7.3764,7.2514,7.3764,1175533,0
1995-07-07,7.3493,7.3764,7.2958,7.3228,1392860,0
1995-07-10,7.3493,7.385,7.3228,7.3493,618751,0
1995-07-11,7.3228,7.3313,7.2958,7.3049,898042,0
1995-07-12,7.3136,7.3136,7.2514,7.3136,387952,0
1995-07-13,7.3049,7.3493,7.3049,7.3313,1237501,0
1995-07-14,7.3136,7.3136,7.2603,7.3049,415791,0
1995-07-17,7.3228,7.3938,7.3228,7.3493,659159,0
1995-07-18,7.3493,7.3672,7.2781,7.3136,235287,0
1995-07-19,7.3049,7.385,7.2068,7.2514,914204,0
1995-07-20,7.2603,7.3136,7.2068,7.3049,547806,0
1995-07-21,7.2781,7.3049,7.2246,7.2514,1183614,0
1995-07-24,7.2603,7.2781,7.2068,7.2514,1215948,0
1995-07-25,7.2514,7.3764,7.2246,7.3493,708551,0
1995-07-26,7.3228,7.4204,7.3049,7.3049,394239,0
1995-07-27,7.3672,7.3672,7.2514,7.3493,1222232,0
1995-07-28,7.3228,7.3493,7.2603,7.3493,864813,0
1995-07-31,7.3313,7.3493,7.3136,7.3313,1230318,0
1995-08-01,7.3493,7.3672,7.3136,7.3493,1282401,0
1995-08-02,7.3493,7.4204,7.3228,7.3938,994130,0
1995-08-03,7.385,7.4025,7.3049,7.3493,549600,0
1995-08-04,7.3938,7.3938,7.3049,7.3672,581930,0
1995-08-07,7.3672,7.4386,7.3672,7.3938,1018379,0
1995-08-08,7.3938,7.3938,7.3493,7.3764,329580,0
1995-08-09,7.3764,7.3764,7.3136,7.3136,301742,0
1995-08-10,7.3313,7.3313,7.2333,7.2781,710351,0
1995-08-11,7.2958,7.3136,7.1891,7.3049,1224926,0
1995-08-14,7.3049,7.3313,7.2781,7.3136,387054,0
1995-08-15,7.3136,7.3493,7.2958,7.3136,982459,0
1995-08-16,7.3672,7.4386,7.3493,7.4204,1198883,0
1995-08-17,7.385,7.385,7.3049,7.3049,1124348,0
1995-08-18,7.3228,7.3938,7.3228,7.385,1128836,0
1995-08-21,7.4475,7.5808,7.4475,7.5098,1070464,0
1995-08-22,7.456,7.4651,7.4025,7.4025,627732,0
1995-08-23,7.4386,7.5367,7.4386,7.5367,1439560,0
1995-08-24,7.572,7.6611,7.545,7.6075,1312935,0
1995-08-25,7.5987,7.6345,7.572,7.59,382567,0
1995-08-28,7.5987,7.679,7.5632,7.6075,586419,0
1995-08-29,7.6345,7.6345,7.5273,7.545,236184,0
1995-08-30,7.59,7.5987,7.5273,7.545,356522,0
1995-08-31,7.572,7.5987,7.5009,7.572,473268,0
1995-09-01,7.59,7.6699,7.59,7.6345,457101,0
1995-09-05,7.6611,7.679,7.6611,7.679,488533,0
1995-09-06,7.6699,7.7146,7.6521,7.6877,549600,0
1995-09-07,7.7146,7.7324,7.6611,7.7146,652875,0
1995-09-08,7.7413,7.7413,7.6699,7.7146,433754,0
1995-09-11,7.8128,8.0353,7.8128,7.8927,1507812,0
1995-09-12,7.9017,8.0084,7.9017,7.9729,1096510,0
1995-09-13,7.9462,8.0353,7.9107,8.0174,540622,0
1995-09-14,8.1332,8.1509,7.9819,8.0084,634914,0
1995-09-15,8.1244,8.1244,7.9642,7.9642,1063281,0
1995-09-18,7.8569,7.8751,7.7593,7.7771,1308448,0
1995-09-19,7.7678,7.9284,7.7324,7.9107,1219540,0
1995-09-20,7.9017,7.9284,7.8484,7.8569,247860,0
1995-09-21,7.8751,7.9642,7.7593,7.7858,655568,0
1995-09-22,7.7146,7.7678,7.679,7.679,717536,0
1995-09-25,7.7055,7.7324,7.6699,7.679,196670,0
1995-09-26,7.6877,7.8128,7.6611,7.7858,1484460,0
1995-09-27,7.7771,7.8751,7.7678,7.8751,1876906,0
1995-09-28,7.8569,7.8751,7.8128,7.8484,537028,0
1995-09-29,7.8484,7.9017,7.83,7.8569,1131532,0
1995-10-02,7.8927,7.9107,7.7771,7.8035,781297,0
1995-10-03,7.8035,7.8569,7.7678,7.7858,838771,0
1995-10-04,7.7858,7.8035,7.679,7.7324,935758,0
1995-10-05,7.7146,7.7324,7.6699,7.679,424773,0
1995-10-06,7.6877,7.7858,7.679,7.7771,1001316,0
1995-10-09,7.7678,7.7678,7.6877,7.7324,486740,0
1995-10-10,7.7055,7.7324,7.6521,7.7055,818116,0
1995-10-11,7.7055,7.7324,7.5987,7.6611,643897,0
1995-10-12,7.6611,7.83,7.6611,7.83,767825,0
1995-10-13,7.8393,7.9192,7.8393,7.8927,1206070,0
1995-10-16,7.9017,7.9284,7.7593,7.9192,1049811,0
1995-10-17,7.9192,7.9192,7.8569,7.8927,457101,0
1995-10-18,7.9642,7.9642,7.8927,7.8927,557683,0
1995-10-19,7.8927,7.9017,7.8393,7.8484,721124,0
1995-10-20,7.8393,7.8484,7.7771,7.8128,909717,0
1995-10-23,7.8035,7.8035,7.7413,7.7771,828889,0
1995-10-24,7.7858,7.8484,7.7678,7.8393,643897,0
1995-10-25,7.8393,8.0619,7.8393,8.0084,1096510,0
1995-10-26,8.0084,8.0084,7.9107,7.9462,1010295,0
1995-10-27,7.9107,8.0174,7.83,7.9192,1378493,0
1995-10-30,7.9642,7.9908,7.9107,7.9284,610667,0
1995-10-31,7.9462,7.9819,7.8569,7.8751,497512,0
1995-11-01,7.8484,7.9642,7.8484,7.9642,844158,0
1995-11-02,7.9819,7.9819,7.8569,7.9642,811829,0
1995-11-03,7.9462,8.0353,7.9462,8.0353,624138,0
1995-11-06,8.0443,8.0977,8.0443,8.0799,324195,0
1995-11-07,8.0799,8.0799,7.9462,7.9729,614259,0
1995-11-08,7.9819,8.0084,7.9729,7.9819,706756,0
1995-11-09,7.9908,8.0443,7.9462,8.0443,352929,0
1995-11-10,8.0084,8.0799,7.9462,8.0799,1010295,0
1995-11-13,8.0799,8.1066,8.0353,8.0443,239774,0
1995-11-14,8.0174,8.1601,8.0174,8.1509,700472,0
1995-11-15,8.1244,8.1332,8.0799,8.1332,899839,0
1995-11-16,8.1332,8.347,8.1244,8.347,807340,0
1995-11-17,8.3383,8.3648,8.2491,8.3205,607974,0
1995-11-20,8.2937,8.3561,8.2848,8.3024,276595,0
1995-11-21,8.2848,8.3738,8.2848,8.3561,493026,0
1995-11-22,8.3561,8.3561,8.2937,8.3383,512782,0
1995-11-24,8.2937,8.3024,8.1954,8.2043,281984,0
1995-11-27,8.2043,8.2757,8.0885,8.1954,1308448,0
1995-11-28,8.1777,8.4184,8.1332,8.3648,759742,0
1995-11-29,8.329,8.329,8.2043,8.2225,414896,0
1995-11-30,8.2225,8.2225,8.0885,8.1154,1063281,0
1995-12-01,8.1332,8.1422,8.0619,8.0885,953722,0
1995-12-04,8.1244,8.2225,8.1154,8.1601,1019279,0
1995-12-05,8.1601,8.2491,8.1332,8.1867,1203376,0
1995-12-06,8.1332,8.1867,8.1332,8.1601,1571573,0
1995-12-07,8.1422,8.2225,8.1244,8.1867,1257254,0
1995-12-08,8.2043,8.3024,8.1954,8.2668,646591,0
1995-12-11,8.2757,8.329,8.2668,8.3024,801053,0
1995-12-12,8.2757,8.3205,8.2312,8.2757,1259953,0
1995-12-13,8.2578,8.4004,8.2578,8.3738,856733,0
1995-12-14,8.3561,8.3561,8.2043,8.3024,686105,0
1995-12-15,8.329,8.329,8.2668,8.3024,1644314,0
1995-12-18,8.2757,8.3024,8.2225,8.2312,933063,0
1995-12-19,8.2491,8.3738,8.2491,8.2937,965396,0
1995-12-20,8.2668,8.3024,8.2043,8.2043,766029,0
1995-12-21,8.2043,8.3561,8.2043,8.2757,528047,0
1995-12-22,8.2937,8.4004,8.2757,8.3024,273902,0
1995-12-26,8.329,8.3561,8.329,8.329,136503,0
1995-12-27,8.3024,8.3918,8.3024,8.347,276595,0
1995-12-28,8.347,8.4362,8.347,8.4184,281984,0
1995-12-29,8.4271,8.4895,8.3918,8.4362,378975,0
1996-01-02,8.3918,8.4452,8.3648,8.4452,431061,0
1996-01-03,8.4271,8.6054,8.4271,8.5608,1413517,0
1996-01-04,8.5164,8.57,8.4806,8.4983,1283301,0
1996-01-05,8.4806,8.5073,8.4362,8.4452,824402,0
1996-01-08,8.4362,8.4452,8.4184,8.4271,68252,0
1996-01-09,8.4004,8.4184,8.3205,8.329,1359636,0
1996-01-10,8.3024,8.4004,8.2668,8.347,3228457,0
1996-01-11,8.329,8.4004,8.329,8.4004,786687,0
1996-01-12,8.3738,8.3738,8.2937,8.329,1733220,0
1996-01-15,8.3561,8.3561,8.2668,8.347,1221339,0
1996-01-16,8.3648,8.4004,8.2757,8.3918,935758,0
1996-01-17,8.3648,8.3648,8.3024,8.347,763337,0
1996-01-18,8.347,8.3648,8.2937,8.329,1603900,0
1996-01-19,8.329,8.4004,8.3205,8.3738,890857,0
1996-01-22,8.3738,8.3738,8.329,8.3738,637609,0
1996-01-23,8.3561,8.3738,8.347,8.3738,183201,0
1996-01-24,8.3648,8.4362,8.329,8.4004,1137817,0
1996-01-25,8.4184,8.4184,8.347,8.3738,727412,0
1996-01-26,8.3648,8.4362,8.329,8.4362,464289,0
1996-01-29,8.463,8.4895,8.3561,8.4362,607974,0
1996-01-30,8.4362,8.6498,8.4271,8.623,1119857,0
1996-01-31,8.5963,8.623,8.4452,8.623,2466919,0
1996-02-01,8.6498,8.6679,8.623,8.6498,619646,0
1996-02-02,8.6321,8.6321,8.5608,8.6054,439141,0
1996-02-05,8.5963,8.6679,8.57,8.6679,398729,0
1996-02-06,8.6498,8.6767,8.5963,8.6679,614259,0
1996-02-07,8.623,8.7033,8.623,8.6767,1018379,0
1996-02-08,8.6946,8.7389,8.6498,8.6679,1311141,0
1996-02-09,8.6946,8.7033,8.623,8.6767,1211455,0
1996-02-12,8.6679,8.7033,8.6498,8.6946,1686520,0
1996-02-13,8.6679,8.7389,8.6498,8.7211,2391485,0
1996-02-14,8.7211,8.7303,8.6946,8.7211,739986,0
1996-02-15,8.7389,8.7389,8.6498,8.7211,1224926,0
1996-02-16,8.7211,8.7925,8.7211,8.7925,851345,0
1996-02-20,8.7659,8.8011,8.6946,8.7389,815422,0
1996-02-21,8.7389,8.9439,8.7389,8.8369,1241992,0
1996-02-22,8.8637,8.8817,8.7659,8.8191,1415313,0
1996-02-23,8.8011,8.8011,8.7303,8.8011,2435488,0
1996-02-26,8.7836,8.8459,8.7389,8.7836,440939,0
1996-02-27,8.7836,8.7925,8.7124,8.757,517273,0
1996-02-28,8.757,8.8011,8.6498,8.6498,1006707,0
1996-02-29,8.6054,8.6946,8.525,8.525,898042,0
1996-03-01,8.5344,8.6054,8.463,8.5608,1045323,0
1996-03-04,8.6498,8.8011,8.6498,8.7303,2011613,0
1996-03-05,8.7389,8.8103,8.6588,8.8103,1671255,0
1996-03-06,8.8011,8.8285,8.7124,8.7925,1468297,0
