Date,Open,High,Low,Close,Volume,OpenInt
1998-06-29,17.858,18.254,17.661,18.051,7770973,0
1998-06-30,17.98,17.98,17.54,17.582,1894358,0
1998-07-01,17.54,17.703,17.144,17.62,730711,0
1998-07-02,17.54,17.54,17.223,17.499,694365,0
1998-07-06,17.499,17.499,17.144,17.182,759911,0
1998-07-07,17.182,17.223,17.03,17.112,768164,0
1998-07-08,17.112,17.223,17.068,17.223,483322,0
1998-07-09,17.144,17.182,16.907,17.068,361107,0
1998-07-10,17.068,17.068,16.631,17.068,473465,0
1998-07-13,16.907,17.03,16.631,16.989,474948,0
1998-07-14,16.947,17.144,16.752,17.068,823483,0
1998-07-15,16.989,17.03,16.792,17.03,286816,0
1998-07-16,16.947,16.989,16.752,16.826,497248,0
1998-07-17,16.826,16.826,16.631,16.752,669604,0
1998-07-20,16.631,16.672,16.437,16.631,667755,0
1998-07-21,16.55,16.631,16.355,16.437,269566,0
1998-07-22,16.478,16.478,16.274,16.478,624019,0
1998-07-23,16.478,16.672,16.478,16.631,549726,0
1998-07-24,16.518,16.55,16.437,16.518,635475,0
1998-07-27,16.437,16.591,16.314,16.55,474082,0
1998-07-28,16.478,16.55,16.038,16.274,1006440,0
1998-07-29,16.161,16.274,15.845,16.12,643361,0
1998-07-30,16.038,16.395,15.999,16.274,576462,0
1998-07-31,16.274,16.274,15.803,15.923,476545,0
1998-08-03,15.803,15.885,15.526,15.724,799826,0
1998-08-04,15.609,15.609,15.016,15.211,760895,0
1998-08-05,15.333,15.885,15.25,15.885,617610,0
1998-08-06,15.885,15.885,15.487,15.638,700406,0
1998-08-07,15.569,15.682,15.333,15.447,433057,0
1998-08-10,15.487,15.803,15.487,15.638,923276,0
1998-08-11,15.487,15.526,15.17,15.294,441559,0
1998-08-12,15.294,15.885,15.25,15.885,491576,0
1998-08-13,15.724,15.845,15.609,15.761,254414,0
1998-08-14,15.609,15.724,15.487,15.638,241107,0
1998-08-17,15.803,15.999,15.682,15.957,641268,0
1998-08-18,15.923,15.957,15.638,15.803,555518,0
1998-08-19,15.761,15.761,15.569,15.724,372931,0
1998-08-20,15.803,15.885,15.724,15.845,778516,0
1998-08-21,15.724,15.957,15.682,15.957,565497,0
