Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,17.516,17.833,17.516,17.79,298287,0
1995-01-04,17.516,17.604,17.373,17.558,334954,0
1995-01-05,17.558,17.604,17.516,17.516,368679,0
1995-01-06,17.558,17.604,17.463,17.516,315260,0
1995-01-09,17.463,17.558,17.463,17.516,108410,0
1995-01-10,17.558,17.558,17.516,17.516,175174,0
1995-01-11,17.558,17.648,17.418,17.463,374558,0
1995-01-12,17.463,17.604,17.418,17.604,140317,0
1995-01-13,17.744,17.922,17.744,17.877,270678,0
1995-01-16,17.976,18.434,17.976,18.293,167703,0
1995-01-17,18.205,18.338,18.107,18.338,277243,0
1995-01-18,18.338,18.338,18.152,18.293,275205,0
1995-01-19,18.205,18.246,18.152,18.205,265929,0
1995-01-20,18.338,18.381,18.246,18.381,314811,0
1995-01-23,18.205,18.567,18.152,18.567,588206,0
1995-01-24,18.567,18.708,18.523,18.664,478896,0
1995-01-25,18.611,18.936,18.611,18.841,382933,0
1995-01-26,18.841,18.981,18.794,18.936,266833,0
1995-01-27,19.028,19.168,19.028,19.071,226546,0
1995-01-30,19.123,19.123,19.028,19.123,253478,0
1995-01-31,19.028,19.168,18.936,19.071,170418,0
1995-02-01,19.071,19.168,18.981,19.071,245782,0
1995-02-02,19.028,19.212,18.936,19.168,195316,0
1995-02-03,19.256,19.856,19.256,19.812,276338,0
1995-02-06,19.812,20.042,19.761,19.947,387688,0
1995-02-07,20.042,20.042,19.584,19.716,368451,0
1995-02-08,19.671,19.856,19.671,19.761,125834,0
1995-02-09,19.671,19.761,19.671,19.716,173363,0
1995-02-10,19.761,19.901,19.584,19.901,219752,0
1995-02-13,19.716,19.812,19.625,19.671,211610,0
1995-02-14,19.671,19.671,19.398,19.625,193733,0
1995-02-15,19.761,19.812,19.671,19.761,298742,0
1995-02-16,19.812,19.812,19.484,19.531,334501,0
1995-02-17,19.531,19.584,19.442,19.531,267736,0
1995-02-21,19.484,19.625,19.484,19.531,167476,0
1995-02-22,19.484,19.584,19.442,19.531,295122,0
1995-02-23,19.716,20.033,19.661,19.99,212287,0
1995-02-24,20.088,20.131,19.847,19.99,245782,0
1995-02-27,19.802,19.99,19.716,19.716,140090,0
1995-02-28,19.802,19.947,19.761,19.947,76044,0
1995-03-01,19.802,19.847,19.617,19.661,106822,0
1995-03-02,19.617,19.847,19.575,19.847,80569,0
1995-03-03,19.802,19.901,19.716,19.761,266380,0
1995-03-06,19.716,19.802,19.575,19.802,112933,0
1995-03-07,19.761,19.802,19.476,19.476,204368,0
1995-03-08,19.575,19.617,19.247,19.345,139638,0
1995-03-09,19.388,19.476,19.301,19.433,277467,0
1995-03-10,19.575,19.901,19.531,19.847,260268,0
1995-03-13,19.847,19.847,19.761,19.802,164985,0
1995-03-14,19.847,19.847,19.617,19.716,180378,0
1995-03-15,19.716,20.033,19.716,20.033,189883,0
1995-03-16,20.033,20.314,20.033,20.131,208441,0
1995-03-17,20.174,20.174,19.901,19.947,436121,0
1995-03-20,19.901,19.947,19.761,19.802,67669,0
1995-03-21,19.802,20.033,19.761,19.761,152088,0
1995-03-22,19.761,19.901,19.716,19.847,164308,0
1995-03-23,19.847,20.088,19.847,19.901,307570,0
1995-03-24,19.847,20.088,19.847,20.088,107275,0
1995-03-27,20.174,20.174,19.947,20.033,195085,0
1995-03-28,20.033,20.501,20.033,20.263,434085,0
1995-03-29,20.263,20.501,19.947,19.947,281091,0
1995-03-30,19.99,20.088,19.847,19.847,349212,0
1995-03-31,19.901,19.99,19.761,19.802,332241,0
1995-04-03,19.761,19.847,19.716,19.802,198030,0
1995-04-04,19.802,19.99,19.802,19.901,195767,0
1995-04-05,19.901,19.947,19.761,19.947,167703,0
1995-04-06,20.033,20.22,20.033,20.033,274754,0
1995-04-07,20.174,20.263,20.088,20.174,271357,0
1995-04-10,20.088,20.314,20.033,20.263,152540,0
1995-04-11,20.314,20.314,19.99,20.033,166346,0
1995-04-12,19.99,20.22,19.99,20.22,163404,0
1995-04-13,20.263,20.314,20.22,20.314,145524,0
1995-04-17,20.361,20.406,19.99,19.99,358264,0
1995-04-18,20.033,20.131,19.661,19.761,266380,0
1995-04-19,19.802,20.131,19.716,20.033,113839,0
1995-04-20,19.99,20.088,19.947,19.947,170649,0
1995-04-21,20.174,20.174,20.088,20.088,643878,0
1995-04-24,20.033,20.263,19.947,20.22,266380,0
1995-04-25,20.131,20.131,19.99,20.088,136018,0
1995-04-26,20.088,20.131,19.947,20.033,91208,0
1995-04-27,19.901,20.033,19.901,19.99,68122,0
1995-04-28,19.99,20.088,19.847,20.088,141905,0
1995-05-01,20.088,20.106,19.901,20.088,208669,0
1995-05-02,19.99,20.22,19.99,20.22,123346,0
1995-05-03,20.314,20.314,20.131,20.22,114970,0
1995-05-04,20.263,20.873,20.263,20.448,282901,0
1995-05-05,20.547,20.687,20.361,20.687,217948,0
1995-05-08,20.592,21.148,20.592,21.102,153898,0
1995-05-09,21.148,21.288,20.592,20.732,236958,0
1995-05-10,20.732,20.776,20.406,20.776,301688,0
1995-05-11,20.776,20.776,20.592,20.687,122436,0
1995-05-12,20.635,20.732,20.635,20.732,119042,0
1995-05-15,20.732,21.006,20.732,21.006,118138,0
1995-05-16,21.006,21.006,20.776,20.873,144617,0
1995-05-17,20.919,20.919,20.732,20.821,99583,0
1995-05-18,20.776,20.873,20.687,20.821,213875,0
1995-05-19,20.776,20.873,20.635,20.873,289465,0
1995-05-22,20.961,21.235,20.961,21.102,235149,0
1995-05-23,21.148,21.235,21.102,21.192,210250,0
1995-05-24,21.192,21.377,21.148,21.333,262080,0
