Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,61.583,61.583,60.934,60.934,73244,0
1995-01-04,61.258,61.909,60.934,61.909,53478,0
1995-01-05,62.232,62.232,61.258,61.258,45658,0
1995-01-06,61.583,61.583,60.023,60.934,33374,0
1995-01-09,60.934,60.934,58.726,58.726,29772,0
1995-01-10,60.023,60.674,59.049,59.049,129893,0
1995-01-11,59.375,60.349,59.049,59.049,52647,0
1995-01-12,59.375,60.023,59.375,59.375,40024,0
1995-01-13,59.699,59.699,58.074,58.4,84235,0
1995-01-16,59.049,59.699,59.049,59.049,27647,0
1995-01-17,58.726,59.049,58.4,59.049,45843,0
1995-01-18,59.049,59.699,58.726,58.726,58589,0
1995-01-19,58.4,59.049,57.751,58.4,33128,0
1995-01-20,58.4,58.4,57.751,58.074,23922,0
1995-01-23,57.751,58.726,57.426,58.074,26231,0
1995-01-24,58.4,58.726,58.074,58.074,20382,0
1995-01-25,58.4,58.726,57.751,58.4,11114,0
1995-01-26,58.4,59.049,58.4,59.049,21705,0
1995-01-27,59.049,60.023,59.049,59.699,32204,0
1995-01-30,59.375,59.699,58.726,59.699,19920,0
1995-01-31,59.375,60.934,59.375,60.674,33620,0
1995-02-01,60.349,60.934,60.349,60.934,76015,0
1995-02-02,60.934,61.258,60.674,60.934,32358,0
1995-02-03,61.258,61.258,60.934,61.258,27216,0
1995-02-06,61.258,61.258,60.934,61.258,11299,0
1995-02-07,60.934,61.258,60.674,60.934,37623,0
1995-02-08,60.674,62.883,60.023,60.674,66347,0
1995-02-09,60.934,60.934,60.349,60.674,146796,0
1995-02-10,60.934,60.934,59.699,60.349,29772,0
1995-02-13,60.349,60.349,59.699,60.349,55787,0
1995-02-14,60.674,60.674,59.699,59.699,25831,0
1995-02-15,60.023,62.232,59.699,62.232,41841,0
1995-02-16,61.909,63.207,61.909,62.558,50738,0
1995-02-17,63.207,64.181,62.558,63.857,100552,0
1995-02-21,63.532,63.857,62.883,63.207,79987,0
1995-02-22,63.532,64.441,63.207,64.247,108373,0
1995-02-23,65.091,66.717,65.091,65.157,214375,0
1995-02-24,66.066,67.039,66.066,67.039,60960,0
1995-02-27,67.039,67.039,66.066,66.066,40486,0
1995-02-28,66.066,66.389,65.74,66.389,22321,0
1995-03-01,67.039,67.361,66.066,67.039,33528,0
1995-03-02,67.039,67.361,66.389,66.717,48398,0
1995-03-03,66.717,68.271,66.717,68.271,33405,0
