Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.319,12.578,12.319,12.363,152813,0
1995-01-04,12.363,12.45,12.237,12.319,258105,0
1995-01-05,12.319,12.408,12.278,12.408,208254,0
1995-01-06,12.45,12.792,12.45,12.578,222931,0
1995-01-09,12.534,12.578,12.408,12.45,74777,0
1995-01-10,12.491,13.094,12.491,12.963,513183,0
1995-01-11,12.963,13.136,12.963,13.094,111117,0
1995-01-12,13.136,13.393,13.094,13.307,118805,0
1995-01-13,13.351,13.48,13.351,13.435,137674,0
1995-01-16,13.48,13.48,13.393,13.435,60097,0
1995-01-17,13.435,13.48,13.435,13.48,32847,0
1995-01-18,13.435,13.566,13.393,13.393,37970,0
1995-01-19,13.393,13.48,13.351,13.351,96673,0
1995-01-20,13.393,13.523,13.307,13.523,50549,0
1995-01-23,13.435,13.48,13.094,13.136,157005,0
1995-01-24,13.136,13.136,12.963,13.05,166094,0
1995-01-25,13.094,13.351,13.094,13.307,74543,0
1995-01-26,13.307,13.393,13.05,13.136,56374,0
1995-01-27,13.179,13.307,13.179,13.222,46355,0
1995-01-30,13.179,13.393,13.179,13.393,49620,0
1995-01-31,13.393,13.651,12.963,13.007,136042,0
1995-02-01,13.05,13.351,13.05,13.222,113446,0
1995-02-02,13.136,13.136,12.879,13.136,130913,0
1995-02-03,13.094,13.222,13.094,13.222,95044,0
1995-02-06,13.136,13.566,13.136,13.566,163999,0
1995-02-07,13.523,13.778,13.523,13.696,249486,0
1995-02-08,13.651,13.821,13.651,13.821,135340,0
1995-02-09,13.821,13.911,13.778,13.867,178204,0
1995-02-10,13.911,13.993,13.821,13.95,586096,0
1995-02-13,13.95,14.037,13.867,13.911,190318,0
1995-02-14,13.867,13.993,13.867,13.95,77805,0
1995-02-15,13.95,13.993,13.867,13.95,106687,0
1995-02-16,13.95,13.993,13.911,13.95,82927,0
1995-02-17,13.993,13.993,13.911,13.911,68254,0
1995-02-21,13.95,13.95,13.738,13.778,81064,0
1995-02-22,13.778,13.911,13.393,13.911,280234,0
1995-02-23,13.95,14.037,13.911,13.993,174713,0
1995-02-24,13.911,13.993,13.911,13.993,83628,0
1995-02-27,13.95,13.993,13.911,13.911,28420,0
1995-02-28,13.95,13.95,13.867,13.867,59401,0
1995-03-01,13.911,13.911,13.651,13.651,481504,0
1995-03-02,13.566,13.911,13.566,13.911,325894,0
1995-03-03,13.821,13.821,13.606,13.778,75009,0
1995-03-06,13.738,13.778,13.606,13.778,139770,0
1995-03-07,13.812,13.812,13.514,13.599,166322,0
1995-03-08,13.599,13.687,13.557,13.687,195440,0
1995-03-09,13.687,13.687,13.642,13.642,109951,0
1995-03-10,13.729,14.116,13.687,14.116,126258,0
1995-03-13,14.116,14.116,14.029,14.116,178440,0
1995-03-14,14.116,14.423,14.116,14.159,141630,0
1995-03-15,14.116,14.159,14.029,14.029,84095,0
1995-03-16,14.029,14.073,13.984,14.029,90384,0
1995-03-17,14.029,14.029,13.812,13.858,330553,0
1995-03-20,13.984,13.984,13.729,13.772,234579,0
1995-03-21,13.729,13.858,13.599,13.642,244363,0
1995-03-22,13.687,13.812,13.599,13.599,371784,0
1995-03-23,13.599,13.642,13.557,13.599,44026,0
1995-03-24,13.557,13.599,13.376,13.599,174241,0
1995-03-27,13.599,13.945,13.599,13.945,187987,0
1995-03-28,13.902,13.902,13.729,13.772,132781,0
1995-03-29,13.812,14.159,13.812,13.812,162363,0
1995-03-30,13.902,13.902,13.687,13.687,269984,0
1995-03-31,13.729,13.858,13.642,13.642,259504,0
1995-04-03,13.812,13.858,13.772,13.858,99471,0
1995-04-04,13.812,14.2,13.812,14.2,158640,0
1995-04-05,14.116,14.381,14.073,14.381,163298,0
1995-04-06,14.287,14.423,14.287,14.423,127420,0
1995-04-07,14.423,14.465,14.357,14.423,115774,0
1995-04-10,14.381,14.423,14.331,14.381,73844,0
1995-04-11,14.381,14.44,14.331,14.381,119734,0
1995-04-12,14.381,14.423,14.331,14.423,47988,0
1995-04-13,14.423,14.465,14.381,14.465,60331,0
1995-04-17,14.465,14.511,14.381,14.381,135106,0
