Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.1106,4.1106,4.0385,4.0745,1349118,0
1995-01-04,4.0745,4.1017,4.0565,4.1017,832263,0
1995-01-05,4.0565,4.3011,4.0565,4.2284,9838731,0
1995-01-06,4.2557,4.2647,4.2105,4.2375,4099468,0
1995-01-09,4.2105,4.2647,4.2105,4.2557,943586,0
1995-01-10,4.2647,4.3462,4.2375,4.3011,1880987,0
1995-01-11,4.3374,4.3915,4.3011,4.3374,3316685,0
1995-01-12,4.3374,4.3646,4.319,4.3462,1941067,0
1995-01-13,4.3011,4.3462,4.2375,4.2557,3733699,0
1995-01-16,4.2557,4.3011,4.2375,4.2738,4348620,0
1995-01-17,4.2738,4.4456,4.2647,4.4277,4257617,0
1995-01-18,4.4277,4.5726,4.4277,4.4728,5863839,0
1995-01-19,4.4728,4.5182,4.4456,4.4728,2586910,0
1995-01-20,4.4911,4.5635,4.4187,4.5456,2442898,0
1995-01-23,4.5182,4.5456,4.3735,4.4456,2446430,0
1995-01-24,4.4456,4.4911,4.4456,4.4728,3500456,0
1995-01-25,4.455,4.4728,4.3915,4.4277,1448953,0
1995-01-26,4.4277,4.4728,4.4277,4.455,636124,0
1995-01-27,4.455,4.4728,4.3915,4.3915,583112,0
1995-01-30,4.4187,4.4728,4.3915,4.4277,864957,0
1995-01-31,4.4277,4.5002,4.4187,4.5002,1182134,0
1995-02-01,4.4911,4.5907,4.4911,4.5002,1563807,0
1995-02-02,4.5275,4.5635,4.5002,4.5456,799575,0
1995-02-03,4.5635,4.5635,4.5182,4.5635,1086714,0
1995-02-06,4.5456,4.7175,4.5456,4.672,4019076,0
1995-02-07,4.6993,4.7447,4.672,4.7264,3507523,0
1995-02-08,4.7175,4.7536,4.6993,4.7175,1516983,0
1995-02-09,4.7175,4.7264,4.5726,4.5726,2200817,0
1995-02-10,4.5907,4.5907,4.4456,4.4911,1824445,0
1995-02-13,4.455,4.4911,4.3915,4.3915,2320088,0
1995-02-14,4.3915,4.4728,4.3462,4.4728,3779640,0
1995-02-15,4.4911,4.5002,4.3735,4.4097,1412728,0
1995-02-16,4.4097,4.636,4.3735,4.636,4343318,0
1995-02-17,4.672,4.7899,4.6088,4.763,4251435,0
1995-02-21,4.763,4.9168,4.7536,4.8715,5894759,0
1995-02-22,4.8532,4.8803,4.7809,4.8082,2728266,0
1995-02-23,4.7809,4.8803,4.763,4.8803,1994961,0
1995-02-24,4.8532,4.8803,4.8082,4.8082,1238675,0
1995-02-27,4.7899,4.8261,4.7175,4.7175,1458672,0
1995-02-28,4.7447,4.8803,4.7175,4.8715,1812958,0
1995-03-01,4.8715,4.9168,4.7899,4.7899,1775850,0
1995-03-02,4.7809,4.8356,4.7809,4.7899,1046955,0
1995-03-03,4.7899,4.8715,4.7899,4.8715,546892,0
1995-03-06,4.8082,4.8715,4.8082,4.8532,882622,0
1995-03-07,4.8532,4.8532,4.672,4.6814,2199049,0
1995-03-08,4.6993,4.763,4.5907,4.7447,3157655,0
1995-03-09,4.7536,4.8082,4.7175,4.8082,1165346,0
1995-03-10,4.7809,4.9439,4.7809,4.9439,2146038,0
1995-03-13,4.962,5.0345,4.9349,4.9889,3678041,0
1995-03-14,5.0345,5.0527,4.9439,4.9804,1874800,0
1995-03-15,4.9439,5.0162,4.9349,4.9804,2884650,0
1995-03-16,5.0076,5.0162,4.962,4.9804,1906607,0
1995-03-17,5.0076,5.0345,4.9889,5.0162,1993192,0
1995-03-20,4.9889,5.1158,4.9439,5.0888,3610009,0
1995-03-21,5.0798,5.4057,5.0798,5.2789,8706080,0
1995-03-22,5.2065,5.2789,5.2065,5.2519,4981214,0
1995-03-23,5.2426,5.3875,5.2065,5.2338,4994465,0
1995-03-24,5.2156,5.2701,5.1705,5.1884,2345710,0
1995-03-27,5.1614,5.2065,5.0979,5.1158,2722085,0
1995-03-28,5.0888,5.2789,5.0798,5.2789,5125223,0
1995-03-29,5.2426,5.3245,5.2065,5.2065,4499703,0
1995-03-30,5.2156,5.2426,5.1158,5.1432,2156641,0
1995-03-31,5.1342,5.1432,5.0617,5.1158,1990541,0
1995-04-03,5.0888,5.1158,4.9889,5.0345,1660106,0
1995-04-04,5.0345,5.2519,5.0345,5.1614,5225947,0
1995-04-05,5.1614,5.1705,5.1342,5.1614,816360,0
1995-04-06,5.1432,5.1432,4.9804,4.9804,1531118,0
1995-04-07,4.9804,5.2338,4.8082,5.1432,7184680,0
1995-04-10,5.1158,5.2973,5.1158,5.2338,5545776,0
1995-04-11,5.2338,5.2426,5.1705,5.2426,3084322,0
1995-04-12,5.2338,5.3875,5.2065,5.3695,3521658,0
1995-04-13,5.3423,5.3695,5.2973,5.2973,790735,0
1995-04-17,5.315,5.3603,5.0888,5.0888,3678924,0
1995-04-18,5.1158,5.1432,4.9439,4.962,6529117,0
1995-04-19,4.962,4.9804,4.8988,4.9531,3687757,0
1995-04-20,4.9439,5.1342,4.9349,5.0255,5180003,0
1995-04-21,5.0888,5.1884,5.0527,5.1705,4283240,0
1995-04-24,5.1705,5.2156,5.1342,5.2065,1385338,0
1995-04-25,5.1705,5.2065,5.1158,5.1614,1952550,0
1995-04-26,5.1342,5.3695,5.1342,5.2338,4695841,0
1995-04-27,5.2065,5.2519,5.1342,5.1342,1830626,0
1995-04-28,5.1158,5.1158,4.9889,5.0527,2581606,0
1995-05-01,5.0076,5.0162,4.8803,4.9439,2808669,0
1995-05-02,4.9889,5.0617,4.9168,4.962,2800716,0
1995-05-03,4.9349,4.9439,4.8532,4.9168,2286516,0
1995-05-04,4.8988,4.9075,4.7809,4.7809,1490475,0
1995-05-05,4.8082,4.8356,4.5907,4.6814,4971492,0
1995-05-08,4.672,4.7175,4.5999,4.636,2922642,0
1995-05-09,4.636,5.0162,4.5999,5.0162,9581635,0
1995-05-10,5.0345,5.1705,4.9168,4.9889,6177483,0
1995-05-11,4.9889,5.0076,4.8803,4.9349,3768157,0
1995-05-12,4.9075,5.1158,4.9075,5.0162,6092665,0
1995-05-15,5.0076,5.0162,4.9075,4.9439,1198918,0
1995-05-16,4.8988,4.9168,4.8532,4.8532,2125718,0
1995-05-17,4.8532,4.9349,4.8532,4.9168,4318581,0
