Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.5691,1.5691,1.5397,1.5472,2564206,0
1995-01-04,1.5616,1.5691,1.5472,1.5691,710391,0
1995-01-05,1.5472,1.5616,1.4741,1.4741,3009293,0
1995-01-06,1.496,1.6271,1.4813,1.6054,11039560,0
1995-01-09,1.6054,1.642,1.5834,1.5834,3458770,0
1995-01-10,1.5834,1.5981,1.5472,1.5472,4464061,0
1995-01-11,1.5616,1.5834,1.5397,1.5691,2572974,0
1995-01-12,1.5616,1.5981,1.5616,1.5616,3103575,0
1995-01-13,1.5691,1.5834,1.5472,1.5762,3818351,0
1995-01-16,1.5616,1.62,1.5616,1.5981,3779981,0
1995-01-17,1.6271,1.9047,1.6054,1.8828,41833020,0
1995-01-18,1.9119,1.9266,1.8099,1.8609,14202331,0
1995-01-19,1.8609,1.8609,1.766,1.8024,5566919,0
1995-01-20,1.788,1.8024,1.6783,1.7222,10252428,0
1995-01-23,1.7367,1.7806,1.7148,1.7514,10792896,0
1995-01-24,1.7806,1.8681,1.7514,1.8681,10474972,0
1995-01-25,1.788,1.8391,1.7806,1.8099,11321302,0
1995-01-26,1.8024,1.8243,1.788,1.8024,5289558,0
1995-01-27,1.8243,1.8461,1.788,1.8024,11617296,0
1995-01-30,1.788,1.8099,1.788,1.788,16237030,0
1995-01-31,1.788,1.8024,1.7806,1.8024,3523450,0
1995-02-01,1.8099,1.8391,1.788,1.8024,3736128,0
1995-02-02,1.7806,1.8391,1.7806,1.8243,3553049,0
1995-02-03,1.8243,1.8461,1.8099,1.8099,3231838,0
1995-02-06,1.8391,1.8972,1.8099,1.8828,6129314,0
1995-02-07,1.8609,1.8972,1.8461,1.8681,5256668,0
1995-02-08,1.8609,1.8828,1.8099,1.8243,4198760,0
1995-02-09,1.8099,1.8461,1.8099,1.8461,928550,0
1995-02-10,1.8461,1.8461,1.7806,1.8099,1471212,0
1995-02-13,1.8099,1.934,1.8099,1.9119,15719585,0
1995-02-14,1.934,1.963,1.9266,1.934,7168587,0
1995-02-15,1.9485,1.963,1.9266,1.963,5087843,0
1995-02-16,1.963,1.963,1.9119,1.9266,846328,0
1995-02-17,1.934,1.934,1.8391,1.8391,2331793,0
1995-02-21,1.8391,1.8609,1.8024,1.8024,2947904,0
1995-02-22,1.8024,1.8099,1.788,1.7951,2533507,0
1995-02-23,1.7442,1.8024,1.7003,1.7806,8222114,0
1995-02-24,1.788,1.8391,1.7806,1.788,3779981,0
1995-02-27,1.766,1.8099,1.7514,1.7806,2644234,0
1995-02-28,1.7806,1.8024,1.7806,1.8024,4031028,0
1995-03-01,1.8099,1.8099,1.788,1.8099,687371,0
1995-03-02,1.788,1.8243,1.7806,1.8024,2137751,0
1995-03-03,1.788,1.8024,1.7806,1.8024,1141230,0
1995-03-06,1.7806,1.788,1.7514,1.7806,1034891,0
1995-03-07,1.7806,1.8099,1.766,1.7806,6383649,0
1995-03-08,1.8024,1.9922,1.7806,1.9922,23484551,0
1995-03-09,2.0067,2.0289,1.9266,1.963,15901569,0
1995-03-10,1.963,2.1163,1.9485,2.1088,17083362,0
1995-03-13,2.1088,2.1088,1.9996,2.0289,6784887,0
1995-03-14,2.0506,2.0506,2.0289,2.0431,4090227,0
1995-03-15,2.0289,2.1455,2.0289,2.1017,11129457,0
1995-03-16,2.0798,2.1088,2.0506,2.058,6084363,0
1995-03-17,2.0506,2.0651,2.0289,2.0506,3885222,0
1995-03-20,2.0431,2.1309,2.0431,2.1309,6294849,0
1995-03-21,2.1309,2.233,2.087,2.087,9729501,0
1995-03-22,2.0798,2.1017,2.0431,2.0506,1908627,0
1995-03-23,2.0506,2.1529,2.0506,2.1163,6995375,0
1995-03-24,2.1309,2.2038,2.1309,2.1673,9445565,0
1995-03-27,2.1455,2.1673,2.0798,2.1163,2348232,0
1995-03-28,2.1309,2.1891,2.1088,2.1673,3276786,0
1995-03-29,2.1529,2.1747,2.1309,2.1529,3477404,0
1995-03-30,2.1529,2.1747,2.1088,2.138,4359915,0
1995-03-31,2.1309,2.1455,2.087,2.1017,4058435,0
1995-04-03,2.087,2.087,1.9922,2.0651,6497663,0
1995-04-04,2.0431,2.0651,1.963,1.963,3659389,0
1995-04-05,1.9485,2.0289,1.9485,2.0289,4814868,0
1995-04-06,2.0067,2.0289,1.9119,1.9119,2386605,0
1995-04-07,1.934,1.963,1.8461,1.8828,4669064,0
1995-04-10,1.8828,1.9485,1.8391,1.9119,8645279,0
1995-04-11,1.9119,1.9266,1.8681,1.8828,1360484,0
1995-04-12,1.8828,1.9047,1.8461,1.9047,2120209,0
1995-04-13,1.9047,2.0431,1.8972,2.0067,8917159,0
1995-04-17,2.0214,2.1088,1.9922,1.9922,7923927,0
1995-04-18,1.9922,2.0214,1.9704,1.9922,2253955,0
1995-04-19,1.9922,2.0067,1.8609,1.9119,7649855,0
1995-04-20,1.9047,1.9485,1.8828,1.934,2801001,0
1995-04-21,1.934,1.9485,1.9047,1.9119,1680600,0
1995-04-24,1.9119,1.963,1.8972,1.9119,5373974,0
1995-04-25,1.9119,2.087,1.8609,2.0506,15651615,0
1995-04-26,2.0431,2.233,2.0214,2.2038,47889978,0
1995-04-27,2.2255,2.2255,2.0798,2.1088,7283696,0
1995-04-28,2.1088,2.1455,2.0798,2.1163,6822162,0
1995-05-01,2.1163,2.1237,2.0651,2.1017,3011487,0
1995-05-02,2.1017,2.1529,2.0798,2.087,5075786,0
1995-05-03,2.1088,2.1673,2.087,2.1529,6778311,0
1995-05-04,2.1747,2.1891,2.1017,2.1163,5760962,0
1995-05-05,2.1088,2.1309,2.0214,2.0214,4522164,0
1995-05-08,2.0214,2.0506,1.985,2.014,4859817,0
1995-05-09,2.0214,2.0289,1.985,1.9922,4755672,0
1995-05-10,2.0067,2.0214,1.985,2.0067,3278976,0
1995-05-11,2.0067,2.0214,1.985,2.0067,5748901,0
1995-05-12,2.0067,2.1455,2.0067,2.1455,9805146,0
1995-05-15,2.1455,2.1529,2.1163,2.1309,3614443,0
1995-05-16,2.1529,2.1673,2.087,2.1163,7918445,0
1995-05-17,2.1163,2.1529,2.1163,2.1455,3447806,0
1995-05-18,2.1455,2.1747,2.1088,2.1455,5922115,0
1995-05-19,2.1309,2.1529,2.1163,2.1455,3705432,0
1995-05-22,2.1455,2.1891,2.1309,2.1673,7491989,0
1995-05-23,2.1747,2.1891,2.1529,2.1529,4035414,0
1995-05-24,2.1747,2.2038,2.1529,2.1747,9793085,0
1995-05-25,2.1529,2.2038,2.1529,2.1891,5131698,0
1995-05-26,2.1891,2.1891,2.1309,2.1673,2853620,0
1995-05-30,2.1673,2.1673,2.1088,2.1163,1943706,0
1995-05-31,2.1088,2.1455,2.087,2.1017,4405958,0
1995-06-01,2.1088,2.1163,2.0798,2.0943,3237319,0
1995-06-02,2.1017,2.233,2.0651,2.2038,11197425,0
1995-06-05,2.2255,2.3133,2.2111,2.2476,14080644,0
1995-06-06,2.262,2.3862,2.2476,2.3351,22025401,0
1995-06-07,2.3499,2.357,2.2915,2.3133,7497474,0
1995-06-08,2.328,2.3351,2.2695,2.3206,7819780,0
1995-06-09,2.3133,2.4957,2.2987,2.4664,15491558,0
1995-06-12,2.4957,2.5104,2.4153,2.4153,6724591,0
1995-06-13,2.4519,2.474,2.4081,2.474,6482315,0
1995-06-14,2.474,2.474,2.4298,2.4446,4066111,0
1995-06-15,2.4446,2.4884,2.4298,2.4298,4638368,0
1995-06-16,2.4298,2.4664,2.4298,2.4446,2521447,0
1995-06-19,2.5322,2.6929,2.5177,2.6929,11968110,0
1995-06-20,2.7221,2.7364,2.6123,2.6636,8569635,0
1995-06-21,2.6781,2.6929,2.5906,2.5906,6668684,0
1995-06-22,2.598,2.7146,2.5906,2.6929,8827260,0
1995-06-23,2.6929,2.6929,2.5322,2.5686,7286986,0
1995-06-26,2.5758,2.5758,2.474,2.481,4421304,0
1995-06-27,2.474,2.5906,2.4519,2.5395,7326451,0
1995-06-28,2.5104,2.5395,2.357,2.4957,13696946,0
1995-06-29,2.5104,2.5758,2.481,2.5541,12848426,0
1995-06-30,2.5686,2.6343,2.5541,2.6343,5006720,0
1995-07-03,2.6343,2.6343,2.5686,2.5758,1879024,0
1995-07-05,2.5758,2.6123,2.5395,2.5395,3349142,0
1995-07-06,2.5104,2.5177,2.3133,2.3718,30945846,0
1995-07-07,2.3862,2.4298,2.3718,2.4153,15375353,0
1995-07-10,2.4153,2.474,2.3351,2.4664,18904285,0
1995-07-11,2.4298,2.4446,2.357,2.3937,4863108,0
1995-07-12,2.4153,2.4298,2.3937,2.4228,9263581,0
1995-07-13,2.4081,2.4298,2.357,2.3644,10155958,0
1995-07-14,2.357,2.4081,2.328,2.3862,11039560,0
1995-07-17,2.3937,2.4081,2.357,2.357,7138987,0
1995-07-18,2.357,2.357,2.2768,2.2987,6896710,0
1995-07-19,2.262,2.262,2.1017,2.1673,6373783,0
1995-07-20,2.1673,2.2695,2.1529,2.233,11833269,0
1995-07-21,2.2476,2.2476,2.1747,2.2038,5277502,0
1995-07-24,2.2255,2.4081,2.2111,2.3937,21062863,0
1995-07-25,2.5104,2.5322,2.4153,2.481,20545418,0
1995-07-26,2.5104,2.5395,2.4957,2.5104,14465438,0
1995-07-27,2.5177,2.5395,2.5104,2.5104,14202331,0
1995-07-28,2.5177,2.5177,2.4298,2.4664,7816488,0
1995-07-31,2.481,2.481,2.4446,2.481,5428787,0
1995-08-01,2.481,2.4957,2.4081,2.4153,7324259,0
1995-08-02,2.4446,2.4664,2.4153,2.4298,8959911,0
1995-08-03,2.4446,2.4446,2.3718,2.3862,8955525,0
1995-08-04,2.3937,2.481,2.3718,2.481,8703381,0
1995-08-07,2.481,2.6343,2.481,2.627,16294037,0
1995-08-08,2.598,2.627,2.5758,2.598,6391324,0
1995-08-09,2.7221,2.7586,2.6636,2.7221,16968251,0
1995-08-10,2.7511,2.7586,2.5906,2.6416,7158723,0
1995-08-11,2.6416,2.6636,2.627,2.6416,2509389,0
1995-08-14,2.6636,2.7586,2.6562,2.7438,10198709,0
1995-08-15,2.7511,2.7803,2.7146,2.7586,8498378,0
1995-08-16,2.8167,2.9555,2.7586,2.8824,18861532,0
1995-08-17,2.8971,2.9555,2.8754,2.8824,10817013,0
1995-08-18,2.8971,2.9191,2.8754,2.8824,7796757,0
1995-08-21,2.9043,2.9191,2.7511,2.7511,7844995,0
1995-08-22,2.7586,2.7803,2.7221,2.7511,4309481,0
1995-08-23,2.7729,2.8604,2.7586,2.7947,9537655,0
1995-08-24,2.7947,2.8167,2.7221,2.7803,5200762,0
1995-08-25,2.7803,2.8096,2.7364,2.7729,8048903,0
1995-08-28,2.7586,2.7586,2.5906,2.5906,9373209,0
1995-08-29,2.5906,2.598,2.4519,2.474,22415676,0
1995-08-30,2.5104,2.598,2.5104,2.5541,23200613,0
1995-08-31,2.5906,2.6781,2.5541,2.6343,19974259,0
1995-09-01,2.6343,2.9191,2.6123,2.7947,35063479,0
1995-09-05,2.8604,2.9191,2.8314,2.8824,11453951,0
1995-09-06,2.9043,2.9555,2.8824,2.8971,12201618,0
1995-09-07,2.8971,2.9043,2.846,2.8754,5925402,0
1995-09-08,2.9043,3.0066,2.8971,2.9992,21164818,0
1995-09-11,2.9773,3.0357,2.9773,3.0066,14128882,0
1995-09-12,3.0066,3.021,2.9555,2.9846,4650425,0
1995-09-13,2.9846,2.9992,2.9191,2.9408,5950619,0
1995-09-14,2.9334,2.9846,2.9043,2.9334,5944040,0
1995-09-15,2.9191,2.9334,2.8167,2.8386,14567396,0
1995-09-18,2.8386,2.9043,2.8167,2.8604,6903288,0
1995-09-19,2.846,2.9629,2.8386,2.9629,8513723,0
1995-09-20,2.9555,3.0357,2.9334,2.9334,10603239,0
1995-09-21,2.9043,2.9043,2.7729,2.8971,16943038,0
1995-09-22,2.8824,2.9191,2.7803,2.7947,5616254,0
1995-09-25,2.8167,2.8167,2.7146,2.7221,12460341,0
1995-09-26,2.7221,2.7364,2.598,2.6343,16157000,0
1995-09-27,2.627,2.6416,2.4664,2.598,18356143,0
1995-09-28,2.6416,2.7803,2.5541,2.7511,22276447,0
1995-09-29,2.7729,2.7729,2.627,2.7364,12860479,0
1995-10-02,2.7221,2.7221,2.5686,2.5758,8309819,0
1995-10-03,2.5758,2.598,2.4446,2.5395,11857384,0
1995-10-04,2.5104,2.5104,2.3499,2.357,8200186,0
1995-10-05,2.3499,2.5395,2.3133,2.5177,18972254,0
1995-10-06,2.5906,2.6781,2.5322,2.5395,14914913,0
1995-10-09,2.5322,2.5322,2.328,2.357,13058909,0
1995-10-10,2.3133,2.3937,2.1891,2.2987,24824207,0
1995-10-11,2.357,2.4153,2.262,2.2915,11870541,0
1995-10-12,2.328,2.4519,2.2987,2.3862,21870823,0
1995-10-13,2.4153,2.4446,2.328,2.357,7878976,0
1995-10-16,2.3133,2.357,2.262,2.2915,9906003,0
1995-10-17,2.2915,2.3718,2.2695,2.2768,28018773,0
1995-10-18,2.4957,2.6562,2.4298,2.6562,49843553,0
1995-10-19,2.6416,2.6562,2.5104,2.5906,15360004,0
1995-10-20,2.5758,2.5758,2.481,2.5322,12740989,0
1995-10-23,2.5104,2.6929,2.474,2.6343,18220205,0
1995-10-24,2.6343,2.7729,2.6123,2.6781,11935223,0
1995-10-25,2.6416,2.6929,2.4153,2.5758,13316536,0
1995-10-26,2.3718,2.4957,2.233,2.3718,33630639,0
1995-10-27,2.3351,2.3862,2.2038,2.2038,17491178,0
1995-10-30,2.2768,2.3718,2.262,2.3206,15597898,0
1995-10-31,2.3351,2.3862,2.1891,2.2186,17814579,0
1995-11-01,2.262,2.3133,2.2255,2.233,22604236,0
1995-11-02,2.2476,2.3862,2.233,2.357,19010623,0
1995-11-03,2.3718,2.474,2.3718,2.4228,13100569,0
1995-11-06,2.3937,2.474,2.2987,2.3133,10533079,0
