Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.6368,4.7265,4.6368,4.7019,2325173,0
1995-01-04,4.6776,4.7265,4.6368,4.653,1374879,0
1995-01-05,4.6368,4.653,4.6122,4.6368,991522,0
1995-01-06,4.6122,4.6776,4.5226,4.5879,1112761,0
1995-01-09,4.5634,4.5879,4.4983,4.5226,1240876,0
1995-01-10,4.5226,4.6776,4.5226,4.6368,2104781,0
1995-01-11,4.6368,4.6368,4.4983,4.6122,1490227,0
1995-01-12,4.6122,4.7019,4.5879,4.6368,1343958,0
1995-01-13,4.6368,4.7019,4.6368,4.6776,1750869,0
1995-01-16,4.6776,4.767,4.6776,4.767,907586,0
1995-01-17,4.7428,4.7916,4.7265,4.7916,1157428,0
1995-01-18,4.7019,4.767,4.6776,4.7265,1492682,0
1995-01-19,4.7019,4.7428,4.6776,4.7019,1092150,0
1995-01-20,4.7019,4.7265,4.6368,4.6776,1432799,0
1995-01-23,4.6287,4.767,4.6287,4.7183,1139760,0
1995-01-24,4.767,4.8161,4.7428,4.767,960600,0
1995-01-25,4.767,4.8161,4.7428,4.7916,981707,0
1995-01-26,4.7916,4.8161,4.767,4.8161,1144179,0
1995-01-27,4.7916,4.8569,4.7916,4.8161,3131150,0
1995-01-30,4.8161,4.8812,4.8161,4.8161,1479434,0
1995-01-31,4.8326,4.9222,4.8326,4.9222,1359170,0
1995-02-01,4.9222,4.971,4.8569,4.9464,2457699,0
1995-02-02,4.9222,4.9464,4.8812,4.9059,850159,0
1995-02-03,4.9464,5.1095,4.8812,5.0361,2119012,0
1995-02-06,5.0361,5.1338,5.0201,5.0851,1504467,0
1995-02-07,5.0851,5.1095,5.0851,5.1095,579208,0
1995-02-08,5.0604,5.2237,5.0604,5.1501,2150429,0
1995-02-09,5.1095,5.1095,5.0361,5.0604,2547037,0
1995-02-10,5.0604,5.0851,4.9464,5.0604,1357696,0
1995-02-13,5.0201,5.0851,5.0201,5.0851,668542,0
1995-02-14,5.1095,5.1095,4.971,5.0361,1425927,0
1995-02-15,5.0201,5.0361,4.971,4.9955,1065150,0
1995-02-16,4.9955,4.9955,4.9059,4.9464,3010892,0
1995-02-17,4.9464,4.971,4.9059,4.9464,1949180,0
1995-02-21,4.971,5.0201,4.9464,5.0201,1032753,0
1995-02-22,4.9955,5.1095,4.9955,5.1095,6763952,0
1995-02-23,5.1338,5.1991,5.1095,5.1501,3298535,0
1995-02-24,5.1747,5.2237,5.1747,5.1991,1314015,0
1995-02-27,5.1501,5.1747,5.0851,5.0851,1508881,0
1995-02-28,5.1095,5.1501,5.0851,5.1501,1540787,0
1995-03-01,5.1338,5.1747,5.1095,5.1747,1734184,0
1995-03-02,5.1747,5.1747,5.1338,5.1501,776532,0
1995-03-03,5.1501,5.1991,5.1501,5.1991,1061715,0
1995-03-06,5.1991,5.1991,5.1501,5.1747,1104418,0
1995-03-07,5.1747,5.1991,5.1338,5.1501,762297,0
1995-03-08,5.1747,5.1747,5.0604,5.0851,5247219,0
1995-03-09,5.1095,5.1338,5.0851,5.0851,960600,0
1995-03-10,5.1095,5.1095,5.0361,5.0361,2034587,0
1995-03-13,5.0201,5.0361,4.9059,4.9059,2612320,0
1995-03-14,4.9464,4.971,4.9059,4.9464,2631464,0
1995-03-15,4.9464,4.971,4.7916,4.8569,4974797,0
1995-03-16,4.8812,4.8812,4.8326,4.8569,3899827,0
1995-03-17,4.9059,4.9222,4.8569,4.9222,3171404,0
1995-03-20,4.9059,5.0201,4.8812,5.0201,3658329,0
1995-03-21,5.0201,5.0201,4.7916,4.8812,8222770,0
1995-03-22,4.8326,4.8569,4.8161,4.8569,3057527,0
1995-03-23,4.8569,4.8569,4.7916,4.8569,2712456,0
1995-03-24,4.8812,4.971,4.8812,4.9059,3276441,0
1995-03-27,4.9059,4.9059,4.8161,4.8326,2024279,0
1995-03-28,4.8569,4.8812,4.8161,4.8812,880099,0
1995-03-29,4.8569,4.9059,4.8326,4.8326,1560424,0
1995-03-30,4.9222,4.9464,4.8326,4.8326,1381260,0
1995-03-31,4.8326,4.8326,4.767,4.8161,1617359,0
1995-04-03,4.7916,4.8569,4.767,4.8569,1330700,0
1995-04-04,4.8326,4.9222,4.8161,4.9222,950780,0
1995-04-05,4.9222,4.9222,4.8812,4.9222,1314015,0
1995-04-06,4.8812,4.9464,4.8161,4.8569,1293398,0
1995-04-07,4.9464,4.971,4.8812,4.9222,1525571,0
1995-04-10,4.9222,5.0201,4.9059,4.9955,1816649,0
1995-04-11,4.9955,5.0201,4.9464,4.971,1154485,0
1995-04-12,4.9955,5.0851,4.971,5.0604,1225659,0
1995-04-13,5.0604,5.0851,5.0361,5.0604,1060242,0
1995-04-17,5.1095,5.1501,4.9059,4.9222,2303574,0
1995-04-18,4.971,4.971,4.8569,4.8812,1502992,0
1995-04-19,4.9059,4.9955,4.8812,4.9955,1617850,0
1995-04-20,4.9955,5.0201,4.9222,4.971,1891257,0
1995-04-21,5.0201,5.0851,4.9955,5.0361,1396477,0
1995-04-24,5.0361,5.1014,5.0115,5.0361,1303216,0
1995-04-25,5.0361,5.0851,4.9464,5.0851,1858370,0
1995-04-26,5.0851,5.0851,4.971,4.9872,1815668,0
1995-04-27,4.9872,5.0851,4.9872,5.0604,2588758,0
1995-04-28,5.0361,5.1014,4.9464,5.1014,1607544,0
1995-05-01,5.1014,5.1014,4.971,4.9872,1755780,0
1995-05-02,4.9872,5.0361,4.9872,5.0361,2599555,0
1995-05-03,5.0115,5.0361,4.9872,5.0115,3625932,0
1995-05-04,5.0361,5.1257,5.0115,5.0851,3101210,0
1995-05-05,5.1014,5.1257,5.0604,5.1257,1929544,0
1995-05-08,5.0851,5.1991,5.0604,5.1747,2517094,0
1995-05-09,5.1747,5.2155,5.1257,5.1501,1980591,0
1995-05-10,5.1747,5.1991,5.1501,5.1747,1960959,0
1995-05-11,5.1257,5.1747,5.1014,5.1501,2798844,0
1995-05-12,5.1257,5.1257,5.0115,5.1014,3021199,0
1995-05-15,5.1014,5.1014,4.9872,5.0115,2331061,0
1995-05-16,5.0115,5.1014,4.9872,5.0361,1157924,0
1995-05-17,5.0361,5.0604,4.971,5.0115,1251676,0
1995-05-18,4.971,4.9872,4.8731,4.8974,4902640,0
1995-05-19,4.8974,4.971,4.8731,4.9222,5338518,0
1995-05-22,4.9464,5.0851,4.9464,5.0115,2377692,0
1995-05-23,5.0115,5.1014,4.9872,4.9872,3072740,0
1995-05-24,4.9872,5.0115,4.8731,4.8974,3525800,0
1995-05-25,4.9222,5.0361,4.8974,4.971,2650115,0
1995-05-26,4.9222,4.9464,4.8731,4.8731,2546053,0
1995-05-30,4.8731,4.8974,4.8326,4.8326,3106607,0
1995-05-31,4.8569,4.971,4.8569,4.9464,2379163,0
1995-06-01,4.8974,4.9464,4.8974,4.9464,1906965,0
1995-06-02,4.9464,4.9464,4.8974,4.9222,1921199,0
1995-06-05,4.9222,5.1014,4.8974,5.0604,3058996,0
