Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.4061,7.4975,7.4061,7.4518,5162214,0
1995-01-04,7.3645,7.457,7.3645,7.4107,7972238,0
1995-01-05,7.4095,7.5263,7.3632,7.5263,10148157,0
1995-01-06,7.5263,7.665,7.5263,7.5263,8078360,0
1995-01-09,7.5013,7.6183,7.5013,7.5013,4821306,0
1995-01-10,7.5263,7.5483,7.4799,7.5263,6785953,0
1995-01-11,7.498,7.5221,7.4297,7.4518,4888163,0
1995-01-12,7.4766,7.5228,7.4304,7.4766,4313083,0
1995-01-13,7.5228,7.5228,7.4525,7.4766,6475566,0
1995-01-16,7.5242,7.6169,7.5001,7.6169,5205506,0
1995-01-17,7.5458,7.6161,7.4995,7.5922,8001191,0
1995-01-18,7.5483,7.5725,7.4799,7.5263,6814023,0
1995-01-19,7.4995,7.5922,7.4773,7.5922,9103945,0
1995-01-20,7.575,7.6212,7.5285,7.551,8105906,0
1995-01-23,7.4513,7.7069,7.4513,7.6828,6606298,0
1995-01-24,7.6877,7.7119,7.6193,7.6415,4706096,0
1995-01-25,7.6867,7.8716,7.6403,7.7568,5456272,0
1995-01-26,7.7545,7.8468,7.7545,7.8228,4147835,0
1995-01-27,7.8519,8.0364,7.8274,8.0125,7904582,0
1995-01-30,7.9915,8.0382,7.8065,7.8065,7760681,0
1995-01-31,7.851,7.9432,7.851,7.8969,9946730,0
1995-02-01,7.8961,7.9188,7.826,7.8721,9811503,0
1995-02-02,7.8987,7.9208,7.7596,7.7816,5867947,0
1995-02-03,7.8707,8.0092,7.8482,7.9631,8569743,0
1995-02-06,7.938,8.0067,7.8921,7.938,4938207,0
1995-02-07,8.0067,8.0308,7.9143,7.938,6314550,0
1995-02-08,7.9425,8.1279,7.9425,8.1279,7351947,0
1995-02-09,8.0796,8.1026,7.9631,7.9631,4688247,0
1995-02-10,7.9639,8.0101,7.9178,7.9875,3530206,0
1995-02-13,7.9867,8.0334,7.9169,7.9631,3455976,0
1995-02-14,8.0117,8.036,7.826,7.8721,4237938,0
1995-02-15,7.8683,8.0067,7.8217,7.938,4870144,0
1995-02-16,7.9674,7.9674,7.713,7.7816,8739311,0
1995-02-17,7.7804,7.7804,7.6193,7.6415,8011911,0
1995-02-21,7.6441,7.6682,7.5756,7.5756,7717765,0
1995-02-22,7.5922,7.7088,7.5235,7.5922,12627151,0
