Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.0564,8.0853,7.9025,7.9025,960282,0
1995-01-04,7.9025,7.9025,7.7776,7.9025,815073,0
1995-01-05,7.8738,7.9311,7.8448,7.9025,713138,0
1995-01-06,7.9311,7.9311,7.8448,7.9311,580411,0
1995-01-09,7.9025,7.989,7.8738,7.8738,396926,0
1995-01-10,7.8448,8.4121,7.8448,8.4121,1949270,0
1995-01-11,8.4698,8.4698,8.2005,8.3832,1281485,0
1995-01-12,8.3544,8.4121,8.2872,8.3257,389022,0
1995-01-13,8.4121,8.4988,8.3832,8.4409,893709,0
1995-01-16,8.4988,8.5371,8.4409,8.4698,491374,0
1995-01-17,8.4698,8.8927,8.4409,8.8927,1111729,0
1995-01-18,8.8063,8.8063,8.6525,8.7679,1350550,0
1995-01-19,8.7679,8.7679,8.5947,8.6814,1692974,0
1995-01-20,8.566,8.5947,8.4121,8.4988,788859,0
1995-01-23,8.4121,8.4409,8.1717,8.3544,1407550,0
1995-01-24,8.2585,8.3544,8.2585,8.2585,996477,0
1995-01-25,8.2585,8.2585,7.9311,8.0179,2807197,0
1995-01-26,7.9603,8.2294,7.9603,8.1429,1717106,0
1995-01-27,8.2005,8.2872,8.0564,8.2872,711474,0
1995-01-30,8.2585,8.2585,8.0564,8.0853,976506,0
1995-01-31,8.1429,8.1429,7.7489,7.8065,1092590,0
1995-02-01,7.7489,7.989,7.7199,7.989,627010,0
1995-02-02,8.0564,8.0564,7.8448,7.9311,879565,0
1995-02-03,7.9603,8.2294,7.9603,8.1717,1411713,0
1995-02-06,8.1429,8.3257,8.1429,8.3257,406080,0
1995-02-07,8.3257,8.3544,8.1717,8.2294,265450,0
1995-02-08,8.2294,8.2585,8.1141,8.2585,311219,0
1995-02-09,8.2872,8.4988,8.2872,8.4698,1395070,0
1995-02-10,8.4698,8.7103,8.4698,8.5947,1217826,0
1995-02-13,8.6237,8.7103,8.6237,8.6525,649063,0
1995-02-14,8.5947,8.8063,8.5947,8.739,870826,0
1995-02-15,8.739,8.9216,8.7103,8.7103,1246534,0
1995-02-16,8.7103,8.8063,8.7103,8.739,1270664,0
1995-02-17,8.6525,8.6525,8.5371,8.5371,597889,0
1995-02-21,8.5371,8.6814,8.066,8.6814,2151895,0
1995-02-22,8.739,8.739,8.5371,8.6237,345751,0
1995-02-23,8.6237,8.6814,8.5371,8.5371,941972,0
1995-02-24,8.566,8.7103,8.4988,8.7103,1131700,0
1995-02-27,8.6525,8.6525,8.5371,8.5947,280013,0
1995-02-28,8.5947,8.739,8.5947,8.739,850438,0
1995-03-01,8.6814,8.8063,8.6525,8.739,804256,0
1995-03-02,8.739,8.8352,8.6814,8.8063,508016,0
1995-03-03,8.739,9.374,8.7103,9.374,1351382,0
1995-03-06,9.2476,9.3447,9.1333,9.1904,1493677,0
1995-03-07,9.1621,9.2867,9.1044,9.2867,1697966,0
1995-03-08,9.2476,9.2867,9.1904,9.1904,1417536,0
1995-03-09,9.2476,9.4324,9.219,9.4038,2785562,0
1995-03-10,9.4324,9.797,9.4038,9.732,1394654,0
