Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,37.64,39.32,37.32,39.32,192788,0
1995-01-04,39,40,38.64,39.64,262688,0
1995-01-05,39,39,37.32,38.32,517875,0
1995-01-06,38.32,38.32,37.32,37.64,174263,0
1995-01-09,37.64,38.64,37.64,38.32,198863,0
1995-01-10,38.32,38.64,38,38,116438,0
1995-01-11,38,38.64,37.32,37.64,175275,0
1995-01-12,37.32,38,37,37,89400,0
1995-01-13,37.32,37.64,37,37,127463,0
1995-01-16,37.32,37.64,37,37.64,77588,0
1995-01-17,37.64,37.64,37,37,157425,0
1995-01-18,37.32,37.64,37,37.32,315525,0
1995-01-19,37.32,37.64,36.64,37.32,131888,0
1995-01-20,37.32,37.32,37,37,127613,0
1995-01-23,36.64,37,36.64,37,124538,0
1995-01-24,37,37.32,37,37,131813,0
1995-01-25,37,37.32,36.64,36.64,180300,0
1995-01-26,37.32,38.32,37,37.32,208125,0
1995-01-27,37.64,37.64,37,37.32,232725,0
1995-01-30,38,39,38,38.64,331988,0
1995-01-31,39,39,38.32,39,260700,0
1995-02-01,39,41.32,38.64,41.32,472988,0
1995-02-02,41.32,42.32,41.32,41.96,356438,0
1995-02-03,41.96,42.64,41.64,41.96,208838,0
1995-02-06,41.64,42.32,40.96,41.32,393938,0
1995-02-07,41.64,41.64,40.96,41.32,177525,0
1995-02-08,41.32,41.96,41.32,41.96,107138,0
1995-02-09,41.64,41.96,41.32,41.32,124163,0
1995-02-10,41.64,41.64,41.32,41.64,227700,0
1995-02-13,41.64,41.64,40.96,41.32,110025,0
1995-02-14,41.32,41.64,40.64,41.32,94988,0
1995-02-15,41.32,41.32,40.64,40.96,111375,0
1995-02-16,40.96,40.96,39.64,40.32,119588,0
1995-02-17,40.32,40.32,39.64,40,59850,0
1995-02-21,40,40,39.64,40,91800,0
1995-02-22,40,40,38.64,39.64,240863,0
1995-02-23,40,41.32,40,40.64,240938,0
1995-02-24,40.64,41.64,40.64,41.64,121950,0
1995-02-27,41.32,41.64,40,40,128625,0
1995-02-28,40,41.32,40,41.32,131025,0
1995-03-01,41.32,41.64,40.64,41.64,398850,0
1995-03-02,43.32,43.32,41.96,42.32,793313,0
1995-03-03,41.64,41.64,40.64,40.64,278213,0
1995-03-06,38.64,40.32,38.64,39.64,245850,0
1995-03-07,39.64,41.32,39.32,40.32,415388,0
1995-03-08,40,40.64,40,40.32,67725,0
1995-03-09,40,40.32,39.32,40,81413,0
1995-03-10,40,40,39.32,39.64,107888,0
1995-03-13,39.64,40,39.64,40,65138,0
1995-03-14,40,40.48,39.64,39.64,116400,0
1995-03-15,40,40.64,39.64,40.32,109050,0
1995-03-16,40,41.64,40,41.64,982988,0
1995-03-17,41.64,43.32,40.96,42.96,692063,0
1995-03-20,42.96,44.32,42.96,43.96,609075,0
1995-03-21,42.64,44.32,42.64,43.96,522675,0
1995-03-22,43.64,44.32,43.32,43.96,301313,0
1995-03-23,43.32,43.64,43.32,43.64,186675,0
1995-03-24,43.64,44.32,43.32,43.64,329438,0
1995-03-27,43.64,43.64,43.32,43.32,157013,0
1995-03-28,43.32,44.32,43.32,43.96,284963,0
1995-03-29,43.96,44.32,42.96,43.32,241988,0
1995-03-30,43.64,43.96,42.96,43.32,145350,0
1995-03-31,42.64,42.96,40,42.64,198788,0
1995-04-03,42.32,42.64,41.64,41.96,411375,0
1995-04-04,41.96,42.64,41.64,42.32,247763,0
1995-04-05,42.32,42.96,41.96,42.96,550313,0
1995-04-06,42.96,43.96,42.32,43.64,337800,0
1995-04-07,44.64,44.64,43.96,44.32,1375350,0
1995-04-10,44.64,45.64,44.32,45.32,908888,0
1995-04-11,44.96,45.64,44.96,45.32,230663,0
1995-04-12,44.32,45.32,44.32,45.32,191325,0
1995-04-13,44.96,45.32,44.64,44.96,204638,0
1995-04-17,45.32,45.32,44.32,44.64,215288,0
1995-04-18,44.32,44.64,42.96,44.32,182138,0
1995-04-19,44.64,44.64,41.64,43.32,286425,0
1995-04-20,42.64,42.64,41.64,42.32,367500,0
1995-04-21,41.96,42.64,41.32,42.32,531938,0
1995-04-24,43.32,44.32,42.96,44.32,306600,0
1995-04-25,44.32,44.64,43.64,43.96,188588,0
1995-04-26,43.96,44.96,43.96,44.96,391388,0
1995-04-27,44.64,45.32,44.64,44.96,688388,0
1995-04-28,44.96,45.64,44.32,45.32,264788,0
1995-05-01,45.32,46.32,44.96,46.32,220988,0
1995-05-02,46.32,47.64,44.96,45.96,230925,0
1995-05-03,45.96,46.96,45.64,45.96,758025,0
1995-05-04,45.64,46.96,45.32,46.64,748125,0
