Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.1114,4.1114,4.0851,4.1114,499915,0
1995-01-04,4.1114,4.217,4.1114,4.1906,1688236,0
1995-01-05,3.7253,3.7778,3.5056,3.5757,8560457,0
1995-01-06,3.5757,3.5757,3.5319,3.5495,1338568,0
1995-01-09,3.523,3.5319,3.4965,3.4965,640145,0
1995-01-10,3.5056,3.5056,3.1363,3.1801,8724367,0
1995-01-11,3.2945,3.2945,3.1894,3.2069,3918271,0
1995-01-12,3.2154,3.2418,3.1894,3.2069,845027,0
1995-01-13,3.2069,3.2069,3.1801,3.1801,458027,0
1995-01-16,3.1801,3.2069,3.1801,3.1801,626487,0
1995-01-17,3.1801,3.1801,3.1363,3.1363,423423,0
1995-01-18,3.1363,3.1894,3.1363,3.1628,449833,0
1995-01-19,3.1628,3.2069,3.1628,3.1894,129305,0
1995-01-20,3.1894,3.2418,3.1801,3.1894,275909,0
1995-01-23,3.1628,3.1801,3.1363,3.1363,631037,0
1995-01-24,3.1363,3.1363,3.0571,3.0748,1088156,0
1995-01-25,3.0748,3.11,3.0571,3.0839,849581,0
1995-01-26,3.11,3.1628,3.1013,3.1542,1587161,0
1995-01-27,3.1628,3.1801,3.1013,3.11,162086,0
1995-01-30,3.11,3.1276,3.0839,3.0839,89241,0
1995-01-31,3.1363,3.1363,3.0397,3.0486,648338,0
1995-02-01,3.0486,3.0486,3.0397,3.0486,438906,0
1995-02-02,3.0397,3.0571,3.0397,3.0486,659267,0
1995-02-03,3.0571,3.1363,3.0571,3.1363,1159183,0
1995-02-06,3.1276,3.1801,3.1276,3.1628,872344,0
1995-02-07,3.1894,3.1894,3.1542,3.1801,217631,0
1995-02-08,3.1801,3.2069,3.1628,3.1801,590973,0
1995-02-09,3.1894,3.2682,3.1894,3.2418,520858,0
1995-02-10,3.2418,3.3124,3.2331,3.2331,519037,0
1995-02-13,3.2594,3.2858,3.2418,3.2594,389733,0
1995-02-14,3.2682,3.2858,3.2594,3.2858,454385,0
1995-02-15,3.2682,3.2945,3.2682,3.2945,342379,0
1995-02-16,3.3209,3.3471,3.2945,3.3124,1170109,0
1995-02-17,3.2945,3.2945,3.2858,3.2858,173922,0
1995-02-21,3.2945,3.2945,3.2154,3.2154,1203800,0
1995-02-22,3.2331,3.2418,3.2154,3.2154,493542,0
1995-02-23,3.2418,3.2682,3.2154,3.2154,636502,0
1995-02-24,3.2154,3.2331,3.2154,3.2331,106539,0
1995-02-27,3.2154,3.2418,3.2154,3.2154,979796,0
1995-02-28,3.2154,3.2945,3.2154,3.2945,106539,0
1995-03-01,3.2682,3.2682,3.2331,3.2331,123840,0
1995-03-02,3.2418,3.2594,3.2154,3.2594,302315,0
1995-03-03,3.2418,3.2682,3.2331,3.2418,45530,0
1995-03-06,3.2682,3.2945,3.2682,3.2682,81954,0
1995-03-07,3.2858,3.3124,3.2154,3.2331,943371,0
1995-03-08,3.2154,3.2154,3.2069,3.2069,2733595,0
1995-03-09,3.1894,3.2069,3.1894,3.2069,30959,0
1995-03-10,3.1894,3.2331,3.1894,3.2331,361503,0
1995-03-13,3.2331,3.2418,3.2331,3.2418,278643,0
1995-03-14,3.2418,3.2418,3.2154,3.2331,233112,0
1995-03-15,3.2243,3.2418,3.2243,3.2418,1128222,0
1995-03-16,3.2418,3.2508,3.2418,3.2508,87419,0
1995-03-17,3.2418,3.2508,3.2418,3.2418,119290,0
1995-03-20,3.2418,3.2418,3.2154,3.2154,3010413,0
1995-03-21,3.2154,3.2154,3.1452,3.1452,543622,0
1995-03-22,3.1452,3.1894,3.1452,3.1452,162086,0
1995-03-23,3.1452,3.1452,3.11,3.11,688406,0
1995-03-24,3.11,3.1363,3.0925,3.1363,733025,0
1995-03-27,3.1363,3.1628,3.0839,3.1452,3182514,0
1995-03-28,3.1716,3.2769,3.1452,3.2243,553640,0
1995-03-29,3.2154,3.2418,3.1452,3.1716,2109839,0
1995-03-30,3.1716,3.3564,3.1716,3.2945,434353,0
1995-03-31,3.2769,3.2769,3.2243,3.2508,154801,0
1995-04-03,3.2769,3.2769,3.2243,3.2418,137497,0
1995-04-04,3.3035,3.3209,3.2769,3.2769,250412,0
1995-04-05,3.3035,3.3298,3.2769,3.3035,306870,0
1995-04-06,3.3298,3.3298,3.2945,3.3035,328724,0
1995-04-07,3.3209,3.3209,3.3035,3.3035,167548,0
1995-04-10,3.3209,3.3298,3.3209,3.3298,110181,0
1995-04-11,3.3209,3.3564,3.3209,3.3471,115644,0
1995-04-12,3.3825,3.6196,3.3825,3.5672,936086,0
1995-04-13,3.5672,3.5672,3.4526,3.4789,267714,0
1995-04-17,3.4526,3.4789,3.4349,3.4526,347848,0
1995-04-18,3.4349,3.4349,3.3298,3.3471,473508,0
1995-04-19,3.3564,3.3825,3.2418,3.2508,913323,0
1995-04-20,3.2508,3.2682,3.2418,3.2508,163905,0
1995-04-21,3.2682,3.2682,3.2418,3.2418,365145,0
1995-04-24,3.2418,3.2769,3.2418,3.2769,206703,0
