Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.7789,0.797,0.7789,0.7923,3803675,0
1995-01-04,0.7923,0.8109,0.7923,0.806,10614665,0
1995-01-05,0.8109,0.8109,0.7742,0.7742,5958743,0
1995-01-06,0.76,0.7742,0.7468,0.7561,13146954,0
1995-01-09,0.7561,0.7561,0.7282,0.7282,13384468,0
1995-01-10,0.7328,0.7421,0.7236,0.7282,10172823,0
1995-01-11,0.7282,0.7282,0.7147,0.7282,4187883,0
1995-01-12,0.7282,0.7282,0.7147,0.7147,10366678,0
1995-01-13,0.7236,0.7236,0.7101,0.7101,2465927,0
1995-01-16,0.7147,0.7236,0.7147,0.7147,1222487,0
1995-01-17,0.7147,0.7236,0.7101,0.7236,2902528,0
1995-01-18,0.7236,0.7282,0.7147,0.7236,5129198,0
1995-01-19,0.7282,0.7282,0.7101,0.7236,3279752,0
1995-01-20,0.7236,0.7282,0.7101,0.7282,3246573,0
1995-01-23,0.7147,0.7236,0.7055,0.7147,1477462,0
1995-01-24,0.7147,0.7147,0.6962,0.6962,3009063,0
1995-01-25,0.7055,0.7055,0.6734,0.6781,11901765,0
1995-01-26,0.6827,0.6827,0.6642,0.6734,3393267,0
1995-01-27,0.6642,0.6781,0.6642,0.6642,2787268,0
1995-01-30,0.6734,0.6734,0.6552,0.6552,2769805,0
1995-01-31,0.6594,0.6734,0.6552,0.6734,4706568,0
1995-02-01,0.6642,0.6781,0.6642,0.6642,3234346,0
1995-02-02,0.6642,0.6827,0.6642,0.6781,8010768,0
1995-02-03,0.6781,0.6781,0.6552,0.6594,15462688,0
1995-02-06,0.6459,0.6688,0.6459,0.6594,4863746,0
1995-02-07,0.6552,0.6594,0.6552,0.6594,1101985,0
1995-02-08,0.6552,0.6594,0.6459,0.6594,10240933,0
1995-02-09,0.6552,0.6872,0.6552,0.6872,22270186,0
1995-02-10,0.6872,0.6915,0.6734,0.6781,2251119,0
1995-02-13,0.6734,0.6781,0.6688,0.6734,2478153,0
1995-02-14,0.6734,0.6872,0.6688,0.6781,3627287,0
1995-02-15,0.6872,0.6872,0.6734,0.6734,2235402,0
1995-02-16,0.6781,0.6915,0.6781,0.6781,4386977,0
1995-02-17,0.6781,0.6915,0.6781,0.6872,3959105,0
1995-02-21,0.6872,0.6872,0.6781,0.6872,6872116,0
1995-02-22,0.6872,0.7101,0.6872,0.6962,8819359,0
1995-02-23,0.6962,0.7055,0.6915,0.6962,5646134,0
1995-02-24,0.6962,0.7101,0.6962,0.7055,4455086,0
1995-02-27,0.6915,0.6962,0.6915,0.6915,3229104,0
1995-02-28,0.6872,0.6872,0.6781,0.6872,3807168,0
1995-03-01,0.6872,0.6872,0.6229,0.6368,16215391,0
1995-03-02,0.6275,0.6368,0.6136,0.6275,9521413,0
1995-03-03,0.6229,0.6275,0.6136,0.6229,1646866,0
1995-03-06,0.6275,0.6275,0.6047,0.6136,1947245,0
1995-03-07,0.6136,0.6136,0.5957,0.6136,3431689,0
1995-03-08,0.6136,0.6136,0.6092,0.6092,7794215,0
1995-03-09,0.6092,0.6368,0.6092,0.6275,7121849,0
1995-03-10,0.6275,0.6368,0.6275,0.6275,10864403,0
1995-03-13,0.6275,0.6275,0.6136,0.6229,4032457,0
1995-03-14,0.6229,0.6229,0.6136,0.6136,1514133,0
1995-03-15,0.6136,0.6275,0.6136,0.6136,3473607,0
1995-03-16,0.6136,0.6229,0.6092,0.6092,5178097,0
1995-03-17,0.6136,0.6136,0.6092,0.6092,4596545,0
1995-03-20,0.6136,0.6229,0.6092,0.6229,3271021,0
1995-03-21,0.6136,0.6229,0.6136,0.6229,10316028,0
1995-03-22,0.6229,0.6229,0.6092,0.6229,4095325,0
1995-03-23,0.6136,0.6229,0.6092,0.6136,17179407,0
1995-03-24,0.6136,0.6136,0.6092,0.6092,3539969,0
1995-03-27,0.6136,0.6136,0.5957,0.6047,902893,0
1995-03-28,0.6092,0.6275,0.6047,0.6275,3615061,0
1995-03-29,0.6275,0.6459,0.6275,0.6414,7174244,0
1995-03-30,0.6414,0.6915,0.6414,0.6872,13178391,0
1995-03-31,0.6781,0.6872,0.6594,0.6688,13660400,0
1995-04-03,0.6734,0.6781,0.6552,0.6552,4758961,0
1995-04-04,0.6459,0.6594,0.6459,0.6594,3767000,0
1995-04-05,0.6594,0.6781,0.6594,0.6781,4959800,0
1995-04-06,0.6781,0.6915,0.6688,0.6872,7918209,0
1995-04-07,0.6872,0.6962,0.6872,0.6872,2399565,0
1995-04-10,0.6872,0.6962,0.6781,0.6915,2633582,0
1995-04-11,0.6962,0.6962,0.6688,0.6688,4297910,0
1995-04-12,0.6594,0.6594,0.6459,0.6552,6047810,0
