Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.4542,5.4918,5.3919,5.4918,251415,0
1995-01-04,5.5128,5.5708,5.4712,5.5708,494177,0
1995-01-05,5.5708,5.6082,5.55,5.5916,572536,0
1995-01-06,5.5916,5.5916,5.5292,5.55,517734,0
1995-01-09,5.5292,5.55,5.4918,5.5128,328330,0
1995-01-10,5.5292,5.6292,5.5128,5.5128,714828,0
1995-01-11,5.5708,5.5708,5.5128,5.55,664353,0
1995-01-12,5.5292,5.6497,5.5292,5.6292,579747,0
1995-01-13,5.6292,5.8078,5.6292,5.7497,1433985,0
1995-01-16,5.7663,5.9246,5.7497,5.9037,876828,0
1995-01-17,5.9453,6.0036,5.9453,5.9453,1214774,0
1995-01-18,5.9453,5.9453,5.8246,5.9453,661465,0
1995-01-19,5.9246,5.9246,5.7872,5.8246,654259,0
1995-01-20,5.8078,5.8659,5.7872,5.8659,449952,0
1995-01-23,5.7872,5.9037,5.7872,5.9037,456686,0
1995-01-24,5.9037,5.9661,5.8659,5.9661,338906,0
1995-01-25,5.9661,6.1034,5.9661,6.0824,676853,0
1995-01-26,6.0617,6.1407,6.0617,6.12,1107096,0
1995-01-27,6.12,6.1827,6.12,6.1613,342273,0
1995-01-30,6.1827,6.1989,6.1407,6.1827,382653,0
1995-01-31,6.1613,6.1613,6.1034,6.1407,235555,0
1995-02-01,6.1827,6.2988,6.1613,6.2779,1066234,0
1995-02-02,6.2779,6.478,6.1613,6.478,1398408,0
1995-02-03,6.436,6.478,6.3362,6.4152,1217177,0
1995-02-06,6.4152,6.5362,6.3784,6.478,1207565,0
1995-02-07,6.4152,6.5157,6.4152,6.4947,1172472,0
1995-02-08,6.5157,6.5157,6.436,6.4566,841252,0
1995-02-09,6.4152,6.5526,6.3983,6.5526,705692,0
1995-02-10,6.5526,6.5732,6.4152,6.436,1889704,0
1995-02-13,6.4152,6.5157,6.4152,6.5157,324965,0
1995-02-14,6.5526,6.5732,6.5157,6.5526,203824,0
1995-02-15,6.5526,6.5732,6.5362,6.5732,195650,0
1995-02-16,6.5732,6.5732,6.4947,6.5526,246608,0
1995-02-17,6.5526,6.6527,6.5362,6.5942,1065268,0
1995-02-21,6.5732,6.5942,6.5526,6.5732,594170,0
1995-02-22,6.5526,6.623,6.5526,6.6152,856157,0
1995-02-23,6.6737,6.7317,6.6315,6.6737,612914,0
1995-02-24,6.6942,6.7112,6.6527,6.6527,255743,0
1995-02-27,6.6527,6.7112,6.6315,6.7112,703773,0
1995-02-28,6.7112,6.7112,6.5526,6.5942,206228,0
1995-03-01,6.6152,6.6152,6.5362,6.5526,472546,0
1995-03-02,6.478,6.5526,6.4566,6.5526,498505,0
1995-03-03,6.4566,6.5157,6.4566,6.4947,272089,0
1995-03-06,6.478,6.5157,6.436,6.4947,455721,0
1995-03-07,6.4947,6.4947,6.3983,6.478,338423,0
1995-03-08,6.478,6.4947,6.3362,6.3362,284107,0
1995-03-09,6.3784,6.4566,6.3576,6.436,534079,0
1995-03-10,6.436,6.6315,6.4152,6.6315,1000375,0
1995-03-13,6.6315,6.6315,6.5526,6.5942,476396,0
1995-03-14,6.5942,6.6315,6.5732,6.5732,605223,0
1995-03-15,6.5942,6.5942,6.478,6.478,582150,0
1995-03-16,6.478,6.5157,6.3983,6.3983,652810,0
1995-03-17,6.4152,6.4152,6.32,6.3576,1244103,0
1995-03-20,6.436,6.5942,6.3983,6.5942,537926,0
1995-03-21,6.6152,6.6527,6.5732,6.5942,405249,0
1995-03-22,6.5942,6.5942,6.436,6.478,223534,0
1995-03-23,6.478,6.4947,6.436,6.4566,347082,0
1995-03-24,6.5362,6.6152,6.5157,6.5732,327371,0
1995-03-27,6.5732,6.5732,6.5362,6.5732,160565,0
1995-03-28,6.6152,6.6152,6.5362,6.5362,256229,0
1995-03-29,6.5526,6.6152,6.5526,6.5942,611475,0
1995-03-30,6.6152,6.6315,6.5942,6.5942,299007,0
1995-03-31,6.5942,6.5942,6.478,6.5362,685022,0
1995-04-03,6.5195,6.5986,6.4986,6.5769,382653,0
1995-04-04,6.561,6.5986,6.5401,6.5986,336025,0
1995-04-05,6.5986,6.6192,6.561,6.561,224016,0
1995-04-06,6.4986,6.5986,6.4405,6.5986,725408,0
1995-04-07,6.6401,6.6566,6.6192,6.6401,715791,0
1995-04-10,6.5986,6.5986,6.5195,6.5769,337466,0
1995-04-11,6.6192,6.6192,6.482,6.482,596089,0
1995-04-12,6.4405,6.482,6.4191,6.4612,295159,0
1995-04-13,6.482,6.5401,6.4405,6.5195,166809,0
1995-04-17,6.5401,6.5769,6.4986,6.4986,949900,0
1995-04-18,6.5195,6.5195,6.482,6.4986,316792,0
1995-04-19,6.4986,6.4986,6.4405,6.4986,413898,0
1995-04-20,6.4986,6.4986,6.4612,6.4612,193251,0
1995-04-21,6.482,6.482,6.4029,6.4029,448034,0
1995-04-24,6.4029,6.4191,6.2618,6.3824,617240,0
1995-04-25,6.3034,6.3238,6.2409,6.2618,816258,0
1995-04-26,6.2618,6.2817,6.1827,6.1827,1047969,0
1995-04-27,6.2035,6.2035,6.066,6.1613,1308515,0
