Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,17.376,17.376,16.998,17.095,129931,0
1995-01-04,17.144,17.144,16.95,17.144,187110,0
1995-01-05,17.192,17.241,17.046,17.144,370731,0
1995-01-06,17.144,17.289,16.998,17.289,294495,0
1995-01-09,17.337,17.715,17.289,17.715,308671,0
1995-01-10,17.617,18.053,17.473,17.908,350744,0
1995-01-11,17.812,18.102,17.763,18.053,211515,0
1995-01-12,17.908,18.005,17.763,17.957,266369,0
1995-01-13,17.908,18.005,17.666,17.715,129001,0
1995-01-16,17.812,17.908,17.52,17.52,490435,0
1995-01-17,17.52,17.617,17.376,17.52,263112,0
1995-01-18,17.52,17.52,17.095,17.337,335633,0
1995-01-19,17.241,17.425,17.144,17.241,417218,0
1995-01-20,17.192,17.376,17.144,17.289,170606,0
1995-01-23,17.144,17.241,16.901,17.046,218953,0
1995-01-24,17.095,17.289,17.046,17.241,255447,0
1995-01-25,17.192,17.337,17.192,17.337,85770,0
1995-01-26,17.192,17.289,17.046,17.144,277990,0
1995-01-27,17.192,17.192,17.046,17.095,128305,0
1995-01-30,17.144,17.192,17.046,17.046,201287,0
1995-01-31,17.046,17.241,17.046,17.192,225461,0
1995-02-01,17.144,17.337,17.144,17.241,165726,0
1995-02-02,17.241,17.425,17.192,17.376,212447,0
1995-02-03,17.473,17.812,17.337,17.812,306349,0
1995-02-06,17.812,17.957,17.666,17.715,426287,0
1995-02-07,17.715,17.908,17.715,17.859,304256,0
1995-02-08,17.763,18.053,17.763,18.053,575042,0
1995-02-09,18.149,18.149,17.957,18.053,269392,0
1995-02-10,18.005,18.198,18.005,18.149,374684,0
1995-02-13,18.149,18.248,18.005,18.149,196408,0
1995-02-14,18.198,18.296,18.149,18.248,359578,0
1995-02-15,18.198,18.731,18.198,18.634,397698,0
1995-02-16,18.634,18.683,18.344,18.442,274272,0
1995-02-17,18.442,18.442,18.149,18.248,69264,0
1995-02-21,18.149,18.248,17.908,17.957,195710,0
1995-02-22,17.957,18.149,17.908,18.053,356553,0
1995-02-23,18.005,18.442,18.005,18.248,424191,0
1995-02-24,18.198,18.344,18.198,18.296,99248,0
1995-02-27,18.198,18.344,18.149,18.149,248706,0
1995-02-28,18.149,18.248,18.005,18.248,1633545,0
1995-03-01,18.149,18.538,18.149,18.49,578528,0
1995-03-02,18.538,18.585,18.344,18.538,335633,0
1995-03-03,18.49,18.585,18.393,18.49,259628,0
1995-03-06,18.393,18.828,18.393,18.828,492761,0
1995-03-07,18.731,18.925,18.538,18.634,317502,0
1995-03-08,18.731,18.731,18.585,18.634,195943,0
1995-03-09,18.585,19.117,18.538,18.925,311924,0
1995-03-10,19.021,19.303,19.021,19.021,428611,0
1995-03-13,19.069,19.117,18.925,19.069,296820,0
1995-03-14,18.972,19.497,18.972,19.448,260557,0
1995-03-15,19.35,19.642,19.35,19.497,347953,0
1995-03-16,19.448,19.595,19.303,19.497,177349,0
1995-03-17,19.546,19.546,19.399,19.497,697999,0
1995-03-20,19.546,19.595,19.448,19.497,141319,0
1995-03-21,19.595,19.595,19.448,19.546,255211,0
1995-03-22,19.399,19.399,19.166,19.303,420938,0
1995-03-23,19.303,19.448,19.253,19.303,634312,0
1995-03-24,19.303,19.785,19.253,19.642,261257,0
1995-03-27,19.739,19.739,19.448,19.546,258932,0
1995-03-28,19.497,19.642,19.253,19.253,726357,0
1995-03-29,19.166,19.785,19.166,19.642,769589,0
1995-03-30,19.642,19.691,19.253,19.595,1002488,0
1995-03-31,19.546,19.595,19.448,19.595,511818,0
1995-04-03,19.595,19.691,19.399,19.448,148758,0
1995-04-04,19.448,19.448,19.205,19.205,477419,0
1995-04-05,19.205,19.303,19.205,19.253,172466,0
1995-04-06,19.35,19.35,19.069,19.117,198500,0
1995-04-07,19.117,19.205,18.828,19.021,601773,0
1995-04-10,18.876,19.833,18.876,19.833,687541,0
1995-04-11,19.833,19.833,19.546,19.642,293096,0
1995-04-12,19.546,19.739,19.546,19.691,170374,0
1995-04-13,19.642,20.417,19.642,20.269,922764,0
1995-04-17,20.269,21.045,20.269,20.996,531578,0
1995-04-18,20.899,20.947,20.61,20.658,254052,0
1995-04-19,20.706,20.899,20.61,20.61,306349,0
1995-04-20,20.658,20.753,20.561,20.61,416988,0
1995-04-21,20.753,20.753,20.466,20.466,613625,0
1995-04-24,20.417,20.561,20.417,20.561,461383,0
1995-04-25,20.61,20.658,20.466,20.561,497177,0
1995-04-26,20.61,21.131,20.61,20.899,719151,0
1995-04-27,20.996,21.082,20.802,20.802,454872,0
1995-04-28,20.753,20.802,20.706,20.753,357716,0
1995-05-01,20.851,21.278,20.851,20.996,310996,0
1995-05-02,20.947,20.996,20.802,20.851,279155,0
1995-05-03,20.899,20.947,20.753,20.899,466494,0
1995-05-04,20.899,21.18,20.802,20.996,314484,0
1995-05-05,21.082,21.131,20.899,20.947,156194,0
1995-05-08,20.851,21.082,20.802,21.082,213141,0
1995-05-09,21.18,21.229,20.996,21.082,343071,0
1995-05-10,21.18,21.664,21.131,21.616,648956,0
1995-05-11,21.664,21.953,21.567,21.809,756573,0
1995-05-12,21.76,22.343,21.76,21.953,708688,0
1995-05-15,22.051,22.15,21.953,22.15,406526,0
1995-05-16,22.051,22.15,21.953,22.101,297281,0
1995-05-17,21.904,21.953,21.616,21.858,312623,0
1995-05-18,21.76,21.809,21.664,21.664,215468,0
1995-05-19,21.471,21.471,21.229,21.229,464404,0
1995-05-22,21.328,21.616,21.328,21.519,350046,0
1995-05-23,21.519,21.567,21.375,21.375,206866,0
1995-05-24,21.278,21.712,21.278,21.567,374219,0
1995-05-25,21.519,22.101,21.452,21.953,332693,0
1995-05-26,21.953,21.953,21.597,21.74,225618,0
1995-05-30,21.664,21.809,21.308,21.308,334397,0
1995-05-31,21.375,21.375,20.725,20.947,406914,0
1995-06-01,21.015,21.229,20.871,21.015,693737,0
1995-06-02,21.082,21.082,20.581,20.802,266369,0
1995-06-05,20.802,20.802,20.658,20.802,218332,0
1995-06-06,20.947,21.015,20.725,20.802,304799,0
1995-06-07,20.725,20.725,20.144,20.436,775863,0
1995-06-08,20.436,20.871,20.368,20.802,372979,0
1995-06-09,20.658,20.871,20.658,20.725,192300,0
1995-06-12,20.581,20.725,20.515,20.581,178665,0
1995-06-13,20.436,20.802,20.368,20.802,308518,0
1995-06-14,20.947,21.886,20.871,21.375,856907,0
1995-06-15,21.519,22.535,21.519,22.315,839241,0
1995-06-16,22.389,22.749,22.101,22.315,321688,0
1995-06-19,22.458,22.961,22.458,22.535,456965,0
1995-06-20,22.749,22.892,22.603,22.892,379176,0
1995-06-21,22.892,22.892,22.535,22.749,404898,0
1995-06-22,22.825,22.892,22.535,22.749,279542,0
1995-06-23,22.825,23.329,22.749,23.107,226078,0
1995-06-26,23.252,23.686,23.184,23.329,403506,0
1995-06-27,23.329,23.545,22.961,23.184,327731,0
1995-06-28,23.184,23.252,22.961,23.039,135584,0
1995-06-29,23.107,23.184,22.825,23.039,174481,0
1995-06-30,22.961,23.329,22.892,23.252,228714,0
1995-07-03,23.476,24.121,23.476,24.044,163169,0
1995-07-05,24.121,25.353,23.976,25.276,1024101,0
1995-07-06,25.353,25.499,24.839,25.276,456809,0
1995-07-07,25.499,25.924,25.207,25.924,776021,0
1995-07-10,25.855,26.001,25.276,25.633,850554,0
1995-07-11,25.71,25.71,25.276,25.421,242350,0
1995-07-12,25.353,25.421,24.773,25.129,297671,0
1995-07-13,25.421,25.567,25.276,25.353,572099,0
1995-07-14,25.207,25.71,25.129,25.71,466727,0
1995-07-17,25.633,25.633,24.913,25.061,330522,0
1995-07-18,25.129,25.129,24.562,24.627,371274,0
1995-07-19,24.268,24.268,23.107,23.899,729220,0
1995-07-20,23.765,24.268,23.397,24.121,498495,0
1995-07-21,24.268,24.415,24.121,24.337,308671,0
1995-07-24,24.415,25.567,24.415,25.353,688623,0
1995-07-25,25.633,25.633,25.353,25.353,617345,0
1995-07-26,25.567,25.71,25.421,25.71,311307,0
1995-07-27,25.71,25.71,25.421,25.499,320141,0
1995-07-28,25.567,25.567,25.061,25.276,214614,0
1995-07-31,25.353,25.353,24.562,24.695,634390,0
1995-08-01,24.773,24.839,24.044,24.268,425042,0
1995-08-02,24.415,24.562,24.268,24.337,328973,0
1995-08-03,24.484,24.562,24.044,24.484,217554,0
1995-08-04,24.415,24.484,24.337,24.415,161464,0
1995-08-07,24.415,24.839,24.337,24.415,251493,0
1995-08-08,24.562,24.839,24.19,24.268,477109,0
1995-08-09,24.268,24.484,24.121,24.121,683046,0
1995-08-10,24.268,24.337,23.686,23.686,419776,0
1995-08-11,23.686,24.044,23.686,23.899,660111,0
1995-08-14,24.044,24.484,24.044,24.415,407379,0
1995-08-15,24.415,24.415,24.044,24.121,314099,0
1995-08-16,24.268,24.337,24.121,24.268,349117,0
1995-08-17,24.484,24.839,24.415,24.839,697615,0
1995-08-18,24.839,24.839,24.562,24.562,315182,0
1995-08-21,24.484,24.839,24.484,24.773,132953,0
1995-08-22,24.773,24.839,24.695,24.773,249479,0
1995-08-23,24.839,24.982,24.415,24.562,352213,0
1995-08-24,24.562,24.562,24.121,24.121,343071,0
1995-08-25,24.268,24.268,23.831,23.831,198500,0
1995-08-28,23.976,24.044,23.397,23.545,313630,0
1995-08-29,23.545,23.622,23.476,23.622,393897,0
1995-08-30,23.686,23.976,23.686,23.686,435892,0
1995-08-31,23.976,24.913,23.976,24.913,481912,0
1995-09-01,24.773,25.061,24.627,24.913,279232,0
1995-09-05,24.982,25.499,24.982,25.207,468587,0
1995-09-06,25.353,25.71,25.276,25.633,223913,0
1995-09-07,25.855,26.069,25.71,25.71,406140,0
1995-09-08,25.855,26.001,25.777,26.001,227785,0
1995-09-11,26.001,26.504,25.924,26.436,278766,0
1995-09-12,26.436,26.57,26.292,26.504,363681,0
1995-09-13,26.57,26.863,26.57,26.716,430311,0
1995-09-14,26.794,27.009,26.716,26.863,793222,0
1995-09-15,26.716,26.716,26.36,26.504,245762,0
1995-09-18,26.57,26.716,26.147,26.213,293796,0
1995-09-19,26.147,26.147,25.777,26.001,187034,0
1995-09-20,26.001,26.57,26.001,26.436,309604,0
1995-09-21,26.57,26.57,26.147,26.36,130783,0
1995-09-22,26.213,26.213,25.924,26.147,423031,0
1995-09-25,26.069,26.069,25.71,25.777,398083,0
1995-09-26,25.777,26.001,25.633,26.001,407690,0
1995-09-27,26.147,26.147,25.567,25.567,165182,0
1995-09-28,25.567,26.147,25.499,26.147,373907,0
1995-09-29,26.213,26.794,26.213,26.794,439762,0
1995-10-02,26.942,27.085,26.903,27.009,345084,0
1995-10-03,27.009,27.297,26.716,26.794,314099,0
1995-10-04,26.649,26.649,25.924,26.069,158828,0
1995-10-05,25.855,25.924,25.353,25.421,490901,0
1995-10-06,25.567,26.001,25.567,25.924,219725,0
1995-10-09,26.001,26.001,25.276,25.421,270553,0
1995-10-10,25.276,25.276,24.484,24.562,366939,0
1995-10-11,24.627,25.061,24.627,24.839,203302,0
1995-10-12,24.913,25.353,24.773,25.353,324166,0
1995-10-13,25.633,25.924,25.567,25.777,220348,0
1995-10-16,25.855,26.213,25.633,25.71,132177,0
1995-10-17,25.633,26.36,25.421,26.292,205316,0
