Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.6956,2.7371,2.6706,2.6706,437320,0
1995-01-04,2.6706,2.7205,2.6706,2.6871,948171,0
1995-01-05,2.6706,2.6956,2.6706,2.6792,426677,0
1995-01-06,2.6706,2.6956,2.6706,2.6706,555355,0
1995-01-09,2.7205,2.7205,2.6706,2.6871,386040,0
1995-01-10,2.6706,2.7371,2.6625,2.6625,651139,0
1995-01-11,2.6706,2.6956,2.5303,2.5468,863997,0
1995-01-12,2.5632,2.5632,2.4641,2.4807,2482653,0
1995-01-13,2.4889,2.6294,2.4641,2.6213,1018796,0
1995-01-16,2.6294,2.7698,2.6294,2.7371,1672839,0
1995-01-17,2.7205,2.7371,2.6956,2.7371,396681,0
1995-01-18,2.6956,2.6956,2.5799,2.6046,906566,0
1995-01-19,2.6294,2.6294,2.5632,2.5632,214788,0
1995-01-20,2.5303,2.5632,2.5137,2.5303,878504,0
1995-01-23,2.5137,2.5632,2.4889,2.5468,872704,0
1995-01-24,2.5632,2.5632,2.4807,2.4807,668556,0
1995-01-25,2.4641,2.5303,2.4641,2.5303,483757,0
1995-01-26,2.5303,2.5303,2.5137,2.5303,927852,0
1995-01-27,2.4889,2.5632,2.4889,2.5632,146093,0
1995-01-30,2.5632,2.5632,2.4889,2.5303,1077815,0
1995-01-31,2.4889,2.5137,2.4889,2.5137,2773877,0
1995-02-01,2.5137,2.5632,2.4889,2.5632,836903,0
1995-02-02,2.5632,2.5632,2.4889,2.5137,726606,0
1995-02-03,2.5303,2.6294,2.5303,2.5799,3461785,0
1995-02-06,2.6046,2.6294,2.5799,2.6046,2037597,0
1995-02-07,2.6046,2.6294,2.5799,2.6046,2023084,0
1995-02-08,2.5799,2.7205,2.5799,2.6706,1676708,0
1995-02-09,2.7036,2.7205,2.6706,2.7205,503109,0
1995-02-10,2.6706,2.7698,2.6706,2.7698,947199,0
1995-02-13,2.7698,2.9025,2.7205,2.8939,1925360,0
1995-02-14,2.8775,2.9271,2.861,2.9025,1406776,0
1995-02-15,2.9025,3.0264,2.9025,2.9435,2942224,0
1995-02-16,2.9683,2.9683,2.8775,2.9354,3063166,0
1995-02-17,2.9025,2.9354,2.861,2.9025,1433861,0
1995-02-21,2.9435,2.9435,2.8775,2.9025,249621,0
1995-02-22,2.8939,2.9271,2.8775,2.8775,326051,0
1995-02-23,2.9271,2.9435,2.9025,2.9435,1319694,0
1995-02-24,2.9025,2.9271,2.8775,2.9025,923013,0
1995-02-27,2.9025,2.9025,2.8775,2.8858,348308,0
1995-02-28,2.8775,2.9271,2.8693,2.9271,954940,0
1995-03-01,2.8939,2.9933,2.8775,2.9683,1163929,0
1995-03-02,2.9683,2.9933,2.9435,2.9435,757568,0
1995-03-03,2.9933,2.9933,2.8775,2.9025,771112,0
1995-03-06,2.9025,2.9933,2.9025,2.9683,416030,0
1995-03-07,2.9683,3.0179,2.9435,3.0179,741118,0
1995-03-08,2.9933,3.0345,2.9683,3.0014,1289703,0
1995-03-09,3.0345,3.0677,2.9933,3.0179,362820,0
1995-03-10,3.0677,3.0677,3.0179,3.0345,138354,0
1995-03-13,3.0677,3.0677,3.0179,3.0677,801107,0
1995-03-14,3.0345,3.109,3.0345,3.0842,565031,0
1995-03-15,3.0677,3.0842,3.0179,3.0345,799170,0
1995-03-16,3.0179,3.0677,2.9683,2.9933,664685,0
1995-03-17,3.0179,3.0179,2.9435,2.9435,538909,0
1995-03-20,2.9601,3.0345,2.8693,2.8693,1485142,0
1995-03-21,2.8693,2.9104,2.8443,2.8443,218662,0
1995-03-22,2.8279,2.9104,2.8279,2.8693,3054456,0
1995-03-23,2.8693,2.9104,2.8693,2.8693,824326,0
1995-03-24,2.9435,3.1009,2.9435,3.0677,1282931,0
1995-03-27,3.0761,3.134,3.0511,3.1009,933652,0
1995-03-28,3.0761,3.2167,3.0761,3.208,2518452,0
1995-03-29,3.1668,3.4232,3.1668,3.2829,3965857,0
1995-03-30,3.2579,3.3075,3.2412,3.2412,240913,0
1995-03-31,3.2579,3.3405,3.2412,3.3405,1237456,0
1995-04-03,3.3075,3.547,3.3075,3.547,4250310,0
1995-04-04,3.514,3.5557,3.4232,3.547,3510160,0
1995-04-05,3.514,3.5557,3.4728,3.514,203179,0
1995-04-06,3.4728,3.5391,3.4232,3.5224,989771,0
1995-04-07,3.4893,3.514,3.3984,3.4232,846578,0
1995-04-10,3.3984,3.547,3.3735,3.547,1584794,0
1995-04-11,3.5391,3.7625,3.5224,3.6962,3705597,0
1995-04-12,3.6051,3.6051,3.5557,3.572,3176364,0
1995-04-13,3.5557,3.6051,3.514,3.5391,1769595,0
1995-04-17,3.5802,3.5802,3.4232,3.4232,716932,0
1995-04-18,3.4232,3.4728,3.3984,3.3984,1527712,0
1995-04-19,3.3488,3.3735,3.2579,3.2743,1313890,0
1995-04-20,3.2579,3.3075,3.2579,3.2829,39667,0
1995-04-21,3.3075,3.3819,3.2743,3.3653,1441604,0
1995-04-24,3.3405,3.3984,3.3405,3.3653,410226,0
1995-04-25,3.3653,3.3984,3.3488,3.3488,469248,0
1995-04-26,3.3324,3.3819,3.3324,3.3735,271874,0
1995-04-27,3.3735,3.3735,3.3405,3.3735,207048,0
1995-04-28,3.3405,3.3735,3.3324,3.3735,512786,0
1995-05-01,3.3735,3.4481,3.3324,3.3984,1289703,0
1995-05-02,3.3819,3.4232,3.2412,3.2907,1107809,0
1995-05-03,3.2829,3.3488,3.2829,3.3158,1922460,0
1995-05-04,3.2829,3.3735,3.2829,3.3488,1455146,0
1995-05-05,3.3735,3.3735,3.2829,3.3735,1422253,0
1995-05-08,3.3735,3.3735,3.3158,3.3735,1119418,0
1995-05-09,3.3735,3.6547,3.3735,3.5802,5276849,0
1995-05-10,3.6051,3.6051,3.4893,3.5391,1654457,0
1995-05-11,3.5391,3.5391,3.4728,3.4893,800138,0
1995-05-12,3.506,3.514,3.4232,3.4565,729513,0
1995-05-15,3.4728,3.4728,3.4232,3.4232,883348,0
1995-05-16,3.3984,3.514,3.3984,3.4893,673393,0
1995-05-17,3.4728,3.5391,3.4728,3.5224,770147,0
1995-05-18,3.5391,3.5391,3.4728,3.4728,536975,0
1995-05-19,3.4481,3.4728,3.4232,3.4728,384104,0
1995-05-22,3.4232,3.4728,3.4232,3.4315,876571,0
1995-05-23,3.4232,3.4893,3.4232,3.4481,728542,0
1995-05-24,3.4481,3.4893,3.4232,3.4315,1004286,0
1995-05-25,3.4232,3.4893,3.4232,3.4728,327023,0
1995-05-26,3.4481,3.4893,3.4232,3.4315,879477,0
1995-05-30,3.4232,3.4481,3.3735,3.3735,536975,0
1995-05-31,3.3735,3.3984,3.3488,3.3488,1055563,0
1995-06-01,3.3488,3.3735,3.3075,3.3075,342503,0
1995-06-02,3.3075,3.3984,3.3075,3.3488,1915689,0
1995-06-05,3.3488,3.5557,3.3488,3.5224,1554801,0
1995-06-06,3.514,3.547,3.3653,3.3984,1492881,0
1995-06-07,3.3488,3.3735,3.3324,3.3324,525365,0
1995-06-08,3.3735,3.3735,3.3324,3.3735,305737,0
1995-06-09,3.3488,3.3735,3.2579,3.2829,710158,0
1995-06-12,3.2579,3.3488,3.2579,3.3075,482795,0
1995-06-13,3.3324,3.3735,3.3075,3.3324,777886,0
1995-06-14,3.3735,3.3735,3.3324,3.3324,1919558,0
1995-06-15,3.3735,3.3735,3.3324,3.3653,584380,0
1995-06-16,3.3324,3.3735,3.2829,3.2994,390880,0
1995-06-19,3.3075,3.3324,3.2579,3.3324,423774,0
1995-06-20,3.3405,3.39,3.3158,3.3735,1892466,0
1995-06-21,3.415,3.6217,3.415,3.5968,4456392,0
1995-06-22,3.5802,3.6463,3.547,3.6463,1427087,0
1995-06-23,3.5968,3.6463,3.5968,3.6217,1403868,0
1995-06-26,3.5968,3.5968,3.547,3.5802,715960,0
1995-06-27,3.547,3.5802,3.506,3.506,908499,0
1995-06-28,3.506,3.547,3.506,3.514,407325,0
1995-06-29,3.506,3.547,3.506,3.547,310575,0
1995-06-30,3.506,3.5802,3.506,3.547,1315821,0
1995-07-03,3.5802,3.5802,3.5304,3.5304,103523,0
1995-07-05,3.5304,3.547,3.4814,3.4814,785628,0
1995-07-06,3.506,3.6631,3.4565,3.6631,1621562,0
1995-07-07,3.6631,3.7953,3.6463,3.7127,6106979,0
1995-07-10,3.7375,3.7539,3.5802,3.6463,1311955,0
1995-07-11,3.5968,3.5968,3.5304,3.5304,376367,0
1995-07-12,3.547,3.547,3.4814,3.4814,298964,0
1995-07-13,3.4565,3.4814,3.415,3.4481,2654872,0
1995-07-14,3.4565,3.4814,3.4397,3.4814,2237873,0
1995-07-17,3.4814,3.506,3.4397,3.4814,1211333,0
1995-07-18,3.506,3.506,3.4067,3.415,2997371,0
1995-07-19,3.3735,3.415,3.208,3.2579,1722186,0
1995-07-20,3.2579,3.2579,3.1173,3.134,967519,0
1995-07-21,3.1505,3.1836,3.1173,3.1586,794331,0
1995-07-24,3.1586,3.3735,3.134,3.3405,1697028,0
1995-07-25,3.4397,3.547,3.4397,3.506,1740567,0
1995-07-26,3.5304,3.5304,3.4814,3.5304,647272,0
1995-07-27,3.5304,3.7539,3.5304,3.6876,2502972,0
1995-07-28,3.6631,3.7869,3.6631,3.7375,2241743,0
1995-07-31,3.7375,4.06,3.7127,4.06,3542086,0
1995-08-01,4.0184,4.06,3.8946,3.944,1700898,0
1995-08-02,3.9194,4.035,3.8946,3.9939,1307120,0
1995-08-03,3.9939,4.1012,3.9688,4.0681,2001799,0
1995-08-04,4.0931,4.1343,4.06,4.1012,651139,0
1995-08-07,4.0681,4.1012,3.9688,3.9688,949136,0
1995-08-08,3.9688,4.0184,3.944,3.9688,411199,0
1995-08-09,3.9194,3.9688,3.8535,3.8946,840774,0
1995-08-10,3.8535,4.1012,3.8535,4.0766,2204009,0
1995-08-11,4.1012,4.1343,3.9939,4.0184,1193919,0
1995-08-14,4.035,4.1758,3.9939,4.1506,1822805,0
1995-08-15,4.1506,4.2254,4.035,4.1921,2391704,0
1995-08-16,4.1506,4.5148,4.1506,4.498,5563231,0
1995-08-17,4.4733,4.5148,4.1758,4.2665,2364612,0
1995-08-18,4.2418,4.2914,4.1343,4.2254,1269385,0
1995-08-21,4.2418,4.2665,4.2003,4.2254,757568,0
1995-08-22,4.2254,4.4154,4.2254,4.3408,1784104,0
1995-08-23,4.3078,4.3743,4.2914,4.3408,2031790,0
1995-08-24,4.2914,4.3408,4.2418,4.2914,1795716,0
1995-08-25,4.2418,4.2914,4.2418,4.2665,30961,0
1995-08-28,4.2418,4.3822,4.2418,4.3743,1203595,0
1995-08-29,4.3822,4.4318,4.3078,4.4072,1793780,0
1995-08-30,4.4072,4.4318,4.3408,4.3408,268002,0
1995-08-31,4.3576,4.3822,4.2914,4.3822,313477,0
1995-09-01,4.3408,4.5148,4.3408,4.4733,1305185,0
1995-09-05,4.4733,4.6137,4.4733,4.5889,1151348,0
1995-09-06,4.5724,4.6137,4.4733,4.5724,1346786,0
1995-09-07,4.5148,4.5724,4.4733,4.5475,484725,0
1995-09-08,4.5148,4.6137,4.4733,4.5148,1633171,0
1995-09-11,4.498,4.5148,4.4733,4.5148,507946,0
1995-09-12,4.5148,4.5724,4.4733,4.5148,1857637,0
1995-09-13,4.5475,4.5889,4.4154,4.4154,735317,0
1995-09-14,4.4072,4.4485,4.3822,4.3989,224463,0
1995-09-15,4.4072,4.4072,4.3078,4.3408,3200552,0
1995-09-18,4.3408,4.3408,4.2003,4.2254,831100,0
1995-09-19,4.2254,4.2665,4.2003,4.2335,381201,0
1995-09-20,4.2254,4.3822,4.2003,4.3576,1671872,0
1995-09-21,4.3822,4.498,4.2254,4.2665,2711955,0
1995-09-22,4.2254,4.2254,4.1506,4.1758,243813,0
1995-09-25,4.1758,4.1758,4.1012,4.1506,282511,0
1995-09-26,4.1012,4.4318,4.1012,4.3822,2045334,0
1995-09-27,4.3743,4.5148,4.3494,4.4898,1912786,0
1995-09-28,4.4651,4.6966,4.4485,4.6304,1773458,0
1995-09-29,4.6468,4.7876,4.6386,4.7462,863029,0
1995-10-02,4.7462,4.7627,4.5475,4.5475,1414515,0
1995-10-03,4.6056,4.6056,4.4485,4.4898,1100068,0
1995-10-04,4.4651,4.4898,4.4154,4.4485,1265513,0
1995-10-05,4.4651,4.4898,4.3989,4.4072,1537387,0
1995-10-06,4.4485,4.4485,4.333,4.3494,1343883,0
1995-10-09,4.3743,4.3743,4.2584,4.2665,1131998,0
1995-10-10,4.1921,4.4072,4.1671,4.3408,2264961,0
1995-10-11,4.3494,4.3743,4.3078,4.3494,951071,0
1995-10-12,4.3743,4.4898,4.333,4.4898,1211333,0
1995-10-13,4.4898,4.581,4.4898,4.5227,1567381,0
1995-10-16,4.5562,4.6468,4.4898,4.6304,1125225,0
1995-10-17,4.6056,4.6883,4.5889,4.6304,1820869,0
1995-10-18,4.6468,4.6468,4.6056,4.6468,336697,0
1995-10-19,4.6468,4.6468,4.6056,4.6468,639525,0
1995-10-20,4.6468,4.6468,4.5562,4.5889,200275,0
1995-10-23,4.5562,4.5562,4.4898,4.4898,589220,0
1995-10-24,4.4898,4.6304,4.4898,4.5562,1328403,0
1995-10-25,4.5562,4.5562,4.333,4.3822,1288735,0
1995-10-26,4.3989,4.5148,4.3494,4.4651,1667035,0
1995-10-27,4.4485,4.4651,4.4154,4.4485,376367,0
1995-10-30,4.4651,4.6056,4.4485,4.581,1762821,0
1995-10-31,4.581,4.6304,4.5395,4.6056,845611,0
1995-11-01,4.6056,4.8373,4.5562,4.8373,1469666,0
1995-11-02,4.8619,4.8619,4.7462,4.7462,1093297,0
1995-11-03,4.7876,5.0272,4.7627,4.953,1597376,0
1995-11-06,4.9696,5.0438,4.928,4.9696,1737664,0
1995-11-07,4.9612,4.9942,4.928,4.9612,556325,0
1995-11-08,4.928,5.0272,4.928,5.0272,556325,0
1995-11-09,5.0272,5.2587,5.0272,5.1348,1515132,0
1995-11-10,5.0935,5.1348,4.953,5.0686,5032066,0
1995-11-13,5.0686,5.1597,5.0438,5.0603,4189356,0
1995-11-14,5.0686,5.0935,4.953,4.953,1294539,0
1995-11-15,4.9942,5.0272,4.928,4.9696,2353006,0
1995-11-16,4.9696,5.0935,4.9696,5.0272,2304629,0
1995-11-17,5.0438,5.0438,4.8373,4.928,851415,0
1995-11-20,4.928,4.9696,4.8619,4.928,1214237,0
1995-11-21,4.8869,4.9942,4.8869,4.928,992675,0
1995-11-22,4.953,4.953,4.8125,4.8619,468277,0
1995-11-24,4.8869,4.9032,4.8373,4.8373,250588,0
1995-11-27,4.8869,4.8869,4.7462,4.7627,781755,0
1995-11-28,4.7462,4.8869,4.7462,4.8619,1391294,0
1995-11-29,4.9032,4.9032,4.8125,4.8125,668556,0
1995-11-30,4.8125,4.928,4.8125,4.8948,1915689,0
1995-12-01,4.8869,4.8948,4.8373,4.8619,496337,0
1995-12-04,4.9032,4.928,4.8619,4.8948,1462890,0
1995-12-05,4.9032,5.1348,4.9032,5.1262,3821699,0
1995-12-06,5.1348,5.1348,5.0686,5.1348,923013,0
1995-12-07,5.1348,5.1348,5.0272,5.0438,386040,0
1995-12-08,5.0438,5.1348,5.0438,5.1348,1304214,0
1995-12-11,5.0935,5.1348,5.0935,5.1017,737252,0
1995-12-12,5.1348,5.1597,5.0935,5.1098,1619628,0
1995-12-13,5.1348,5.1348,5.0686,5.1098,2454593,0
1995-12-14,5.1098,5.1098,5.0438,5.0519,959780,0
1995-12-15,5.0438,5.0686,4.9942,4.9942,1399999,0
1995-12-18,5.0438,5.0438,4.8537,4.8619,1906982,0
1995-12-19,4.8869,4.8869,4.7462,4.8125,1207463,0
1995-12-20,4.8125,4.8125,4.6966,4.7216,554389,0
1995-12-21,4.7295,4.7462,4.6966,4.6966,647272,0
1995-12-22,4.7462,4.7462,4.6468,4.6966,1670905,0
1995-12-26,4.7216,4.7216,4.581,4.6221,1130060,0
1995-12-27,4.581,4.6221,4.4402,4.4818,2018245,0
1995-12-28,4.4818,4.4818,4.3163,4.3408,2467173,0
1995-12-29,4.3743,4.5889,4.3163,4.581,1849899,0
1996-01-02,4.5148,4.5148,4.4402,4.4818,1675743,0
1996-01-03,4.4818,4.5314,4.4568,4.5064,3881686,0
1996-01-04,4.5314,4.5314,4.4154,4.4318,3386317,0
1996-01-05,4.3906,4.4402,4.3408,4.3906,3409534,0
1996-01-08,4.4154,4.4154,4.3743,4.4154,621147,0
1996-01-09,4.4154,4.4154,4.3408,4.3743,728542,0
1996-01-10,4.2998,4.3163,4.0433,4.0931,1390325,0
1996-01-11,4.1095,4.1592,4.0433,4.0433,2509745,0
1996-01-12,4.0931,4.0931,4.0433,4.0766,2306566,0
1996-01-15,4.0931,4.1095,4.0433,4.0433,1294539,0
1996-01-16,4.0433,4.1095,3.9688,4.0184,2041466,0
1996-01-17,4.0184,4.3163,3.9606,4.275,4111953,0
1996-01-18,4.275,4.275,4.1838,4.2335,3039946,0
1996-01-19,4.2335,4.333,4.2335,4.2501,4686662,0
1996-01-22,4.275,4.2831,4.2418,4.2501,456667,0
1996-01-23,4.2998,4.3408,4.2501,4.3163,619211,0
1996-01-24,4.3408,4.3408,4.2998,4.3408,722738,0
1996-01-25,4.3408,4.3743,4.2998,4.3743,5005944,0
1996-01-26,4.3743,4.8125,4.3163,4.7544,4915963,0
1996-01-29,4.7462,4.7462,4.6221,4.6221,1385487,0
1996-01-30,4.6718,4.8288,4.6468,4.7791,2184656,0
1996-01-31,4.7627,5.0603,4.7216,5.0191,3024461,0
1996-02-01,5.0438,5.1098,4.986,5.0191,1497721,0
1996-02-02,4.928,4.9696,4.8125,4.8288,866894,0
1996-02-05,4.8288,4.8619,4.8125,4.8619,523426,0
1996-02-06,4.8783,4.8783,4.8125,4.8288,269934,0
1996-02-07,4.8125,4.8619,4.7462,4.7462,1166826,0
1996-02-08,4.7627,4.9942,4.7627,4.9032,2198201,0
1996-02-09,4.953,4.9696,4.9032,4.9365,893020,0
1996-02-12,4.953,4.9942,4.9032,4.928,1090392,0
1996-02-13,4.8783,4.8783,4.7627,4.8125,561162,0
1996-02-14,4.8125,4.8125,4.581,4.6883,1052663,0
1996-02-15,4.6883,4.9032,4.6718,4.8783,1938909,0
1996-02-16,4.8288,4.953,4.8288,4.928,915273,0
1996-02-20,4.9032,5.0935,4.9032,4.9942,1343883,0
1996-02-21,4.9942,5.0191,4.9942,5.0191,549551,0
1996-02-22,5.0438,5.0603,4.9696,5.0438,2758395,0
1996-02-23,5.0603,5.1761,5.0191,5.0438,1445475,0
1996-02-26,5.0191,5.0603,4.9942,5.0438,1363237,0
1996-02-27,5.0191,5.0603,5.0191,5.0272,537939,0
1996-02-28,5.0191,5.0603,4.9942,5.0438,1011059,0
1996-02-29,5.0191,5.0191,4.9696,4.9942,597926,0
1996-03-01,5.0438,5.0438,4.9696,4.9696,553416,0
1996-03-04,4.9696,5.0191,4.9696,4.9942,680167,0
1996-03-05,4.9942,5.0191,4.953,4.9942,323154,0
1996-03-06,4.9942,4.9942,4.953,4.953,1682515,0
1996-03-07,5.2341,5.3911,5.1761,5.2422,5511952,0
1996-03-08,5.1348,5.4407,5.1098,5.2752,6378851,0
1996-03-11,5.2752,5.3911,5.201,5.3333,2349133,0
1996-03-12,5.3415,5.3415,5.201,5.2422,2337527,0
1996-03-13,5.2341,5.2506,5.0191,5.0603,2638421,0
1996-03-14,5.0935,5.1597,5.0603,5.0603,1208429,0
1996-03-15,5.0603,5.0935,4.953,4.9696,821423,0
1996-03-18,4.9032,4.953,4.8288,4.953,1330338,0
1996-03-19,4.928,5.1761,4.928,5.1597,1737664,0
1996-03-20,5.1348,5.1761,5.0603,5.1098,568897,0
1996-03-21,5.0603,5.1098,4.9445,5.0354,1157150,0
1996-03-22,5.0354,5.0354,4.9696,5.0354,525365,0
1996-03-25,4.9942,5.0354,4.928,4.9612,705321,0
1996-03-26,4.9612,4.9612,4.928,4.928,412163,0
1996-03-27,4.9612,4.9696,4.928,4.9696,941394,0
1996-03-28,4.9696,4.9696,4.8948,4.928,359919,0
1996-03-29,4.9445,5.0191,4.928,4.9445,1178436,0
1996-04-01,5.0191,5.1597,4.9942,5.1597,1195855,0
1996-04-02,5.1098,5.2259,5.0853,5.0935,1384520,0
1996-04-03,5.1348,5.1761,5.0853,5.143,434416,0
1996-04-04,5.1597,5.3664,5.1098,5.3167,1650589,0
1996-04-08,5.2506,5.4077,5.2259,5.3415,1976641,0
1996-04-09,5.3827,5.5729,5.3167,5.5072,2155633,0
1996-04-10,5.5072,5.5072,5.3664,5.3827,895924,0
1996-04-11,5.3415,5.3664,5.3002,5.3167,544711,0
1996-04-12,5.3002,5.5072,5.2752,5.2752,2992537,0
1996-04-15,5.3167,5.3167,5.2506,5.2506,452801,0
1996-04-16,5.3167,5.3167,5.2506,5.3167,894954,0
1996-04-17,5.3167,5.3415,5.2506,5.2837,1207463,0
1996-04-18,5.3167,5.3827,5.3002,5.3415,471183,0
1996-04-19,5.3415,5.3827,5.1761,5.201,1167794,0
1996-04-22,5.201,5.2259,5.0853,5.1098,972355,0
1996-04-23,5.1761,5.3167,5.1348,5.2752,2689704,0
1996-04-24,5.3415,5.3664,5.2752,5.2752,879477,0
1996-04-25,5.3167,5.3415,5.2752,5.3167,652109,0
1996-04-26,5.2506,5.3002,5.2506,5.3002,264133,0
1996-04-29,5.2506,5.3002,5.2506,5.2752,137388,0
1996-04-30,5.3002,5.3002,5.201,5.201,1076847,0
1996-05-01,5.3167,5.3167,5.0354,5.0354,470698,0
1996-05-02,4.9942,5.0853,4.9445,5.0191,721769,0
1996-05-03,5.0853,5.0853,4.9942,5.0853,794820,0
1996-05-06,5.0853,5.0853,4.8537,4.9942,818038,0
1996-05-07,4.9942,4.9942,4.713,4.7876,813685,0
1996-05-08,4.8039,4.8537,4.6137,4.7544,609053,0
1996-05-09,4.8537,4.8537,4.713,4.8537,452801,0
1996-05-10,4.8537,5.0853,4.7544,4.9942,520043,0
1996-05-13,4.9942,5.2752,4.9942,5.2752,384590,0
1996-05-14,5.3002,5.3002,5.2259,5.3002,593090,0
1996-05-15,5.3002,5.548,5.2259,5.3664,1074426,0
1996-05-16,5.3167,5.3167,5.2259,5.3167,200759,0
1996-05-17,5.3167,5.4574,5.3002,5.4574,637111,0
1996-05-20,5.4574,5.4574,5.3167,5.3664,858673,0
1996-05-21,5.4407,5.482,5.2752,5.3002,729992,0
1996-05-22,5.2752,5.3167,5.1348,5.1348,337182,0
1996-05-23,5.1761,5.1761,4.9942,4.9942,914789,0
1996-05-24,5.0853,5.1348,4.9942,5.1098,463924,0
1996-05-28,5.0853,5.1761,5.0603,5.0853,854800,0
1996-05-29,5.1348,5.1761,5.0603,5.0603,173185,0
1996-05-30,5.1761,5.201,5.0853,5.201,153835,0
1996-05-31,5.201,5.2506,5.0853,5.2259,552934,0
1996-06-03,5.1761,5.2506,5.1597,5.2506,191083,0
1996-06-04,5.2506,5.2506,5.1597,5.1761,633723,0
1996-06-05,5.0853,5.2259,5.0603,5.1348,664685,0
1996-06-06,5.1348,5.2259,5.0354,5.0354,855773,0
1996-06-07,5.0354,5.1348,4.9942,5.0853,638080,0
1996-06-10,5.0853,5.201,5.0853,5.1348,666623,0
1996-06-11,5.2259,5.2259,5.0191,5.0191,994610,0
1996-06-12,4.9942,5.1348,4.9942,5.0354,320247,0
1996-06-13,5.0354,5.0354,4.8948,4.928,513750,0
1996-06-14,4.9942,4.9942,4.8948,4.9696,372976,0
1996-06-17,5.0354,5.0354,4.8948,4.9942,363789,0
1996-06-18,4.9942,5.1348,4.9942,5.0853,281065,0
1996-06-19,5.0354,5.2752,5.0354,5.1761,691777,0
1996-06-20,5.201,5.201,4.8701,4.9612,1610918,0
1996-06-21,5.0106,5.1017,4.9612,5.0106,481344,0
1996-06-24,5.1513,5.1513,5.0106,5.0603,484243,0
1996-06-25,5.0603,5.1513,5.0106,5.1017,254944,0
1996-06-26,5.1513,5.1513,5.0106,5.0603,600346,0
1996-06-27,5.0603,5.3827,5.0603,5.2918,1339530,0
1996-06-28,5.3827,5.8542,5.2918,5.755,1479337,0
1996-07-01,5.8129,5.8129,5.5729,5.5729,1504010,0
1996-07-02,5.6144,5.6144,5.1513,5.201,888185,0
1996-07-03,5.2918,5.2918,5.1513,5.1761,427161,0
1996-07-05,5.1513,5.1513,4.9612,4.9612,1164407,0
1996-07-08,5.0106,5.0106,4.6386,4.8205,2555217,0
1996-07-09,4.7295,4.9612,4.7295,4.9198,1746856,0
1996-07-10,4.9198,4.9198,4.8205,4.9198,777399,0
1996-07-11,4.8701,4.9198,4.7295,4.8701,997511,0
1996-07-12,4.7791,4.9198,4.7295,4.7544,634695,0
1996-07-15,4.8205,4.8205,4.4485,4.4485,1995026,0
1996-07-16,4.5475,4.5889,4.2665,4.3494,2027435,0
1996-07-17,4.4898,4.6386,4.4485,4.5148,2551347,0
1996-07-18,4.5148,4.8205,4.4733,4.8205,2326398,0
1996-07-19,4.8701,4.8701,4.7295,4.8205,900760,0
1996-07-22,4.8205,4.9612,4.8205,4.8948,1708154,0
1996-07-23,4.8701,4.9612,4.7791,4.7791,1664134,0
1996-07-24,4.6883,4.7295,4.5475,4.5889,864963,0
1996-07-25,4.5889,4.7295,4.4485,4.5475,1558673,0
1996-07-26,4.6386,4.705,4.5889,4.6883,689352,0
1996-07-29,4.7544,4.8205,4.5889,4.6386,763859,0
1996-07-30,4.6883,4.7791,4.6386,4.7544,2144024,0
1996-07-31,4.7791,5.3664,4.6883,5.2674,1526747,0
1996-08-01,5.1761,5.6144,5.1761,5.5072,1466757,0
1996-08-02,5.5729,5.6721,5.4739,5.6144,2041950,0
1996-08-05,5.6144,5.6721,5.5235,5.5729,440706,0
