Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,343.75,368.75,343.75,343.75,700,0
1995-01-04,343.75,356.25,343.75,343.75,352,0
1995-01-05,343.75,350,337.5,343.75,216,0
1995-01-06,346.9,362.4,343.65,346.9,288,0
1995-01-09,359.4,359.4,343.65,359.4,288,0
1995-01-10,351.6,359.6,350.1,351.6,640,0
1995-01-11,356.25,359.5,350,356.25,156,0
1995-01-12,350,362.5,350,350,720,0
1995-01-13,350,362.5,350,350,504,0
1995-01-16,343.75,359.5,337.5,343.75,392,0
1995-01-17,334.4,343.65,324.9,334.4,560,0
1995-01-18,343.75,343.75,325,343.75,176,0
1995-01-19,343.75,350,331.25,343.75,240,0
1995-01-20,350,350,337.5,350,340,0
1995-01-23,325,343.75,325,325,72,0
1995-01-24,343.75,350,331.25,343.75,312,0
1995-01-25,337.5,350,337.5,337.5,288,0
1995-01-26,350,350,337.5,350,76,0
1995-01-27,356.25,356.25,337.5,356.25,268,0
1995-01-30,353.15,356.15,343.65,353.15,316,0
1995-01-31,356.25,362.5,343.75,356.25,260,0
1995-02-01,356.25,368.75,350,356.25,548,0
1995-02-02,356.25,359.5,347,356.25,112,0
1995-02-03,340.65,359.39,340.65,340.65,364,0
1995-02-06,354.7,362.45,345.2,354.7,564,0
1995-02-07,356.25,362.5,353.25,356.25,328,0
1995-02-08,393.75,393.75,356.25,393.75,1468,0
1995-02-09,384.4,406.14,381.15,384.4,2321,0
1995-02-10,387.5,390.75,375,387.5,1032,0
1995-02-13,375,387.5,375,375,512,0
1995-02-14,375,384.5,375,375,240,0
1995-02-15,384.4,387.4,374.9,384.4,528,0
1995-02-16,400,400,381.25,400,1264,0
1995-02-17,418.75,425,390.75,418.75,2556,0
1995-02-21,415.65,431.15,406.15,415.65,980,0
1995-02-22,418.75,422,409.5,418.75,780,0
1995-02-23,421.9,437.4,412.4,421.9,3309,0
1995-02-24,418.75,431.25,412.5,418.75,652,0
1995-02-27,418.75,431.25,400,418.75,688,0
1995-02-28,421.9,421.9,403.15,421.9,1116,0
1995-03-01,425,425,400,425,1116,0
1995-03-02,428.15,431.15,412.4,428.15,1708,0
1995-03-03,462.5,462.5,422,462.5,4644,0
1995-03-06,428.15,468.64,418.65,428.15,4249,0
1995-03-07,415.65,434.4,412.4,415.65,1220,0
1995-03-08,437.5,440.75,412.5,437.5,1744,0
1995-03-09,428.15,440.65,418.65,428.15,664,0
1995-03-10,415.65,431.15,406.15,415.65,760,0
1995-03-13,393.75,425,387.5,393.75,228,0
1995-03-14,403.15,412.4,387.4,403.15,852,0
1995-03-15,403.15,409.4,403.15,403.15,284,0
1995-03-16,401.6,409.6,400.1,401.6,1336,0
1995-03-17,400,406.25,400,400,744,0
1995-03-20,406.25,406.25,393.75,406.25,136,0
1995-03-21,371.9,399.89,359.4,371.9,1328,0
1995-03-22,393.75,397,353.25,393.75,1376,0
1995-03-23,384.4,399.9,381.15,384.4,508,0
1995-03-24,390.65,399.9,381.15,390.65,404,0
1995-03-27,387.5,400,384.5,387.5,188,0
1995-03-28,400,404.75,387.5,400,516,0
1995-03-29,409.4,418.65,390.65,409.4,676,0
1995-03-30,400,415.75,400,400,456,0
1995-03-31,406.25,406.25,393.75,406.25,352,0
1995-04-03,387.5,400,387.5,387.5,180,0
1995-04-04,406.25,406.25,387.5,406.25,492,0
1995-04-05,393.75,406.25,390.75,393.75,524,0
1995-04-06,403.15,406.15,393.65,403.15,224,0
1995-04-07,390.65,403.15,387.4,390.65,172,0
1995-04-10,390.65,399.9,387.4,390.65,320,0
1995-04-11,410.95,415.7,390.7,410.95,880,0
1995-04-12,453.15,453.15,399.91,453.15,1680,0
1995-04-13,431.25,456.25,425,431.25,1240,0
1995-04-17,440.65,449.9,431.15,440.65,448,0
1995-04-18,428.15,443.65,418.65,428.15,820,0
1995-04-19,431.25,431.25,412.5,431.25,504,0
1995-04-20,421.9,434.4,412.4,421.9,400,0
1995-04-21,412.5,425,409.5,412.5,292,0
1995-04-24,443.75,459.5,417.25,443.75,1652,0
1995-04-25,443.75,450,434.5,443.75,1368,0
1995-04-26,443.75,447,434.5,443.75,436,0
1995-04-27,439.1,443.85,434.6,439.1,280,0
1995-04-28,440.65,443.65,434.4,440.65,520,0
1995-05-01,440.65,440.65,434.4,440.65,388,0
1995-05-02,465.65,474.9,434.41,465.65,1848,0
1995-05-03,471.9,474.9,449.9,471.9,1048,0
1995-05-04,456.25,475,450,456.25,704,0
1995-05-05,465.65,478.15,453.15,465.65,1004,0
1995-05-08,459.4,474.9,456.15,459.4,476,0
1995-05-09,478.15,487.4,456.15,478.15,2629,0
1995-05-10,493.75,493.75,472,493.75,2520,0
1995-05-11,474.25,497,462.5,474.25,612,0
1995-05-12,471.9,478.15,459.4,471.9,340,0
1995-05-15,475,484.5,465.75,475,460,0
1995-05-16,475,484.5,468.75,475,548,0
1995-05-17,457.85,472.1,453.35,457.85,1084,0
1995-05-18,470.35,472.1,456.35,470.35,652,0
1995-05-19,468.75,472,459.5,468.75,452,0
1995-05-22,462.5,468.75,425,462.5,4064,0
1995-05-23,456.25,465.75,450,456.25,2392,0
1995-05-24,453.15,462.4,446.9,453.15,1724,0
1995-05-25,453.15,453.15,446.9,453.15,1228,0
1995-05-26,459.4,459.4,446.9,459.4,960,0
1995-05-30,471.9,471.9,453.15,471.9,1404,0
1995-05-31,490.65,499.9,468.65,490.65,1448,0
1995-06-01,490.65,493.65,484.4,490.65,540,0
1995-06-02,487.5,493.75,472,487.5,752,0
1995-06-05,490.65,490.65,481.15,490.65,444,0
1995-06-06,515.65,531.15,481.16,515.65,1212,0
1995-06-07,534.4,534.4,512.4,534.4,1616,0
1995-06-08,562.5,565.75,525,562.5,1192,0
1995-06-09,550,562.5,522,550,1428,0
1995-06-12,550,556.25,534.5,550,324,0
1995-06-13,562.5,587.5,543.75,562.5,1204,0
1995-06-14,575,581.25,556.25,575,712,0
1995-06-15,575,587.5,572,575,460,0
1995-06-16,573.45,587.45,571.95,573.45,616,0
1995-06-19,565.65,581.15,565.65,565.65,492,0
1995-06-20,631.25,637.5,568.75,631.25,3236,0
1995-06-21,706.25,725,631.25,706.25,4688,0
1995-06-22,700,768.75,700,700,4244,0
1995-06-23,693.75,706.25,668.75,693.75,1764,0
1995-06-26,693.75,725,690.75,693.75,1124,0
1995-06-27,665.65,699.9,659.4,665.65,1644,0
1995-06-28,646.9,674.9,628.15,646.9,1076,0
1995-06-29,631.25,650,587.5,631.25,1900,0
1995-06-30,637.5,656.25,631.25,637.5,860,0
1995-07-03,637.5,650,631.25,637.5,248,0
1995-07-05,693.75,703.25,643.75,693.75,1504,0
1995-07-06,712.5,718.75,681.25,712.5,1304,0
1995-07-07,734.4,737.4,706.15,734.4,1404,0
1995-07-10,731.25,743.75,703.25,731.25,1236,0
1995-07-11,725,743.75,725,725,700,0
1995-07-12,737.5,737.5,709.5,737.5,816,0
1995-07-13,718.75,737.5,718.75,718.75,152,0
1995-07-14,706.25,731.25,700,706.25,392,0
1995-07-17,700,712.5,668.75,700,1348,0
1995-07-18,693.75,718.75,693.75,693.75,296,0
1995-07-19,668.75,693.75,637.5,668.75,1276,0
1995-07-20,696.9,696.9,668.65,696.9,396,0
1995-07-21,700,700,681.25,700,288,0
1995-07-24,687.5,700,681.25,687.5,208,0
1995-07-25,690.65,706.15,690.65,690.65,456,0
1995-07-26,693.75,697,664,693.75,952,0
1995-07-27,706.25,712.5,681.25,706.25,1336,0
1995-07-28,693.75,712.5,693.75,693.75,420,0
1995-07-31,687.5,693.75,662.5,687.5,1012,0
1995-08-01,675,687.5,662.5,675,556,0
1995-08-02,687.5,693.75,675,687.5,324,0
1995-08-03,681.25,693.75,675,681.25,532,0
