Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.7783,3.7783,3.6855,3.7024,5486765,0
1995-01-04,3.7024,3.7275,3.6263,3.6769,9159783,0
1995-01-05,3.6769,3.7358,3.6686,3.6769,8148561,0
1995-01-06,3.6349,3.66,3.5756,3.5843,22518112,0
1995-01-09,3.6096,3.66,3.5927,3.6011,13957853,0
1995-01-10,3.6769,3.7866,3.6769,3.7866,23070204,0
1995-01-11,3.8542,3.8542,3.7613,3.7783,22015351,0
1995-01-12,3.7783,3.8542,3.7358,3.8287,11260006,0
1995-01-13,3.8456,3.8542,3.7783,3.7783,8545084,0
1995-01-16,3.7783,3.8204,3.7275,3.7275,9448160,0
1995-01-17,3.7275,3.7528,3.6769,3.6855,19072759,0
1995-01-18,3.7024,3.7528,3.6769,3.7528,12172568,0
1995-01-19,3.7275,3.7783,3.7191,3.7443,10339852,0
1995-01-20,3.7528,3.7783,3.6936,3.7024,26369472,0
1995-01-23,3.6263,3.6516,3.6263,3.6349,28704949,0
1995-01-24,3.6263,3.6516,3.5927,3.6434,15325751,0
1995-01-25,3.5506,3.6263,3.5418,3.5506,23400321,0
1995-01-26,3.5756,3.5756,3.4916,3.4997,18922881,0
1995-01-27,3.5506,3.6516,3.4659,3.6011,29431587,0
1995-01-30,3.6263,3.6263,3.4997,3.5084,18071028,0
1995-01-31,3.5084,3.5506,3.4577,3.4745,18602249,0
1995-02-01,3.4829,3.5418,3.4745,3.5084,21055358,0
1995-02-02,3.5335,3.6096,3.4829,3.5927,14071685,0
1995-02-03,3.6263,3.6936,3.6096,3.6516,16966844,0
1995-02-06,3.6769,3.7191,3.6516,3.7024,10759137,0
1995-02-07,3.6936,3.7024,3.6516,3.6855,11415576,0
1995-02-08,3.7275,3.7866,3.7191,3.7783,20271804,0
1995-02-09,3.7866,3.9638,3.7866,3.9468,45434643,0
1995-02-10,3.9384,3.9721,3.9044,3.9214,18957028,0
1995-02-13,3.8794,3.9468,3.871,3.8794,11914548,0
1995-02-14,3.9044,4.006,3.9044,4.006,20749904,0
1995-02-15,3.9972,4.0145,3.9384,3.9468,13007345,0
1995-02-16,3.9468,4.048,3.9299,4.0397,16082740,0
1995-02-17,3.9972,3.9972,3.9299,3.9384,15046859,0
1995-02-21,3.9384,3.9972,3.9384,3.9721,8465400,0
1995-02-22,3.9806,4.0227,3.9638,3.9721,19330786,0
1995-02-23,3.989,4.065,3.9638,3.9721,23779770,0
1995-02-24,3.9638,3.9721,3.8794,3.8794,20186427,0
1995-02-27,3.871,3.9299,3.8542,3.8794,17173644,0
1995-02-28,3.871,3.9721,3.8456,3.9638,15877843,0
1995-03-01,3.9972,4.0899,3.9972,4.0731,25291850,0
1995-03-02,4.0899,4.2084,4.0731,4.1996,33772428,0
1995-03-03,4.1996,4.377,4.1745,4.3518,38443381,0
1995-03-06,4.3012,4.4949,4.2755,4.4526,43133313,0
1995-03-07,4.4359,4.4698,4.2924,4.3603,30514897,0
1995-03-08,4.3685,4.3938,4.2589,4.2843,17600517,0
1995-03-09,4.3433,4.419,4.3012,4.419,26908280,0
1995-03-10,4.4023,4.4698,4.3685,4.3685,17689688,0
1995-03-13,4.3603,4.5202,4.3603,4.4949,15619818,0
1995-03-14,4.5035,4.6214,4.4865,4.5879,30165809,0
1995-03-15,4.5457,4.5792,4.4949,4.5708,17820597,0
1995-03-16,4.5202,4.5539,4.4444,4.5202,14809706,0
1995-03-17,4.512,4.5289,4.3938,4.4023,16088433,0
1995-03-20,4.4108,4.4949,4.3938,4.4698,20266114,0
1995-03-21,4.4865,4.5202,4.3938,4.4108,22040015,0
1995-03-22,4.419,4.4698,4.419,4.4444,12796755,0
1995-03-23,4.4444,4.6131,4.4444,4.6131,20102952,0
1995-03-24,4.6723,4.7396,4.6637,4.7227,25758565,0
1995-03-27,4.748,4.8662,4.748,4.8492,20770776,0
1995-03-28,4.8662,4.9337,4.8407,4.9166,18784385,0
1995-03-29,4.9166,4.9166,4.6637,4.7396,30869682,0
1995-03-30,4.748,4.748,4.4444,4.5539,41837514,0
1995-03-31,4.4949,4.5962,4.4611,4.4698,25936907,0
1995-04-03,4.4698,4.6047,4.419,4.6047,14777452,0
1995-04-04,4.6637,4.6802,4.4865,4.4949,24077629,0
1995-04-05,4.4865,4.6214,4.377,4.5962,41367003,0
1995-04-06,4.6214,4.6384,4.5202,4.5625,18211424,0
1995-04-07,4.5539,4.5962,4.5202,4.5708,14545993,0
1995-04-10,4.5708,4.6723,4.5708,4.6384,10658586,0
1995-04-11,4.6468,4.7227,4.5708,4.63,14764173,0
1995-04-12,4.6214,4.7058,4.5625,4.6723,13496830,0
1995-04-13,4.6974,4.7817,4.6889,4.7817,9487997,0
1995-04-17,4.7817,4.7903,4.6047,4.6468,20008091,0
1995-04-18,4.7227,4.7227,4.5962,4.7227,34081676,0
1995-04-19,4.7143,4.7143,4.5457,4.6468,25587817,0
1995-04-20,4.6552,4.7058,4.6047,4.63,20076388,0
1995-04-21,4.63,4.7396,4.5962,4.7311,18150711,0
