Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,86.2,88.8,85,88.8,70840,0
1995-01-04,88.8,88.8,87.5,88.8,21400,0
1995-01-05,88.8,92.5,88.8,90,93190,0
1995-01-06,90,91.2,88.8,91.2,59910,0
1995-01-09,91.2,93.8,90,91.2,104280,0
1995-01-10,91.2,93.8,90,92.5,159810,0
1995-01-11,92.5,92.5,88.8,91.2,41020,0
1995-01-12,91.2,95,90,95,113660,0
1995-01-13,96.2,97.5,93.8,97.5,114970,0
1995-01-16,97.5,98.8,96.2,97.5,56930,0
1995-01-17,97.5,97.5,93.8,96.2,67060,0
1995-01-18,95,97.5,93.8,95,27740,0
1995-01-19,93.8,95,91.2,91.2,87980,0
1995-01-20,91.2,92.5,88.8,90,90470,0
1995-01-23,90,91.2,88.8,90,50160,0
1995-01-24,88.8,90,87.5,88.8,68750,0
1995-01-25,87.5,88.8,85,87.5,136190,0
1995-01-26,87.5,88.8,86.2,88.8,42740,0
1995-01-27,88.8,91.2,87.5,91.2,103610,0
1995-01-30,90,91.2,88.8,90,80540,0
1995-01-31,90,91.2,88.8,90,52910,0
1995-02-01,90,91.2,88.8,90,39900,0
1995-02-02,90,92.5,90,92.5,37040,0
1995-02-03,92.5,92.5,91.2,92.5,55360,0
1995-02-06,91.2,92.5,90,91.2,27170,0
1995-02-07,92.5,95,91.2,95,106620,0
1995-02-08,95,100,95,98.8,124410,0
1995-02-09,98.8,100,98.8,100,125750,0
1995-02-10,100,101.2,97.5,97.5,68320,0
1995-02-13,97.5,98.8,93.8,93.8,76690,0
1995-02-14,95,95,92.5,95,79080,0
1995-02-15,95,96.2,93.8,95,53730,0
1995-02-16,93.8,95,92.5,95,35560,0
1995-02-17,95,95,91.2,91.2,33730,0
1995-02-21,92.5,92.5,90,92.5,33090,0
1995-02-22,92.5,92.5,90,91.2,45330,0
1995-02-23,91.2,92.5,91.2,92.5,37150,0
1995-02-24,92.5,92.5,91.2,91.2,11830,0
1995-02-27,91.2,91.2,88.8,90,52060,0
1995-02-28,88.8,91.2,88.8,90,61370,0
1995-03-01,88.8,91.2,88.8,91.2,51190,0
1995-03-02,91.2,92.5,91.2,91.2,33700,0
1995-03-03,91.2,92.5,90,92.5,45070,0
1995-03-06,91.2,91.2,90,90,22180,0
1995-03-07,90,91.2,88.8,88.8,49010,0
1995-03-08,90,90,88.8,88.8,22420,0
1995-03-09,88.8,91.2,88.8,88.8,63860,0
1995-03-10,88.8,90,88.8,90,38620,0
1995-03-13,88.8,95,88.8,95,97100,0
1995-03-14,95,96.2,92.5,92.5,62160,0
1995-03-15,92.5,93.8,91.2,91.2,40110,0
1995-03-16,91.2,92.5,91.2,92.5,35660,0
1995-03-17,92.5,92.5,91.2,91.2,53870,0
1995-03-20,97.5,98.8,95,97.5,208870,0
1995-03-21,100,100,91.2,92.5,257030,0
1995-03-22,92.5,93.8,92.5,93.8,77040,0
1995-03-23,93.8,93.8,92.5,92.5,74390,0
1995-03-24,93.8,95,91.2,93.8,98860,0
1995-03-27,93.8,93.8,91.2,91.2,39440,0
1995-03-28,92.5,93.8,91.2,92.5,91830,0
1995-03-29,92.5,96.2,92.5,95,130510,0
1995-03-30,96.2,96.2,92.5,95,101950,0
1995-03-31,93.8,93.8,91.2,93.8,102630,0
1995-04-03,92.5,93.8,91.2,92.5,51730,0
1995-04-04,91.2,92.5,91.2,91.2,59330,0
1995-04-05,91.2,92.5,91.2,91.2,34800,0
1995-04-06,92.5,97.5,91.2,96.2,191570,0
1995-04-07,96.2,97.5,95,96.2,96080,0
1995-04-10,97.5,100,96.2,100,109740,0
1995-04-11,100,102.5,98.8,102.5,286280,0
1995-04-12,102.5,105,102.5,102.5,189710,0
1995-04-13,103.8,105,102.5,102.5,76310,0
1995-04-17,103.8,103.8,100,101.2,69890,0
1995-04-18,101.2,102.5,100,101.2,71100,0
1995-04-19,101.2,102.5,100,101.2,58050,0
1995-04-20,102.5,103.8,100,103.8,69560,0
1995-04-21,103.8,105,100,102.5,150410,0
1995-04-24,102.5,102.5,98.8,100,75180,0
1995-04-25,100,101.2,100,100,114840,0
1995-04-26,100,105,98.8,105,161620,0
1995-04-27,105,105,102.5,102.5,78870,0
1995-04-28,103.8,103.8,100,102.5,55210,0
1995-05-01,102.5,102.5,101.2,102.5,50480,0
1995-05-02,103.8,106.2,102.5,105,146790,0
1995-05-03,105,111.2,103.8,111.2,563170,0
1995-05-04,113.8,117.5,112.5,113.8,464730,0
1995-05-05,115,116.2,111.2,111.2,133380,0
1995-05-08,111.2,115,108.8,112.5,135700,0
1995-05-09,113.8,115,110,111.2,99250,0
1995-05-10,112.5,113.8,110,112.5,66080,0
1995-05-11,111.2,112.5,110,110,52060,0
1995-05-12,110,111.2,108.8,110,59340,0
1995-05-15,108.8,110,107.5,108.8,58910,0
1995-05-16,108.8,108.8,105,106.2,136540,0
1995-05-17,106.2,110,106.2,106.2,180520,0
1995-05-18,106.2,107.5,105,106.2,73230,0
1995-05-19,106.2,107.5,105,106.2,93970,0
1995-05-22,106.2,107.5,106.2,107.5,35970,0
1995-05-23,106.2,108.8,106.2,108.8,94570,0
1995-05-24,110,112.5,108.8,108.8,136490,0
1995-05-25,110,110,107.5,108.8,75420,0
1995-05-26,107.5,107.5,106.2,107.5,38530,0
1995-05-30,106.2,107.5,105,107.5,41120,0
1995-05-31,106.2,107.5,105,106.2,39170,0
1995-06-01,106.2,107.5,106.2,106.2,67990,0
1995-06-02,107.5,108.8,105,106.2,66790,0
1995-06-05,107.5,108.8,106.2,107.5,36100,0
1995-06-06,107.5,110,107.5,108.8,43360,0
1995-06-07,107.5,107.5,105,107.5,51370,0
1995-06-08,106.2,107.5,105,106.2,51600,0
1995-06-09,106.2,106.2,102.5,103.8,127780,0
1995-06-12,103.8,105,102.5,102.5,40870,0
1995-06-13,103.8,105,101.2,103.8,103550,0
1995-06-14,103.8,106.2,103.8,103.8,87570,0
1995-06-15,105,107.5,102.5,107.5,129910,0
1995-06-16,107.5,107.5,105,106.2,71580,0
1995-06-19,106.2,107.5,105,107.5,52570,0
1995-06-20,106.2,112.5,106.2,111.2,169630,0
1995-06-21,112.5,115,108.8,108.8,167000,0
1995-06-22,110,112.5,108.8,112.5,98470,0
1995-06-23,112.5,113.8,110,111.2,66640,0
1995-06-26,111.2,111.2,108.8,108.8,42640,0
1995-06-27,110,110,107.5,108.8,68800,0
1995-06-28,108.8,108.8,106.2,107.5,40340,0
1995-06-29,108.8,108.8,106.2,107.5,35200,0
1995-06-30,107.5,108.8,106.2,108.8,40770,0
1995-07-03,107.5,108.8,106.2,107.5,16390,0
1995-07-05,107.5,107.5,105,106.2,57210,0
1995-07-06,106.2,107.5,105,106.2,88930,0
1995-07-07,106.2,110,105,108.8,80870,0
1995-07-10,108.8,108.8,106.2,106.2,74490,0
1995-07-11,106.2,107.5,102.5,103.8,164940,0
1995-07-12,103.8,105,102.5,103.8,75360,0
1995-07-13,103.8,106.2,103.8,106.2,94440,0
1995-07-14,103.8,106.2,102.5,102.5,50330,0
1995-07-17,102.5,105,101.2,105,68450,0
1995-07-18,103.8,105,101.2,101.2,102260,0
1995-07-19,101.2,101.2,96.2,98.8,144720,0
1995-07-20,96.2,96.2,91.2,93.8,403420,0
1995-07-21,93.8,93.8,88.8,90,408370,0
1995-07-24,90,92.5,88.8,92.5,297900,0
1995-07-25,91.2,92.5,90,90,122970,0
1995-07-26,91.2,92.5,90,91.2,148050,0
1995-07-27,91.2,92.5,90,90,134410,0
1995-07-28,91.2,91.2,88.8,88.8,131340,0
1995-07-31,90,90,87.5,88.8,177700,0
1995-08-01,87.5,88.8,86.2,87.5,199270,0
1995-08-02,87.5,88.8,86.2,86.2,87940,0
1995-08-03,86.2,87.5,85,86.2,84920,0
1995-08-04,86.2,87.5,86.2,86.2,61620,0
1995-08-07,87.5,88.8,86.2,87.5,111610,0
1995-08-08,87.5,88.8,86.2,87.5,147610,0
1995-08-09,88.8,88.8,86.2,86.2,79860,0
1995-08-10,87.5,87.5,86.2,86.2,58100,0
1995-08-11,86.2,87.5,86.2,86.2,64010,0
1995-08-14,87.5,87.5,85,86.2,107800,0
1995-08-15,87.5,87.5,85,86.2,147310,0
1995-08-16,86.2,86.2,83.8,86.2,208600,0
1995-08-17,86.2,86.2,85,86.2,47850,0
1995-08-18,86.2,86.2,85,85,94260,0
1995-08-21,85,86.2,85,85,73720,0
1995-08-22,85,86.2,82.5,82.5,102150,0
1995-08-23,83.8,85,82.5,85,99950,0
1995-08-24,85,86.2,83.8,84.4,82670,0
1995-08-25,83.8,85,78.8,81.2,191120,0
1995-08-28,81.2,82.5,80,81.2,69710,0
1995-08-29,80,81.2,78.8,81.2,102420,0
1995-08-30,81.2,82.5,78.8,80,100490,0
1995-08-31,80,82.5,80,81.2,49880,0
1995-09-01,80,81.2,80,80,19830,0
1995-09-05,80,81.2,78.8,80,105810,0
1995-09-06,80,82.5,78.8,80,109650,0
1995-09-07,80,81.2,77.5,78.8,114230,0
1995-09-08,80,80,78.8,80,65670,0
1995-09-11,80,82.5,78.8,80,76970,0
1995-09-12,80,82.5,80,82.5,40080,0
1995-09-13,81.2,82.5,80,80,64080,0
1995-09-14,81.2,81.2,78.8,81.2,71090,0
1995-09-15,80,81.2,80,81.2,77700,0
1995-09-18,81.2,81.2,78.8,78.8,64250,0
1995-09-19,80,80,78.8,78.8,45440,0
1995-09-20,80,80,78.8,80,29020,0
1995-09-21,80,80,77.5,78.8,49670,0
1995-09-22,78.8,80,76.2,77.5,88060,0
1995-09-25,77.5,77.5,76.2,76.2,40520,0
1995-09-26,76.2,77.5,76.2,77.5,57450,0
1995-09-27,76.2,77.5,76.2,77.5,45440,0
1995-09-28,77.5,77.5,76.2,77.5,18320,0
1995-09-29,77.5,80,76.2,78.8,139940,0
1995-10-02,80,80,77.5,77.5,81720,0
1995-10-03,77.5,77.5,75,76.2,68480,0
1995-10-04,76.2,76.2,73.8,75,52240,0
1995-10-05,75,80,75,78.8,69850,0
1995-10-06,81.2,86.2,81.2,82.5,377120,0
1995-10-09,83.8,83.8,77.5,78.8,74290,0
1995-10-10,76.2,77.5,73.8,77.5,103320,0
1995-10-11,77.5,77.5,75,76.2,45660,0
1995-10-12,76.2,76.2,73.8,75,72480,0
1995-10-13,75,76.2,73.8,73.8,66870,0
1995-10-16,75,77.5,73.8,77.5,48240,0
1995-10-17,77.5,77.5,76.2,76.2,17270,0
1995-10-18,77.5,77.5,76.2,76.2,29660,0
1995-10-19,76.2,77.5,75,76.2,37830,0
1995-10-20,75,76.2,73.8,73.8,60000,0
1995-10-23,73.8,73.8,71.2,71.2,64350,0
1995-10-24,71.2,71.2,65,66.2,240850,0
1995-10-25,65,66.2,63.8,63.8,221040,0
1995-10-26,62.5,63.8,56.2,58.8,304320,0
1995-10-27,58.8,61.2,57.5,57.5,214070,0
1995-10-30,58.8,58.8,56.2,56.2,126670,0
1995-10-31,57.5,57.5,55,56.2,141540,0
1995-11-01,56.2,57.5,55,55,78000,0
1995-11-02,56.2,60,55,60,103670,0
1995-11-03,60,66.2,60,66.2,243510,0
1995-11-06,66.2,70,65,68.8,142860,0
1995-11-07,70,70,65,66.2,82830,0
1995-11-08,67.5,67.5,65,66.2,62020,0
1995-11-09,67.5,67.5,62.5,62.5,38830,0
1995-11-10,63.8,63.8,60,61.2,77530,0
1995-11-13,60,62.5,60,61.2,55380,0
1995-11-14,60,62.5,60,62.5,63550,0
1995-11-15,62.5,65,61.2,65,49620,0
1995-11-16,65,67.5,62.5,62.5,63320,0
1995-11-17,62.5,65,61.2,65,68720,0
1995-11-20,63.8,66.2,62.5,62.5,63560,0
1995-11-21,62.5,63.8,61.2,61.2,42310,0
1995-11-22,62.5,62.5,60,61.2,31490,0
1995-11-24,61.2,61.2,60,60,20890,0
1995-11-27,61.2,62.5,61.2,61.2,53510,0
1995-11-28,62.5,68.8,61.2,67.5,158610,0
1995-11-29,67.5,68.8,65,66.2,85480,0
1995-11-30,65,66.2,63.8,65,45560,0
1995-12-01,65,66.2,62.5,63.8,52720,0
1995-12-04,63.8,66.2,63.8,65,64580,0
1995-12-05,63.8,65,61.2,61.2,73520,0
1995-12-06,62.5,63.8,61.2,62.5,81350,0
1995-12-07,61.2,62.5,58.8,60,148600,0
1995-12-08,60,61.2,58.8,58.8,131330,0
1995-12-11,60,60,57.5,58.8,92550,0
1995-12-12,58.8,60,57.5,57.5,110270,0
1995-12-13,57.5,58.8,56.2,57.5,107690,0
1995-12-14,57.5,57.5,56.2,56.2,63480,0
1995-12-15,57.5,58.8,56.2,58.8,123490,0
1995-12-18,57.5,60,56.2,58.8,84540,0
1995-12-19,57.5,61.2,57.5,58.8,108290,0
1995-12-20,60,60,56.2,56.2,146420,0
1995-12-21,57.5,58.8,56.2,57.5,112610,0
1995-12-22,58.8,58.8,57.5,58.8,65590,0
1995-12-26,57.5,58.8,57.5,58.8,92290,0
1995-12-27,58.8,58.8,57.5,57.5,75400,0
1995-12-28,57.5,58.8,55,56.2,162890,0
1995-12-29,56.2,57.5,55,55,243460,0
1996-01-02,56.2,62.5,56.2,61.2,130370,0
1996-01-03,61.2,65,61.2,65,131430,0
1996-01-04,62.5,63.8,57.5,60,121270,0
1996-01-05,60,63.8,58.8,62.5,65650,0
1996-01-08,63.8,65,62.5,63.8,25470,0
1996-01-09,62.5,63.8,60,60,30850,0
1996-01-10,62.5,66.2,62.5,63.8,180310,0
1996-01-11,65,67.5,63.8,66.2,82100,0
1996-01-12,66.2,71.2,65,70,238820,0
1996-01-15,70,71.2,70,71.2,104840,0
1996-01-16,71.2,72.5,67.5,71.2,111400,0
1996-01-17,70,70,67.5,67.5,53000,0
1996-01-18,68.8,68.8,66.2,67.5,54640,0
1996-01-19,66.2,68.8,66.2,66.2,100900,0
1996-01-22,66.2,70,66.2,67.5,75360,0
1996-01-23,67.5,72.5,67.5,71.2,122960,0
1996-01-24,72.5,72.5,68.8,71.2,125190,0
1996-01-25,70,71.2,68.8,71.2,93290,0
1996-01-26,70,71.2,66.2,70,163150,0
1996-01-29,70,75,68.8,73.8,204260,0
1996-01-30,76.2,76.2,71.2,73.8,155290,0
1996-01-31,73.8,75,71.2,75,71590,0
1996-02-01,75,76.2,73.8,75,104880,0
1996-02-02,75,76.2,73.8,73.8,61680,0
1996-02-05,73.8,75,72.5,75,49680,0
1996-02-06,73.8,75,71.2,71.2,60180,0
1996-02-07,72.5,75,71.2,73.8,70990,0
1996-02-08,72.5,75,72.5,73.8,51130,0
1996-02-09,73.8,73.8,72.5,73.8,72990,0
1996-02-12,73.8,77.5,72.5,76.2,224890,0
1996-02-13,75,76.2,73.8,76.2,241790,0
1996-02-14,75,75,71.2,71.2,70680,0
1996-02-15,72.5,73.8,70,71.2,72140,0
1996-02-16,70,70,67.5,67.5,105750,0
1996-02-20,67.5,67.5,66.2,66.2,50300,0
1996-02-21,67.5,67.5,65,67.5,133900,0
1996-02-22,67.5,68.8,65,66.2,103840,0
1996-02-23,67.5,67.5,63.8,66.2,56490,0
1996-02-26,65,66.2,65,66.2,46680,0
1996-02-27,66.2,66.2,63.8,65,34310,0
1996-02-28,65,65,62.5,62.5,49720,0
1996-02-29,62.5,63.8,61.2,61.2,73390,0
1996-03-01,62.5,62.5,60,60,75190,0
1996-03-04,61.2,66.2,55,56.2,369530,0
1996-03-05,56.2,58.8,55,58.8,329070,0
1996-03-06,58.8,60,57.5,58.8,321230,0
1996-03-07,60,61.2,60,60,304800,0
1996-03-08,58.8,60,56.2,58.8,153100,0
1996-03-11,58.8,58.8,56.2,58.8,159500,0
1996-03-12,57.5,58.8,56.2,56.2,44360,0
1996-03-13,57.5,61.2,56.2,60,391090,0
1996-03-14,61.2,67.5,60,66.2,386200,0
1996-03-15,66.2,67.5,63.8,65,122390,0
1996-03-18,65,66.2,62.5,63.8,200090,0
1996-03-19,63.8,63.8,61.2,62.5,168780,0
1996-03-20,62.5,62.5,58.8,60,252960,0
1996-03-21,60,61.2,58.8,58.8,347020,0
1996-03-22,60,61.2,58.8,60,231610,0
1996-03-25,61.2,61.2,60,61.2,77940,0
1996-03-26,61.2,61.2,58.8,60,105290,0
1996-03-27,60,60,58.8,58.8,30280,0
1996-03-28,60,60,58.8,58.8,68260,0
1996-03-29,60,61.2,58.8,60,48500,0
1996-04-01,61.2,61.2,60,61.2,46870,0
1996-04-02,60,60,57.5,57.5,169680,0
1996-04-03,57.5,58.8,57.5,57.5,68880,0
1996-04-04,58.8,58.8,57.5,58.8,60110,0
1996-04-08,57.5,58.8,57.5,58.8,161490,0
1996-04-09,57.5,58.8,56.2,58.8,123770,0
1996-04-10,57.5,62.5,57.5,58.8,308550,0
1996-04-11,60,61.2,57.5,60,104930,0
1996-04-12,60,61.2,58.8,61.2,148240,0
1996-04-15,61.2,63.8,61.2,63.8,124610,0
1996-04-16,63.8,65,62.5,62.5,131570,0
