Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.0524,5.0524,4.8275,4.8361,7653541,0
1995-01-04,4.8361,4.9084,4.7642,4.7822,8079033,0
1995-01-05,4.7822,4.8275,4.7553,4.8005,7244925,0
1995-01-06,4.8092,4.9084,4.7553,4.8005,14408129,0
1995-01-09,4.8005,5.0705,4.8005,5.0343,11093903,0
1995-01-10,5.2144,5.2233,5.0614,5.1334,10032393,0
1995-01-11,5.2144,5.2233,4.9622,5.0884,5391946,0
1995-01-12,5.1157,5.1334,4.8813,4.9535,5424811,0
1995-01-13,4.9893,4.9893,4.8721,4.9622,7756580,0
1995-01-16,4.9353,5.0072,4.9172,4.9353,5645995,0
1995-01-17,4.9622,5.0343,4.9172,4.9353,7011305,0
1995-01-18,4.9893,5.0072,4.9353,4.9535,5738380,0
1995-01-19,4.9622,5.1426,4.9535,5.1426,12036383,0
1995-01-20,5.1334,5.1334,5.0254,5.1334,4931808,0
1995-01-23,5.0524,5.0884,5.0254,5.0614,4379288,0
1995-01-24,5.0524,5.0614,4.9893,5.0343,3858750,0
1995-01-25,5.0072,5.0072,4.9084,4.9172,6674638,0
1995-01-26,4.9353,5.0072,4.8813,4.9172,5374179,0
1995-01-27,4.9535,4.9622,4.8275,4.9353,5589145,0
1995-01-30,4.9353,5.3135,4.9353,5.2774,11496301,0
1995-01-31,5.2774,5.4667,5.2233,5.4397,14990847,0
1995-02-01,5.4397,5.5657,5.3858,5.5026,8615562,0
1995-02-02,5.5118,5.5657,5.3317,5.3586,6457010,0
1995-02-03,5.3586,5.5926,5.3586,5.5389,13206266,0
1995-02-06,5.5838,5.5926,5.4397,5.5568,11895147,0
1995-02-07,5.4757,5.5205,5.4309,5.4757,4429035,0
1995-02-08,5.4309,5.5389,5.4126,5.5205,8451226,0
1995-02-09,5.5026,5.5118,5.3858,5.3858,11530055,0
1995-02-10,5.4309,5.5026,5.3317,5.4309,7196957,0
1995-02-13,5.4397,5.4486,5.3406,5.3586,1959577,0
1995-02-14,4.9893,5.2144,4.9893,5.0705,43363843,0
1995-02-15,5.0614,5.0884,4.9893,5.0072,16982403,0
1995-02-16,4.9893,5.0254,4.9172,4.9535,12780771,0
1995-02-17,4.9353,4.9353,4.7822,4.8275,21261316,0
1995-02-21,4.8275,4.8361,4.6831,4.6921,24831368,0
1995-02-22,4.7553,4.9084,4.7371,4.8813,19391457,0
1995-02-23,4.9084,4.9893,4.8005,4.8092,11125880,0
1995-02-24,4.8275,4.8721,4.7642,4.8721,8589803,0
1995-02-27,4.8092,4.9084,4.7553,4.8092,6384168,0
1995-02-28,4.8092,4.8275,4.7283,4.8275,9901810,0
1995-03-01,4.8452,5.0072,4.8452,4.9535,7107239,0
1995-03-02,4.9353,4.9622,4.8361,4.8361,8679520,0
1995-03-03,4.8721,4.8903,4.7642,4.8275,8406815,0
1995-03-06,4.8005,4.8005,4.7283,4.7553,5235603,0
1995-03-07,4.7371,4.8361,4.6831,4.7642,9980871,0
1995-03-08,4.8813,4.8813,4.7283,4.8005,10535163,0
1995-03-09,4.7642,4.8092,4.7283,4.7371,10824748,0
1995-03-10,4.7371,4.8813,4.6921,4.8005,9991528,0
1995-03-13,4.8092,4.9172,4.8092,4.8452,5002872,0
1995-03-14,4.8903,4.9353,4.8903,4.8903,6013751,0
1995-03-15,4.9084,5.0072,4.8005,4.9893,9814759,0
1995-03-16,4.9893,5.3317,4.9893,5.2595,17916001,0
1995-03-17,5.2595,5.2595,5.1783,5.2233,10705719,0
1995-03-20,5.2233,5.2504,5.1426,5.1875,3199636,0
1995-03-21,5.1604,5.1604,5.0884,5.1157,8048831,0
1995-03-22,5.1157,5.1426,5.0884,5.1334,6272242,0
1995-03-23,5.1064,5.1157,5.0705,5.1157,6943792,0
1995-03-24,5.1157,5.2504,5.1157,5.2054,8057715,0
1995-03-27,5.2774,5.4037,5.2774,5.3674,5908041,0
1995-03-28,5.3674,5.5118,5.3586,5.4578,9987089,0
1995-03-29,5.4578,5.6107,5.3674,5.4309,17319957,0
1995-03-30,5.4578,5.4757,5.3047,5.3225,4447689,0
1995-03-31,5.2957,5.3225,5.2054,5.2504,7559380,0
1995-04-03,5.2324,5.2504,5.1426,5.2054,2909160,0
1995-04-04,5.2144,5.3225,5.1064,5.2054,7472330,0
1995-04-05,5.1696,5.1696,5.0614,5.0972,5868958,0
1995-04-06,5.0614,5.1064,4.9622,5.0254,11109003,0
1995-04-07,5.0072,5.1064,5.0072,5.1064,4283351,0
1995-04-10,5.0794,5.0972,5.0072,5.0343,6189633,0
1995-04-11,5.0343,5.0614,5.0072,5.0254,3275140,0
1995-04-12,4.9893,5.1064,4.9893,5.1064,4510759,0
1995-04-13,5.1157,5.2054,5.1157,5.1426,4909601,0
1995-04-17,5.1334,5.2054,5.0254,5.0524,6200291,0
1995-04-18,5.0614,5.0794,4.8542,4.8903,17121865,0
1995-04-19,4.8275,4.8452,4.2418,4.4222,86343057,0
1995-04-20,4.2869,4.4039,4.1248,4.4039,64666907,0
1995-04-21,4.4491,4.6017,4.3771,4.53,20625296,0
1995-04-24,4.5119,4.5662,4.2688,4.3408,19868470,0
1995-04-25,4.3771,4.4039,4.1248,4.161,23656154,0
1995-04-26,4.1157,4.2237,4.0437,4.0708,28508905,0
1995-04-27,4.1248,4.2058,4.0708,4.1966,21860913,0
1995-04-28,4.1966,4.1966,4.0529,4.0886,17837830,0
1995-05-01,4.0437,4.1337,4.0166,4.1248,21643281,0
1995-05-02,4.1786,4.3408,4.0977,4.3139,17548244,0
1995-05-03,4.35,4.3588,4.2237,4.2506,15412787,0
1995-05-04,4.0437,4.0977,3.8636,3.8905,48993850,0
1995-05-05,3.9448,3.9985,3.8276,3.9806,38002101,0
1995-05-08,3.9985,4.0886,3.9985,4.0437,26210888,0
1995-05-09,4.0977,4.1515,4.0708,4.1157,16398795,0
1995-05-10,4.161,4.3771,4.1515,4.35,22584874,0
1995-05-11,4.3952,4.3952,4.3231,4.3771,8570264,0
1995-05-12,4.3588,4.3588,4.2418,4.2506,8056824,0
1995-05-15,4.2688,4.3231,4.1966,4.3139,8730151,0
1995-05-16,4.3139,4.35,4.2688,4.2869,5534959,0
1995-05-17,4.2869,4.3952,4.2869,4.3588,6554721,0
1995-05-18,4.4222,4.431,4.3139,4.3408,11440338,0
1995-05-19,4.2778,4.3139,4.2237,4.2506,6921587,0
1995-05-22,4.1248,4.1515,4.0166,4.0977,22887780,0
1995-05-23,4.0708,4.1248,4.0437,4.0437,21860913,0
1995-05-24,4.0977,4.1786,4.0708,4.0977,30911741,0
1995-05-25,4.0977,4.1337,4.0437,4.1157,11761901,0
1995-05-26,4.1248,4.1337,4.0257,4.0529,8736371,0
1995-05-30,4.1157,4.1248,4.0708,4.1157,6389497,0
1995-05-31,4.1157,4.1786,4.0886,4.1786,7654429,0
1995-06-01,4.2058,4.2778,4.1966,4.2506,7510524,0
1995-06-02,4.2778,4.3588,4.2058,4.35,8057715,0
1995-06-05,4.3771,4.5031,4.3588,4.4491,10541383,0
1995-06-06,4.431,4.4667,4.4039,4.4222,8380164,0
1995-06-07,4.6017,4.6921,4.5662,4.647,20325941,0
1995-06-08,4.656,4.7012,4.647,4.674,16784314,0
1995-06-09,4.674,4.7012,4.6111,4.7012,10569811,0
1995-06-12,4.6921,4.7012,4.6017,4.656,7868507,0
1995-06-13,4.656,4.7642,4.6017,4.7553,17298636,0
1995-06-14,4.5482,4.5662,4.4491,4.4938,28195337,0
1995-06-15,4.5119,4.5747,4.4938,4.5119,16393467,0
1995-06-16,4.53,4.53,4.476,4.4938,9460331,0
1995-06-19,4.4938,4.584,4.4667,4.5747,8648429,0
1995-06-20,4.5662,4.6017,4.5031,4.5031,4760367,0
1995-06-21,4.5747,4.7371,4.53,4.7283,19494493,0
1995-06-22,4.9444,5.0072,4.8813,5.0072,40238825,0
1995-06-23,4.9804,4.9804,4.7642,4.8275,14679056,0
1995-06-26,4.9622,5.0343,4.8005,4.8275,33755172,0
1995-06-27,4.8005,4.8903,4.584,4.6017,39900385,0
1995-06-28,4.4938,4.5662,4.431,4.5662,28841125,0
1995-06-29,4.53,4.647,4.5119,4.6017,13968420,0
1995-06-30,4.6017,4.647,4.53,4.647,15797418,0
1995-07-03,4.647,4.7371,4.6288,4.719,6148770,0
1995-07-05,4.7283,4.7822,4.656,4.674,10274008,0
1995-07-06,4.656,4.7012,4.4938,4.5482,28704331,0
1995-07-07,4.5119,4.5662,4.4938,4.53,24508917,0
1995-07-10,4.5662,4.584,4.4938,4.5747,11388817,0
1995-07-11,4.584,4.719,4.5747,4.674,10321088,0
1995-07-12,4.7283,4.8092,4.6288,4.8005,13031271,0
1995-07-13,4.8452,5.0343,4.8452,4.9804,20444084,0
1995-07-14,5.0072,5.0072,4.8721,4.9893,13251568,0
1995-07-17,5.1064,5.2144,5.1064,5.1696,19387902,0
1995-07-18,5.1334,5.1426,5.0343,5.0524,11541603,0
1995-07-19,4.9622,5.0072,4.5747,4.8542,18925990,0
1995-07-20,4.9444,5.0254,4.8813,4.9622,9802323,0
1995-07-21,4.9444,4.9535,4.9172,4.9172,7259137,0
1995-07-24,4.8542,5.0072,4.8542,5.0072,9717050,0
1995-07-25,5.1064,5.1875,5.0614,5.1334,9176964,0
1995-07-26,5.1696,5.1875,5.0614,5.1334,6886054,0
1995-07-27,5.1696,5.1875,5.1157,5.1334,11393257,0
1995-07-28,5.1426,5.1783,5.0343,5.0524,5904491,0
1995-07-31,5.1696,5.1696,5.0524,5.0524,7749477,0
1995-08-01,5.0524,5.1157,4.9893,5.0794,5684192,0
1995-08-02,5.1064,5.1696,4.9893,5.0524,6393939,0
1995-08-03,5.0254,5.0254,4.6017,4.7553,44722936,0
1995-08-04,4.7283,4.7553,4.6017,4.6017,20675928,0
1995-08-07,4.6017,4.6921,4.6017,4.6921,12163409,0
1995-08-08,4.6921,4.6921,4.6111,4.6288,5572269,0
1995-08-09,4.656,4.674,4.6111,4.6288,3692638,0
1995-08-10,4.6111,4.6921,4.6111,4.6288,4659099,0
1995-08-11,4.647,4.7012,4.6288,4.656,7538063,0
1995-08-14,4.656,4.7283,4.6111,4.656,7134780,0
1995-08-15,4.656,4.7283,4.656,4.6921,6910037,0
1995-08-16,4.656,4.8452,4.656,4.8092,9122781,0
1995-08-17,4.8452,4.8903,4.7371,4.8813,8244255,0
1995-08-18,4.9444,5.0072,4.8452,4.9264,9397263,0
1995-08-21,4.9535,4.9804,4.8813,4.8903,6714614,0
1995-08-22,4.8903,4.9172,4.8275,4.8452,3665988,0
1995-08-23,4.8452,4.8452,4.7283,4.7283,3495435,0
1995-08-24,4.7553,4.7553,4.656,4.6921,5622011,0
1995-08-25,4.7012,4.719,4.656,4.7012,3479448,0
1995-08-28,4.7642,4.7642,4.6921,4.719,5401716,0
1995-08-29,4.719,4.7371,4.656,4.7371,2663105,0
1995-08-30,4.7642,4.8092,4.656,4.7553,7378168,0
1995-08-31,4.7553,4.7822,4.719,4.7371,3290242,0
1995-09-01,4.7642,4.7822,4.6921,4.7012,7296447,0
1995-09-05,4.7012,4.8813,4.7012,4.8813,7771680,0
1995-09-06,4.9172,4.9622,4.8903,4.9535,7412812,0
1995-09-07,4.9444,4.9622,4.8452,4.9444,7848964,0
1995-09-08,4.9444,5.1875,4.8903,5.1696,19020145,0
1995-09-11,5.2144,5.2504,5.0614,5.0972,19950194,0
1995-09-12,5.1334,5.1426,5.0614,5.1064,9296884,0
1995-09-13,5.1157,5.2054,5.1064,5.1334,11882707,0
1995-09-14,5.1783,5.2504,5.0614,5.1157,14159404,0
1995-09-15,5.1875,5.2774,5.1426,5.1875,22211790,0
1995-09-18,5.2144,5.3047,5.1783,5.2504,15784983,0
1995-09-19,5.2595,5.3225,5.2504,5.3225,9757909,0
1995-09-20,5.3225,5.3858,5.3047,5.3406,19697917,0
1995-09-21,5.3317,5.4397,5.3225,5.4309,10042163,0
1995-09-22,5.3586,5.4126,5.3317,5.3858,9691286,0
1995-09-25,5.3858,5.4126,5.3047,5.3317,6577816,0
