Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.974,14.157,13.885,14.112,302802,0
1995-01-04,14.112,14.619,14.112,14.619,352471,0
1995-01-05,14.619,14.715,14.392,14.532,648403,0
1995-01-06,14.436,14.846,14.436,14.846,439898,0
1995-01-09,14.803,15.493,14.76,15.222,630551,0
1995-01-10,15.222,16.097,15.222,15.633,1281700,0
1995-01-11,15.633,15.633,15.309,15.544,425479,0
1995-01-12,15.493,15.727,15.406,15.727,563494,0
1995-01-13,15.68,16.14,15.633,16.054,676781,0
1995-01-16,15.773,16.192,15.773,16.14,386342,0
1995-01-17,16.054,16.14,15.871,16.14,651605,0
1995-01-18,15.955,16.054,15.773,15.773,625057,0
1995-01-19,15.68,15.871,15.59,15.871,370778,0
1995-01-20,15.871,15.871,15.451,15.493,606746,0
1995-01-23,15.406,15.493,15.222,15.451,390461,0
1995-01-24,15.451,15.451,15.214,15.214,628491,0
1995-01-25,15.171,15.536,15.171,15.493,414949,0
1995-01-26,15.451,15.59,15.257,15.257,189737,0
1995-01-27,15.354,16.097,15.354,15.913,304403,0
1995-01-30,15.815,16.235,15.773,16.235,365285,0
1995-01-31,16.235,16.377,16.14,16.28,211251,0
1995-02-01,16.333,16.333,15.913,15.913,268929,0
1995-02-02,15.913,15.913,15.633,15.773,151515,0
1995-02-03,15.862,16.463,15.862,16.235,334846,0
1995-02-06,16.28,16.742,16.28,16.561,432803,0
1995-02-07,16.561,16.603,16.28,16.377,235741,0
1995-02-08,16.333,16.377,16.097,16.14,248099,0
1995-02-09,15.59,15.773,15.493,15.68,2124187,0
1995-02-10,15.68,15.773,15.59,15.59,1478761,0
1995-02-13,15.727,15.862,15.727,15.815,688227,0
1995-02-14,15.913,15.998,15.815,15.955,752769,0
1995-02-15,15.955,16.235,15.913,16.097,742468,0
1995-02-16,16.054,16.054,15.913,15.955,593471,0
1995-02-17,16.054,16.14,15.955,16.054,503298,0
1995-02-21,16.14,16.235,15.955,15.998,568751,0
1995-02-22,15.955,16.14,15.913,15.998,463701,0
1995-02-23,16.054,16.235,15.998,16.14,1080746,0
1995-02-24,16.14,16.28,16.054,16.097,303717,0
1995-02-27,16.097,16.097,15.862,15.862,370778,0
1995-02-28,15.59,15.773,15.59,15.773,169368,0
1995-03-01,15.633,15.727,15.451,15.68,587978,0
1995-03-02,15.727,15.862,15.68,15.862,314474,0
1995-03-03,15.862,15.913,15.68,15.773,164332,0
1995-03-06,15.68,15.815,15.59,15.727,582944,0
1995-03-07,15.68,15.68,15.493,15.633,1303675,0
1995-03-08,15.773,15.773,15.633,15.773,287236,0
1995-03-09,15.773,15.773,15.68,15.727,145106,0
1995-03-10,15.773,15.955,15.727,15.773,242150,0
1995-03-13,15.773,15.913,15.773,15.862,344918,0
1995-03-14,15.862,16.235,15.862,16.235,314936,0
1995-03-15,16.333,16.516,16.333,16.418,590955,0
1995-03-16,16.377,16.561,16.377,16.561,282890,0
1995-03-17,16.796,16.796,16.463,16.654,608578,0
1995-03-20,16.561,16.654,16.561,16.561,136867,0
1995-03-21,16.463,16.796,16.418,16.699,497344,0
1995-03-22,16.699,16.935,16.699,16.935,789620,0
1995-03-23,16.84,16.978,16.742,16.935,1378057,0
1995-03-24,16.882,17.067,16.84,17.024,554334,0
1995-03-27,17.067,17.067,16.978,17.067,453173,0
1995-03-28,16.978,17.067,16.742,16.796,147166,0
1995-03-29,16.699,16.84,16.516,16.742,471484,0
1995-03-30,16.742,16.935,16.654,16.935,450427,0
1995-03-31,16.796,16.978,16.603,16.796,320422,0
1995-04-03,16.742,16.796,16.654,16.699,301200,0
1995-04-04,16.742,16.882,16.699,16.796,386113,0
1995-04-05,16.699,16.699,16.561,16.603,173945,0
1995-04-06,16.654,16.699,16.516,16.561,333931,0
1995-04-07,16.516,16.561,16.418,16.463,173032,0
1995-04-10,16.377,16.516,16.377,16.418,270073,0
1995-04-11,16.418,16.516,16.377,16.516,243523,0
1995-04-12,16.418,16.561,16.14,16.561,616360,0
1995-04-13,16.603,16.654,16.333,16.333,209193,0
1995-04-17,16.418,16.463,16.235,16.333,335305,0
1995-04-18,16.385,16.385,16.192,16.192,434178,0
1995-04-19,16.235,16.289,16.054,16.235,369402,0
1995-04-20,16.235,16.289,16.15,16.15,302344,0
1995-04-21,16.235,16.333,16.15,16.15,3961142,0
1995-04-24,16.15,16.524,16.15,16.385,227502,0
1995-04-25,16.385,16.524,16.289,16.425,348349,0
1995-04-26,16.473,16.524,16.333,16.333,132290,0
1995-04-27,15.68,16.097,15.68,16.008,3236065,0
1995-04-28,16.008,16.008,15.815,16.008,871785,0
1995-05-01,16.008,16.192,15.955,16.054,591184,0
1995-05-02,16.008,16.192,15.773,15.913,516115,0
1995-05-03,15.913,15.913,15.68,15.815,568525,0
1995-05-04,15.815,15.815,15.68,15.68,953265,0
1995-05-05,15.815,15.815,15.68,15.773,399843,0
1995-05-08,15.68,15.773,15.68,15.68,777716,0
1995-05-09,15.773,15.773,15.59,15.68,791907,0
1995-05-10,15.68,15.68,15.59,15.59,587066,0
1995-05-11,15.59,15.59,15.309,15.536,697610,0
1995-05-12,15.536,15.536,15.117,15.117,1231347,0
1995-05-15,15.171,15.493,14.979,15.493,956697,0
1995-05-16,15.493,15.493,15.117,15.171,716151,0
1995-05-17,15.171,15.171,14.891,14.979,1421084,0
1995-05-18,15.029,15.214,15.029,15.117,370778,0
1995-05-19,15.117,15.214,14.979,15.029,537627,0
1995-05-22,15.029,15.171,14.934,15.073,663281,0
1995-05-23,15.029,15.117,14.934,15.117,403736,0
1995-05-24,15.073,15.536,15.073,15.493,650691,0
1995-05-25,15.397,15.59,15.397,15.59,1005447,0
1995-05-26,15.536,15.633,15.536,15.59,1485625,0
1995-05-30,15.59,15.633,15.451,15.633,320881,0
1995-05-31,15.59,15.955,15.562,15.955,870638,0
1995-06-01,16.054,16.612,15.955,16.473,936785,0
1995-06-02,16.385,16.569,16.289,16.569,265723,0
1995-06-05,16.569,16.663,16.333,16.473,963335,0
1995-06-06,16.473,16.612,16.425,16.612,306237,0
1995-06-07,16.569,16.804,16.473,16.804,701045,0
1995-06-08,16.708,17.169,16.708,17.169,625287,0
1995-06-09,17.127,17.169,16.891,17.127,989881,0
1995-06-12,17.127,17.362,17.127,17.311,306237,0
1995-06-13,17.311,17.504,17.311,17.452,521836,0
1995-06-14,17.452,17.644,17.407,17.504,437840,0
1995-06-15,17.452,17.504,17.311,17.362,465074,0
1995-06-16,17.407,17.504,17.311,17.407,589127,0
1995-06-19,17.452,17.504,17.362,17.362,178983,0
1995-06-20,17.452,17.519,17.362,17.452,506499,0
1995-06-21,17.362,17.452,17.225,17.269,384054,0
1995-06-22,17.362,17.731,17.362,17.686,449968,0
1995-06-23,17.686,17.868,17.504,17.868,281973,0
1995-06-26,17.782,17.868,17.731,17.827,253595,0
1995-06-27,17.827,17.868,17.782,17.782,148313,0
1995-06-28,17.782,17.924,17.782,17.868,465987,0
1995-06-29,17.782,17.782,17.407,17.452,196146,0
1995-06-30,17.452,17.504,17.452,17.504,232306,0
1995-07-03,17.452,17.686,17.452,17.686,86287,0
1995-07-05,17.686,17.686,17.452,17.686,226817,0
1995-07-06,17.686,17.924,17.452,17.924,526410,0
1995-07-07,17.868,17.924,17.589,17.782,204385,0
1995-07-10,17.644,17.644,17.269,17.407,512221,0
1995-07-11,17.407,17.827,17.362,17.686,342168,0
1995-07-12,17.686,17.827,17.686,17.731,86515,0
1995-07-13,17.731,17.782,17.644,17.686,131146,0
1995-07-14,17.589,17.731,16.333,17.589,190422,0
