Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.78,10.045,9.757,10.017,2799392,0
1995-01-04,9.942,10.017,9.832,10.017,2852097,0
1995-01-05,10.045,10.259,10.045,10.236,3861819,0
1995-01-06,10.205,10.343,10.182,10.343,3259407,0
1995-01-09,10.288,10.311,10.128,10.151,1593646,0
1995-01-10,10.205,10.288,10.151,10.151,2416583,0
1995-01-11,10.182,10.205,10.099,10.182,1630631,0
1995-01-12,10.151,10.476,10.151,10.363,1869649,0
1995-01-13,10.422,10.553,10.422,10.476,3382385,0
1995-01-16,10.497,10.527,10.343,10.343,1247355,0
1995-01-17,10.363,10.497,10.288,10.497,1189566,0
1995-01-18,10.497,10.636,10.311,10.422,7045407,0
1995-01-19,10.396,10.497,10.396,10.45,3156767,0
1995-01-20,10.497,10.497,10.396,10.396,2408260,0
1995-01-23,10.343,10.497,10.343,10.497,2244600,0
1995-01-24,10.476,10.553,10.45,10.497,2593192,0
1995-01-25,10.527,10.527,10.363,10.476,2988481,0
1995-01-26,10.476,10.476,10.311,10.396,3777212,0
1995-01-27,10.422,10.476,10.259,10.311,1967199,0
1995-01-30,10.288,10.422,10.182,10.182,1814637,0
1995-01-31,10.151,10.954,10.151,10.741,5001916,0
1995-02-01,10.795,10.901,10.741,10.795,2738365,0
1995-02-02,10.768,10.825,10.609,10.636,2933004,0
1995-02-03,10.684,10.795,10.636,10.66,4171581,0
1995-02-06,10.66,10.795,10.636,10.795,3376369,0
1995-02-07,10.843,10.843,10.713,10.741,2851174,0
1995-02-08,10.713,10.713,10.636,10.636,2496568,0
1995-02-09,10.66,10.768,10.66,10.741,4208560,0
1995-02-10,10.768,10.901,10.741,10.901,2139649,0
1995-02-13,10.901,10.984,10.875,10.932,1628314,0
1995-02-14,10.954,10.984,10.825,10.984,1875194,0
1995-02-15,11.008,11.139,11.008,11.062,2830824,0
1995-02-16,11.092,11.277,11.062,11.277,2309325,0
1995-02-17,11.304,11.327,11.221,11.304,2220091,0
1995-02-21,11.327,11.327,11.195,11.247,2084631,0
1995-02-22,11.221,11.304,11.195,11.247,1359702,0
1995-02-23,11.277,11.357,11.247,11.277,2043487,0
1995-02-24,11.304,11.327,11.277,11.327,1389290,0
1995-02-27,11.304,11.357,11.221,11.221,957942,0
1995-02-28,11.195,11.221,11.118,11.171,1818333,0
1995-03-01,11.221,11.247,11.062,11.092,1427205,0
1995-03-02,11.139,11.171,11.092,11.118,1314856,0
1995-03-03,11.062,11.092,10.954,11.008,1222857,0
1995-03-06,11.008,11.062,10.875,11.062,1803996,0
1995-03-07,11.092,11.092,10.768,10.875,1245510,0
1995-03-08,10.932,11.008,10.875,10.875,996776,0
1995-03-09,10.795,10.825,10.713,10.713,690712,0
1995-03-10,10.741,11.062,10.741,10.901,3611699,0
1995-03-13,10.901,10.932,10.843,10.932,1428123,0
1995-03-14,11.008,11.171,10.954,11.171,2848398,0
1995-03-15,11.092,11.118,11.062,11.092,1493773,0
1995-03-16,11.118,11.221,11.118,11.195,1383279,0
1995-03-17,11.247,11.465,11.247,11.38,3525247,0
1995-03-20,11.41,11.432,11.357,11.38,1262613,0
1995-03-21,11.38,11.465,11.304,11.327,2172937,0
1995-03-22,11.277,11.327,11.247,11.327,1999565,0
1995-03-23,11.357,11.465,11.357,11.432,1165063,0
1995-03-24,11.492,11.57,11.492,11.517,1460029,0
1995-03-27,11.465,11.701,11.465,11.675,1749438,0
1995-03-28,11.701,11.786,11.65,11.786,1959806,0
1995-03-29,11.786,11.997,11.786,11.81,1618145,0
1995-03-30,11.81,11.918,11.786,11.861,1703212,0
1995-03-31,11.758,11.81,11.675,11.727,1588560,0
1995-04-03,11.786,11.918,11.786,11.886,1053186,0
1995-04-04,11.943,11.943,11.786,11.861,3024548,0
1995-04-05,11.861,11.861,11.758,11.837,1258921,0
1995-04-06,11.861,11.918,11.727,11.81,2142419,0
1995-04-07,11.837,11.837,11.65,11.701,1116056,0
1995-04-10,11.65,11.675,11.54,11.624,2972764,0
