Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.0467,2.0467,2.0013,2.0467,27087,0
1995-01-04,2.0013,2.0013,1.9558,1.9558,51712,0
1995-01-05,1.9558,2.0013,1.9558,2.0013,8794,0
1995-01-06,1.9558,2.0013,1.9558,2.0013,40103,0
1995-01-09,1.9558,2.0467,1.9558,1.9558,42214,0
1995-01-10,1.8648,1.9558,1.8648,1.9558,158301,0
1995-01-11,1.9103,1.9558,1.9103,1.9558,22514,0
1995-01-12,1.9103,2.0013,1.9103,1.9558,182926,0
1995-01-13,1.9558,2.0013,1.9103,1.9558,243080,0
1995-01-16,1.9558,2.2287,1.9558,2.1832,257151,0
1995-01-17,2.1832,2.3651,2.1832,2.2741,381329,0
1995-01-18,2.2741,2.3651,2.0922,2.1377,224787,0
1995-01-19,2.0922,2.1832,2.0922,2.1832,8794,0
1995-01-20,2.0922,2.0922,1.9558,1.9558,200515,0
1995-01-23,1.9558,1.9558,1.8193,1.8648,166392,0
1995-01-24,1.8648,2.0467,1.8648,2.0013,394697,0
1995-01-25,2.0013,2.0467,1.9558,1.9558,423191,0
1995-01-26,1.9558,2.0467,1.9558,2.0467,13719,0
1995-01-27,1.9558,2.0467,1.9558,2.0467,19348,0
1995-01-30,1.9558,2.0467,1.9558,2.0467,16534,0
1995-01-31,1.9558,2.0013,1.9558,1.9558,42214,0
1995-02-01,1.9558,2.0013,1.9103,1.9558,156542,0
1995-02-02,2.0013,2.0013,1.9103,1.9558,24273,0
1995-02-03,1.9558,2.0013,1.9558,1.9558,516765,0
1995-02-06,2.0013,2.1832,1.9558,2.1377,599081,0
1995-02-07,2.1832,2.2287,2.1832,2.1832,185388,0
1995-02-08,2.2287,2.2287,2.0922,2.1832,81965,0
1995-02-09,2.1377,2.1377,2.1377,2.1377,4925,0
1995-02-10,2.1832,2.1832,2.0922,2.1832,346855,0
1995-02-13,2.1832,2.2741,2.1832,2.2741,772861,0
1995-02-14,2.2741,2.3651,2.2741,2.3196,613504,0
1995-02-15,2.3651,2.3651,2.3196,2.3196,271926,0
1995-02-16,2.3651,2.6835,2.3651,2.6835,954027,0
1995-02-17,2.5925,2.6835,2.547,2.547,1612207,0
1995-02-21,2.547,2.638,2.547,2.638,250116,0
1995-02-22,2.547,2.638,2.547,2.5925,81965,0
1995-02-23,2.5925,2.5925,2.5016,2.5016,195238,0
1995-02-24,2.5016,2.547,2.5016,2.547,43972,0
1995-02-27,2.5016,2.5016,2.5016,2.5016,465053,0
1995-02-28,2.5016,2.547,2.5016,2.5016,91111,0
1995-03-01,2.5016,2.5016,2.5016,2.5016,28494,0
1995-03-02,2.5016,2.547,2.5016,2.5016,258206,0
1995-03-03,2.5016,2.5016,2.5016,2.5016,130862,0
1995-03-06,2.5016,2.638,2.4561,2.638,1098609,0
1995-03-07,2.6835,2.729,2.638,2.6835,662402,0
1995-03-08,2.6835,2.6835,2.638,2.6835,41862,0
1995-03-09,2.6835,2.6835,2.638,2.638,185740,0
1995-03-10,2.6835,2.6835,2.638,2.638,47139,0
1995-03-13,2.638,2.6835,2.547,2.547,52767,0
1995-03-14,2.6835,2.6835,2.638,2.6835,110459,0
1995-03-15,2.6835,2.6835,2.638,2.6835,5628,0
1995-03-16,2.638,2.6835,2.638,2.638,195238,0
1995-03-17,2.6835,2.8199,2.6835,2.7745,296902,0
1995-03-20,2.8199,2.8199,2.729,2.8199,254337,0
1995-03-21,2.8199,2.8199,2.6835,2.729,285294,0
1995-03-22,2.7745,2.7745,2.638,2.638,301827,0
1995-03-23,2.638,2.6835,2.638,2.638,85834,0
1995-03-24,2.6835,2.6835,2.6835,2.6835,158301,0
1995-03-27,2.729,2.729,2.638,2.6835,71411,0
1995-03-28,2.638,2.6835,2.5925,2.5925,82317,0
1995-03-29,2.638,2.638,2.5925,2.5925,144582,0
1995-03-30,2.638,2.6835,2.5925,2.638,189258,0
1995-03-31,2.638,2.7745,2.5925,2.729,337005,0
1995-04-03,2.7745,2.7745,2.729,2.7745,97443,0
1995-04-04,2.7745,3.0019,2.729,2.8654,579733,0
1995-04-05,2.9109,2.9109,2.8654,2.8654,21810,0
1995-04-06,2.9109,2.9109,2.6835,2.7745,380274,0
1995-04-07,2.6835,2.8654,2.6835,2.8654,398918,0
1995-04-10,2.8654,3.0019,2.8199,2.9564,1317416,0
1995-04-11,3.0019,3.0019,2.8654,2.9109,257855,0
1995-04-12,2.9109,2.9109,2.8654,2.9109,71060,0
1995-04-13,2.9564,2.9564,2.8654,2.9564,52767,0
1995-04-17,3.0019,3.0019,2.8199,2.8199,64728,0
1995-04-18,2.8199,2.8654,2.7745,2.8199,166040,0
1995-04-19,2.8199,2.8199,2.5016,2.5925,287052,0
1995-04-20,2.5925,2.6835,2.5925,2.6835,59451,0
1995-04-21,2.6835,2.729,2.6835,2.729,59803,0
1995-04-24,2.729,2.8199,2.6835,2.8199,274388,0
1995-04-25,2.7745,2.8199,2.7745,2.8199,15478,0
1995-04-26,2.7745,2.7745,2.7745,2.7745,13016,0
1995-04-27,2.7745,2.8199,2.7745,2.8199,75281,0
1995-04-28,2.7745,2.8199,2.7745,2.8199,28494,0
1995-05-01,2.8199,3.0019,2.8199,3.0019,271926,0
1995-05-02,3.0019,3.0019,2.9109,3.0019,53822,0
1995-05-03,3.0019,3.0474,2.8654,3.0019,236748,0
1995-05-04,3.0474,3.1838,2.9564,2.9564,392938,0
1995-05-05,3.0019,3.0019,2.8654,2.9109,113273,0
1995-05-08,2.8654,2.9564,2.8654,2.9109,43972,0
1995-05-09,2.9109,3.0019,2.9109,3.0019,45028,0
1995-05-10,3.0019,3.0019,2.9564,3.0019,111514,0
1995-05-11,3.0019,3.0019,2.8654,2.9564,70356,0
1995-05-12,2.9564,3.0019,2.8654,3.0019,82317,0
1995-05-15,2.9564,3.4112,2.9564,3.2748,567773,0
1995-05-16,3.2293,3.3203,3.1838,3.2748,94629,0
1995-05-17,3.2748,3.4567,3.2748,3.3657,365499,0
1995-05-18,3.3203,3.4567,3.1838,3.2293,111514,0
1995-05-19,3.2293,3.2293,3.1838,3.1838,38344,0
1995-05-22,3.2293,3.3203,3.0474,3.0474,329970,0
1995-05-23,3.0474,3.1383,3.0474,3.0474,511840,0
1995-05-24,3.1838,3.2293,3.0474,3.0474,466108,0
1995-05-25,3.0474,3.0928,2.9109,2.9109,89000,0
1995-05-26,3.0019,3.0019,2.8654,2.8654,151265,0
1995-05-30,3.0019,3.0019,2.729,2.8199,145637,0
1995-05-31,2.8199,2.8199,2.729,2.8199,178704,0
1995-06-01,2.8199,3.0019,2.8199,2.9564,247301,0
1995-06-02,2.9564,3.0019,2.8654,2.9564,143878,0
1995-06-05,3.0019,3.0928,2.9564,3.0928,106589,0
1995-06-06,3.0019,3.1838,3.0019,3.1838,174131,0
1995-06-07,3.1838,3.2293,3.1383,3.2293,124178,0
1995-06-08,3.1838,3.1838,3.0928,3.0928,77392,0
1995-06-09,3.1383,3.2748,3.1383,3.1838,347559,0
1995-06-12,3.2293,3.2748,3.1838,3.1838,10905,0
1995-06-13,3.1838,3.2748,2.8654,3.0928,812260,0
1995-06-14,3.0019,3.0474,3.0019,3.0474,108700,0
1995-06-15,3.0474,3.0474,3.0474,3.0474,3870,0
1995-06-16,3.0019,3.0474,3.0019,3.0474,152321,0
1995-06-19,3.0474,3.0928,3.0019,3.0019,49601,0
1995-06-20,3.0019,3.0928,3.0019,3.0928,37992,0
1995-06-21,3.0928,3.0928,2.9564,3.0019,155135,0
1995-06-22,3.0019,3.0928,3.0019,3.0474,65783,0
1995-06-23,3.1383,3.1383,3.0474,3.0928,37992,0
1995-06-26,3.0474,3.0474,3.0019,3.0474,79854,0
1995-06-27,3.0019,3.0019,2.9564,2.9564,69652,0
1995-06-28,2.9564,2.9564,2.9564,2.9564,6684,0
1995-06-29,2.9564,2.9564,2.9564,2.9564,13719,0
1995-06-30,3.0019,3.0474,2.9564,3.0474,41862,0
1995-07-03,2.9564,2.9564,2.9564,2.9564,2111,0
1995-07-05,3.0474,3.1838,3.0019,3.1383,137546,0
1995-07-06,3.1838,3.1838,3.0928,3.1838,19700,0
1995-07-07,3.1838,3.3203,3.1383,3.2293,186443,0
1995-07-10,3.3203,3.4112,3.2293,3.3657,151617,0
1995-07-11,3.3203,3.5022,3.3203,3.3657,461183,0
1995-07-12,3.3657,3.3657,3.2748,3.2748,139657,0
1995-07-13,3.2748,3.3203,3.2293,3.2293,284238,0
1995-07-14,3.2293,3.2748,3.2293,3.2293,111514,0
1995-07-17,3.2293,3.3203,3.2293,3.2293,154431,0
1995-07-18,3.2748,3.3203,3.1838,3.3203,396808,0
1995-07-19,3.2293,3.2293,3.0019,3.0019,330321,0
1995-07-20,3.0019,3.0928,3.0019,3.0928,3166,0
1995-07-21,3.0019,3.1383,3.0019,3.0474,41158,0
1995-07-24,3.1383,3.1383,2.9564,3.0928,165337,0
1995-07-25,3.0928,3.1838,3.0019,3.0019,100609,0
1995-07-26,3.1383,3.1838,3.0019,3.0019,96036,0
1995-07-27,3.0019,3.1838,3.0019,3.1838,166040,0
1995-07-28,3.1838,3.1838,3.0928,3.1838,143526,0
1995-07-31,3.1838,3.1838,3.1383,3.1838,154431,0
1995-08-01,3.1838,3.2293,3.0928,3.0928,166040,0
1995-08-02,3.1838,3.4567,3.1838,3.4567,1176352,0
1995-08-03,3.3203,3.4567,3.2293,3.3203,475958,0
1995-08-04,3.3203,3.4567,3.3203,3.4567,729240,0
1995-08-07,3.4567,3.6841,3.4112,3.6386,508322,0
1995-08-08,3.6841,4.0025,3.6386,3.7296,817888,0
1995-08-09,3.6386,4.0025,3.6386,3.8661,345800,0
1995-08-10,3.8661,4.0025,3.7751,3.7751,315547,0
1995-08-11,3.6386,3.8206,3.5932,3.7751,445705,0
1995-08-14,3.6386,3.7751,3.5477,3.6386,456259,0
1995-08-15,3.6386,3.7751,3.6386,3.6386,394697,0
1995-08-16,3.7751,4.139,3.7751,4.0025,1221380,0
1995-08-17,4.0935,4.2754,4.048,4.0935,799244,0
1995-08-18,4.139,4.1844,4.048,4.0935,34474,0
1995-08-21,4.0935,4.1844,4.048,4.139,108348,0
1995-08-22,4.048,4.139,4.048,4.048,79854,0
1995-08-23,4.048,4.139,4.0025,4.0935,178001,0
1995-08-24,4.0935,4.0935,4.0025,4.0935,83724,0
1995-08-25,4.139,4.1844,4.0025,4.0935,227953,0
1995-08-28,4.0935,4.0935,4.0025,4.0935,124882,0
1995-08-29,4.0025,4.1844,4.0025,4.139,155135,0
1995-08-30,4.139,4.2299,4.0935,4.2299,162874,0
1995-08-31,4.139,4.5028,4.139,4.5028,474903,0
1995-09-01,4.5483,4.5483,4.4573,4.4573,297958,0
1995-09-05,4.4573,4.5028,4.4118,4.4118,1700152,0
1995-09-06,4.5028,4.5028,4.3209,4.4573,641295,0
1995-09-07,4.3209,4.4573,4.0025,4.048,579733,0
1995-09-08,4.139,4.139,4.0025,4.0935,71411,0
1995-09-11,4.139,4.3664,4.0935,4.3664,188554,0
1995-09-12,4.3209,4.4573,4.2754,4.4573,210364,0
1995-09-13,4.3664,4.4573,4.2754,4.3664,223028,0
1995-09-14,4.4118,4.4118,4.3209,4.3664,104479,0
1995-09-15,4.3209,4.3209,4.0025,4.139,228657,0
1995-09-18,4.0935,4.1844,4.0025,4.1844,390828,0
1995-09-19,4.0935,4.5938,4.0935,4.5483,806280,0
1995-09-20,4.5483,5.4125,4.5483,5.276,1302289,0
1995-09-21,5.276,5.367,5.1396,5.276,1632611,0
1995-09-22,5.276,5.4125,5.2305,5.3215,1452148,0
1995-09-25,5.3215,5.367,5.276,5.276,535761,0
1995-09-26,5.276,5.367,5.0941,5.1396,213882,0
1995-09-27,5.0941,5.0941,4.7757,4.9576,566717,0
1995-09-28,4.8667,5.1396,4.8212,5.0486,647979,0
1995-09-29,5.0486,5.0486,4.6847,5.0031,429875,0
1995-10-02,5.0031,5.0031,4.8212,4.8212,49601,0
1995-10-03,4.8212,4.9122,4.7302,4.7757,167799,0
1995-10-04,4.6393,4.7757,4.6393,4.7302,248005,0
1995-10-05,4.6847,4.6847,4.4573,4.5028,134732,0
1995-10-06,4.5938,4.5938,4.4573,4.5483,72467,0
1995-10-09,4.5483,4.5483,4.048,4.0935,352835,0
1995-10-10,3.6841,4.139,3.5477,3.9115,534354,0
1995-10-11,4.048,4.4573,4.048,4.3664,988853,0
1995-10-12,4.4573,4.5483,4.3209,4.3664,487567,0
1995-10-13,4.3664,4.4573,4.3209,4.4118,549832,0
1995-10-16,4.4118,4.4118,4.139,4.1844,108348,0
1995-10-17,4.139,4.3209,4.0935,4.2754,1676583,0
1995-10-18,4.3209,4.4573,4.3209,4.3209,1142229,0
1995-10-19,4.4118,4.4118,4.2754,4.2754,102720,0
1995-10-20,4.2754,4.4118,4.048,4.1844,176594,0
1995-10-23,4.1844,4.1844,4.0025,4.0025,154431,0
1995-10-24,4.048,4.0935,4.0025,4.0935,147748,0
1995-10-25,4.139,4.139,3.957,4.0025,183629,0
1995-10-26,3.9115,4.0025,3.5932,3.6386,474199,0
1995-10-27,3.5932,3.8661,3.5932,3.8206,445353,0
1995-10-30,3.7296,4.0935,3.7296,4.0025,895280,0
1995-10-31,4.048,4.3209,3.957,4.139,881209,0
1995-11-01,4.1844,4.2299,4.139,4.139,474199,0
1995-11-02,4.2299,4.5028,4.139,4.5028,388717,0
1995-11-03,4.5483,4.7302,4.4573,4.5938,256799,0
1995-11-06,4.5938,4.8667,4.4573,4.7302,662753,0
