Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.516,13.652,13.516,13.622,99282,0
1995-01-04,13.642,13.652,13.583,13.583,123395,0
1995-01-05,13.583,13.583,13.516,13.555,13468,0
1995-01-06,13.555,13.583,13.447,13.486,46663,0
1995-01-09,13.486,13.486,13.324,13.324,81117,0
1995-01-10,13.351,13.351,13.15,13.15,70153,0
1995-01-11,13.189,13.324,13.189,13.219,112436,0
1995-01-12,13.219,13.258,13.15,13.189,23175,0
1995-01-13,13.189,13.189,13.15,13.189,62639,0
1995-01-16,13.189,13.189,13.121,13.15,16912,0
1995-01-17,13.15,13.219,13.15,13.189,24115,0
1995-01-18,13.189,13.219,13.121,13.189,145946,0
1995-01-19,13.189,13.189,13.084,13.084,43846,0
1995-01-20,13.018,13.018,12.951,12.989,232075,0
1995-01-23,13.055,13.219,13.055,13.189,52930,0
1995-01-24,13.189,13.286,12.856,12.856,79863,0
1995-01-25,12.884,13.018,12.884,13.018,103664,0
1995-01-26,13.15,13.324,13.15,13.324,56377,0
1995-01-27,13.286,13.324,13.189,13.219,135613,0
1995-01-30,13.189,13.258,13.189,13.219,65144,0
1995-01-31,13.219,13.258,13.219,13.219,51050,0
1995-02-01,13.286,13.486,13.286,13.419,149080,0
1995-02-02,13.447,13.555,13.419,13.555,53244,0
1995-02-03,13.516,13.516,13.351,13.39,90512,0
1995-02-06,13.447,13.486,13.39,13.419,7202,0
1995-02-07,13.486,13.622,13.419,13.583,25683,0
1995-02-08,13.516,13.622,13.516,13.555,61385,0
1995-02-09,13.583,13.583,13.419,13.419,23175,0
1995-02-10,13.447,13.447,13.324,13.324,33199,0
1995-02-13,13.351,13.447,13.324,13.324,51677,0
1995-02-14,13.324,13.324,13.286,13.324,7828,0
1995-02-15,13.351,13.516,13.351,13.516,47918,0
1995-02-16,13.516,13.652,13.486,13.486,125591,0
1995-02-17,13.486,13.555,13.447,13.555,49799,0
1995-02-21,13.622,13.786,13.622,13.786,135613,0
1995-02-22,13.756,13.786,13.718,13.786,178829,0
1995-02-23,13.786,13.985,13.786,13.888,105230,0
1995-02-24,13.888,13.956,13.888,13.956,47918,0
1995-02-27,13.917,13.956,13.888,13.917,50735,0
1995-02-28,13.985,14.318,13.985,14.318,72660,0
1995-03-01,14.385,14.385,14.318,14.356,170063,0
1995-03-02,14.291,14.318,14.254,14.254,206394,0
1995-03-03,14.254,14.318,14.254,14.318,230198,0
1995-03-06,14.291,14.424,14.254,14.424,33824,0
1995-03-07,14.356,14.424,14.291,14.424,269972,0
