Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.4231,4.57,4.3969,4.5441,4727567,0
1995-01-04,4.5617,4.5872,4.5095,4.5441,3205318,0
1995-01-05,4.5266,4.5617,4.5266,4.5441,2612871,0
1995-01-06,4.5441,4.5617,4.5095,4.5441,3345806,0
1995-01-09,4.5441,4.5872,4.5357,4.57,2094365,0
1995-01-10,4.57,4.6999,4.57,4.6395,4281153,0
1995-01-11,4.6482,4.6655,4.5962,4.6131,4614810,0
1995-01-12,4.6224,4.726,4.6131,4.726,3527884,0
1995-01-13,4.726,4.752,4.6655,4.6742,2940986,0
1995-01-16,4.6742,4.6742,4.6395,4.6655,2280137,0
1995-01-17,4.6655,4.6915,4.6395,4.6742,2157214,0
1995-01-18,4.6655,4.6999,4.6655,4.6999,2478854,0
1995-01-19,4.6915,4.6999,4.6395,4.6482,2043529,0
1995-01-20,4.6482,4.6482,4.6224,4.6395,2933587,0
1995-01-23,4.5872,4.6395,4.5872,4.6395,3146165,0
1995-01-24,4.6395,4.6742,4.6131,4.6224,3172048,0
1995-01-25,4.6482,4.7347,4.6482,4.7347,2118396,0
1995-01-26,4.7347,4.7865,4.7347,4.778,3172969,0
1995-01-27,4.7865,4.7865,4.7607,4.778,1869769,0
1995-01-30,4.778,4.8384,4.752,4.83,2052773,0
1995-01-31,4.83,4.8384,4.778,4.83,3001060,0
1995-02-01,4.83,4.8903,4.8039,4.8818,3231199,0
1995-02-02,4.8557,4.9164,4.8384,4.8818,2816208,0
1995-02-03,4.8903,4.8903,4.83,4.8557,4269139,0
1995-02-06,4.8384,4.8818,4.8126,4.8647,2356852,0
1995-02-07,4.8647,4.8818,4.8126,4.83,2163683,0
1995-02-08,4.8557,4.8818,4.8557,4.8557,2168303,0
1995-02-09,4.8557,4.8818,4.83,4.8384,2012107,0
1995-02-10,4.8557,4.8818,4.8384,4.8818,2100833,0
1995-02-13,4.8647,4.8818,4.83,4.8818,1141457,0
1995-02-14,4.8818,4.8818,4.83,4.8557,2867042,0
1995-02-15,4.8471,4.8818,4.7953,4.7953,2449279,0
1995-02-16,4.7953,4.7953,4.7173,4.7173,2689585,0
1995-02-17,4.7173,4.8212,4.6655,4.8212,5042738,0
1995-02-21,4.8212,4.8384,4.7953,4.7953,2338367,0
1995-02-22,4.8126,4.8471,4.7953,4.8384,2920649,0
1995-02-23,4.8384,4.8384,4.8126,4.8384,2748738,0
1995-02-24,4.8384,4.8384,4.8126,4.8212,1890103,0
1995-02-27,4.8126,4.8212,4.7953,4.8212,1276399,0
1995-02-28,4.8212,4.8212,4.7691,4.8212,1328158,0
1995-03-01,4.8126,4.8212,4.7347,4.7691,1557368,0
1995-03-02,4.7691,4.8126,4.7607,4.7691,2245019,0
1995-03-03,4.7865,4.8126,4.7607,4.8126,2962242,0
1995-03-06,4.7953,4.7953,4.7691,4.7953,1577708,0
1995-03-07,4.7953,4.8126,4.7607,4.7865,1564765,0
1995-03-08,4.7865,4.7865,4.7173,4.7173,1256988,0
1995-03-09,4.7087,4.7173,4.6827,4.6827,1537038,0
1995-03-10,4.6827,4.7607,4.6655,4.7173,1609130,0
1995-03-13,4.7347,4.7607,4.6827,4.7607,2489945,0
1995-03-14,4.7691,4.8384,4.7691,4.8126,2749662,0
1995-03-15,4.7953,4.8212,4.7865,4.8126,1510236,0
1995-03-16,4.8126,4.873,4.7953,4.8647,2880903,0
1995-03-17,4.8647,4.873,4.8212,4.8384,4142516,0
1995-03-20,4.8471,4.9511,4.8471,4.9076,2635055,0
1995-03-21,4.9076,5.0376,4.9076,4.9597,2666478,0
1995-03-22,4.9769,5.0288,4.9076,5.0288,3648959,0
1995-03-23,5.0115,5.0376,4.9769,5.0115,2411385,0
1995-03-24,5.0115,5.0807,5.0115,5.0636,2272744,0
1995-03-27,5.0807,5.1156,5.0288,5.0549,2559264,0
1995-03-28,5.0115,5.0288,4.9337,4.9597,4755296,0
1995-03-29,4.9337,4.9511,4.8647,4.873,4496503,0
1995-03-30,4.899,4.925,4.8818,4.8818,2215440,0
1995-03-31,4.873,4.925,4.8471,4.9076,2583294,0
1995-04-03,4.925,4.925,4.8471,4.8471,1588797,0
1995-04-04,4.8647,4.8818,4.8471,4.873,2120242,0
1995-04-05,4.8647,4.873,4.8126,4.873,2110075,0
1995-04-06,4.873,4.8818,4.8384,4.8647,2302319,0
1995-04-07,4.8471,4.8647,4.8126,4.8471,1629464,0
1995-04-10,4.8647,4.8818,4.8471,4.8647,1581401,0
1995-04-11,4.873,4.873,4.7691,4.7691,2737645,0
1995-04-12,4.7435,4.7691,4.6915,4.7607,1752391,0
1995-04-13,4.7691,4.873,4.7607,4.873,2465916,0
1995-04-17,4.8647,4.8647,4.7691,4.7865,1712645,0
1995-04-18,4.7865,4.8212,4.7435,4.7607,1408565,0
1995-04-19,4.7691,4.7865,4.6915,4.7173,3547293,0
1995-04-20,4.7087,4.7347,4.6827,4.7173,2026895,0
1995-04-21,4.7173,4.7173,4.6395,4.6655,2289383,0
1995-04-24,4.6827,4.7173,4.6655,4.7173,2846709,0
1995-04-25,4.7173,4.7691,4.7173,4.7607,1848512,0
1995-04-26,4.7607,4.8212,4.7435,4.7953,2244096,0
1995-04-27,4.7953,4.8212,4.7865,4.7953,1976059,0
1995-04-28,4.8212,4.8384,4.7865,4.7953,1696011,0
1995-05-01,4.7953,4.8212,4.6655,4.6827,3101802,0
1995-05-02,4.6655,4.7347,4.6224,4.7173,2036136,0
1995-05-03,4.7173,4.7953,4.7087,4.7953,2092515,0
1995-05-04,4.7865,4.8471,4.7691,4.8471,2616569,0
1995-05-05,4.8384,4.873,4.8212,4.8647,2117471,0
1995-05-08,4.8647,4.8647,4.8212,4.8647,1631310,0
1995-05-09,4.873,4.8818,4.8384,4.8818,1805995,0
1995-05-10,4.8818,4.899,4.8471,4.899,1044412,0
1995-05-11,4.899,4.9337,4.873,4.9076,1195062,0
1995-05-12,4.925,4.9511,4.8818,4.8818,2483475,0
1995-05-15,4.8818,4.899,4.8212,4.8647,2829146,0
1995-05-16,4.83,4.8557,4.7607,4.8039,2913255,0
1995-05-17,4.8126,4.8126,4.778,4.7865,1162714,0
1995-05-18,4.778,4.7865,4.6999,4.7173,1369744,0
1995-05-19,4.6999,4.7173,4.6655,4.6915,1682150,0
1995-05-22,4.7173,4.7173,4.6482,4.7173,6590870,0
1995-05-23,4.6999,4.778,4.6742,4.778,6684219,0
1995-05-24,4.8039,4.83,4.726,4.7435,3174818,0
1995-05-25,4.752,4.7607,4.6999,4.7607,2220988,0
1995-05-26,4.778,4.778,4.6482,4.6742,2602705,0
1995-05-30,4.6742,4.752,4.6655,4.752,978787,0
1995-05-31,4.752,4.9426,4.7435,4.9337,2049999,0
