Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.8098,3.8503,3.8098,3.8503,1015919,0
1995-01-04,3.8503,3.8829,3.8503,3.8666,1027366,0
1995-01-05,3.8829,3.9074,3.8666,3.8666,426149,0
1995-01-06,3.8503,3.8829,3.8258,3.8829,846666,0
1995-01-09,3.8666,3.8829,3.8503,3.8503,970923,0
1995-01-10,3.8666,3.9074,3.8666,3.8666,1182421,0
1995-01-11,3.8829,3.9074,3.8503,3.8666,500174,0
1995-01-12,3.8503,3.8666,3.8503,3.8666,1381492,0
1995-01-13,3.8829,3.8991,3.8666,3.8829,418332,0
1995-01-16,3.8829,3.981,3.8829,3.9401,870431,0
1995-01-17,3.9236,3.981,3.8829,3.981,871817,0
1995-01-18,3.9401,3.997,3.9401,3.9565,875807,0
1995-01-19,3.9565,3.9565,3.8585,3.8991,935619,0
1995-01-20,3.8991,3.9236,3.8503,3.8829,2697126,0
1995-01-23,3.8829,3.9401,3.8666,3.9318,713386,0
1995-01-24,3.9401,3.981,3.9074,3.981,641868,0
1995-01-25,3.9401,4.0298,3.9236,4.0298,1699782,0
1995-01-26,3.997,4.0298,3.9401,3.997,1446310,0
1995-01-27,3.997,4.0298,3.981,3.997,2183470,0
1995-01-30,3.997,4.0705,3.981,4.0542,1597907,0
1995-01-31,4.0542,4.1766,4.0542,4.1441,3250587,0
1995-02-01,4.1602,4.1602,4.0542,4.087,5972566,0
1995-02-02,4.1929,4.1929,4.0625,4.1524,2996503,0
1995-02-03,4.1683,4.2419,4.1683,4.2093,3450678,0
1995-02-06,4.1929,4.2174,4.1602,4.1766,1310465,0
1995-02-07,4.1766,4.1766,4.1197,4.1357,845901,0
1995-02-08,4.1524,4.1929,4.1197,4.1929,1884505,0
1995-02-09,4.1929,4.1929,4.1357,4.1929,1400596,0
1995-02-10,4.1602,4.1766,4.1197,4.1766,2081216,0
1995-02-13,4.1524,4.2093,4.1524,4.2093,1143009,0
1995-02-14,4.1929,4.25,4.1929,4.2337,1486391,0
1995-02-15,4.1929,4.2254,4.1683,4.2093,825999,0
1995-02-16,4.1929,4.2093,4.1524,4.2093,923464,0
1995-02-17,4.2093,4.2093,4.1683,4.2093,509972,0
1995-02-21,4.2093,4.2337,4.1766,4.1929,1695660,0
1995-02-22,4.2093,4.2254,4.1929,4.2093,659617,0
1995-02-23,4.25,4.25,4.1766,4.1766,501381,0
1995-02-24,4.1766,4.1766,4.103,4.1197,4787837,0
1995-02-27,4.1357,4.1357,4.103,4.1197,443391,0
1995-02-28,4.1357,4.2337,4.0788,4.2337,1103977,0
1995-03-01,4.2093,4.2093,4.0949,4.0949,940819,0
1995-03-02,4.1197,4.1197,4.0381,4.0788,1975156,0
1995-03-03,4.0788,4.0949,4.0214,4.0381,665299,0
1995-03-06,4.0214,4.0788,3.981,4.0788,926595,0
1995-03-07,4.0625,4.0788,4.0053,4.0214,1475526,0
1995-03-08,4.0053,4.0459,4.0053,4.0053,721302,0
1995-03-09,3.997,4.0381,3.997,4.0381,976294,0
1995-03-10,4.0459,4.0949,4.0214,4.0625,495511,0
1995-03-13,4.0625,4.0949,4.0053,4.0214,973848,0
1995-03-14,4.0459,4.0625,4.0214,4.0625,1050019,0
1995-03-15,4.0381,4.0949,4.0214,4.0788,1137088,0
1995-03-16,4.0788,4.1357,4.0625,4.0949,984119,0
1995-03-17,4.0949,4.0949,4.0625,4.0625,1040186,0
1995-03-20,4.0459,4.0788,4.0214,4.0625,708861,0
1995-03-21,4.0625,4.0788,4.0053,4.0214,2305756,0
1995-03-22,4.0214,4.0381,3.997,4.0381,1642576,0
1995-03-23,3.997,4.0542,3.997,4.0381,1146556,0
1995-03-24,4.0788,4.0949,4.0625,4.0788,1472512,0
1995-03-27,4.0788,4.1114,4.0625,4.0949,1221294,0
1995-03-28,4.0788,4.0949,4.0625,4.0625,1365610,0
1995-03-29,4.0459,4.1357,4.0459,4.1197,1621178,0
1995-03-30,4.0949,4.1524,4.0949,4.1524,1639464,0
1995-03-31,4.1357,4.1524,4.0949,4.1357,1558024,0
1995-04-03,4.1114,4.1357,4.0788,4.0949,865041,0
1995-04-04,4.0949,4.1766,4.0788,4.1357,1093768,0
1995-04-05,4.1197,4.25,4.1197,4.2337,1538494,0
1995-04-06,4.2174,4.2337,4.1929,4.2337,1694799,0
1995-04-07,4.2337,4.2663,4.2174,4.25,862550,0
1995-04-10,4.2337,4.2663,4.2337,4.25,854684,0
1995-04-11,4.25,4.2663,4.2337,4.25,1015981,0
1995-04-12,4.2337,4.25,4.2174,4.2337,5269220,0
1995-04-13,4.2254,4.2419,4.2093,4.2093,511940,0
