Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.5809,1.6069,1.5809,1.598,2037616,0
1995-01-04,1.598,1.6411,1.5809,1.6241,6495912,0
1995-01-05,1.6241,1.6411,1.6069,1.6241,2629106,0
1995-01-06,1.6241,1.6241,1.5809,1.598,2364342,0
1995-01-09,1.598,1.6411,1.5809,1.598,3451561,0
1995-01-10,1.6069,1.6069,1.5809,1.598,3704245,0
1995-01-11,1.598,1.6241,1.5809,1.6069,2582431,0
1995-01-12,1.6069,1.6501,1.6069,1.6411,5540679,0
1995-01-13,1.6758,1.6758,1.6069,1.6674,5082780,0
1995-01-16,1.6674,1.7192,1.6501,1.7104,6376006,0
1995-01-17,1.7104,1.7621,1.7104,1.7621,7262840,0
1995-01-18,1.7621,1.7882,1.7364,1.7449,6390494,0
1995-01-19,1.7449,1.7621,1.7104,1.7364,2553462,0
1995-01-20,1.7364,1.7364,1.6931,1.6931,3651938,0
1995-01-23,1.6758,1.7192,1.6674,1.7104,1446131,0
1995-01-24,1.7104,1.7449,1.7104,1.7192,1678702,0
1995-01-25,1.7364,1.7364,1.7192,1.7192,1260233,0
1995-01-26,1.7364,1.7797,1.7192,1.7797,5942248,0
1995-01-27,1.7882,1.8053,1.7797,1.8053,3861173,0
1995-01-30,1.8142,1.8315,1.7621,1.7621,3880486,0
1995-01-31,1.7797,1.7882,1.7621,1.7797,2945369,0
1995-02-01,1.7797,1.7882,1.7621,1.7797,4072823,0
1995-02-02,1.7797,1.8574,1.7621,1.8485,5414333,0
1995-02-03,1.8574,1.8574,1.7882,1.8142,4265157,0
1995-02-06,1.8142,1.8142,1.8053,1.8142,2369174,0
1995-02-07,1.8053,1.8142,1.7707,1.8053,3229446,0
1995-02-08,1.8053,1.8053,1.7797,1.7797,1685134,0
1995-02-09,1.7797,1.7882,1.7364,1.7364,4564521,0
1995-02-10,1.7449,1.8142,1.7449,1.7882,7277324,0
1995-02-13,1.7882,1.8832,1.7882,1.8748,4139615,0
1995-02-14,1.8574,1.8748,1.8315,1.8574,3747702,0
1995-02-15,1.8574,1.8832,1.8315,1.8748,3424194,0
1995-02-16,1.8748,1.8748,1.8142,1.8748,3218181,0
1995-02-17,1.8748,1.9007,1.8574,1.8748,2452063,0
1995-02-21,1.8748,1.9007,1.8748,1.8832,3703443,0
1995-02-22,1.9007,1.9437,1.8832,1.9007,3551345,0
1995-02-23,1.9007,1.9437,1.8574,1.8574,4875959,0
1995-02-24,1.7882,1.8053,1.7797,1.8053,7797191,0
1995-02-27,1.8142,1.8142,1.7192,1.7192,4964480,0
1995-02-28,1.7536,1.7707,1.7017,1.7278,9173306,0
1995-03-01,1.7278,1.7536,1.7104,1.7104,9261827,0
1995-03-02,1.7104,1.7536,1.7017,1.7536,4001201,0
1995-03-03,1.7449,1.7707,1.7278,1.7536,2864095,0
1995-03-06,1.7449,1.7536,1.7449,1.7536,3239104,0
1995-03-07,1.7449,1.7707,1.7278,1.7278,4228137,0
1995-03-08,1.7536,1.7707,1.7449,1.7449,3812889,0
1995-03-09,1.7449,1.7536,1.7278,1.7449,1651342,0
1995-03-10,1.7449,1.7536,1.7278,1.7536,5214758,0
1995-03-13,1.7707,1.7707,1.7449,1.7536,3304285,0
1995-03-14,1.7536,1.8227,1.7536,1.7969,4526698,0
1995-03-15,1.7797,1.7969,1.7797,1.7797,1587766,0
1995-03-16,1.7797,1.8227,1.7797,1.8227,8098967,0
1995-03-17,1.8401,1.8401,1.7797,1.7797,5296841,0
1995-03-20,1.7969,1.8227,1.7797,1.8227,2577604,0
1995-03-21,1.8142,1.8227,1.7969,1.8142,2006233,0
1995-03-22,1.8142,1.8227,1.7969,1.8227,2192128,0
1995-03-23,1.8142,1.8227,1.7969,1.8227,1128256,0
1995-03-24,1.8227,1.8227,1.7969,1.8227,3145757,0
1995-03-27,1.8227,1.8227,1.7969,1.7969,1854942,0
1995-03-28,1.8142,1.8227,1.7969,1.8227,2442407,0
1995-03-29,1.8142,1.8401,1.7969,1.8227,2592891,0
1995-03-30,1.8227,1.8657,1.8142,1.8657,2134186,0
1995-03-31,1.8401,1.8917,1.8142,1.8142,4302980,0
1995-04-03,1.8142,1.8401,1.8142,1.8227,1384162,0
1995-04-04,1.8227,1.8401,1.8142,1.8401,2122919,0
1995-04-05,1.8227,1.8401,1.8142,1.8142,1549942,0
1995-04-06,1.8227,1.8485,1.8142,1.8485,1522579,0
1995-04-07,1.8401,1.8657,1.8401,1.8485,1368874,0
1995-04-10,1.8401,1.9088,1.8401,1.8917,2916401,0
1995-04-11,1.8832,1.8917,1.8485,1.8657,2270996,0
1995-04-12,1.8485,1.8832,1.8485,1.8832,1655362,0
1995-04-13,1.8657,1.8917,1.8657,1.8832,2757061,0
1995-04-17,1.9088,1.935,1.8832,1.8917,6045254,0
1995-04-18,1.9088,1.9088,1.8657,1.8917,3759776,0
1995-04-19,1.8832,1.8917,1.8657,1.8832,2159139,0
1995-04-20,1.8917,1.918,1.8832,1.9088,1912079,0
1995-04-21,1.918,1.935,1.8917,1.9088,3881291,0
1995-04-24,1.9088,1.918,1.8657,1.8917,2465744,0
1995-04-25,1.8832,1.8832,1.8657,1.8832,1496828,0
1995-04-26,1.8917,1.8917,1.8657,1.8832,1327023,0
1995-04-27,1.8832,1.8917,1.8657,1.8917,1639269,0
1995-04-28,1.8917,1.9088,1.8832,1.8917,1941851,0
1995-05-01,1.8917,1.918,1.8832,1.9088,2964687,0
1995-05-02,1.9088,1.9088,1.8657,1.8832,2123728,0
1995-05-03,1.8832,1.8917,1.8657,1.8657,5659782,0
1995-05-04,1.8657,1.8832,1.8401,1.8657,5504468,0
1995-05-05,1.8748,1.8748,1.8485,1.8485,2181667,0
1995-05-08,1.8315,1.8485,1.8142,1.8485,2900307,0
1995-05-09,1.8485,1.8485,1.7797,1.7882,5450550,0
1995-05-10,1.8053,1.8142,1.7797,1.7882,4624878,0
1995-05-11,1.8053,1.8485,1.7882,1.8315,6046865,0
1995-05-12,1.8315,1.8748,1.8053,1.8574,3581926,0
1995-05-15,1.8748,1.8832,1.8485,1.8832,4164565,0
1995-05-16,1.8748,1.8832,1.8574,1.8748,3725172,0
1995-05-17,1.8574,1.8574,1.8485,1.8574,6551445,0
1995-05-18,1.8574,1.8748,1.8574,1.8748,2153502,0
1995-05-19,1.8574,1.8748,1.8485,1.8574,1568448,0
1995-05-22,1.8574,1.8832,1.8485,1.8748,2875364,0
1995-05-23,1.8574,1.8832,1.8485,1.8574,2696706,0
1995-05-24,1.8574,1.8748,1.8315,1.8485,2056126,0
1995-05-25,1.8574,1.8574,1.8315,1.8574,1473492,0
1995-05-26,1.8574,1.8748,1.8485,1.8748,1806657,0
1995-05-30,1.8748,1.9007,1.8574,1.9007,4334363,0
1995-05-31,1.8832,1.9007,1.8832,1.9007,2073026,0
1995-06-01,1.9007,1.926,1.8832,1.918,3417758,0
1995-06-02,1.9007,1.918,1.8832,1.9007,2349859,0
1995-06-05,1.9007,1.918,1.8574,1.8748,5291210,0
1995-06-06,1.8748,1.8832,1.8574,1.8748,2374002,0
1995-06-07,1.8748,1.9007,1.8748,1.8832,1394626,0
1995-06-08,1.8832,1.9007,1.8748,1.9007,4776972,0
1995-06-09,1.8832,1.9007,1.8485,1.8574,1788146,0
1995-06-12,1.8748,1.8832,1.8485,1.8485,2687047,0
1995-06-13,1.8748,1.8832,1.8485,1.8832,3052402,0
1995-06-14,1.8748,1.8832,1.8748,1.8832,2501155,0
1995-06-15,1.8832,1.9437,1.8748,1.9437,3736436,0
1995-06-16,1.9523,1.9695,1.9437,1.9695,4361725,0
1995-06-19,1.9695,2.056,1.9695,2.0128,11882886,0
1995-06-20,2.0128,2.0128,1.9523,1.9695,5463423,0
1995-06-21,1.9695,1.9869,1.9437,1.9695,5095653,0
1995-06-22,1.9869,2.0646,1.9869,2.0388,7855133,0
1995-06-23,2.0388,2.0818,1.9523,2.0646,10710373,0
1995-06-26,2.056,2.0646,2.0215,2.056,5155208,0
1995-06-27,2.056,2.0992,2.0388,2.0818,3470869,0
1995-06-28,2.0818,2.0992,2.056,2.0818,2089928,0
1995-06-29,2.056,2.056,1.9523,1.9695,13722538,0
1995-06-30,1.9869,2.0215,1.9869,1.9869,5203492,0
1995-07-03,2.0128,2.0215,1.9955,2.0128,386278,0
1995-07-05,2.0992,2.1078,2.0388,2.0646,9233665,0
1995-07-06,2.0818,2.125,2.056,2.1078,8959247,0
1995-07-07,2.0992,2.134,2.0992,2.125,5819927,0
1995-07-10,2.125,2.134,2.0992,2.1078,10599318,0
1995-07-11,2.1078,2.1078,2.056,2.0818,7769022,0
1995-07-12,2.0818,2.1078,2.0818,2.0818,4678798,0
1995-07-13,2.0992,2.0992,2.0388,2.0818,3332456,0
1995-07-14,2.0818,2.0818,2.0215,2.0215,3417758,0
1995-07-17,2.0388,2.0388,2.0128,2.0215,3807256,0
1995-07-18,2.0128,2.0215,1.9523,1.9523,6413023,0
1995-07-19,1.9695,1.9869,1.918,1.9695,5449743,0
1995-07-20,1.9523,2.0128,1.9437,1.9955,3918314,0
1995-07-21,2.0128,2.0215,1.9955,2.0128,1893570,0
1995-07-24,1.9955,2.056,1.9955,2.0388,1974847,0
1995-07-25,2.0388,2.0646,2.0128,2.056,3455581,0
1995-07-26,2.056,2.1078,2.056,2.0818,3041938,0
1995-07-27,2.0818,2.1078,2.0646,2.0818,2452869,0
1995-07-28,2.0646,2.0992,2.0388,2.0646,2362734,0
1995-07-31,2.0646,2.0818,2.056,2.0646,1409917,0
1995-08-01,2.0818,2.0992,2.056,2.0646,1704455,0
1995-08-02,2.0818,2.0992,2.056,2.0646,2999289,0
1995-08-03,2.0388,2.0992,1.9523,1.9695,16791035,0
1995-08-04,1.9695,1.9869,1.918,1.918,9466231,0
1995-08-07,1.926,1.9523,1.918,1.9437,5325811,0
1995-08-08,1.9523,2.0646,1.9523,2.056,18104387,0
1995-08-09,2.0818,2.134,2.0818,2.0992,13827963,0
1995-08-10,2.0906,2.0992,2.056,2.0733,5394218,0
1995-08-11,2.056,2.0733,2.0472,2.0733,2830290,0
1995-08-14,2.056,2.0906,2.0472,2.0906,1682725,0
1995-08-15,2.0906,2.0992,2.0472,2.0992,5919715,0
1995-08-16,2.0992,2.2287,2.0906,2.2287,10130954,0
1995-08-17,2.2287,2.2287,2.1943,2.2287,9121805,0
1995-08-18,2.2287,2.2287,2.1596,2.1596,4051093,0
1995-08-21,2.1682,2.1853,2.1421,2.1421,1707671,0
1995-08-22,2.1421,2.1682,2.125,2.1596,2379636,0
1995-08-23,2.1596,2.1596,2.125,2.1596,2710388,0
1995-08-24,2.1596,2.1853,2.125,2.1853,3190016,0
1995-08-25,2.1682,2.1853,2.1596,2.1853,3611703,0
1995-08-28,2.1853,2.1853,2.1596,2.1853,1206313,0
1995-08-29,2.1853,2.1853,2.1596,2.1853,994666,0
1995-08-30,2.1853,2.1943,2.1682,2.1853,1576500,0
1995-08-31,2.1682,2.1943,2.1682,2.1853,1800220,0
1995-09-01,2.1596,2.1682,2.1165,2.1421,4775367,0
1995-09-05,2.1421,2.1596,2.125,2.1596,1061459,0
1995-09-06,2.1421,2.1853,2.125,2.1682,3313139,0
1995-09-07,2.1853,2.2115,2.1682,2.1853,4202388,0
1995-09-08,2.1943,2.2375,2.1682,2.2375,6898289,0
1995-09-11,2.2375,2.2724,2.2115,2.2548,2108436,0
1995-09-12,2.2548,2.2804,2.2375,2.2804,3142534,0
1995-09-13,2.3408,2.3755,2.2724,2.3669,9278729,0
1995-09-14,2.3669,2.3755,2.2804,2.3408,3282562,0
1995-09-15,2.3927,2.4362,2.3499,2.419,7931581,0
1995-09-18,2.419,2.462,2.3755,2.4533,8621249,0
1995-09-19,2.4793,2.5311,2.462,2.5055,12698095,0
1995-09-20,2.5055,2.5225,2.462,2.4879,7727980,0
1995-09-21,2.4533,2.4793,2.3927,2.4533,5147160,0
1995-09-22,2.3927,2.4879,2.3927,2.4879,5540679,0
1995-09-25,2.4879,2.4879,2.419,2.4362,2237196,0
1995-09-26,2.4362,2.4362,2.3755,2.3927,1870232,0
1995-09-27,2.3669,2.3927,2.2978,2.3236,7256402,0
1995-09-28,2.3236,2.419,2.3064,2.41,5383757,0
1995-09-29,2.419,2.4362,2.3499,2.3499,3627797,0
1995-10-02,2.3669,2.4362,2.3669,2.4362,2516443,0
1995-10-03,2.4533,2.4793,2.3927,2.41,3560199,0
1995-10-04,2.41,2.4793,2.3927,2.462,4206407,0
1995-10-05,2.4362,2.4533,2.3927,2.3927,1832410,0
1995-10-06,2.41,2.4362,2.3927,2.41,1245746,0
1995-10-09,2.41,2.41,2.3669,2.3927,653452,0
1995-10-10,2.3755,2.419,2.3669,2.41,1604664,0
1995-10-11,2.419,2.4362,2.3755,2.3755,3014578,0
1995-10-12,2.41,2.462,2.3755,2.462,2303187,0
1995-10-13,2.419,2.4362,2.3499,2.3499,2629106,0
1995-10-16,2.3669,2.41,2.3499,2.3927,3977060,0
1995-10-17,2.3927,2.3927,2.2978,2.2978,3320382,0
1995-10-18,2.2978,2.3236,2.2978,2.3236,1038125,0
