Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,35.58,35.93,35.409,35.58,185542,0
1995-01-04,35.409,35.409,35.05,35.144,426865,0
1995-01-05,35.23,35.315,34.793,35.23,479024,0
1995-01-06,35.315,35.497,35.23,35.497,225101,0
1995-01-09,35.409,35.58,35.05,35.58,210980,0
1995-01-10,35.58,36.198,35.497,35.497,184137,0
1995-01-11,35.676,35.759,35.144,35.144,310405,0
1995-01-12,34.793,35.409,34.793,35.23,81685,0
1995-01-13,35.315,35.497,35.144,35.409,149364,0
1995-01-16,35.409,35.58,35.315,35.315,266294,0
1995-01-17,35.497,36.027,35.315,35.759,228951,0
1995-01-18,35.58,36.027,35.409,35.409,431414,0
1995-01-19,35.315,35.676,35.315,35.676,296751,0
1995-01-20,35.676,36.198,35.676,35.676,214013,0
1995-01-23,35.409,35.58,35.144,35.315,292197,0
1995-01-24,35.315,35.497,35.144,35.315,222415,0
1995-01-25,35.23,35.848,35.23,35.676,204795,0
1995-01-26,35.676,36.198,35.315,35.409,215882,0
1995-01-27,35.58,35.93,35.497,35.676,143180,0
1995-01-30,35.676,35.759,35.05,35.144,280879,0
1995-01-31,34.965,35.409,34.877,35.23,340157,0
1995-02-01,35.409,35.848,35.23,35.676,390804,0
1995-02-02,36.027,36.027,35.676,35.848,336192,0
1995-02-03,36.11,36.38,36.027,36.291,414725,0
1995-02-06,36.643,37.176,36.462,36.909,240157,0
1995-02-07,36.824,37.346,36.824,37.081,269561,0
1995-02-08,37.081,37.705,37.081,37.26,489175,0
1995-02-09,36.995,37.705,36.995,37.705,383689,0
1995-02-10,37.792,37.965,36.909,37.44,201763,0
1995-02-13,37.26,37.44,37.081,37.44,335257,0
1995-02-14,38.056,38.056,37.26,37.44,230820,0
1995-02-15,37.44,37.705,37.44,37.612,267341,0
1995-02-16,37.524,37.524,37.44,37.44,101409,0
1995-02-17,37.524,37.965,37.44,37.876,152282,0
1995-02-21,37.876,38.056,37.26,37.876,286598,0
1995-02-22,37.965,38.324,37.792,38.229,245290,0
1995-02-23,38.41,38.674,38.229,38.494,472370,0
1995-02-24,38.494,38.589,38.146,38.589,258122,0
1995-02-27,38.563,39.01,38.382,38.648,221832,0
1995-02-28,38.563,38.735,38.563,38.648,126261,0
1995-03-01,38.648,38.829,38.648,38.735,171652,0
1995-03-02,38.563,38.648,38.299,38.563,262677,0
