Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.9888,5.0107,4.9094,4.9888,931087,0
1995-01-04,5.0323,5.1336,5.0323,5.1118,1077143,0
1995-01-05,5.1118,5.2347,5.1118,5.184,1333150,0
1995-01-06,5.184,5.2056,5.0323,5.0611,798318,0
1995-01-09,5.0323,5.1118,5.0323,5.0323,1529412,0
1995-01-10,5.0323,5.083,4.9094,4.9094,1237306,0
1995-01-11,4.9384,5.0611,4.8371,4.9384,1456383,0
1995-01-12,4.9384,4.9601,4.8587,4.9384,2104500,0
1995-01-13,4.9888,5.0107,4.9384,4.9888,1272159,0
1995-01-16,4.9888,5.0611,4.9888,5.0323,2100348,0
1995-01-17,5.0107,5.0107,4.9094,4.9601,2191219,0
1995-01-18,5.0611,5.3285,5.0611,5.3285,3477480,0
1995-01-19,5.3072,5.3072,5.184,5.2562,2474195,0
1995-01-20,5.2347,5.3285,5.2347,5.3285,3523953,0
1995-01-23,5.2783,5.3576,5.2347,5.3285,2052216,0
1995-01-24,5.3576,5.4081,5.3576,5.3793,1658868,0
1995-01-25,5.3285,5.4081,5.2783,5.3793,1911973,0
1995-01-26,5.4302,5.4517,5.4081,5.4302,2495356,0
1995-01-27,5.4081,5.4517,5.4081,5.4302,518240,0
1995-01-30,5.4081,5.4302,5.3576,5.4081,726532,0
1995-01-31,5.3793,5.3793,5.3072,5.3285,2377104,0
1995-02-01,5.3576,5.3793,5.3285,5.3793,707030,0
1995-02-02,5.3285,5.4081,5.3285,5.3793,1127764,0
1995-02-03,5.4081,5.4803,5.4081,5.4517,2123167,0
1995-02-06,5.4517,5.5747,5.4517,5.5528,2445977,0
1995-02-07,5.5528,5.6252,5.5309,5.6252,2563823,0
1995-02-08,5.6252,5.8275,5.6252,5.777,3538890,0
1995-02-09,5.777,5.777,5.7047,5.7263,2319842,0
1995-02-10,5.7263,5.7263,5.6541,5.7263,2236442,0
1995-02-13,5.7263,5.7483,5.6756,5.6756,650187,0
1995-02-14,5.6756,5.7047,5.6252,5.6541,703710,0
1995-02-15,5.6756,5.7047,5.6541,5.6756,1349333,0
1995-02-16,5.6756,5.7483,5.6756,5.7483,1029841,0
1995-02-17,5.7483,5.8275,5.6756,5.6756,1027352,0
1995-02-21,5.6756,5.6756,5.5528,5.6035,1705340,0
1995-02-22,5.6252,5.7047,5.5747,5.6541,1178800,0
1995-02-23,5.6541,5.6756,5.6252,5.6541,751428,0
1995-02-24,5.6756,5.6756,5.6541,5.6541,752671,0
1995-02-27,5.6035,5.7555,5.6035,5.7335,943122,0
