Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.7471,8.7973,8.3896,8.5429,13419724,0
1995-01-04,8.5429,8.8493,8.4407,8.8493,9161770,0
1995-01-05,9.0018,9.1029,8.8493,8.95,11330865,0
1995-01-06,9.0018,9.1029,8.7973,9.0018,10141496,0
1995-01-09,8.95,9.0018,8.8493,8.95,5358620,0
1995-01-10,9.0018,9.0018,8.7973,8.7973,6351993,0
1995-01-11,8.8493,9.0018,8.7973,9.0018,6750333,0
1995-01-12,9.0018,9.0018,8.7471,8.7973,4136313,0
1995-01-13,8.95,9.0018,8.7973,9.0018,6909382,0
1995-01-16,9.0018,9.0524,8.8493,8.8493,6686571,0
1995-01-17,8.7973,8.8996,8.7471,8.7973,7926051,0
1995-01-18,8.7973,8.8493,8.5938,8.6957,6747745,0
1995-01-19,8.6451,8.6957,8.5938,8.6451,4872991,0
1995-01-20,8.6451,8.8493,8.5938,8.6957,10464307,0
1995-01-23,8.5938,8.8996,8.5429,8.7973,7311956,0
1995-01-24,8.8493,8.8996,8.7471,8.8493,4842168,0
1995-01-25,8.8493,9.0018,8.7973,8.8996,8801077,0
1995-01-26,8.95,9.0524,8.8996,8.95,5689667,0
1995-01-27,9.1029,9.2055,9.0524,9.2055,7377367,0
1995-01-30,9.2569,9.3604,9.2055,9.3075,5819076,0
1995-01-31,9.3604,9.513,9.3075,9.3604,10143849,0
1995-02-01,9.4605,9.612,9.3604,9.612,11099579,0
1995-02-02,9.564,9.717,9.4094,9.717,8932133,0
1995-02-03,9.766,9.868,9.717,9.82,10612773,0
1995-02-06,9.868,9.919,9.82,9.868,5064982,0
1995-02-07,9.868,9.919,9.766,9.82,5244742,0
1995-02-08,9.766,9.868,9.717,9.868,7776645,0
1995-02-09,9.868,9.868,9.717,9.766,5150862,0
1995-02-10,9.766,9.82,9.612,9.665,4878641,0
1995-02-13,9.665,9.766,9.612,9.717,4044787,0
1995-02-14,9.766,9.82,9.717,9.766,4026433,0
1995-02-15,9.82,9.868,9.717,9.766,5060984,0
1995-02-16,9.766,9.82,9.766,9.82,4035145,0
1995-02-17,9.766,9.82,9.612,9.665,7795233,0
1995-02-21,9.665,9.766,9.612,9.717,6822796,0
1995-02-22,9.717,9.82,9.717,9.717,4811816,0
1995-02-23,9.766,9.766,9.612,9.717,6288936,0
1995-02-24,9.717,9.717,9.612,9.717,6630335,0
1995-02-27,9.665,9.717,9.513,9.564,4588768,0
1995-02-28,9.665,9.919,9.665,9.717,12493878,0
1995-03-01,9.766,9.972,9.717,9.972,11142165,0
1995-03-02,10.023,10.174,9.972,10.174,10670653,0
1995-03-03,10.126,10.226,10.072,10.226,6928441,0
1995-03-06,10.174,10.174,9.972,9.972,4912992,0
1995-03-07,9.972,10.072,9.919,10.023,4736053,0
1995-03-08,10.072,10.126,9.972,10.023,4538179,0
1995-03-09,9.972,10.023,9.82,9.919,3659154,0
1995-03-10,9.919,10.126,9.766,10.126,7231488,0
1995-03-13,10.126,10.174,10.023,10.126,3457752,0
1995-03-14,10.174,10.226,10.072,10.174,6133181,0
1995-03-15,10.151,10.199,10.098,10.098,7127259,0
