Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,12.719,12.875,12.719,12.798,285137,0
1995-01-04,12.719,12.875,12.719,12.875,307474,0
1995-01-05,12.875,12.875,12.554,12.875,331988,0
1995-01-06,12.875,12.875,12.554,12.875,179056,0
1995-01-09,12.554,12.875,12.396,12.639,102874,0
1995-01-10,12.719,13.197,12.396,13.197,386862,0
1995-01-11,13.197,13.197,12.875,13.042,172525,0
1995-01-12,13.042,13.042,12.719,12.875,113182,0
1995-01-13,12.875,13.042,12.719,13.042,617928,0
1995-01-16,13.042,13.042,12.719,12.719,72975,0
1995-01-17,13.042,13.197,12.719,13.197,201503,0
1995-01-18,12.875,13.197,12.875,12.875,294641,0
1995-01-19,12.875,13.365,12.875,13.365,383883,0
1995-01-20,13.365,13.365,13.042,13.121,257185,0
1995-01-23,13.197,13.523,12.964,13.523,239657,0
1995-01-24,13.365,13.687,13.365,13.687,237019,0
1995-01-25,13.523,14.002,13.523,13.922,160839,0
1995-01-26,13.843,13.843,13.523,13.523,140677,0
1995-01-27,13.687,14.002,13.197,13.197,155686,0
1995-01-30,13.365,13.523,12.964,12.964,158089,0
1995-01-31,13.121,13.121,12.719,12.875,79272,0
1995-02-01,12.719,12.875,12.238,12.238,294300,0
1995-02-02,12.472,12.554,12.238,12.472,221556,0
1995-02-03,12.554,12.719,12.396,12.719,155227,0
1995-02-06,12.472,12.719,12.472,12.554,89584,0
1995-02-07,12.719,12.719,12.396,12.396,133462,0
1995-02-08,12.639,12.639,12.074,12.396,253515,0
1995-02-09,12.396,12.396,12.074,12.238,190855,0
1995-02-10,12.396,12.396,12.074,12.396,219837,0
1995-02-13,12.074,12.472,12.074,12.472,327867,0
1995-02-14,12.317,12.554,12.317,12.472,324890,0
1995-02-15,12.554,12.798,12.472,12.798,193605,0
1995-02-16,12.798,12.875,12.639,12.875,463274,0
1995-02-17,12.875,12.875,12.719,12.719,208498,0
1995-02-21,12.798,12.798,12.554,12.719,141594,0
1995-02-22,12.719,12.719,12.554,12.639,94052,0
1995-02-23,12.554,12.875,12.554,12.875,643131,0
1995-02-24,12.719,12.964,12.719,12.798,159579,0
1995-02-27,12.798,12.964,12.719,12.798,272304,0
1995-02-28,12.719,12.964,12.719,12.964,127045,0
1995-03-01,12.964,13.042,12.719,12.719,174247,0
1995-03-02,12.719,12.875,12.719,12.719,118682,0
1995-03-03,12.719,12.875,12.719,12.798,150530,0
1995-03-06,12.782,12.866,12.782,12.866,54758,0
1995-03-07,12.782,12.866,12.782,12.782,268068,0
1995-03-08,12.866,13.024,12.782,13.024,160727,0
1995-03-09,13.024,13.102,12.945,13.102,112842,0
1995-03-10,12.945,13.591,12.945,13.591,142168,0
1995-03-13,13.591,13.591,13.346,13.346,175158,0
1995-03-14,13.346,13.591,13.346,13.424,172297,0
1995-03-15,13.424,13.751,13.424,13.514,236561,0
1995-03-16,13.514,13.591,13.346,13.47,132655,0
1995-03-17,13.668,13.668,13.424,13.591,154883,0
1995-03-20,13.514,13.591,13.346,13.346,236791,0
1995-03-21,13.346,13.424,13.226,13.27,109748,0
1995-03-22,13.27,13.27,12.866,12.866,268410,0
1995-03-23,12.866,13.024,12.782,12.945,654587,0
1995-03-24,13.024,13.024,12.866,12.945,849908,0
1995-03-27,12.945,12.945,12.622,12.782,204029,0
1995-03-28,12.535,12.782,12.456,12.701,419053,0
1995-03-29,12.701,12.866,12.622,12.701,205631,0
1995-03-30,12.866,12.866,12.535,12.866,345509,0
1995-03-31,12.866,12.945,12.782,12.866,192003,0
1995-04-03,12.782,12.866,12.782,12.866,83969,0
1995-04-04,12.822,12.866,12.782,12.782,123608,0
1995-04-05,12.866,12.945,12.782,12.945,171952,0
1995-04-06,12.782,12.945,12.782,12.782,106082,0
1995-04-07,12.782,12.866,12.782,12.866,79503,0
1995-04-10,12.782,12.945,12.782,12.945,113302,0
1995-04-11,12.866,12.945,12.782,12.782,263941,0
1995-04-12,12.782,12.945,12.782,12.945,104820,0
1995-04-13,12.945,12.945,12.782,12.782,110436,0
1995-04-17,12.866,12.866,12.782,12.782,211478,0
1995-04-18,12.822,12.866,12.701,12.701,251798,0
1995-04-19,12.866,12.866,12.622,12.701,337833,0
1995-04-20,12.622,12.701,12.622,12.622,205631,0
1995-04-21,12.701,12.782,12.535,12.701,161759,0
1995-04-24,12.701,12.701,12.535,12.535,89357,0
1995-04-25,12.535,12.622,12.3,12.377,116962,0
1995-04-26,12.3,12.377,11.811,12.056,1002499,0
1995-04-27,12.056,12.056,11.732,11.732,340010,0
1995-04-28,11.732,12.211,11.732,12.211,849453,0
1995-05-01,12.3,12.3,12.056,12.211,199906,0
1995-05-02,12.056,12.3,12.056,12.133,185241,0
1995-05-03,12.177,12.3,12.133,12.211,296936,0
1995-05-04,12.211,12.701,12.133,12.456,292352,0
1995-05-05,12.622,12.622,12.3,12.3,78360,0
1995-05-08,12.3,12.535,12.211,12.456,317783,0
1995-05-09,12.456,12.456,12.211,12.377,541635,0
1995-05-10,12.377,13.024,12.3,12.945,749441,0
1995-05-11,12.945,13.27,12.782,13.102,420544,0
1995-05-12,13.102,13.514,12.945,13.514,317901,0
1995-05-15,13.514,13.915,13.346,13.751,236334,0
1995-05-16,13.834,14.483,13.751,14.237,466594,0
1995-05-17,14.159,14.237,13.915,14.08,104936,0
1995-05-18,13.915,14.08,13.834,13.915,158208,0
1995-05-19,13.834,14.237,13.751,14.08,271160,0
1995-05-22,14.08,14.403,14.08,14.403,179169,0
1995-05-23,14.237,14.483,14.159,14.319,599253,0
1995-05-24,14.319,14.319,13.751,13.751,134493,0
1995-05-25,13.751,13.834,13.424,13.668,204600,0
1995-05-26,13.591,13.668,13.27,13.514,134605,0
1995-05-30,13.346,13.424,13.19,13.27,141482,0
1995-05-31,13.27,13.514,12.945,13.514,294641,0
1995-06-01,13.424,13.514,13.024,13.024,189483,0
1995-06-02,13.102,13.102,12.701,12.701,154312,0
1995-06-05,12.866,13.591,12.701,13.591,410117,0
1995-06-06,13.591,13.751,13.346,13.751,256383,0
1995-06-07,13.668,13.751,13.591,13.591,86378,0
1995-06-08,13.66,13.984,13.66,13.906,84429,0
1995-06-09,13.741,13.906,13.415,13.505,146748,0
1995-06-12,13.415,13.741,13.415,13.741,198416,0
1995-06-13,13.741,14.319,13.581,14.319,297623,0
1995-06-14,14.151,15.127,14.151,14.963,670391,0
1995-06-15,14.963,15.127,14.561,15.05,802595,0
1995-06-16,15.05,15.127,14.474,14.561,836161,0
1995-06-19,14.638,14.638,14.474,14.561,307705,0
1995-06-20,14.474,14.561,13.824,13.984,326836,0
1995-06-21,13.824,13.984,13.505,13.505,209183,0
1995-06-22,13.66,13.66,13.093,13.262,329924,0
1995-06-23,13.093,13.262,12.929,13.093,518721,0
1995-06-26,13.014,13.581,13.014,13.415,527656,0
1995-06-27,13.415,13.581,13.415,13.415,296592,0
1995-06-28,13.581,13.581,13.338,13.338,436125,0
1995-06-29,13.505,13.505,13.262,13.338,163475,0
1995-06-30,13.505,13.505,13.262,13.296,136441,0
1995-07-03,13.262,13.338,13.262,13.262,182263,0
1995-07-05,13.338,13.338,13.262,13.262,247447,0
1995-07-06,13.338,13.505,13.262,13.505,349175,0
1995-07-07,13.505,14.393,13.415,14.393,703501,0
1995-07-10,14.228,14.561,14.228,14.393,285707,0
1995-07-11,14.319,14.474,13.824,13.824,258327,0
1995-07-12,13.824,14.228,13.824,14.192,412754,0
1995-07-13,14.151,14.638,13.984,14.561,295561,0
1995-07-14,14.474,14.638,14.393,14.638,88324,0
1995-07-17,14.638,14.638,14.393,14.561,74462,0
1995-07-18,14.393,14.474,13.66,13.66,215714,0
1995-07-19,13.505,13.66,13.338,13.338,364294,0
1995-07-20,13.338,13.581,13.338,13.539,228432,0
1995-07-21,13.505,13.741,13.338,13.338,261423,0
1995-07-24,13.415,13.824,13.338,13.706,149384,0
1995-07-25,13.66,14.151,13.66,14.072,541971,0
1995-07-26,14.072,14.228,13.906,13.984,424671,0
1995-07-27,14.151,14.319,13.984,14.319,147551,0
1995-07-28,14.319,14.319,14.072,14.151,96916,0
1995-07-31,14.151,14.151,13.581,13.581,346198,0
1995-08-01,13.66,13.66,13.171,13.338,279863,0
1995-08-02,13.415,13.505,13.262,13.262,152251,0
1995-08-03,13.338,13.338,13.171,13.262,171152,0
1995-08-04,13.338,13.338,13.014,13.171,178138,0
1995-08-07,13.171,13.171,13.014,13.049,129449,0
1995-08-08,13.014,13.262,13.014,13.262,543579,0
1995-08-09,13.171,13.262,13.093,13.138,72745,0
1995-08-10,13.171,13.171,12.929,12.929,339778,0
1995-08-11,13.014,13.093,12.929,13.093,389955,0
1995-08-14,13.093,13.262,12.929,13.093,376900,0
1995-08-15,13.093,13.093,12.849,12.892,392591,0
1995-08-16,13.014,13.014,12.849,13.014,290289,0
1995-08-17,12.849,13.014,12.849,12.892,152251,0
1995-08-18,13.014,13.171,13.014,13.014,182722,0
1995-08-21,13.014,13.338,13.014,13.138,185583,0
1995-08-22,13.093,13.415,13.093,13.338,767883,0
1995-08-23,13.171,13.338,13.014,13.171,330158,0
1995-08-24,13.163,13.253,12.92,12.92,291091,0
1995-08-25,12.92,12.998,12.597,12.597,285478,0
1995-08-28,12.754,12.839,12.509,12.597,287655,0
1995-08-29,12.597,12.839,12.509,12.839,417338,0
1995-08-30,12.839,13.163,12.754,13.163,190396,0
1995-08-31,13.084,13.253,13.084,13.084,339778,0
1995-09-01,13.163,13.163,13.084,13.163,123150,0
1995-09-05,13.253,13.253,13.084,13.163,187072,0
1995-09-06,13.084,13.163,13.084,13.163,464649,0
1995-09-07,13.084,13.253,13.084,13.121,239540,0
1995-09-08,13.084,13.163,13.042,13.163,455485,0
1995-09-11,13.084,13.207,12.998,13.084,876715,0
1995-09-12,13.084,13.163,12.92,12.964,566604,0
1995-09-13,12.92,12.998,12.92,12.92,195435,0
1995-09-14,12.92,12.998,12.839,12.92,309537,0
1995-09-15,12.839,12.92,12.754,12.754,336458,0
1995-09-18,12.92,12.92,12.597,12.675,216171,0
1995-09-19,12.675,12.675,12.597,12.631,289601,0
1995-09-20,12.597,12.998,12.597,12.964,937201,0
1995-09-21,12.92,12.998,12.597,12.597,358797,0
1995-09-22,12.675,12.92,12.597,12.813,217202,0
1995-09-25,12.92,12.92,12.509,12.597,274137,0
1995-09-26,12.675,12.675,12.43,12.43,835474,0
1995-09-27,12.472,12.509,12.265,12.43,735235,0
1995-09-28,12.342,12.509,12.186,12.509,288571,0
1995-09-29,12.509,12.509,12.02,12.02,433832,0
1995-10-02,12.02,12.186,11.942,12.02,851400,0
1995-10-03,12.1,12.1,11.855,12.1,662607,0
1995-10-04,11.942,12.1,11.942,12.02,183179,0
1995-10-05,12.02,12.02,11.775,11.855,288687,0
1995-10-06,11.775,12.02,11.775,11.942,613001,0
1995-10-09,12.02,12.02,11.855,11.855,272537,0
1995-10-10,11.942,11.942,11.696,11.775,213763,0
1995-10-11,11.942,11.942,11.531,11.855,357309,0
1995-10-12,11.855,12.186,11.775,12.186,456516,0
1995-10-13,12.186,12.186,11.942,11.942,141482,0
1995-10-16,12.1,12.1,11.855,11.855,120400,0
1995-10-17,11.942,11.942,11.775,11.942,421346,0
1995-10-18,11.942,12.02,11.775,11.819,280095,0
1995-10-19,11.775,11.942,11.696,11.775,316063,0
1995-10-20,11.855,11.855,11.611,11.775,552285,0
1995-10-23,11.775,11.775,11.611,11.775,252258,0
1995-10-24,11.775,11.775,11.611,11.775,252599,0
1995-10-25,11.775,11.775,11.365,11.365,365671,0
1995-10-26,11.531,11.531,11.042,11.163,225678,0
1995-10-27,11.2,11.2,10.955,11.2,207351,0
1995-10-30,11.286,11.286,11.12,11.163,390987,0
1995-10-31,11.2,11.2,10.877,10.877,491682,0
1995-11-01,10.955,11.042,10.877,11.042,215372,0
1995-11-02,11.042,11.286,10.955,11.2,788619,0
1995-11-03,11.286,11.286,11.042,11.286,166799,0
1995-11-06,11.2,11.2,11.042,11.12,278263,0
1995-11-07,11.2,11.2,11.042,11.042,353299,0
1995-11-08,11.2,11.286,11.042,11.286,325342,0
1995-11-09,11.042,11.286,11.042,11.2,579322,0
1995-11-10,11.042,11.2,11.042,11.12,308848,0
1995-11-13,11.286,11.286,11.12,11.2,516773,0
1995-11-14,11.2,11.365,11.12,11.12,1394749,0
1995-11-15,11.286,11.286,10.877,11.042,555952,0
1995-11-16,11.12,11.2,10.955,11.12,426729,0
1995-11-17,11.2,11.365,11.12,11.2,402673,0
1995-11-20,11.286,11.286,11.12,11.12,523189,0
1995-11-21,11.2,11.445,11.12,11.445,1040875,0
1995-11-22,11.445,11.855,11.286,11.696,919559,0
1995-11-24,11.819,12.02,11.819,12.02,271160,0
1995-11-27,12.02,12.186,11.942,12.1,578747,0
1995-11-28,12.1,12.186,12.02,12.186,553659,0
1995-11-29,12.186,12.186,12.1,12.186,700523,0
1995-11-30,12.186,13.163,12.1,12.839,1270107,0
1995-12-01,12.998,13.984,12.839,13.653,718968,0
1995-12-04,13.809,13.809,13.068,13.068,470490,0
1995-12-05,13.319,13.319,13.068,13.155,281583,0
1995-12-06,13.155,13.397,13.068,13.319,253748,0
1995-12-07,13.397,13.397,13.068,13.155,144574,0
1995-12-08,13.234,13.319,13.068,13.319,139300,0
1995-12-11,13.319,13.319,12.822,12.822,279406,0
1995-12-12,12.99,12.99,12.744,12.744,82483,0
1995-12-13,12.744,12.822,12.49,12.579,279522,0
1995-12-14,12.49,12.579,12.168,12.335,392705,0
1995-12-15,12.413,12.822,12.413,12.744,577375,0
1995-12-18,12.657,12.744,12.413,12.49,254550,0
1995-12-19,12.579,12.579,12.335,12.49,220181,0
1995-12-20,12.579,12.579,12.335,12.335,195435,0
1995-12-21,12.49,12.579,12.335,12.579,365900,0
1995-12-22,12.579,12.579,12.413,12.535,206892,0
1995-12-26,12.413,12.579,12.413,12.579,100123,0
1995-12-27,12.413,12.99,12.413,12.822,218691,0
1995-12-28,12.822,13.319,12.744,13.155,270132,0
1995-12-29,13.319,14.053,13.155,13.687,886452,0
1996-01-02,13.564,13.644,13.48,13.644,273682,0
1996-01-03,13.644,13.889,13.564,13.644,297167,0
1996-01-04,13.975,14.384,13.889,13.975,632707,0
1996-01-05,14.053,14.141,13.809,14.141,198644,0
1996-01-08,13.975,14.176,13.975,14.176,58424,0
1996-01-09,14.219,14.219,13.687,13.732,184093,0
1996-01-10,13.732,13.732,13.319,13.48,494893,0
1996-01-11,13.48,13.48,13.068,13.319,414929,0
1996-01-12,13.155,13.319,13.068,13.234,142050,0
1996-01-15,13.234,13.234,12.99,12.99,173899,0
1996-01-16,13.155,13.155,12.49,12.657,290978,0
1996-01-17,12.744,13.48,12.579,13.397,598224,0
1996-01-18,13.319,13.564,13.234,13.397,331532,0
1996-01-19,13.234,13.319,13.068,13.155,227512,0
1996-01-22,13.319,13.48,13.155,13.48,208724,0
1996-01-23,13.319,13.599,13.319,13.397,154883,0
1996-01-24,13.644,13.889,13.397,13.809,771090,0
1996-01-25,13.644,13.889,13.599,13.732,160839,0
1996-01-26,13.889,13.889,13.644,13.889,92793,0
1996-01-29,13.889,14.053,13.732,13.809,197842,0
1996-01-30,13.975,14.219,13.48,14.053,296936,0
1996-01-31,14.219,14.219,13.644,13.809,162329,0
1996-02-01,13.644,13.809,13.48,13.644,459266,0
1996-02-02,13.644,13.644,13.397,13.397,163935,0
1996-02-05,13.564,13.644,13.397,13.48,666840,0
1996-02-06,13.564,13.809,13.564,13.644,230147,0
1996-02-07,13.809,13.809,13.397,13.48,339778,0
1996-02-08,13.48,13.975,13.48,13.889,345393,0
1996-02-09,13.889,13.889,13.732,13.732,884046,0
1996-02-12,13.732,13.975,13.732,13.932,653443,0
1996-02-13,13.809,14.141,13.809,13.889,526167,0
1996-02-14,13.975,13.975,13.809,13.975,259361,0
1996-02-15,13.809,13.975,13.809,13.975,373118,0
1996-02-16,13.809,13.975,13.809,13.975,328556,0
1996-02-20,13.809,13.975,13.809,13.975,684487,0
1996-02-21,13.809,14.053,13.809,14.053,180314,0
1996-02-22,14.141,14.219,13.889,14.219,578292,0
1996-02-23,14.219,14.384,14.141,14.219,146748,0
1996-02-26,14.384,14.464,14.219,14.31,151559,0
1996-02-27,14.464,14.552,14.31,14.384,251227,0
1996-02-28,14.464,14.552,14.31,14.464,123608,0
1996-02-29,14.464,14.464,14.141,14.141,140677,0
