Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.503,8.816,8.4187,8.816,1287343,0
1995-01-04,8.7581,8.816,8.6182,8.6182,928125,0
1995-01-05,8.6741,8.8465,8.5598,8.7863,2122008,0
1995-01-06,8.816,9.0705,8.7863,8.9568,1752594,0
1995-01-09,8.9016,9.183,8.9016,9.183,2876466,0
1995-01-10,9.2138,9.3545,9.0974,9.127,1821239,0
1995-01-11,9.183,9.2422,8.9568,9.183,1875278,0
1995-01-12,9.2138,9.2675,9.1569,9.2675,1191505,0
1995-01-13,9.2976,9.4094,9.2138,9.2976,1781820,0
1995-01-16,9.2976,9.329,9.1569,9.183,1383520,0
1995-01-17,9.2422,9.2422,8.9861,9.0705,2023795,0
1995-01-18,9.183,9.2138,8.9861,9.0705,3364828,0
1995-01-19,9.0165,9.0974,8.9568,8.9568,1387256,0
1995-01-20,8.9568,8.9861,8.816,8.9568,2291932,0
1995-01-23,8.94,9.0279,8.8821,8.9139,1742397,0
1995-01-24,8.9692,9.0279,8.8821,8.8821,1227529,0
1995-01-25,8.9139,9.0541,8.9139,9.0279,1206118,0
1995-01-26,9.082,9.1665,8.94,8.94,1713511,0
1995-01-27,8.9692,8.9975,8.7983,8.7983,1372983,0
1995-01-30,8.8287,8.8527,8.6527,8.7132,1811044,0
1995-01-31,8.6832,8.7132,8.5992,8.6527,2493118,0
1995-02-01,8.6273,8.8821,8.6273,8.8821,1801872,0
1995-02-02,8.8287,9.082,8.7983,8.9975,1289382,0
1995-02-03,9.0279,9.1402,8.9692,9.0279,1579609,0
1995-02-06,9.0541,9.1127,8.9975,9.082,1906204,0
1995-02-07,9.1127,9.1127,8.94,9.0279,1442652,0
1995-02-08,8.9975,9.1665,8.9139,9.1402,2538317,0
1995-02-09,9.1402,9.1402,9.0541,9.0541,1528636,0
1995-02-10,9.082,9.1127,9.0541,9.082,920985,0
1995-02-13,9.1127,9.3682,9.1127,9.3141,2708922,0
1995-02-14,9.3388,9.3977,9.2539,9.3141,2777235,0
1995-02-15,9.2539,9.514,9.2291,9.3977,3287003,0
1995-02-16,9.4262,9.514,9.2291,9.514,1383180,0
1995-02-17,9.514,9.514,9.3141,9.3388,1521158,0
1995-02-21,9.3682,9.4817,9.284,9.4262,1695836,0
1995-02-22,9.3682,9.568,9.3682,9.568,1509943,0
1995-02-23,9.598,9.684,9.4817,9.514,1941210,0
1995-02-24,9.514,9.715,9.4817,9.684,2957353,0
1995-02-27,9.653,9.738,9.4817,9.514,2081230,0
1995-02-28,9.514,9.514,9.284,9.3141,1321326,0
1995-03-01,9.2539,9.3141,8.9139,9.0279,3665593,0
1995-03-02,9.0541,9.082,8.94,8.9692,2241970,0
1995-03-03,8.9139,9.0279,8.8527,8.8527,1518778,0
1995-03-06,8.74,8.94,8.7132,8.9139,1131013,0
1995-03-07,8.9139,8.9139,8.7132,8.7682,1575871,0
1995-03-08,8.7682,8.94,8.74,8.8287,2268479,0
1995-03-09,8.8821,8.9692,8.8527,8.9139,922004,0
1995-03-10,8.9692,9.082,8.9692,9.082,1597621,0
1995-03-13,9.082,9.082,8.8287,8.8821,1807987,0
1995-03-14,8.9975,8.9975,8.74,8.9139,3558201,0
1995-03-15,8.8527,8.8527,8.6273,8.6832,2484964,0
1995-03-16,8.5992,8.6273,8.4274,8.5118,4230760,0
1995-03-17,8.5417,8.5687,8.4541,8.5118,3573837,0
1995-03-20,8.5687,8.6273,8.4541,8.5118,1669673,0
1995-03-21,8.4844,8.6273,8.4844,8.5992,2327615,0
1995-03-22,8.5687,8.7132,8.5118,8.6273,1397113,0
1995-03-23,8.6527,8.74,8.5992,8.74,1294818,0
1995-03-24,8.7132,8.8527,8.6832,8.7682,1531354,0
1995-03-27,8.7682,8.7682,8.5687,8.5992,1960580,0
1995-03-28,8.6273,8.74,8.5992,8.74,2778252,0
1995-03-29,8.6832,8.94,8.6273,8.9139,2221246,0
1995-03-30,8.9692,9.1402,8.8821,9.0279,2210026,0
1995-03-31,8.9692,9.0541,8.8527,8.8821,1387937,0
1995-04-03,8.9139,9.0279,8.7983,9.0279,1517081,0
1995-04-04,9.0279,9.1665,9.0279,9.1665,1737298,0
1995-04-05,9.1665,9.1983,9.082,9.1402,1314531,0
1995-04-06,9.1665,9.2291,8.9692,9.0279,2413591,0
1995-04-07,9.0541,9.082,8.9975,9.082,1987089,0
1995-04-10,9.082,9.2291,9.0541,9.1402,1472562,0
1995-04-11,9.2539,9.284,9.0541,9.082,1621409,0
1995-04-12,9.1127,9.1983,9.0541,9.1983,1461004,0
1995-04-13,9.1983,9.2539,9.082,9.1127,918610,0
1995-04-17,9.1665,9.1983,8.7132,8.7132,2501955,0
1995-04-18,8.6832,8.8287,8.5687,8.7682,4259306,0
1995-04-19,8.8287,8.9975,8.74,8.8821,1464401,0
1995-04-20,8.8821,9.1665,8.7682,8.9139,3201022,0
1995-04-21,9.0279,9.1983,8.9975,9.1983,2371453,0
1995-04-24,9.1983,9.2291,9.1127,9.2291,1401193,0
1995-04-25,9.1665,9.3141,9.1665,9.3141,2216143,0
1995-04-26,9.568,9.626,9.568,9.598,105012,0
1995-04-27,9.3977,9.4817,9.3682,9.4817,1920136,0
1995-04-28,9.4817,9.684,9.4817,9.598,3034837,0
1995-05-01,9.547,9.721,9.516,9.721,1552426,0
1995-05-02,9.689,9.689,9.605,9.632,1917418,0
1995-05-03,9.632,9.721,9.632,9.689,1969074,0
1995-05-04,9.689,9.721,9.632,9.689,2080548,0
1995-05-05,9.747,9.747,9.4599,9.547,2207987,0
1995-05-08,9.516,9.776,9.516,9.776,3636709,0
1995-05-09,9.747,9.923,9.747,9.923,2933903,0
1995-05-10,9.893,9.949,9.747,9.893,1850469,0
1995-05-11,9.893,9.923,9.833,9.893,1233304,0
1995-05-12,9.863,10.064,9.863,10.038,2467972,0
1995-05-15,10.093,10.093,10.007,10.093,1962961,0
1995-05-16,10.093,10.209,10.093,10.093,2118951,0
1995-05-17,10.152,10.18,10.064,10.093,2945117,0
1995-05-18,10.122,10.152,9.806,9.806,2010195,0
1995-05-19,9.863,9.978,9.806,9.863,2650469,0
1995-05-22,9.833,10.007,9.806,9.923,1228207,0
1995-05-23,9.978,9.978,9.863,9.949,1248598,0
1995-05-24,9.893,10.209,9.893,10.209,2749023,0
1995-05-25,10.18,10.209,10.038,10.122,2818694,0
1995-05-26,10.064,10.122,10.007,10.093,1808328,0
1995-05-30,10.093,10.152,10.093,10.122,1397453,0
1995-05-31,10.122,10.18,10.093,10.122,1916741,0
1995-06-01,10.122,10.122,10.064,10.064,1301277,0
1995-06-02,9.978,10.007,9.893,9.923,1775363,0
1995-06-05,9.949,10.354,9.923,10.299,2117588,0
1995-06-06,10.354,10.382,10.299,10.354,1313172,0
1995-06-07,10.324,10.411,10.324,10.382,1377063,0
1995-06-08,10.324,10.525,10.324,10.498,1450132,0
1995-06-09,10.411,10.411,10.237,10.324,3001869,0
1995-06-12,10.439,10.554,10.439,10.525,2215122,0
1995-06-13,10.525,10.814,10.498,10.759,3250978,0
1995-06-14,10.671,10.699,10.498,10.554,2043841,0
1995-06-15,10.382,10.382,10.209,10.301,2563128,0
1995-06-16,10.237,10.267,10.18,10.237,3035179,0
1995-06-19,10.209,10.267,10.122,10.18,1988789,0
1995-06-20,10.209,10.267,10.122,10.267,1391334,0
1995-06-21,10.237,10.267,10.18,10.267,1262534,0
1995-06-22,10.324,10.759,10.299,10.759,3126597,0
1995-06-23,10.671,10.729,10.585,10.642,1870182,0
1995-06-26,10.671,10.729,10.642,10.729,1209856,0
1995-06-27,10.642,10.699,10.498,10.498,1744435,0
1995-06-28,10.498,10.614,10.439,10.614,1159559,0
1995-06-29,10.554,10.614,10.469,10.525,1139850,0
1995-06-30,10.554,10.933,10.554,10.873,2127445,0
1995-07-03,10.9,10.933,10.842,10.933,873407,0
1995-07-05,10.842,11.046,10.814,11.018,1736619,0
1995-07-06,10.956,11.248,10.956,11.191,2570944,0
1995-07-07,11.191,11.509,11.191,11.191,2580461,0
1995-07-10,11.248,11.625,11.248,11.534,3619036,0
1995-07-11,11.449,11.509,11.132,11.16,4217844,0
1995-07-12,11.16,11.477,11.018,11.477,2301105,0
1995-07-13,11.365,11.477,11.219,11.305,1254715,0
1995-07-14,11.248,11.275,10.987,11.076,1249623,0
1995-07-17,11.018,11.16,10.814,11.16,1335599,0
1995-07-18,11.132,11.16,10.873,10.933,1106204,0
1995-07-19,10.873,11.018,10.498,10.729,1434835,0
1995-07-20,10.729,11.076,10.729,11.046,1354293,0
1995-07-21,11.046,11.046,10.699,10.786,2944436,0
1995-07-24,10.842,10.956,10.729,10.842,925063,0
1995-07-25,10.873,10.987,10.759,10.873,1646901,0
1995-07-26,10.966,10.993,10.849,10.939,1227869,0
1995-07-27,10.993,11.141,10.966,11.141,2120647,0
1995-07-28,11.141,11.169,10.966,10.993,1153100,0
1995-07-31,11.024,11.052,10.878,10.878,1077997,0
1995-08-01,10.878,11.052,10.705,10.878,1781483,0
1995-08-02,10.993,11.08,10.789,10.789,1294478,0
1995-08-03,10.789,10.966,10.733,10.939,1272050,0
1995-08-04,10.939,10.966,10.733,10.907,1170775,0
1995-08-07,10.907,11.314,10.907,11.256,1567374,0
1995-08-08,11.345,11.345,11.169,11.229,1103827,0
1995-08-09,11.199,11.229,11.024,11.08,1004588,0
1995-08-10,11.111,11.111,10.705,10.762,1039253,0
1995-08-11,10.789,10.878,10.528,10.557,1913680,0
1995-08-14,10.557,10.789,10.557,10.705,982500,0
1995-08-15,10.645,10.676,10.415,10.557,1536109,0
1995-08-16,10.498,10.819,10.442,10.733,1492269,0
1995-08-17,10.762,10.819,10.705,10.762,769757,0
1995-08-18,10.819,10.907,10.789,10.819,1407649,0
1995-08-21,10.762,11.052,10.645,10.705,968905,0
1995-08-22,10.733,10.849,10.705,10.819,547151,0
1995-08-23,10.789,10.789,10.472,10.472,1413085,0
1995-08-24,10.472,10.618,10.472,10.528,1130674,0
1995-08-25,10.557,10.733,10.557,10.705,1044351,0
1995-08-28,10.705,10.819,10.705,10.762,1136108,0
1995-08-29,10.819,10.878,10.733,10.789,921667,0
1995-08-30,10.762,10.819,10.733,10.733,815292,0
1995-08-31,10.762,10.789,10.705,10.705,745287,0
1995-09-01,10.733,10.762,10.705,10.733,910789,0
1995-09-05,10.789,11.08,10.789,11.052,2261345,0
1995-09-06,11.052,11.111,10.966,11.052,1163637,0
1995-09-07,11.08,11.111,10.993,11.08,764658,0
1995-09-08,11.08,11.199,11.052,11.169,1464063,0
1995-09-11,11.199,11.199,11.111,11.141,844184,0
1995-09-12,11.169,11.169,11.08,11.141,1101444,0
1995-09-13,11.08,11.08,10.993,10.993,911808,0
1995-09-14,11.111,11.111,10.993,11.111,1137810,0
1995-09-15,11.169,11.169,10.966,11.052,1543927,0
1995-09-18,10.993,10.993,10.819,10.819,1199999,0
1995-09-19,10.819,10.849,10.588,10.789,1631947,0
1995-09-20,10.733,10.907,10.733,10.819,718438,0
1995-09-21,10.819,10.819,10.588,10.645,810196,0
1995-09-22,10.588,10.676,10.528,10.557,1079693,0
1995-09-25,10.557,10.676,10.528,10.618,816995,0
1995-09-26,10.733,10.819,10.645,10.676,1534753,0
1995-09-27,10.676,10.705,10.498,10.588,1118778,0
1995-09-28,10.588,10.676,10.557,10.557,1401528,0
1995-09-29,10.588,10.789,10.588,10.618,1843674,0
1995-10-02,10.645,10.762,10.618,10.705,937979,0
1995-10-03,10.705,10.733,10.528,10.588,2404761,0
1995-10-04,10.618,10.645,10.498,10.498,1405271,0
1995-10-05,10.498,10.789,10.498,10.733,1433813,0
1995-10-06,10.705,10.762,10.588,10.588,871029,0
1995-10-09,10.588,10.588,10.415,10.415,1335262,0
1995-10-10,10.415,10.849,10.383,10.789,1888190,0
1995-10-11,10.762,10.819,10.618,10.676,1144942,0
1995-10-12,10.676,10.762,10.645,10.733,1033476,0
1995-10-13,10.789,11.169,10.762,11.08,1450807,0
1995-10-16,11.111,11.169,11.052,11.052,876806,0
1995-10-17,11.052,11.052,10.907,10.939,790484,0
1995-10-18,10.907,11.111,10.907,11.08,730330,0
1995-10-19,11.08,11.08,10.789,10.907,1494649,0
1995-10-20,10.907,10.993,10.849,10.878,1263213,0
1995-10-23,10.762,10.789,10.705,10.705,775872,0
1995-10-24,10.676,10.705,10.588,10.676,2895841,0
1995-10-25,10.71,10.797,10.652,10.681,1874597,0
1995-10-26,10.681,10.71,10.505,10.505,3962281,0
1995-10-27,10.475,10.652,10.387,10.534,3244863,0
1995-10-30,10.593,10.607,10.475,10.505,1044014,0
1995-10-31,10.505,10.624,10.358,10.358,1848769,0
1995-11-01,10.358,10.446,10.358,10.418,3910622,0
1995-11-02,10.446,10.505,10.241,10.418,1264229,0
1995-11-03,10.446,10.534,10.418,10.475,1110621,0
1995-11-06,10.446,10.475,10.327,10.358,728293,0
1995-11-07,10.358,10.652,10.358,10.505,2563471,0
1995-11-08,10.534,10.564,10.475,10.564,1552426,0
1995-11-09,10.564,10.593,10.327,10.387,1954462,0
1995-11-10,10.301,10.418,10.301,10.327,650129,0
1995-11-13,10.327,10.475,10.27,10.418,1180291,0
1995-11-14,10.358,10.387,10.27,10.301,1382837,0
1995-11-15,10.18,10.475,10.004,10.475,4430932,0
1995-11-16,10.418,10.418,10.18,10.301,2221585,0
1995-11-17,10.209,10.327,10.18,10.27,2054716,0
1995-11-20,10.241,10.327,10.122,10.18,2672558,0
1995-11-21,10.093,10.18,10.035,10.093,3185389,0
1995-11-22,10.062,10.301,9.945,10.27,6298388,0
1995-11-24,10.241,10.27,10.152,10.18,1270350,0
1995-11-27,10.18,10.475,10.122,10.418,2729655,0
1995-11-28,10.418,10.475,10.152,10.418,2860498,0
1995-11-29,10.564,10.624,10.505,10.534,1506883,0
1995-11-30,10.534,10.652,10.418,10.624,1636021,0
1995-12-01,10.652,10.739,10.475,10.593,956670,0
1995-12-04,10.593,10.652,10.418,10.446,718097,0
1995-12-05,10.241,10.534,10.241,10.534,2034327,0
1995-12-06,10.564,10.71,10.27,10.327,1446390,0
1995-12-07,10.241,10.27,10.152,10.241,2476130,0
1995-12-08,10.27,10.27,9.975,10.152,1532372,0
1995-12-11,10.093,10.152,9.975,10.035,1877317,0
1995-12-12,9.975,10.062,9.83,9.86,2169585,0
1995-12-13,9.86,9.945,9.595,9.684,3060664,0
1995-12-14,9.626,9.889,9.626,9.889,3910963,0
1995-12-15,9.889,9.945,9.83,9.916,3607821,0
1995-12-18,9.772,9.889,9.715,9.772,2787089,0
1995-12-19,9.83,10.062,9.772,10.004,2575363,0
1995-12-20,10.004,10.122,9.889,9.889,1901106,0
1995-12-21,9.916,9.945,9.803,9.889,2349706,0
1995-12-22,9.889,9.916,9.83,9.889,1757350,0
1995-12-26,9.83,10.062,9.83,10.062,1127951,0
1995-12-27,10.062,10.18,9.916,10.152,1038573,0
1995-12-28,10.035,10.18,10.035,10.122,1309430,0
1995-12-29,10.093,10.152,10.062,10.152,1009006,0
1996-01-02,10.122,10.652,10.122,10.652,1660494,0
1996-01-03,10.534,10.564,10.446,10.475,2867972,0
1996-01-04,10.446,10.534,10.241,10.301,2442142,0
1996-01-05,10.27,10.327,10.004,10.122,2131865,0
1996-01-08,10.093,10.18,10.035,10.062,929482,0
1996-01-09,10.062,10.122,9.772,9.913,2836704,0
1996-01-10,10.004,10.093,9.945,9.945,1862021,0
1996-01-11,10.004,10.18,10.004,10.18,3725409,0
1996-01-12,10.18,10.27,10.004,10.004,2190655,0
1996-01-15,9.889,9.945,9.742,9.742,2508752,0
1996-01-16,9.4758,9.684,9.3741,9.653,4857779,0
1996-01-17,9.507,9.715,9.507,9.715,1975873,0
1996-01-18,9.684,9.684,9.45,9.538,1425320,0
1996-01-19,9.4758,9.742,9.4193,9.653,2877150,0
1996-01-22,9.889,10.152,9.86,10.004,1890230,0
1996-01-23,9.99,9.99,9.684,9.742,1816824,0
1996-01-24,9.684,9.742,9.626,9.684,1561941,0
1996-01-25,9.684,10.035,9.626,9.945,1662874,0
1996-01-26,10.004,10.004,9.83,9.945,1398129,0
1996-01-29,9.916,10.387,9.916,10.358,2238238,0
1996-01-30,10.418,10.858,10.387,10.681,3706033,0
1996-01-31,10.629,10.924,10.566,10.924,3567040,0
1996-02-01,10.865,10.865,10.629,10.658,1849110,0
1996-02-02,10.629,10.716,10.629,10.658,1574514,0
1996-02-05,10.598,10.629,10.478,10.629,1269329,0
1996-02-06,10.598,10.803,10.537,10.803,1516742,0
1996-02-07,10.803,10.98,10.777,10.952,1355652,0
1996-02-08,10.892,10.924,10.745,10.836,1960240,0
1996-02-09,10.777,10.952,10.658,10.716,2948855,0
1996-02-12,10.836,11.132,10.803,11.039,3110962,0
1996-02-13,10.952,11.012,10.745,10.777,3921157,0
1996-02-14,10.716,10.777,10.39,10.629,2182842,0
1996-02-15,10.629,10.658,10.449,10.478,912833,0
1996-02-16,10.361,10.566,10.212,10.361,1908244,0
1996-02-20,10.125,10.302,10.125,10.155,1231264,0
1996-02-21,10.184,10.449,10.184,10.39,1030757,0
1996-02-22,10.449,10.716,10.419,10.658,2839086,0
1996-02-23,10.658,10.716,10.566,10.658,2513852,0
1996-02-26,10.598,10.658,10.566,10.598,2757523,0
1996-02-27,10.537,10.566,10.39,10.449,2288194,0
1996-02-28,10.507,10.566,10.302,10.302,1647919,0
1996-02-29,10.155,10.184,10.035,10.035,1635004,0
1996-03-01,10.062,10.097,9.889,9.945,4226341,0
1996-03-04,9.916,10.566,9.889,10.419,5803913,0
1996-03-05,10.361,10.39,10.155,10.302,2256924,0
1996-03-06,10.302,10.361,10.155,10.272,2794566,0
1996-03-07,10.272,10.745,10.272,10.687,4275280,0
1996-03-08,10.478,10.716,10.419,10.478,5193549,0
1996-03-11,10.478,10.716,10.419,10.687,3945288,0
1996-03-12,10.658,10.687,10.537,10.658,3324727,0
1996-03-13,10.629,10.658,10.507,10.658,1711471,0
1996-03-14,10.629,10.777,10.566,10.658,3262195,0
1996-03-15,10.687,10.836,10.658,10.836,3763468,0
1996-03-18,10.836,11.515,10.836,11.308,4536963,0
1996-03-19,11.542,11.724,11.339,11.515,4809520,0
1996-03-20,11.483,11.483,11.132,11.252,2048261,0
1996-03-21,11.219,11.252,11.103,11.132,1632628,0
1996-03-22,11.103,11.103,10.952,11.012,1242484,0
1996-03-25,11.069,11.191,11.069,11.103,1644860,0
1996-03-26,11.132,11.219,11.039,11.191,878845,0
1996-03-27,11.16,11.191,11.012,11.103,1111641,0
