Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,31.229,31.56,31.116,31.342,141283,0
1995-01-04,31.342,31.445,31.005,31.116,134267,0
1995-01-05,31.776,32.216,31.342,31.885,483602,0
1995-01-06,31.885,32.773,31.776,32.659,385694,0
1995-01-09,32.545,32.773,32.216,32.659,520387,0
1995-01-10,32.773,33.205,32.659,32.659,390369,0
1995-01-11,33.1,33.1,32.659,32.659,259712,0
1995-01-12,32.773,33.317,32.545,33.1,303301,0
1995-01-13,33.205,33.76,33.205,33.649,439168,0
1995-01-16,33.976,34.089,33.431,33.534,256528,0
1995-01-17,33.649,34.421,33.431,34.089,419816,0
1995-01-18,33.976,34.307,33.76,33.76,236752,0
1995-01-19,33.431,33.534,32.989,32.989,197737,0
1995-01-20,32.773,32.877,31.342,31.445,557381,0
1995-01-23,31.005,31.229,30.571,30.787,697492,0
1995-01-24,30.571,31.445,30.571,31.005,565886,0
1995-01-25,31.005,31.56,30.787,31.342,236856,0
1995-01-26,31.229,31.342,30.017,30.129,480946,0
1995-01-27,30.129,30.129,29.471,29.471,246743,0
1995-01-30,29.586,30.017,27.929,28.153,466487,0
1995-01-31,28.583,28.699,28.258,28.372,584278,0
1995-02-01,28.372,28.917,27.815,28.917,778292,0
1995-02-02,28.699,28.917,27.815,28.258,596396,0
1995-02-03,28.583,29.244,28.583,29.028,506246,0
1995-02-06,29.244,29.799,29.244,29.471,315206,0
1995-02-07,29.586,29.799,29.471,29.586,148515,0
1995-02-08,29.686,30.017,29.471,29.912,203050,0
1995-02-09,29.799,29.799,29.141,29.244,156276,0
1995-02-10,29.357,29.357,28.814,29.141,184341,0
1995-02-13,29.357,30.017,29.357,29.912,230264,0
1995-02-14,30.017,30.129,29.357,29.799,244087,0
1995-02-15,30.017,30.457,29.686,30.242,328924,0
1995-02-16,30.346,31.015,30.346,30.787,478179,0
1995-02-17,30.787,30.787,30.457,30.457,276191,0
1995-02-21,30.674,30.674,30.457,30.674,172966,0
1995-02-22,30.674,30.674,30.129,30.242,246002,0
1995-02-23,30.346,30.346,30.017,30.242,632967,0
1995-02-24,30.242,30.346,30.017,30.242,447562,0
1995-02-27,30.129,30.346,30.017,30.017,326051,0
1995-02-28,29.686,29.686,29.028,29.244,464360,0
1995-03-01,29.244,29.586,29.028,29.141,249402,0
1995-03-02,29.141,29.141,27.929,28.041,403126,0
1995-03-03,28.041,28.583,27.824,28.372,312549,0
1995-03-06,28.153,28.258,27.599,27.824,277577,0
1995-03-07,28.041,28.041,27.487,27.824,290755,0
1995-03-08,27.929,28.372,27.599,28.041,444161,0
1995-03-09,28.153,28.258,26.724,26.724,725140,0
1995-03-10,26.941,27.487,26.612,27.487,692285,0
1995-03-13,27.487,27.487,26.612,26.724,455535,0
1995-03-14,26.828,27.382,26.612,27.269,1348854,0
1995-03-15,27.824,28.699,27.824,28.583,738851,0
1995-03-16,28.699,28.699,28.258,28.372,419605,0
1995-03-17,28.372,28.372,27.599,28.258,431831,0
1995-03-20,28.258,28.258,26.724,27.053,1087227,0
1995-03-21,26.395,27.053,26.395,26.941,615531,0
1995-03-22,27.053,27.053,26.612,27.053,436509,0
1995-03-23,27.157,27.487,26.724,26.941,472968,0
1995-03-24,27.157,27.824,26.941,27.711,613193,0
1995-03-27,27.824,28.484,27.711,28.372,502204,0
1995-03-28,28.699,28.814,28.484,28.484,294266,0
1995-03-29,28.484,29.686,28.484,29.586,689204,0
1995-03-30,30.129,30.346,30.017,30.242,353586,0
1995-03-31,30.017,30.017,29.357,29.686,353055,0
1995-04-03,29.686,29.912,29.141,29.244,221549,0
1995-04-04,29.028,29.028,28.484,28.699,402699,0
1995-04-05,28.583,29.028,28.153,28.814,487537,0
1995-04-06,28.814,29.141,28.258,28.814,407168,0
1995-04-07,28.814,28.917,28.372,28.583,200075,0
1995-04-10,28.372,28.814,28.258,28.814,295860,0
1995-04-11,29.028,29.028,28.258,28.484,352736,0
1995-04-12,28.372,28.917,28.372,28.917,336788,0
1995-04-13,28.917,29.686,28.917,29.471,280338,0
1995-04-17,29.912,30.017,29.028,29.244,542498,0
1995-04-18,29.244,29.471,29.244,29.357,349121,0
1995-04-19,29.357,29.471,28.583,28.814,507205,0
1995-04-20,28.917,29.357,28.583,29.141,599266,0
1995-04-21,29.244,29.244,28.814,29.028,345932,0
1995-04-24,27.711,28.153,27.599,27.824,953594,0
1995-04-25,27.824,27.824,27.053,27.599,712165,0
1995-04-26,27.382,27.382,26.498,26.612,1192901,0
1995-04-27,26.612,27.157,26.498,26.828,969435,0
1995-04-28,26.828,26.941,26.395,26.828,950298,0
1995-05-01,26.828,27.157,26.724,27.157,455325,0
1995-05-02,27.157,27.382,26.941,27.157,298304,0
1995-05-03,27.053,27.157,26.395,26.395,520276,0
1995-05-04,26.395,26.612,26.281,26.395,410566,0
1995-05-05,26.612,26.724,25.84,25.84,436826,0
1995-05-08,25.84,26.498,25.728,26.395,433212,0
1995-05-09,26.17,26.395,25.95,26.281,325732,0
1995-05-10,26.498,27.711,26.395,27.599,1427523,0
1995-05-11,27.053,27.929,26.941,27.929,1025674,0
1995-05-12,27.929,27.929,27.487,27.487,563122,0
1995-05-15,27.599,28.484,27.487,28.372,383138,0
1995-05-16,28.484,28.917,28.153,28.583,643170,0
1995-05-17,28.699,28.699,28.372,28.484,509435,0
1995-05-18,28.583,28.699,28.153,28.258,364958,0
1995-05-19,28.153,28.258,27.929,28.041,327431,0
1995-05-22,28.153,28.258,27.929,28.153,241216,0
1995-05-23,28.153,29.141,28.041,29.028,665285,0
1995-05-24,29.028,29.141,27.824,28.372,401317,0
1995-05-25,28.258,28.258,27.487,27.711,226653,0
1995-05-26,27.711,27.929,27.487,27.824,234730,0
1995-05-30,27.824,28.041,27.711,27.824,200287,0
1995-05-31,27.929,28.484,27.711,28.153,475522,0
1995-06-01,28.041,29.471,27.824,29.471,612660,0
1995-06-02,29.141,29.141,28.372,28.484,594693,0
1995-06-05,28.258,28.583,28.153,28.484,326582,0
1995-06-06,28.153,29.244,27.929,29.028,895444,0
1995-06-07,29.141,29.686,29.141,29.471,1015153,0
1995-06-08,29.586,29.586,29.141,29.141,443950,0
1995-06-09,28.917,29.244,28.917,29.028,445117,0
1995-06-12,29.357,29.799,29.244,29.586,481368,0
1995-06-13,29.471,29.586,29.244,29.471,174667,0
1995-06-14,29.471,29.686,29.244,29.686,360285,0
1995-06-15,29.586,29.586,29.244,29.471,526446,0
1995-06-16,29.357,29.357,28.484,28.699,698877,0
1995-06-19,28.583,28.917,28.258,28.372,463402,0
1995-06-20,28.583,28.917,28.583,28.699,238770,0
1995-06-21,28.699,28.917,28.258,28.372,313402,0
1995-06-22,28.484,28.814,28.372,28.699,172116,0
1995-06-23,28.917,29.244,28.583,29.028,202840,0
1995-06-26,28.917,29.471,28.917,29.471,403018,0
1995-06-27,29.471,30.571,29.471,30.242,839313,0
1995-06-28,30.346,30.571,30.129,30.571,602881,0
1995-06-29,30.457,30.571,29.912,30.242,529317,0
1995-06-30,30.242,30.242,30.017,30.242,293307,0
1995-07-03,30.017,30.787,29.799,30.674,496996,0
1995-07-05,30.787,32.216,30.787,32.104,1185881,0
1995-07-06,32.216,32.659,31.885,32.446,1046195,0
1995-07-07,32.545,34.307,32.545,34.202,1270612,0
1995-07-10,33.976,34.089,33.431,33.976,722160,0
1995-07-11,33.534,33.649,33.1,33.205,410992,0
1995-07-12,33.205,33.205,32.002,32.33,899591,0
1995-07-13,32.33,32.773,32.216,32.33,956358,0
1995-07-14,32.216,32.216,31.671,31.885,503058,0
1995-07-17,31.885,32.104,31.116,31.229,836019,0
1995-07-18,31.015,31.229,30.901,31.116,354434,0
1995-07-19,30.901,31.015,30.346,30.787,609155,0
1995-07-20,31.015,32.002,30.901,31.776,345825,0
1995-07-21,30.457,30.674,29.244,29.244,4062722,0
1995-07-24,29.471,30.017,29.028,30.017,882050,0
1995-07-25,30.129,30.129,29.357,29.586,714400,0
1995-07-26,29.686,29.799,28.484,29.141,1194600,0
1995-07-27,29.028,29.357,28.917,29.141,548662,0
1995-07-28,29.028,29.244,28.583,28.699,741617,0
1995-07-31,28.814,29.141,28.583,29.141,590551,0
1995-08-01,29.141,29.244,28.814,29.028,430661,0
1995-08-02,29.357,29.686,29.244,29.471,441608,0
1995-08-03,29.244,29.471,29.028,29.471,515598,0
1995-08-04,29.586,30.017,29.471,29.912,496784,0
1995-08-07,29.799,30.129,29.471,29.471,348802,0
1995-08-08,29.686,29.799,28.917,29.028,394194,0
1995-08-09,29.141,29.141,28.699,28.814,574710,0
1995-08-10,28.699,28.814,28.153,28.153,824745,0
1995-08-11,28.153,28.258,27.599,27.824,1055121,0
1995-08-14,27.599,27.599,27.269,27.382,1528199,0
1995-08-15,27.487,27.711,27.487,27.599,680061,0
1995-08-16,27.824,28.484,27.824,28.372,752991,0
1995-08-17,28.484,28.583,28.041,28.153,467337,0
1995-08-18,28.583,28.814,28.484,28.484,849412,0
1995-08-21,28.484,28.814,28.484,28.699,427684,0
1995-08-22,28.917,29.141,28.699,28.699,586298,0
1995-08-23,28.814,28.814,27.929,28.153,582150,0
1995-08-24,28.153,28.153,27.487,27.711,362621,0
1995-08-25,27.711,27.929,27.487,27.929,561418,0
1995-08-28,28.258,28.372,27.929,28.258,435866,0
1995-08-29,28.258,28.814,28.153,28.814,336048,0
1995-08-30,28.814,29.141,28.583,28.814,301387,0
1995-08-31,28.814,28.917,28.372,28.814,297349,0
1995-09-01,28.699,29.028,28.699,28.917,184981,0
1995-09-05,28.917,29.471,28.583,29.253,711316,0
1995-09-06,29.253,29.586,29.028,29.357,611599,0
1995-09-07,29.253,29.471,29.141,29.253,458302,0
1995-09-08,29.253,30.242,29.253,30.129,743849,0
1995-09-11,30.129,30.129,29.471,29.471,455111,0
1995-09-12,29.586,29.586,28.699,28.814,488386,0
1995-09-13,28.699,28.814,28.372,28.814,410992,0
1995-09-14,28.814,29.253,28.699,29.028,443842,0
1995-09-15,29.253,29.253,28.917,29.028,360922,0
1995-09-18,28.917,28.917,28.699,28.814,195824,0
1995-09-19,28.372,28.372,27.487,27.711,978260,0
1995-09-20,27.711,28.583,27.711,28.583,814012,0
1995-09-21,28.484,28.583,27.929,28.153,597036,0
1995-09-22,28.041,28.041,27.599,27.929,622229,0
1995-09-25,27.824,28.041,27.487,27.487,544732,0
1995-09-26,27.711,27.929,27.269,27.382,820286,0
1995-09-27,27.269,27.824,26.941,27.711,686016,0
1995-09-28,27.599,27.711,27.269,27.269,296176,0
1995-09-29,27.382,27.382,27.053,27.269,986767,0
1995-10-02,27.269,27.269,27.053,27.157,255458,0
1995-10-03,27.157,27.269,26.498,26.724,565886,0
1995-10-04,26.612,26.612,26.395,26.612,275447,0
1995-10-05,26.498,26.612,25.95,26.066,612130,0
1995-10-06,25.95,26.066,25.728,25.728,923086,0
1995-10-09,25.728,26.395,25.624,26.395,404507,0
1995-10-10,26.066,26.498,25.95,26.281,325414,0
1995-10-11,26.395,26.724,26.281,26.281,209218,0
1995-10-12,26.395,27.382,26.395,27.382,463509,0
1995-10-13,27.269,27.487,27.053,27.053,565142,0
1995-10-16,27.157,27.599,27.157,27.382,332851,0
1995-10-17,27.487,27.487,26.724,26.941,233988,0
1995-10-18,26.828,27.053,26.612,26.724,204435,0
1995-10-19,26.724,26.724,26.281,26.395,222400,0
1995-10-20,26.395,26.612,26.066,26.281,264922,0
1995-10-23,26.281,26.612,26.17,26.281,304046,0
1995-10-24,26.395,26.828,26.066,26.17,494661,0
1995-10-25,26.17,26.498,25.95,26.498,261524,0
1995-10-26,26.612,27.157,26.395,26.498,810291,0
1995-10-27,26.498,27.157,26.498,26.498,372297,0
1995-10-30,26.724,26.941,26.612,26.724,251953,0
1995-10-31,26.828,26.941,26.17,26.281,561314,0
1995-11-01,26.281,26.395,26.066,26.17,500189,0
1995-11-02,26.066,26.498,25.95,26.498,328495,0
1995-11-03,26.498,26.941,26.395,26.724,332218,0
1995-11-06,26.612,27.053,26.612,26.612,274277,0
1995-11-07,26.724,27.053,26.612,26.828,242172,0
1995-11-08,26.828,26.941,26.281,26.395,381333,0
1995-11-09,26.395,26.395,26.066,26.17,326156,0
1995-11-10,25.95,26.17,25.728,25.95,501143,0
1995-11-13,25.95,26.395,25.84,26.17,216980,0
1995-11-14,26.395,26.612,26.17,26.395,1129752,0
1995-11-15,26.395,26.498,26.395,26.498,207198,0
1995-11-16,26.498,26.724,26.395,26.498,370275,0
1995-11-17,26.498,26.828,26.498,26.724,179769,0
1995-11-20,26.941,26.941,26.724,26.724,295434,0
1995-11-21,26.828,28.153,26.724,28.153,853135,0
1995-11-22,28.041,29.253,27.929,29.028,1322276,0
1995-11-24,29.253,29.586,29.141,29.357,546114,0
1995-11-27,29.253,29.586,29.141,29.471,622866,0
1995-11-28,29.253,29.357,28.583,28.917,460426,0
1995-11-29,28.699,29.357,28.583,29.028,483495,0
1995-11-30,28.484,28.699,28.258,28.699,360816,0
1995-12-01,29.253,29.471,29.028,29.141,550471,0
1995-12-04,29.253,29.357,28.917,28.917,565142,0
1995-12-05,28.917,28.917,28.484,28.583,327431,0
1995-12-06,28.814,28.917,27.929,28.041,389728,0
1995-12-07,28.153,28.153,27.711,27.711,262583,0
1995-12-08,27.496,27.929,27.496,27.711,321268,0
1995-12-11,27.929,28.153,27.599,27.711,246639,0
1995-12-12,27.599,28.153,27.496,27.824,260034,0
1995-12-13,27.824,28.258,27.824,27.929,258332,0
1995-12-14,28.041,28.258,27.929,28.041,390686,0
1995-12-15,28.153,28.153,27.269,27.496,633605,0
1995-12-18,27.157,27.157,26.724,27.053,455111,0
1995-12-19,27.053,27.599,26.612,27.382,477330,0
1995-12-20,27.053,27.053,26.612,26.724,580239,0
1995-12-21,26.724,27.157,26.395,27.157,543455,0
1995-12-22,27.157,27.382,26.498,26.724,322755,0
1995-12-26,26.828,27.382,26.724,26.828,337002,0
1995-12-27,27.053,27.157,26.724,27.157,302660,0
1995-12-28,27.053,27.269,26.498,27.053,340402,0
1995-12-29,26.941,27.382,26.828,27.053,346144,0
1996-01-02,27.157,28.041,27.053,28.041,523040,0
1996-01-03,28.153,29.586,27.496,29.471,1438475,0
1996-01-04,29.471,30.017,29.357,29.471,1580289,0
1996-01-05,29.028,29.686,29.028,29.357,557912,0
1996-01-08,29.357,29.686,29.253,29.471,107480,0
1996-01-09,29.686,29.799,28.699,28.917,273745,0
1996-01-10,29.028,29.028,28.041,28.258,561314,0
1996-01-11,28.372,28.699,28.258,28.583,516238,0
1996-01-12,28.699,28.814,28.372,28.583,368043,0
1996-01-15,28.699,28.814,27.929,28.153,334874,0
1996-01-16,28.372,28.372,27.496,27.824,229200,0
1996-01-17,27.599,27.929,26.941,26.941,499232,0
1996-01-18,27.053,27.157,26.612,26.612,300431,0
1996-01-19,26.498,27.599,26.395,27.157,622761,0
1996-01-22,27.269,28.814,27.269,28.484,1330356,0
1996-01-23,28.699,29.586,28.583,29.357,2087279,0
1996-01-24,29.586,29.686,29.141,29.471,513263,0
1996-01-25,29.028,29.586,28.814,29.471,747674,0
1996-01-26,29.471,29.686,29.028,29.028,484982,0
1996-01-29,28.814,29.686,28.814,29.471,927869,0
1996-01-30,30.242,31.671,30.129,31.671,2181152,0
1996-01-31,31.56,31.56,31.015,31.116,1424015,0
1996-02-01,31.116,31.671,31.015,31.445,631266,0
1996-02-02,31.342,31.56,31.116,31.229,493384,0
1996-02-05,31.015,31.885,30.571,31.445,456389,0
1996-02-06,31.342,32.002,31.342,31.671,488065,0
1996-02-07,31.671,31.776,31.015,31.342,345612,0
1996-02-08,31.445,32.104,31.116,31.671,564182,0
1996-02-09,31.671,31.776,30.787,31.015,623188,0
1996-02-12,30.787,31.445,30.787,31.342,424921,0
1996-02-13,31.116,31.776,31.116,31.229,473498,0
1996-02-14,31.229,31.229,31.015,31.116,303725,0
1996-02-15,31.015,31.116,30.571,30.787,331154,0
1996-02-16,30.457,30.684,30.129,30.571,345081,0
1996-02-20,30.242,30.346,29.471,29.686,795301,0
1996-02-21,29.799,30.242,29.471,30.017,428427,0
1996-02-22,30.242,30.457,29.799,30.242,573007,0
1996-02-23,30.242,30.242,29.799,29.912,308935,0
1996-02-26,29.912,30.457,29.912,30.129,448519,0
1996-02-27,29.912,29.912,29.253,29.686,506031,0
1996-02-28,29.912,29.912,29.253,29.357,400574,0
1996-02-29,29.253,29.686,28.814,28.814,218040,0
1996-03-01,28.927,29.028,28.484,28.927,270664,0
1996-03-04,29.141,29.799,29.141,29.471,305321,0
1996-03-05,29.471,29.471,28.927,29.357,482538,0
1996-03-06,29.357,30.571,29.357,30.129,625208,0
1996-03-07,30.457,31.229,30.242,30.684,627440,0
1996-03-08,30.242,31.671,29.912,29.912,768087,0
1996-03-11,30.017,32.002,30.017,31.671,752351,0
1996-03-12,31.015,31.885,30.901,31.671,996757,0
1996-03-13,32.114,32.33,31.445,31.671,681123,0
1996-03-14,31.56,32.545,31.445,32.216,480838,0
1996-03-15,32.002,32.33,31.56,32.002,551430,0
1996-03-18,32.114,32.545,31.56,32.545,558016,0
1996-03-19,32.545,33.317,32.545,32.877,727904,0
1996-03-20,32.33,32.446,31.015,31.671,471057,0
1996-03-21,31.671,31.885,31.015,31.116,346566,0
1996-03-22,31.116,31.116,30.787,31.015,177748,0
1996-03-25,30.901,31.015,30.787,30.787,258332,0
1996-03-26,30.787,30.901,30.457,30.684,242811,0
1996-03-27,30.684,30.684,30.129,30.346,286717,0
1996-03-28,30.242,30.242,29.799,30.017,499548,0
1996-03-29,30.346,30.787,30.242,30.457,280869,0
1996-04-01,30.242,30.901,30.242,30.787,319566,0
1996-04-02,30.787,31.445,30.684,30.684,540052,0
1996-04-03,30.901,31.015,30.017,30.017,564078,0
1996-04-04,30.017,30.684,30.017,30.129,329665,0
1996-04-08,30.242,31.445,30.017,31.229,952851,0
1996-04-09,31.229,31.56,31.015,31.342,430447,0
1996-04-10,31.342,31.342,30.787,31.015,218891,0
1996-04-11,31.229,31.229,30.346,30.787,207728,0
1996-04-12,30.684,31.116,29.912,30.129,411101,0
1996-04-15,30.346,30.457,29.586,29.686,418648,0
1996-04-16,29.686,30.901,29.686,30.571,403657,0
1996-04-17,30.242,30.571,29.912,30.457,267155,0
1996-04-18,30.346,30.684,30.129,30.346,214852,0
1996-04-19,30.242,30.242,29.799,30.129,263753,0
1996-04-22,30.129,30.129,29.141,29.686,334238,0
1996-04-23,29.686,29.686,29.141,29.357,282781,0
1996-04-24,29.471,29.586,28.814,28.814,263753,0
1996-04-25,28.814,29.471,28.258,29.253,375911,0
1996-04-26,29.253,29.357,28.699,28.927,267687,0
1996-04-29,28.814,29.141,28.583,29.141,279702,0
1996-04-30,29.028,29.357,28.927,29.028,370169,0
1996-05-01,29.028,29.141,28.484,28.583,280978,0
1996-05-02,28.583,29.471,28.484,28.927,369747,0
1996-05-03,29.141,29.586,28.699,28.814,341890,0
1996-05-06,29.028,29.141,28.583,28.583,226864,0
1996-05-07,28.372,28.583,28.153,28.372,413862,0
1996-05-08,28.153,28.484,27.824,28.484,305110,0
1996-05-09,28.484,28.484,27.711,28.258,428321,0
1996-05-10,28.814,28.814,28.153,28.153,258545,0
1996-05-13,28.484,28.583,27.929,28.372,283739,0
1996-05-14,28.372,28.484,28.153,28.258,632967,0
1996-05-15,28.153,28.699,28.153,28.258,335405,0
1996-05-16,28.153,28.372,28.041,28.153,359114,0
1996-05-17,28.258,28.583,28.258,28.484,278530,0
1996-05-20,28.484,28.699,28.153,28.372,179981,0
1996-05-21,28.372,29.028,28.372,28.583,325943,0
1996-05-22,28.372,29.028,28.153,28.372,538032,0
1996-05-23,28.372,28.484,27.929,28.041,305535,0
1996-05-24,28.041,28.258,27.929,28.153,148620,0
1996-05-28,28.153,28.258,27.929,27.929,154467,0
1996-05-29,28.041,28.041,27.824,27.929,176899,0
1996-05-30,27.824,27.929,27.496,27.599,412692,0
1996-05-31,27.496,27.599,27.157,27.269,369747,0
1996-06-03,27.269,27.269,26.498,26.498,879070,0
1996-06-04,26.395,26.498,26.066,26.281,956784,0
1996-06-05,26.281,27.053,26.281,26.828,1025355,0
1996-06-06,26.941,26.941,26.066,26.066,482645,0
1996-06-07,26.066,26.941,25.95,26.724,488915,0
1996-06-10,26.828,26.941,26.395,26.498,240260,0
1996-06-11,26.724,26.941,26.612,26.724,182960,0
1996-06-12,26.828,27.157,26.724,26.828,296388,0
1996-06-13,26.828,26.941,26.612,26.612,436509,0
1996-06-14,26.724,26.724,26.281,26.395,316167,0
1996-06-17,26.498,26.498,26.17,26.395,175092,0
1996-06-18,26.395,26.395,25.737,25.95,451283,0
1996-06-19,25.95,26.281,25.737,26.066,344442,0
1996-06-20,25.84,26.066,25.624,25.624,255567,0
1996-06-21,25.624,25.737,25.509,25.737,446927,0
1996-06-24,25.737,25.737,25.18,25.295,358367,0
1996-06-25,25.18,25.509,25.069,25.295,234414,0
1996-06-26,25.18,25.737,25.18,25.18,172012,0
1996-06-27,25.295,25.295,24.523,24.853,346037,0
1996-06-28,25.069,25.069,24.41,24.964,459683,0
1996-07-01,24.964,24.964,24.523,24.74,731729,0
1996-07-02,24.523,24.636,24.081,24.194,652848,0
1996-07-03,24.081,24.964,24.081,24.853,632221,0
1996-07-05,24.523,24.74,24.523,24.636,95253,0
1996-07-08,24.41,24.853,24.41,24.523,289692,0
1996-07-09,24.74,24.853,24.305,24.636,631160,0
1996-07-10,24.74,24.853,24.081,24.74,472122,0
1996-07-11,24.74,24.853,23.751,24.194,349121,0
1996-07-12,23.968,24.081,23.862,23.968,156169,0
1996-07-15,23.751,23.751,22.21,23.093,535800,0
1996-07-16,22.651,23.093,22.21,22.878,692500,0
1996-07-17,22.878,23.421,22.538,22.764,387608,0
1996-07-18,22.878,23.093,22.106,22.878,320098,0
1996-07-19,22.878,22.979,22.764,22.878,340828,0
1996-07-22,22.878,22.979,22.321,22.538,251104,0
1996-07-23,22.651,22.764,21.777,21.777,292245,0
1996-07-24,21.664,22.321,21.549,21.992,206240,0
1996-07-25,22.538,22.651,21.777,22.21,278109,0
1996-07-26,21.992,22.321,21.664,21.992,452241,0
1996-07-29,21.664,21.777,21.549,21.549,338168,0
1996-07-30,21.549,22.321,21.221,22.321,331050,0
1996-07-31,22.538,22.878,22.106,22.321,755542,0
1996-08-01,22.764,23.093,22.764,22.878,571947,0
1996-08-02,23.093,23.309,22.764,22.878,372934,0
1996-08-05,22.764,23.421,22.764,23.093,333388,0
1996-08-06,23.206,23.421,22.979,23.206,208581,0
1996-08-07,23.206,23.641,23.149,23.641,305744,0
1996-08-08,23.641,24.74,23.421,24.41,566523,0
1996-08-09,24.194,24.523,23.862,24.194,313506,0
1996-08-12,23.751,24.081,23.206,24.081,351349,0
1996-08-13,23.862,24.081,23.751,24.081,137460,0
1996-08-14,23.968,24.636,23.968,24.523,209218,0
1996-08-15,24.523,24.636,23.968,24.081,182960,0
1996-08-16,24.081,24.194,23.535,23.751,189444,0
1996-08-19,23.641,23.751,23.309,23.421,511030,0
1996-08-20,23.421,23.641,23.309,23.421,224738,0
1996-08-21,23.421,23.535,23.206,23.421,152660,0
1996-08-22,23.421,24.081,23.421,23.862,505821,0
1996-08-23,23.751,24.194,23.641,23.968,202092,0
1996-08-26,23.641,23.641,23.149,23.641,275343,0
1996-08-27,23.862,23.862,23.206,23.309,154254,0
1996-08-28,23.206,23.535,23.206,23.535,306491,0
1996-08-29,23.421,24.194,23.421,23.968,495933,0
1996-08-30,24.081,24.41,24.081,24.194,290546,0
1996-09-03,24.081,26.066,23.968,25.95,1064477,0
1996-09-04,25.509,25.509,25.18,25.509,363471,0
1996-09-05,25.295,25.624,24.74,24.853,294904,0
1996-09-06,25.18,25.624,24.523,25.18,642428,0
1996-09-09,25.295,25.737,25.18,25.18,351140,0
1996-09-10,25.295,25.295,24.636,24.964,288100,0
1996-09-11,24.964,25.069,24.74,24.74,150005,0
1996-09-12,24.853,24.964,24.523,24.853,205388,0
1996-09-13,24.964,25.069,24.523,24.636,267367,0
1996-09-16,24.74,25.069,24.636,24.74,414606,0
1996-09-17,24.853,24.964,24.523,24.853,441396,0
1996-09-18,24.74,24.853,24.305,24.523,220056,0
1996-09-19,24.41,24.853,24.194,24.74,270026,0
1996-09-20,24.853,24.853,24.41,24.636,253867,0
1996-09-23,24.523,24.636,24.41,24.523,152553,0
1996-09-24,24.41,24.964,24.41,24.523,583747,0
1996-09-25,24.636,24.853,24.523,24.636,210814,0
1996-09-26,24.636,24.636,24.305,24.523,340509,0
1996-09-27,24.964,25.18,24.636,24.74,753627,0
1996-09-30,24.964,25.069,24.853,25.069,712485,0
1996-10-01,25.069,25.95,24.964,25.737,602986,0
1996-10-02,25.737,25.737,25.18,25.397,475415,0
1996-10-03,25.509,25.509,25.18,25.18,229733,0
1996-10-04,25.069,25.18,24.74,24.853,531229,0
1996-10-07,24.853,25.069,24.853,25.069,141924,0
1996-10-08,25.18,25.18,24.523,24.853,537503,0
1996-10-09,25.295,25.295,24.74,24.964,315530,0
1996-10-10,24.853,25.069,24.41,24.636,227077,0
1996-10-11,24.853,24.964,24.853,24.964,158402,0
1996-10-14,24.964,25.18,24.74,24.74,135013,0
1996-10-15,24.523,24.636,24.194,24.523,185084,0
1996-10-16,24.41,24.853,24.41,24.523,192207,0
1996-10-17,24.523,25.18,24.523,25.069,516982,0
1996-10-18,24.964,25.18,24.636,24.74,238345,0
1996-10-21,24.853,25.069,24.74,24.964,169246,0
