Date,Open,High,Low,Close,Volume,OpenInt
2000-08-21,14.54,14.749,14.502,14.679,999240,0
2000-08-22,17.57,17.822,17.532,17.743,1021106,0
2000-08-23,17.57,17.657,17.277,17.4,1637317,0
2000-08-24,17.4,17.4,16.82,16.988,1410948,0
2000-08-25,16.988,16.988,16.568,16.778,1571464,0
2000-08-28,16.731,16.82,16.396,16.446,1310369,0
2000-08-29,16.446,16.48,16.109,16.358,1277830,0
2000-08-30,16.358,16.731,16.273,16.568,891201,0
2000-08-31,16.568,16.904,16.568,16.786,1948577,0
2000-09-01,16.694,16.988,16.606,16.988,1359372,0
2000-09-05,16.731,16.778,16.606,16.694,896475,0
2000-09-06,16.731,17.237,16.731,17.237,2768522,0
2000-09-07,17.198,17.237,17.065,17.237,867535,0
2000-09-08,17.152,17.447,17.152,17.422,1954877,0
2000-09-11,17.4,17.867,17.363,17.836,3089812,0
2000-09-12,17.822,18.077,17.694,17.904,2495463,0
2000-09-13,17.904,17.991,17.611,17.779,1250563,0
2000-09-14,17.779,17.779,17.363,17.779,758337,0
2000-09-15,17.822,18.029,17.694,17.836,2134817,0
2000-09-18,17.743,17.743,17.4,17.517,1076029,0
2000-09-19,17.867,17.867,17.198,17.541,3274126,0
2000-09-20,17.4,17.488,17.065,17.4,1249148,0
2000-09-21,17.363,17.488,17.112,17.321,1121039,0
2000-09-22,17.447,17.57,17.237,17.488,2948461,0
2000-09-25,17.321,17.488,17.152,17.447,615829,0
2000-09-26,17.4,17.743,17.4,17.657,1099436,0
2000-09-27,17.611,18,17.611,18,2192436,0
2000-09-28,17.946,18.409,17.867,18.24,1381882,0
2000-09-29,18.24,18.45,18.201,18.418,1352301,0
2000-10-02,18.409,18.744,18.279,18.7,1152165,0
2000-10-03,18.534,18.823,18.45,18.45,918728,0
2000-10-04,18.475,18.684,17.672,18.047,1657900,0
2000-10-05,18.047,18.426,17.455,17.5,2224976,0
2000-10-06,17.541,18.512,17.541,18.217,2400027,0
2000-10-09,18.131,18.77,18.007,18.475,1389214,0
2000-10-10,18.341,18.846,18.341,18.551,1055446,0
2000-10-11,18.684,18.894,18.301,18.636,1049272,0
2000-10-12,18.512,18.721,18.007,18.426,737243,0
2000-10-13,18.301,18.551,18.301,18.551,501356,0
2000-10-16,18.426,18.846,18.387,18.77,492482,0
2000-10-17,18.77,18.894,18.512,18.684,605667,0
2000-10-18,18.636,18.894,18.047,18.387,1017377,0
2000-10-19,18.262,18.262,17.795,18.047,482191,0
2000-10-20,18.047,18.131,17.836,17.921,750619,0
2000-10-23,17.921,17.968,17.587,17.626,854547,0
2000-10-24,17.751,17.881,17.292,17.5,1302782,0
2000-10-25,17.5,17.672,16.913,16.948,1248761,0
2000-10-26,16.786,17.081,16.614,16.913,1918478,0
2000-10-27,16.824,17.167,16.614,17.034,1258023,0
2000-10-30,16.948,17.292,16.948,17.167,1194224,0
2000-10-31,17.12,17.378,16.871,17.245,854162,0
2000-11-01,17.329,17.795,17.292,17.751,720652,0
2000-11-02,17.751,17.836,17.378,17.416,1009914,0
2000-11-03,17.378,17.626,17.206,17.378,473189,0
2000-11-06,17.206,17.836,17.206,17.455,1167603,0
2000-11-07,17.455,17.5,17.206,17.329,616985,0
2000-11-08,17.245,17.416,17.206,17.378,302897,0
2000-11-09,17.455,17.626,17.378,17.541,660202,0
2000-11-10,17.626,17.672,17.455,17.5,792291,0
2000-11-13,17.329,17.712,17.329,17.5,474218,0
2000-11-14,17.329,17.416,17.245,17.378,623932,0
2000-11-15,17.292,17.881,17.245,17.795,1197440,0
2000-11-16,17.795,18.047,17.712,17.921,1214032,0
2000-11-17,18.131,18.131,17.836,18.007,769913,0
2000-11-20,18.131,18.217,17.836,17.881,656341,0
2000-11-21,17.881,18.007,17.541,18.007,436148,0
2000-11-22,17.921,18.131,17.795,18.007,1241303,0
2000-11-24,17.881,18.047,17.795,17.921,171704,0
2000-11-27,17.712,17.881,17.378,17.626,1200529,0
2000-11-28,17.626,17.836,17.587,17.836,787531,0
2000-11-29,17.712,18.262,17.712,18.178,762196,0
2000-11-30,18.341,18.721,18.178,18.387,1065865,0
2000-12-01,18.217,18.475,18.092,18.178,575698,0
2000-12-04,18.131,18.636,18.131,18.551,857887,0
2000-12-05,18.512,18.599,18.178,18.599,1283102,0
2000-12-06,18.77,18.77,18.131,18.341,948694,0
2000-12-07,18.301,18.636,18.301,18.636,865734,0
2000-12-08,18.636,18.721,18.475,18.684,638591,0
2000-12-11,18.599,18.894,18.512,18.636,1024193,0
2000-12-12,18.721,18.979,18.684,18.894,849270,0
2000-12-13,18.894,18.93,18.77,18.894,496726,0
2000-12-14,18.636,18.894,18.475,18.512,499556,0
2000-12-15,18.387,18.599,18.217,18.341,1194351,0
2000-12-18,18.387,18.77,18.341,18.684,384825,0
2000-12-19,18.77,18.846,18.684,18.807,386754,0
2000-12-20,18.807,19.399,18.636,19.399,1042584,0
2000-12-21,19.399,19.525,19.227,19.483,738529,0
2000-12-22,19.227,19.437,19.187,19.359,709591,0
2000-12-26,19.483,20.112,19.483,20.076,700589,0
2000-12-27,20.161,20.237,19.943,20.076,612611,0
2000-12-28,20.112,20.161,19.771,19.903,455826,0
2000-12-29,19.991,20.027,19.687,19.857,625471,0
2001-01-02,19.516,19.771,19.086,19.344,1095832,0
2001-01-03,19.474,19.903,18.49,18.659,1140979,0
2001-01-04,18.575,18.575,17.167,17.338,1238856,0
2001-01-05,17.338,17.594,17.167,17.386,977889,0
2001-01-08,17.338,17.641,17.338,17.594,587144,0
2001-01-09,17.766,17.813,17.47,17.728,550749,0
2001-01-10,17.679,17.766,17.338,17.594,522575,0
2001-01-11,17.766,17.766,16.654,16.786,1561050,0
2001-01-12,16.786,17.167,16.568,17.043,1286190,0
2001-01-16,17.081,17.128,16.531,17.081,1195900,0
2001-01-17,17.212,17.338,17.043,17.167,896089,0
2001-01-18,17.167,17.47,17.128,17.386,529136,0
2001-01-19,17.338,17.641,16.996,17.554,719752,0
2001-01-22,17.554,17.897,17.422,17.641,704830,0
2001-01-23,17.766,18.108,17.47,17.679,947021,0
2001-01-24,17.508,17.852,17.508,17.813,978404,0
2001-01-25,17.983,18.153,17.766,18.021,551773,0
2001-01-26,17.937,18.153,17.554,18.068,654798,0
2001-01-29,17.937,18.108,17.766,17.961,463158,0
2001-01-30,18.038,18.038,17.594,17.766,532353,0
2001-01-31,17.766,17.766,17.292,17.408,994994,0
2001-02-01,17.408,17.416,17.22,17.347,673835,0
2001-02-02,17.494,17.594,17.312,17.462,1235901,0
2001-02-05,17.554,17.836,17.488,17.774,501872,0
2001-02-06,17.774,17.961,17.532,17.635,793321,0
2001-02-07,17.735,18.209,17.694,18.139,775446,0
2001-02-08,18.139,18.45,18.139,18.45,466885,0
2001-02-09,18.45,18.651,18.279,18.62,712036,0
2001-02-12,18.651,18.963,18.38,18.721,663547,0
2001-02-13,19.101,19.101,18.482,18.823,531454,0
2001-02-14,18.861,18.861,18.519,18.761,610428,0
2001-02-15,18.593,18.721,18.279,18.418,930301,0
2001-02-16,19.135,19.135,18.534,18.693,910364,0
2001-02-20,18.693,19.032,18.551,18.894,743419,0
2001-02-21,18.993,19.408,18.979,19.072,1232297,0
2001-02-22,18.93,19.267,18.87,19.101,625344,0
2001-02-23,19.101,19.235,18.441,18.761,812487,0
2001-02-26,19.135,19.328,18.963,19.195,993067,0
2001-02-27,19.195,19.373,19.101,19.275,529136,0
2001-02-28,19.43,19.43,19.064,19.267,634991,0
2001-03-01,19.101,19.373,19.064,19.235,674348,0
2001-03-02,19.235,19.275,18.861,19.267,852873,0
2001-03-05,19.101,19.319,19.064,19.101,613257,0
2001-03-06,19.135,19.135,18.879,19.025,553189,0
2001-03-07,19.267,19.267,18.815,19.019,783802,0
2001-03-08,19.135,19.275,19.095,19.244,694671,0
2001-03-09,19.244,19.251,18.993,19.135,656341,0
2001-03-12,19.032,19.227,18.993,19.212,1370820,0
2001-03-13,19.212,19.267,19.064,19.18,1284004,0
2001-03-14,19.064,19.135,18.7,18.815,704704,0
2001-03-15,18.684,19.244,18.667,19.195,1173906,0
2001-03-16,19.195,19.305,18.963,19.244,2070505,0
2001-03-19,19.244,19.39,19.11,19.267,1052616,0
2001-03-20,19.267,19.373,18.963,19.041,819816,0
2001-03-21,19.048,19.568,19.032,19.336,1716288,0
2001-03-22,19.168,19.359,18.35,18.693,1435003,0
2001-03-23,18.593,18.659,18.409,18.659,904578,0
2001-03-26,18.659,19.373,18.613,19.373,818789,0
2001-03-27,19.474,19.887,19.446,19.88,1698926,0
2001-03-28,19.748,19.92,19.538,19.857,3453287,0
2001-03-29,19.857,20.417,19.733,20.263,1787545,0
2001-03-30,20.385,21.009,20.316,20.846,1642981,0
2001-04-02,20.558,21.28,20.558,21.063,1253775,0
2001-04-03,21.102,21.117,20.665,20.807,1946004,0
2001-04-04,20.807,20.953,20.688,20.798,1865619,0
2001-04-05,20.789,20.789,20.286,20.767,1127088,0
2001-04-06,20.594,20.939,19.857,20.1,1517703,0
2001-04-09,20.269,20.867,20.153,20.665,1700086,0
2001-04-10,20.665,21.389,20.665,21.248,1323488,0
2001-04-11,20.767,21.009,20.558,20.807,944835,0
2001-04-12,20.807,20.858,20.602,20.653,759753,0
2001-04-16,20.425,20.837,20.425,20.767,916409,0
2001-04-17,20.767,21.6,20.767,21.6,1522207,0
2001-04-18,21.6,21.686,21.07,21.569,1176475,0
2001-04-19,21.461,21.461,20.846,20.953,877822,0
2001-04-20,21.045,21.21,20.672,21.188,802839,0
2001-04-23,21.188,21.461,20.992,21.172,829335,0
2001-04-24,21.172,21.461,21.146,21.343,691326,0
2001-04-25,21.426,21.709,21.188,21.7,1130433,0
2001-04-26,21.669,22.049,21.607,21.901,1044259,0
2001-04-27,21.901,21.901,21.527,21.7,722195,0
2001-04-30,21.627,21.77,21.505,21.6,1331847,0
2001-05-01,21.6,21.6,21.319,21.443,1133906,0
2001-05-02,21.248,21.381,20.953,21.117,716536,0
2001-05-03,21.108,21.117,20.527,20.759,647594,0
2001-05-04,20.558,20.821,20.558,20.767,684771,0
2001-05-07,20.807,20.907,20.696,20.767,846953,0
2001-05-08,20.696,20.72,20.493,20.542,1034606,0
2001-05-09,20.493,20.807,20.493,20.767,724384,0
2001-05-10,20.767,20.867,20.665,20.744,1106381,0
2001-05-11,20.759,20.977,20.713,20.885,501100,0
2001-05-14,20.885,21.078,20.737,20.953,762067,0
2001-05-15,20.867,20.939,20.672,20.867,697887,0
2001-05-16,20.767,21.063,20.628,21.009,1016090,0
2001-05-17,21.078,21.196,20.907,20.992,763483,0
