Date,Open,High,Low,Close,Volume,OpenInt
1998-08-19,60.609,60.609,59.983,59.983,396243,0
1998-08-20,59.6,59.6,58.725,58.821,326839,0
1998-08-21,58.776,58.776,57.139,57.288,282210,0
1998-08-24,57.235,57.235,55.982,56.8,311464,0
1998-08-25,56.8,56.852,55.79,55.982,697152,0
1998-08-26,55.79,55.79,55.021,55.021,283933,0
1998-08-27,54.829,54.873,52.415,53.138,672373,0
1998-08-28,53.096,53.19,52.318,53.043,410354,0
1998-08-31,52.851,53.19,51.072,51.498,479414,0
1998-09-01,51.455,52.466,51.263,51.647,343703,0
1998-09-02,51.647,51.936,51.404,51.553,609964,0
1998-09-03,51.361,52.224,51.072,51.361,557190,0
1998-09-04,51.263,51.263,48.274,48.755,197092,0
1998-09-08,49.337,49.818,48.849,48.849,288977,0
1998-09-09,48.849,48.902,47.455,47.933,315591,0
1998-09-10,47.84,48.998,47.796,48.325,560863,0
1998-09-11,48.178,48.37,47.933,47.988,239992,0
1998-09-14,47.933,49.189,47.933,48.755,265578,0
1998-09-15,48.807,49.189,48.615,49.041,189630,0
1998-09-16,48.947,49.241,48.657,49.146,199614,0
1998-09-17,49.189,49.477,48.755,49.337,115523,0
1998-09-18,49.241,49.337,48.947,49.189,114952,0
1998-09-21,49.189,49.189,48.274,48.615,140416,0
1998-09-22,48.71,49.146,48.615,48.657,72616,0
1998-09-23,48.755,48.849,48.178,48.37,217508,0
1998-09-24,48.517,49.391,48.274,49.198,429165,0
1998-09-25,49.103,49.103,48.126,48.231,147528,0
1998-09-28,48.274,48.955,48.178,48.667,191238,0
1998-09-29,48.667,49.538,48.615,49.103,207530,0
1998-09-30,49.103,49.103,48.858,48.91,293568,0
1998-10-01,48.71,49.633,48.081,49.633,235175,0
1998-10-02,49.685,50.506,49.633,50.506,553176,0
1998-10-05,50.602,52.258,50.366,51.09,255825,0
1998-10-06,50.994,50.994,50.462,50.801,215214,0
1998-10-07,50.698,50.801,50.462,50.698,197202,0
1998-10-08,50.654,50.898,50.462,50.898,159231,0
1998-10-09,51.813,52.301,51.238,52.153,175633,0
1998-10-12,53.173,53.853,52.598,53.566,284621,0
1998-10-13,53.566,54.725,53.566,54.63,193186,0
1998-10-14,54.341,55.799,54.341,55.799,235745,0
1998-10-15,55.799,57.062,55.7,56.957,261679,0
1998-10-16,57.444,58.611,57.444,58.517,504424,0
1998-10-19,58.318,61.716,58.318,59.674,295403,0
1998-10-20,59.975,60.599,59.728,59.728,139500,0
1998-10-21,59.674,59.728,58.708,59.05,169555,0
1998-10-22,58.996,58.996,58.657,58.9,412647,0
1998-10-23,58.708,58.9,58.22,58.804,78929,0
1998-10-26,58.804,59.581,58.804,59.197,174373,0
1998-10-27,59.389,59.975,59.242,59.389,243321,0
1998-10-28,59.197,59.242,58.611,58.708,602278,0
1998-10-29,58.657,58.708,57.444,58.22,341868,0
1998-10-30,58.318,59.482,58.318,59.335,103364,0
1998-11-02,59.242,60.653,58.996,60.314,86842,0
1998-11-03,60.165,60.165,58.366,58.411,175633,0
1998-11-04,58.558,58.611,56.861,57.008,188256,0
1998-11-05,56.287,56.626,55.946,56.626,154298,0
1998-11-06,56.669,57.104,56.478,56.912,154644,0
1998-11-09,57.008,57.402,56.912,57.008,91203,0
1998-11-10,56.329,57.062,56.137,56.764,129291,0
1998-11-11,56.669,57.254,56.287,56.329,137320,0
1998-11-12,56.329,56.329,55.99,56.039,53918,0
1998-11-13,55.838,56.571,55.838,56.287,217624,0
1998-11-16,56.425,56.669,56.329,56.669,134565,0
1998-11-17,56.669,57.008,56.287,56.957,61028,0
1998-11-18,57.008,57.008,56.521,56.626,174491,0
1998-11-19,56.626,56.764,56.232,56.764,50361,0
1998-11-20,56.957,57.156,56.669,56.861,102448,0
1998-11-23,56.861,57.296,56.861,57.156,115863,0
1998-11-24,57.348,58.466,57.348,58.083,211084,0
1998-11-25,58.027,58.411,57.836,57.976,81795,0
1998-11-27,58.083,58.22,58.027,58.125,33154,0
1998-11-30,57.836,58.366,57.74,58.318,93379,0
1998-12-01,58.318,58.366,57.444,57.538,95331,0
1998-12-02,57.156,57.254,56.957,57.008,83516,0
1998-12-03,57.008,57.156,56.669,56.669,104855,0
1998-12-04,56.669,57.444,56.669,57.348,52771,0
1998-12-07,57.402,57.976,57.402,57.976,38660,0
1998-12-08,58.083,58.125,57.538,57.636,141907,0
1998-12-09,57.444,57.538,57.254,57.254,270165,0
1998-12-10,57.348,57.402,56.764,56.764,192503,0
1998-12-11,56.669,56.764,56.669,56.72,141107,0
1998-12-14,56.669,56.669,56.379,56.425,178272,0
1998-12-15,56.425,56.861,56.137,56.232,435018,0
1998-12-16,55.838,56.085,55.7,55.892,260756,0
1998-12-17,55.892,56.287,55.212,55.892,184012,0
1998-12-18,56.085,56.478,55.746,55.892,170243,0
1998-12-21,55.892,56.287,54.777,54.924,309058,0
1998-12-22,54.829,55.117,54.341,55.117,245502,0
1998-12-23,55.212,55.649,55.021,55.021,327867,0
1998-12-24,54.829,56.178,54.725,55.99,74109,0
1998-12-28,55.892,55.892,53.757,53.951,156249,0
1998-12-29,53.951,54.149,53.322,53.757,182060,0
1998-12-30,53.853,55.892,53.853,55.554,91889,0
1998-12-31,55.455,59.975,55.309,58.22,269361,0
1999-01-04,58.22,58.804,57.74,58.366,124472,0
1999-01-05,58.318,58.366,58.027,58.083,281637,0
1999-01-06,58.175,58.175,54.583,54.873,598033,0
1999-01-07,55.212,55.892,54.924,55.892,592295,0
1999-01-08,55.17,55.361,53.469,53.566,875887,0
1999-01-11,53.566,53.566,51.621,52.014,472644,0
1999-01-12,52.014,52.694,51.281,51.526,547673,0
