Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.1441,4.1611,3.9827,3.9827,5574702,0
1995-01-04,3.9997,4.0506,3.8553,3.9233,10524809,0
1995-01-05,3.9147,3.9487,3.8385,3.8975,4038655,0
1995-01-06,3.8723,4.0677,3.8553,4.0677,5275121,0
1995-01-09,4.0847,4.195,4.0506,4.1441,6511589,0
1995-01-10,4.2459,4.2628,4.178,4.2119,6240273,0
1995-01-11,4.2628,4.3139,4.178,4.2801,9873368,0
1995-01-12,4.2628,4.3479,4.229,4.3479,16813125,0
1995-01-13,4.3479,4.3904,4.2884,4.3308,6165379,0
1995-01-16,4.3308,4.4074,4.2971,4.4074,4748031,0
1995-01-17,4.3904,4.4922,4.3479,4.4752,5465891,0
1995-01-18,4.4752,4.5092,4.3736,4.4415,4601074,0
1995-01-19,4.4243,4.4583,4.3736,4.3989,3683965,0
1995-01-20,4.3736,4.4243,4.1019,4.2628,17570551,0
1995-01-23,4.2459,4.2971,4.1611,4.2971,6024067,0
1995-01-24,4.2971,4.3139,4.2459,4.2801,2495546,0
1995-01-25,4.2119,4.2801,4.178,4.2035,5039132,0
1995-01-26,4.195,4.2459,4.1186,4.229,5660901,0
1995-01-27,4.2459,4.2971,4.1611,4.2628,3821037,0
1995-01-30,4.2628,4.2713,4.1019,4.1441,4821516,0
1995-01-31,4.1186,4.195,4.0506,4.0847,7779143,0
1995-02-01,4.1186,4.2801,4.0337,4.2459,11317560,0
1995-02-02,4.229,4.3139,4.195,4.2884,10216748,0
1995-02-03,4.3308,4.3736,4.3139,4.3139,4071152,0
1995-02-06,4.2971,4.4583,4.2971,4.4243,5325993,0
1995-02-07,4.4243,4.4922,4.4074,4.4329,4370735,0
1995-02-08,4.4415,4.4583,4.3904,4.4074,4069744,0
1995-02-09,4.4243,4.4922,4.4074,4.4415,2605764,0
1995-02-10,4.4583,4.5259,4.4243,4.5006,4288775,0
1995-02-13,4.5092,4.5092,4.4243,4.4329,4716947,0
1995-02-14,4.4922,4.6025,4.4583,4.6025,7728272,0
1995-02-15,4.6025,4.6196,4.5092,4.5517,3045243,0
1995-02-16,4.5688,4.5688,4.4922,4.5432,2389562,0
1995-02-17,4.5432,4.5432,4.4752,4.5177,5195985,0
1995-02-21,4.5259,4.5259,4.3054,4.4243,7366519,0
1995-02-22,4.4243,4.4922,4.4074,4.4752,5311864,0
1995-02-23,4.4752,4.577,4.4243,4.4415,4311385,0
1995-02-24,4.4243,4.4752,4.3308,4.4329,5152180,0
1995-02-27,4.4243,4.6196,4.4243,4.5092,6551154,0
1995-02-28,4.5941,4.7725,4.5858,4.73,10367955,0
1995-03-01,4.7046,4.8488,4.6706,4.7555,6043850,0
