Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,11.72,11.815,11.72,11.744,6236686,0
1995-01-04,11.769,11.815,11.72,11.794,5131038,0
1995-01-05,11.769,11.891,11.769,11.815,4919754,0
1995-01-06,11.815,11.866,11.794,11.815,3376117,0
1995-01-09,11.744,11.794,11.72,11.72,3201618,0
1995-01-10,11.769,11.866,11.744,11.769,5016693,0
1995-01-11,11.866,11.866,11.647,11.695,4345550,0
1995-01-12,11.672,11.695,11.672,11.695,3248351,0
1995-01-13,11.744,11.794,11.695,11.794,3496922,0
1995-01-16,11.794,11.815,11.744,11.769,3586408,0
1995-01-17,11.744,11.913,11.72,11.891,5601338,0
1995-01-18,11.866,12.059,11.866,12.036,5061437,0
1995-01-19,11.988,12.085,11.988,12.036,4212813,0
1995-01-20,12.011,12.229,11.988,12.156,11598406,0
1995-01-23,12.109,12.4,12.109,12.351,7227004,0
1995-01-24,12.255,12.279,12.109,12.109,6045289,0
1995-01-25,12.109,12.229,12.059,12.156,5569021,0
1995-01-26,12.132,12.279,12.132,12.229,4243136,0
1995-01-27,12.229,12.279,12.085,12.109,4280421,0
1995-01-30,12.059,12.109,11.963,12.109,4089518,0
1995-01-31,12.109,12.18,12.059,12.109,5609787,0
1995-02-01,12.132,12.132,11.963,12.036,4650299,0
1995-02-02,12.011,12.036,11.891,11.963,4920748,0
1995-02-03,12.011,12.18,11.988,12.156,5934427,0
1995-02-06,12.011,12.085,11.963,12.036,4025884,0
1995-02-07,12.036,12.085,11.988,12.059,4702998,0
1995-02-08,12.085,12.18,12.059,12.109,3599832,0
1995-02-09,12.132,12.132,11.963,11.963,6531496,0
1995-02-10,11.963,12.036,11.938,11.988,4673666,0
1995-02-13,11.988,12.132,11.963,12.109,3567020,0
1995-02-14,12.156,12.18,12.085,12.18,4572743,0
1995-02-15,12.208,12.351,12.18,12.279,6226249,0
1995-02-16,12.279,12.424,12.229,12.4,7778339,0
1995-02-17,12.4,12.4,12.279,12.279,14364028,0
1995-02-21,12.304,12.472,12.255,12.4,9528789,0
1995-02-22,12.424,12.449,12.375,12.424,5563556,0
1995-02-23,12.424,12.424,12.327,12.351,7194192,0
1995-02-24,12.351,12.351,12.229,12.279,5919013,0
1995-02-27,12.255,12.375,12.229,12.327,3844923,0
1995-02-28,12.327,12.4,12.304,12.375,5564055,0
1995-03-01,12.375,12.424,12.279,12.319,3848901,0
1995-03-02,12.327,12.351,12.229,12.279,4434537,0
1995-03-03,12.279,12.279,12.156,12.255,5066412,0
1995-03-06,12.304,12.449,12.304,12.4,6176040,0
1995-03-07,12.4,12.497,12.279,12.4,6449966,0
1995-03-08,12.4,12.569,12.351,12.545,8598627,0
1995-03-09,12.569,12.569,12.497,12.497,4994821,0
1995-03-10,12.545,12.643,12.522,12.594,5622713,0
1995-03-13,12.594,12.594,12.545,12.569,3367168,0
1995-03-14,12.62,12.668,12.545,12.545,6468360,0
1995-03-15,12.545,12.569,12.472,12.497,6096498,0
1995-03-16,12.497,12.643,12.497,12.643,6862599,0
1995-03-17,12.643,12.668,12.594,12.643,14597686,0
1995-03-20,12.668,12.715,12.569,12.62,4977418,0
1995-03-21,12.545,12.62,12.497,12.497,4128793,0
1995-03-22,12.545,12.74,12.522,12.715,8036360,0
1995-03-23,12.691,12.74,12.522,12.691,4881470,0
1995-03-24,12.691,12.788,12.691,12.765,5279188,0
1995-03-27,12.862,12.902,12.812,12.862,3915022,0
1995-03-28,12.812,12.836,12.74,12.788,4084052,0
1995-03-29,12.74,12.878,12.715,12.862,6888944,0
1995-03-30,12.862,12.862,12.788,12.812,5181749,0
1995-03-31,12.788,12.975,12.715,12.902,7777345,0
1995-04-03,12.878,12.902,12.788,12.836,6687103,0
1995-04-04,12.836,13.024,12.836,13.024,8515113,0
1995-04-05,13.024,13.192,12.975,13.169,10747297,0
1995-04-06,13.169,13.169,12.902,12.925,6717928,0
1995-04-07,12.925,12.949,12.812,12.949,5231462,0
1995-04-10,12.902,12.949,12.878,12.949,4198891,0
1995-04-11,12.949,13,12.902,12.925,3863316,0
1995-04-12,12.925,12.949,12.878,12.949,3643082,0
1995-04-13,12.949,13.046,12.949,13,5671437,0
1995-04-17,13.096,13.145,13.024,13.024,5795719,0
1995-04-18,13.071,13.192,13.024,13.169,7378134,0
1995-04-19,13.192,13.315,13.145,13.266,7129563,0
1995-04-20,13.24,13.563,13.24,13.518,9099755,0
1995-04-21,13.518,13.543,13.341,13.414,15278775,0
1995-04-24,13.414,13.543,13.388,13.484,8145731,0
1995-04-25,13.484,13.613,13.484,13.563,10720944,0
1995-04-26,13.563,13.563,13.437,13.518,5488486,0
1995-04-27,13.484,13.518,13.388,13.484,6492223,0
1995-04-28,13.484,13.518,13.341,13.458,5794230,0
1995-05-01,13.518,13.761,13.518,13.736,9956833,0
1995-05-02,13.685,13.784,13.685,13.736,5470588,0
1995-05-03,13.736,13.736,13.543,13.711,6604578,0
1995-05-04,13.711,13.832,13.613,13.761,7838992,0
1995-05-05,13.808,13.808,13.663,13.761,5560576,0
1995-05-08,13.761,13.93,13.685,13.784,4765637,0
1995-05-09,13.711,13.736,13.484,13.543,6579225,0
1995-05-10,13.589,13.641,13.437,13.613,8570291,0
1995-05-11,13.641,13.685,13.484,13.543,7268761,0
1995-05-12,13.518,13.563,13.458,13.543,4844187,0
1995-05-15,13.563,13.663,13.543,13.663,4465360,0
1995-05-16,13.663,13.832,13.613,13.808,5276702,0
1995-05-17,13.808,13.808,13.711,13.808,5246874,0
1995-05-18,13.736,13.808,13.641,13.685,5935914,0
1995-05-19,13.563,13.641,13.518,13.563,13226060,0
1995-05-22,13.589,13.589,13.518,13.543,4678638,0
1995-05-23,13.589,13.761,13.543,13.761,6336615,0
1995-05-24,13.761,13.907,13.736,13.857,6045787,0
1995-05-25,13.832,13.907,13.808,13.832,5949834,0
1995-05-26,13.808,13.832,13.484,13.518,7344332,0
1995-05-30,13.543,13.613,13.437,13.613,5615258,0
1995-05-31,13.589,13.832,13.543,13.832,7208611,0
1995-06-01,13.808,13.881,13.711,13.808,6575744,0
1995-06-02,13.711,13.857,13.641,13.685,7602347,0
1995-06-05,13.663,13.784,13.613,13.761,5011721,0
1995-06-06,13.736,13.857,13.711,13.711,7393053,0
1995-06-07,13.736,13.761,13.663,13.761,5421372,0
1995-06-08,13.711,13.832,13.711,13.784,4001523,0
1995-06-09,13.711,13.761,13.641,13.685,5692313,0
1995-06-12,13.663,13.711,13.613,13.641,6320210,0
1995-06-13,13.711,13.711,13.613,13.663,4985869,0
1995-06-14,13.663,13.685,13.563,13.685,6232216,0
1995-06-15,13.663,13.857,13.641,13.832,6742287,0
1995-06-16,13.857,14.003,13.832,13.978,17005361,0
1995-06-19,14.003,14.003,13.857,13.881,4785024,0
1995-06-20,13.832,13.832,13.563,13.589,6300325,0
1995-06-21,13.563,13.563,13.315,13.414,8909843,0
1995-06-22,13.361,13.388,13.266,13.361,9877783,0
1995-06-23,13.361,13.563,13.361,13.518,5798207,0
1995-06-26,13.613,13.641,13.518,13.589,5182244,0
1995-06-27,13.589,13.832,13.589,13.685,6193438,0
1995-06-28,13.736,13.978,13.736,13.978,7598373,0
1995-06-29,13.978,14.003,13.832,13.953,8901888,0
1995-06-30,13.978,14.027,13.685,13.685,7296604,0
1995-07-03,13.685,13.761,13.685,13.736,2345532,0
1995-07-05,13.784,13.784,13.685,13.711,5673920,0
1995-07-06,13.761,14.003,13.736,14.003,5937906,0
1995-07-07,14.003,14.075,13.832,13.881,7750001,0
1995-07-10,13.907,13.93,13.711,13.736,5011227,0
1995-07-11,13.736,13.881,13.736,13.832,5418386,0
1995-07-12,13.832,13.953,13.761,13.93,6016952,0
1995-07-13,13.907,14.027,13.881,13.93,4381345,0
1995-07-14,13.857,13.953,13.832,13.881,4077091,0
1995-07-17,13.881,14.027,13.808,14.003,5542674,0
1995-07-18,14.003,14.003,13.881,13.907,6223763,0
1995-07-19,13.93,14.124,13.881,14.027,7610803,0
1995-07-20,14.124,14.31,14.052,14.173,10203910,0
1995-07-21,14.197,14.238,14.027,14.197,15030203,0
1995-07-24,14.197,14.287,14.099,14.099,4424101,0
1995-07-25,14.124,14.148,14.027,14.027,5497933,0
1995-07-26,14.027,14.173,13.978,14.124,5906588,0
1995-07-27,14.148,14.22,13.978,14.099,4551368,0
1995-07-28,14.052,14.052,13.857,13.93,6035347,0
1995-07-31,13.907,14.052,13.808,14.052,5668952,0
1995-08-01,14.027,14.027,13.761,13.832,6132786,0
1995-08-02,13.907,14.027,13.736,13.808,5596366,0
1995-08-03,13.784,13.832,13.685,13.832,4448956,0
1995-08-04,13.881,13.881,13.685,13.685,3743007,0
1995-08-07,13.761,13.761,13.613,13.663,5020176,0
1995-08-08,13.685,13.685,13.563,13.641,5888685,0
1995-08-09,13.663,13.736,13.641,13.736,5184232,0
1995-08-10,13.589,13.663,13.518,13.563,4810380,0
1995-08-11,13.613,13.613,13.341,13.437,4614009,0
1995-08-14,13.437,13.563,13.414,13.543,3734558,0
1995-08-15,13.484,13.518,13.361,13.484,4352013,0
1995-08-16,13.437,13.458,13.291,13.414,5093753,0
1995-08-17,13.388,13.414,13.266,13.291,7224518,0
1995-08-18,13.315,13.388,13.219,13.341,11689879,0
1995-08-21,13.414,13.458,13.315,13.315,6419139,0
1995-08-22,13.315,13.315,13.192,13.291,5267758,0
1995-08-23,13.315,13.361,13.24,13.24,4463374,0
1995-08-24,13.24,13.341,13.192,13.291,4919256,0
1995-08-25,13.291,13.543,13.266,13.458,8206880,0
1995-08-28,13.458,13.589,13.291,13.341,5809144,0
1995-08-29,13.315,13.388,13.219,13.315,5367683,0
1995-08-30,13.341,13.388,13.24,13.291,4161104,0
1995-08-31,13.291,13.341,13.24,13.315,4627428,0
1995-09-01,13.291,13.543,13.291,13.518,5966244,0
1995-09-05,13.563,13.685,13.563,13.641,6063186,0
1995-09-06,13.543,13.641,13.518,13.613,5626197,0
1995-09-07,13.641,13.857,13.613,13.832,6739307,0
1995-09-08,13.857,13.881,13.761,13.808,5453685,0
1995-09-11,13.832,13.881,13.808,13.857,3429810,0
1995-09-12,13.907,14.099,13.832,14.075,9526301,0
1995-09-13,14.124,14.238,13.784,14.22,7556613,0
1995-09-14,14.238,14.384,14.197,14.31,8596640,0
1995-09-15,14.333,14.359,14.22,14.261,15914123,0
1995-09-18,14.148,14.173,13.978,14.075,5235934,0
1995-09-19,14.075,14.197,14.052,14.197,4951067,0
1995-09-20,14.148,14.197,14.099,14.148,4462876,0
1995-09-21,14.173,14.173,14.075,14.075,4157626,0
1995-09-22,14.027,14.075,13.978,14.027,4917765,0
1995-09-25,14.052,14.22,14.027,14.099,3683349,0
1995-09-26,14.124,14.173,13.808,13.907,8702532,0
1995-09-27,13.832,13.978,13.832,13.953,6081081,0
1995-09-28,13.953,14.075,13.953,14.052,4382337,0
1995-09-29,14.075,14.075,13.953,14.003,4088029,0
1995-10-02,13.978,13.978,13.832,13.907,4615499,0
1995-10-03,13.907,14.027,13.881,14.027,4171550,0
1995-10-04,14.003,14.287,14.003,14.238,5540689,0
1995-10-05,14.238,14.384,14.148,14.197,5857865,0
1995-10-06,14.197,14.31,14.173,14.261,3508852,0
1995-10-09,14.22,14.287,14.099,14.238,3268731,0
1995-10-10,14.148,14.359,14.124,14.287,5615756,0
1995-10-11,14.238,14.261,14.173,14.197,4257058,0
1995-10-12,14.238,14.287,14.124,14.148,3902097,0
1995-10-13,14.22,14.504,14.173,14.48,6726874,0
1995-10-16,14.48,14.48,14.407,14.43,3991084,0
1995-10-17,14.43,14.577,14.43,14.48,7338362,0
1995-10-18,14.43,14.53,14.407,14.48,5032106,0
1995-10-19,14.48,14.552,14.456,14.552,5429821,0
1995-10-20,14.53,14.746,14.504,14.674,10684650,0
1995-10-23,14.626,14.649,14.53,14.53,5066907,0
1995-10-24,14.552,14.674,14.48,14.674,6197918,0
1995-10-25,14.674,14.867,14.649,14.822,7870313,0
1995-10-26,14.771,14.796,14.43,14.53,8713969,0
1995-10-27,14.48,14.504,14.287,14.456,5013214,0
1995-10-30,14.48,14.771,14.48,14.724,4567773,0
1995-10-31,14.724,14.893,14.674,14.796,6905848,0
1995-11-01,14.796,14.942,14.771,14.867,4106424,0
1995-11-02,14.867,14.918,14.552,14.577,5264771,0
1995-11-03,14.674,14.746,14.577,14.746,3813604,0
1995-11-06,14.7,14.822,14.552,14.602,5281176,0
1995-11-07,14.552,14.552,14.456,14.456,4897379,0
1995-11-08,14.48,14.893,14.48,14.845,7432824,0
1995-11-09,14.746,14.771,14.577,14.7,5317467,0
1995-11-10,14.626,14.674,14.53,14.626,2427563,0
1995-11-13,14.626,14.845,14.626,14.796,3890662,0
1995-11-14,14.771,14.893,14.746,14.867,4721889,0
1995-11-15,14.867,15.063,14.867,15.063,4588652,0
1995-11-16,15.039,15.159,15.039,15.086,6236192,0
1995-11-17,15.086,15.401,15.063,15.379,11486546,0
1995-11-20,15.379,15.379,15.258,15.379,4556340,0
1995-11-21,15.329,15.524,15.329,15.451,7709734,0
1995-11-22,15.427,15.476,15.233,15.258,8628456,0
1995-11-24,15.208,15.233,15.136,15.233,1336825,0
1995-11-27,15.208,15.401,15.183,15.329,4368416,0
1995-11-28,15.258,15.355,15.208,15.329,5166336,0
1995-11-29,15.329,15.379,15.208,15.258,2924211,0
1995-11-30,15.208,15.258,14.989,14.989,5880734,0
1995-12-01,14.965,15.086,14.942,15.063,8621993,0
1995-12-04,15.063,15.233,15.039,15.233,8072153,0
1995-12-05,15.208,15.476,15.183,15.451,5569021,0
1995-12-06,15.501,15.661,15.501,15.598,6967992,0
1995-12-07,15.598,15.735,15.573,15.643,5896146,0
1995-12-08,15.713,15.854,15.636,15.832,5369169,0
1995-12-11,15.808,16.398,15.808,16.299,7731110,0
1995-12-12,16.156,16.542,16.106,16.375,10191981,0
1995-12-13,16.375,16.665,16.351,16.617,11377674,0
1995-12-14,16.594,16.639,16.058,16.083,11900174,0
1995-12-15,16.035,16.058,15.735,15.93,25911724,0
1995-12-18,15.713,15.713,15.548,15.636,7602347,0
1995-12-19,15.598,15.93,15.548,15.88,8036360,0
1995-12-20,15.953,16.058,15.573,15.573,6700530,0
1995-12-21,15.614,15.808,15.573,15.686,8235714,0
1995-12-22,15.757,15.904,15.735,15.757,4040801,0
1995-12-26,15.854,15.88,15.783,15.783,2606038,0
1995-12-27,15.783,15.904,15.735,15.88,3666450,0
1995-12-28,15.808,16.156,15.808,16.058,6552380,0
1995-12-29,16.106,16.132,15.524,15.713,13728676,0
1996-01-02,15.548,15.636,15.524,15.614,8522568,0
1996-01-03,15.661,15.713,15.573,15.661,7129066,0
1996-01-04,15.713,15.904,15.661,15.757,11295644,0
1996-01-05,15.713,16.203,15.713,16.156,10059737,0
1996-01-08,16.132,16.351,16.132,16.351,3120581,0
1996-01-09,16.42,16.473,15.984,16.035,7046044,0
1996-01-10,15.88,15.984,15.548,15.548,8021941,0
1996-01-11,15.636,15.757,15.573,15.636,7616266,0
1996-01-12,15.686,15.713,15.329,15.427,6377384,0
1996-01-15,15.401,15.476,15.208,15.258,5305534,0
1996-01-16,15.355,15.476,15.305,15.476,5169317,0
1996-01-17,15.476,15.661,15.451,15.548,6276961,0
1996-01-18,15.573,15.713,15.476,15.686,7140006,0
1996-01-19,15.636,15.832,15.636,15.713,10350571,0
1996-01-22,15.757,15.757,15.329,15.427,7184747,0
1996-01-23,15.355,15.379,15.039,15.111,9556131,0
1996-01-24,15.159,15.233,15.063,15.086,9950367,0
1996-01-25,15.111,15.282,15.039,15.258,9288670,0
1996-01-26,15.282,15.451,15.258,15.451,6195923,0
1996-01-29,15.451,15.573,15.282,15.355,5344312,0
1996-01-30,15.379,15.379,15.063,15.233,7433322,0
1996-01-31,15.305,15.548,15.233,15.548,6701025,0
1996-02-01,15.548,15.713,15.501,15.713,8378393,0
1996-02-02,15.757,15.904,15.598,15.636,6082573,0
