Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.7573,4.8248,4.7187,4.7863,186914,0
1995-01-04,4.8248,4.8248,4.7573,4.7863,797908,0
1995-01-05,4.7863,4.8248,4.7573,4.8151,490127,0
1995-01-06,4.8151,5.0175,4.7863,5.0175,779634,0
1995-01-09,5.0175,5.0175,4.902,4.9403,197712,0
1995-01-10,4.9786,5.0175,4.902,4.998,404978,0
1995-01-11,5.0947,5.364,5.0947,5.1137,1903188,0
1995-01-12,5.1715,5.1715,5.0947,5.1327,551602,0
1995-01-13,5.1715,5.2098,5.1327,5.1327,606843,0
1995-01-16,5.2098,5.3257,5.1715,5.2867,441114,0
1995-01-17,5.2098,5.4313,5.2098,5.4313,2434438,0
1995-01-18,5.4313,5.47,5.3257,5.4313,922520,0
1995-01-19,5.4026,5.47,5.2867,5.2867,154929,0
1995-01-20,5.2867,5.4026,5.1327,5.2098,419516,0
1995-01-23,5.1327,5.1715,5.0175,5.0947,792096,0
1995-01-24,5.0558,5.1327,5.0558,5.0848,415776,0
1995-01-25,5.0175,5.1327,5.0175,5.1327,730207,0
1995-01-26,5.0175,5.0947,4.998,5.0175,369673,0
1995-01-27,5.0558,5.1327,4.9786,5.1327,279123,0
1995-01-30,5.0175,5.2098,5.0175,5.2098,191480,0
1995-01-31,5.2098,5.2867,5.1327,5.2867,224711,0
1995-02-01,5.2098,5.2867,5.1715,5.2484,159496,0
1995-02-02,5.2867,5.2867,5.1715,5.2194,171962,0
1995-02-03,5.1715,5.2867,5.1715,5.2867,607261,0
1995-02-06,5.2098,5.2867,5.2098,5.2583,801237,0
1995-02-07,5.2484,5.3257,5.2484,5.3257,371751,0
1995-02-08,5.2867,5.4026,5.2867,5.335,596043,0
1995-02-09,5.1327,5.2484,4.9403,4.9403,8578058,0
1995-02-10,4.9786,5.0558,4.9403,4.9786,3196629,0
1995-02-13,4.9691,5.0175,4.9691,5.0175,1040069,0
1995-02-14,5.0175,5.0175,4.9691,5.0175,639659,0
1995-02-15,5.0175,5.0175,4.9691,4.998,633010,0
1995-02-16,4.998,4.998,4.9691,4.998,665412,0
1995-02-17,4.998,4.998,4.9691,4.9691,577353,0
1995-02-21,4.9691,4.998,4.9691,4.9786,103840,0
1995-02-22,4.9691,4.998,4.9691,4.9691,552433,0
1995-02-23,4.9691,4.998,4.9691,4.9691,705286,0
1995-02-24,4.9691,4.998,4.9691,4.9786,820340,0
1995-02-27,4.9691,5.0175,4.9691,4.9884,406640,0
1995-02-28,5.0175,5.0175,4.9691,5.0175,198543,0
1995-03-01,5.0175,5.0175,4.9691,5.0175,137069,0
1995-03-02,4.9691,5.0175,4.9691,4.9786,350566,0
1995-03-03,4.9691,5.0175,4.9691,4.998,500927,0
1995-03-06,4.9691,5.0558,4.9691,5.0558,1247750,0
1995-03-07,5.0175,5.2867,4.9786,5.2867,688256,0
1995-03-08,5.2867,5.364,5.2484,5.2583,593552,0
1995-03-09,5.2484,5.3257,5.2484,5.2676,553264,0
1995-03-10,5.2867,5.3257,5.2484,5.2966,273722,0
1995-03-13,5.2583,5.364,5.2484,5.2484,426576,0
1995-03-14,5.3257,5.4313,5.2867,5.364,606843,0
1995-03-15,5.364,5.4026,5.2583,5.3257,409545,0
1995-03-16,5.3257,5.364,5.2583,5.3257,520863,0
1995-03-17,5.3257,5.364,5.2867,5.2966,393762,0
1995-03-20,5.2966,5.364,5.2583,5.2966,123364,0
1995-03-21,5.2583,5.3257,5.2583,5.2867,216818,0
