Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,54.427,54.427,53.002,53.282,458942,0
1995-01-04,53.344,53.951,53.282,53.683,636384,0
1995-01-05,53.683,54.557,53.474,53.888,511945,0
1995-01-06,53.888,54.77,53.829,54.151,650567,0
1995-01-09,54.227,54.227,53.888,54.014,438025,0
1995-01-10,54.014,55.038,54.014,55.038,751430,0
1995-01-11,54.9,54.97,54.77,54.828,795038,0
1995-01-12,56.69,57.095,56.151,57.025,2269004,0
1995-01-13,57.647,58.687,57.501,58.687,1146380,0
1995-01-16,58.687,59.23,58.289,58.824,500955,0
1995-01-17,58.489,58.687,58.151,58.359,527012,0
1995-01-18,58.489,58.489,57.171,57.171,1122626,0
1995-01-19,57.241,57.777,57.095,57.777,471350,0
1995-01-20,57.777,57.777,56.765,56.962,1042146,0
1995-01-23,56.836,57.572,56.765,57.572,581787,0
1995-01-24,57.572,57.714,57.241,57.714,573809,0
1995-01-25,57.438,57.501,56.962,56.962,398139,0
1995-01-26,57.095,57.647,56.962,57.171,206337,0
1995-01-27,57.241,57.375,56.962,57.095,399026,0
1995-01-30,57.095,57.572,56.836,57.375,347973,0
1995-01-31,57.501,60.045,57.501,60.045,1632264,0
1995-02-01,59.71,59.977,58.359,59.576,906360,0
1995-02-02,59.576,60.178,59.36,60.045,684779,0
1995-02-03,59.911,60.178,59.43,59.643,998894,0
1995-02-06,59.843,60.485,59.777,59.977,618659,0
1995-02-07,60.045,60.111,58.757,58.757,852118,0
1995-02-08,58.549,59.108,58.549,58.824,520630,0
1995-02-09,58.962,59.43,58.899,59.036,653757,0
1995-02-10,59.296,59.911,59.036,59.911,346023,0
1995-02-13,59.843,59.911,59.296,59.71,215556,0
1995-02-14,60.111,60.111,59.71,59.977,367296,0
1995-02-15,59.843,60.045,59.71,60.045,454687,0
1995-02-16,60.178,60.828,59.777,59.843,669712,0
1995-02-17,59.977,60.623,59.43,59.43,726614,0
1995-02-21,59.43,59.43,58.899,58.962,444405,0
1995-02-22,58.962,59.843,58.962,59.296,430580,0
1995-02-23,59.643,60.178,59.576,59.576,374031,0
1995-02-24,59.71,60.045,59.108,59.911,462310,0
1995-02-27,59.843,59.911,59.501,59.643,228673,0
1995-02-28,59.501,60.958,59.501,60.894,705164,0
1995-03-01,60.894,61.772,60.828,61.701,751608,0
1995-03-02,61.567,62.45,61.375,62.178,877820,0
1995-03-03,62.04,62.52,61.701,62.316,496521,0
1995-03-06,61.772,61.981,61.375,61.91,592245,0
1995-03-07,61.91,61.91,60.414,60.894,581787,0
1995-03-08,60.894,61.162,60.414,60.485,352581,0
1995-03-09,60.351,60.894,60.253,60.756,364813,0
1995-03-10,60.894,61.91,60.686,61.772,738313,0
1995-03-13,61.772,63.295,61.772,63.095,628054,0
1995-03-14,63.157,63.838,62.819,63.157,853003,0
1995-03-15,62.957,63.968,62.819,63.968,730512,0
1995-03-16,64.37,66.039,64.248,65.973,2002396,0
1995-03-17,65.973,65.973,63.429,63.838,1560295,0
1995-03-20,63.968,64.717,63.768,64.653,748772,0
1995-03-21,64.508,64.854,64.177,64.787,896611,0
1995-03-22,64.787,65.055,64.508,64.98,703924,0
1995-03-23,64.854,65.422,64.248,64.437,876049,0
1995-03-24,64.583,65.055,64.508,64.717,600400,0
1995-03-27,65.193,65.831,65.126,65.358,1029029,0
1995-03-28,65.771,66.173,65.63,65.897,878530,0
1995-03-29,65.831,66.173,64.917,65.055,1847289,0
1995-03-30,65.358,65.422,64.37,64.437,567783,0
1995-03-31,64.315,64.917,63.571,64.437,398139,0
1995-04-03,64.508,64.653,63.697,63.838,417107,0
1995-04-04,63.697,63.838,63.157,63.768,680878,0
1995-04-05,63.838,63.838,63.157,63.429,494928,0
1995-04-06,63.496,63.838,63.429,63.571,415157,0
1995-04-07,63.496,63.968,63.221,63.968,272104,0
1995-04-10,63.968,64.653,63.697,64.37,511412,0
1995-04-11,64.315,64.854,64.177,64.248,486241,0
1995-04-12,64.11,64.37,63.496,63.496,257036,0
