Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.4698,7.6239,7.4698,7.6239,51527,0
1995-01-04,7.6239,7.6239,7.4698,7.4796,5818,0
1995-01-05,7.4698,7.5469,7.4698,7.5469,16622,0
1995-01-06,7.5469,7.5469,7.5469,7.5469,8727,0
1995-01-09,7.6239,7.6239,7.4698,7.6239,25763,0
1995-01-10,7.4698,7.576,7.4698,7.4698,20360,0
1995-01-11,7.4986,7.6239,7.4986,7.6239,217738,0
1995-01-12,7.73,7.9418,7.576,7.9418,138371,0
1995-01-13,7.7878,7.9418,7.7878,7.8358,10386,0
1995-01-16,7.9994,8.1053,7.8163,8.1053,168286,0
1995-01-17,7.8358,8.1053,7.8358,7.9418,178261,0
1995-01-18,7.8553,8.1053,7.8358,8.0185,133387,0
1995-01-19,8.1053,8.1053,7.9418,8.0185,163719,0
1995-01-20,7.9418,8.1053,7.9418,8.0476,283808,0
1995-01-23,8.1534,8.1534,8.0476,8.1053,138786,0
1995-01-24,7.9418,8.1534,7.9418,7.9418,150007,0
1995-01-25,8.1534,8.1534,7.9418,8.1053,7479,0
1995-01-26,7.9418,8.1534,7.9418,8.0765,88508,0
1995-01-27,8.1053,8.1053,7.9418,8.1053,15375,0
1995-01-30,7.9418,8.1053,7.9418,8.0185,11636,0
1995-01-31,7.9418,8.1053,7.9418,7.9418,47369,0
1995-02-01,7.9418,7.9609,7.9418,7.9609,8727,0
1995-02-02,7.9418,8.1053,7.9418,8.1053,39060,0
1995-02-03,7.9418,8.2109,7.9418,8.2109,157898,0
1995-02-06,8.1823,8.2595,8.1053,8.1053,88092,0
1995-02-07,8.2595,8.2595,8.1534,8.1534,27008,0
1995-02-08,8.1823,8.3651,8.1534,8.3365,251810,0
1995-02-09,8.3365,8.3651,8.2109,8.2109,57759,0
1995-02-10,8.3173,8.3651,8.2109,8.2109,95989,0
1995-02-13,8.3173,8.3651,8.3173,8.3651,16622,0
1995-02-14,8.3651,8.3651,8.2109,8.3365,23269,0
1995-02-15,8.2109,8.3651,8.2109,8.3651,17035,0
1995-02-16,8.3651,8.3651,8.2109,8.3651,11636,0
1995-02-17,8.2109,8.3651,8.2109,8.2595,117595,0
1995-02-21,8.2109,8.4132,8.2109,8.2109,27426,0
1995-02-22,8.3173,8.3173,8.2109,8.2109,6233,0
1995-02-23,8.2109,8.4132,8.2109,8.3173,48619,0
1995-02-24,8.3173,8.3651,8.2595,8.3269,28671,0
1995-02-27,8.3173,8.4132,8.2109,8.3173,18700,0
1995-02-28,8.2109,8.4132,8.2109,8.4132,24516,0
1995-03-01,8.3173,8.3173,8.2109,8.2109,3326,0
1995-03-02,8.2882,8.4132,8.2109,8.3173,20360,0
1995-03-03,8.3173,8.4132,8.2109,8.2109,13298,0
1995-03-06,8.2109,8.4711,8.2109,8.4711,100142,0
1995-03-07,8.2595,8.5191,8.2595,8.5191,263861,0
1995-03-08,8.3173,8.4132,8.3173,8.3173,68977,0
1995-03-09,8.3173,8.5191,8.3173,8.3173,2490,0
1995-03-10,8.5191,8.5191,8.3173,8.5191,6646,0
1995-03-13,8.3173,8.5191,8.3173,8.3173,100971,0
1995-03-14,8.3173,8.3943,8.1534,8.2882,262614,0
1995-03-15,8.1534,8.3173,8.1053,8.2109,81025,0
1995-03-16,8.1053,8.3651,8.1053,8.3173,228542,0
1995-03-17,8.3173,8.3173,8.2109,8.3173,88092,0
1995-03-20,8.3173,8.3173,8.2109,8.3173,33654,0
1995-03-21,8.2109,8.2595,8.2109,8.2109,15375,0
1995-03-22,8.3173,8.3173,8.2109,8.2109,19114,0
1995-03-23,8.2303,8.3173,8.2303,8.3173,9558,0
